date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600877,9.8500,10.17,9.8,10.11,26175995,261621538.0000,3,3.808625,1,2.327900,835.107676,7.530154,1.932478,93.418346,0,9.735999999999997,9.409999999999998,9.084999999999997,1,1,1,1,1,92.96545070627646,88.47724805938786,101.94185600005366,1,0.3658628970330735,0.25177630137210055,0.11408659566097296
2010-02-26,sh.600877,10.1100,10.96,10.01,10.65,41877954,444757305.0000,3,6.093271,1,5.341200,879.712834,7.932358,2.035696,98.408050,0,9.995999999999997,9.572,9.159499999999998,1,1,1,1,1,90.00813363310569,90.86268834267395,88.29902421396918,-1,0.43713387709498797,0.288847816516678,0.14828606057830995
2010-03-01,sh.600877,10.7200,10.86,10.4,10.84,30289119,322216055.0000,3,4.407087,1,1.784000,895.407241,8.073875,2.072014,100.163686,0,10.255999999999997,9.745,9.263499999999997,1,1,1,1,1,91.42082849399922,91.46480427779379,91.33287692641008,-1,0.503148076549822,0.3317078685233068,0.17144020802651516
2010-03-02,sh.600877,10.7600,10.77,10.35,10.53,31408829,331451709.0000,3,4.570006,1,-2.859800,869.800577,7.842980,2.012759,97.299227,0,10.401999999999997,9.880999999999998,9.379499999999997,1,1,1,1,1,85.94737474468339,89.12544562392942,79.59123298619133,-1,0.5244053772446371,0.3702473702675729,0.15415800697706422
2010-03-03,sh.600877,10.4700,10.7,10.3,10.5,23855303,250236679.0000,3,3.470963,1,-0.284900,867.322512,7.820635,2.007025,97.022021,0,10.525999999999998,10.026,9.494499999999999,-1,1,1,1,1,82.91784971259095,86.76201765042453,75.22951383692379,-1,0.5326906655127157,0.40273602931660146,0.12995463619611425
2010-03-04,sh.600877,10.5000,10.75,10.16,10.19,23634617,248042893.0000,3,3.438853,1,-2.952400,841.715848,7.589740,1.947770,94.157561,0,10.541999999999998,10.139,9.583999999999998,-1,1,1,1,1,69.5912914470083,79.48550530142755,49.802863738169805,-1,0.5083820946057944,0.42386524237444007,0.08451685223135436
2010-03-05,sh.600877,10.3100,10.4,9.92,10.09,17378194,176005697.0000,3,2.528539,1,-0.981400,833.455633,7.515258,1.928655,93.233542,0,10.429999999999998,10.213,9.660499999999997,-1,-1,1,1,1,57.318713450292385,69.94261820329722,32.07090394428272,-1,0.47556618184845334,0.43420543026924274,0.0413607515792106
2010-03-08,sh.600877,10.3700,10.55,10.16,10.2,16907815,174722353.0000,3,2.460098,1,1.090200,842.541869,7.597188,1.949681,94.249963,0,10.301999999999998,10.279,9.729499999999998,-1,-1,1,1,1,45.59722222222219,57.50240903984096,21.786848586984647,-1,0.45321108003744826,0.43800656022288387,0.015204519814564388
2010-03-09,sh.600877,10.0500,10.35,9.95,10.11,20911431,211355601.0000,3,3.042627,1,-0.882400,835.107676,7.530154,1.932478,93.418346,0,10.217999999999998,10.31,9.780999999999997,-1,-1,1,-1,1,36.449712643678104,46.45521610539757,16.43870572023917,-1,0.42335211331899814,0.43507567084210674,-0.011723557523108608
2010-03-10,sh.600877,10.1100,10.26,10.0,10.15,14499832,146620954.0000,3,2.109735,1,0.395600,838.411762,7.559947,1.940124,93.787954,0,10.147999999999998,10.337000000000002,9.834999999999997,1,-1,1,-1,1,29.821507515473,37.28948079379111,14.885560958836791,-1,0.39832469365845746,0.42772547540537686,-0.029400781746919402
2010-03-11,sh.600877,10.1300,10.2,9.83,9.87,15440894,153851568.0000,3,2.246660,1,-2.758600,815.283162,7.351397,1.886603,91.200700,0,10.083999999999998,10.313000000000002,9.861499999999998,-1,-1,1,-1,1,17.574339230683353,27.94851979661149,-3.174021901172914,-1,0.3518408213471105,0.4125485445937236,-0.06070772324661311
