date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600879,13.3800,13.55,13.27,13.38,16789904,225013718.0000,3,2.769289,1,-0.074700,53.595275,3.611773,4.296518,141.249667,0,12.970000000000004,12.509000000000006,12.467,1,1,1,1,1,95.78644154681028,88.90835894693669,109.54260674655745,1,0.07706615320322996,-0.12547233675556668,0.20253848995879664
2010-02-26,sh.600879,13.3500,13.58,13.18,13.45,23439541,314572948.0000,3,3.866065,1,0.523200,53.875669,3.630669,4.318996,141.988642,0,13.202000000000004,12.664000000000005,12.5145,1,1,1,1,1,93.79021338611567,94.7870579905342,91.7965241772786,-1,0.12971419781645466,-0.0744350298411624,0.20414922765761706
2010-03-01,sh.600879,13.4000,13.47,13.08,13.2,20200291,267427814.0000,3,3.331790,1,-1.858700,52.874262,3.563184,4.238718,139.349448,0,13.304000000000006,12.795000000000005,12.543499999999998,-1,1,1,1,1,86.95975070458913,92.1788018791717,76.52164835542399,-1,0.14954142139870896,-0.02963973959318813,0.1791811609918971
2010-03-02,sh.600879,13.2300,13.93,13.0,13.72,41464880,564877134.0000,3,6.839124,1,3.939400,54.957188,3.703552,4.405697,144.838971,0,13.428000000000006,12.980000000000008,12.623,1,1,1,1,1,86.19330700336285,88.98109036468922,80.61774028071008,-1,0.20485287666801,0.0172587836590515,0.1875940930089585
2010-03-03,sh.600879,13.6800,14.05,13.55,13.65,34687763,477830320.0000,3,5.721321,1,-0.510200,54.676794,3.684656,4.383219,144.099997,0,13.480000000000008,13.105000000000008,12.6955,1,1,1,1,1,81.74131138048662,84.9647896961462,75.29435474916747,-1,0.2402695111192532,0.06186092915109184,0.17840858196816137
2010-03-04,sh.600879,13.6500,13.78,12.8,12.9,25924576,343425419.0000,3,4.275941,1,-5.494500,51.672574,3.482203,4.142383,136.182415,0,13.384000000000006,13.177000000000007,12.7065,-1,-1,1,1,1,68.44766058683584,78.79409299022844,47.75479578005064,-1,0.20545041262812624,0.09057882584649872,0.11487158678162752
2010-03-05,sh.600879,12.9500,13.1,12.69,12.77,17068508,219674739.0000,3,2.815241,1,-1.007800,51.151843,3.447111,4.100638,134.810034,0,13.248000000000005,13.225000000000009,12.693000000000001,-1,-1,1,1,1,43.8493699885452,64.67944731862255,2.189215328390503,-1,0.16545880654387446,0.10555482198597387,0.059903984557900594
2010-03-08,sh.600879,12.9000,13.05,12.76,12.91,10378106,134082542.0000,3,1.711741,1,1.096300,51.712631,3.484902,4.145594,136.287982,0,13.190000000000003,13.247000000000009,12.682500000000001,-1,-1,1,-1,1,22.781045751633958,45.02602544233833,-21.708913629774784,-1,0.14340887235770694,0.11312563206032047,0.030283240297386466
2010-03-09,sh.600879,12.9000,12.97,12.68,12.83,11496375,147043735.0000,3,1.896186,1,-0.619700,51.392181,3.463307,4.119905,135.443440,0,13.012000000000004,13.22000000000001,12.723,-1,-1,1,-1,1,13.930680788130324,26.85369884276983,-11.915355321148688,-1,0.11811722737016517,0.11412395112228942,0.003993276247875752
2010-03-10,sh.600879,12.7900,13.2,12.7,12.92,15954470,207425287.0000,3,2.631494,1,0.701500,51.752687,3.487601,4.148805,136.393550,0,12.866000000000003,13.17300000000001,12.769,1,-1,1,-1,1,14.881207957635622,17.19764483246664,10.248334207973585,-1,0.10413525790847267,0.11212621247952606,-0.007990954571053394
2010-03-11,sh.600879,12.9000,13.12,12.75,12.88,10052565,129661793.0000,3,1.658047,1,-0.309600,51.592462,3.476804,4.135961,135.971279,0,12.862000000000004,13.12300000000001,12.815999999999999,1,-1,1,-1,1,14.355231143552336,14.389039963106098,14.28761350444481,-1,0.08880311365320281,0.10746159271426141,-0.018658479061058594
2010-03-12,sh.600879,12.8200,12.98,12.4,12.5,11985641,151909469.0000,3,1.976885,1,-2.950300,50.070324,3.374227,4.013937,131.959704,0,12.808000000000003,13.02800000000001,12.845999999999998,-1,-1,-1,-1,-1,12.725798127257994,13.987412409481989,10.202569562810002,-1,0.045465358311858495,0.09506234583378083,-0.049596987521922334
