date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600882,8.5000,8.63,8.38,8.49,4768049,40367112.0000,3,2.230912,1,0.354600,-17.481759,4.157689,2.639994,17.626346,0,8.293999999999997,8.011999999999999,8.001999999999999,1,1,1,1,1,90.79805996472663,88.5183138734475,95.3575521472849,1,-0.0018257628765852019,-0.12607957119198718,0.12425380831540198
2010-02-26,sh.600882,8.4800,8.95,8.32,8.81,19304846,168774676.0000,3,9.032503,1,3.769100,-18.140671,4.314398,2.739499,18.290708,0,8.453999999999997,8.127999999999998,8.023999999999997,1,1,1,1,1,89.70831637498308,90.74996551086569,87.62501810321785,-1,0.05232262481570338,-0.09039913199044906,0.14272175680615246
2010-03-01,sh.600882,8.8500,9.1,8.71,8.94,20518334,182563464.0000,3,9.600280,1,1.475600,-18.408354,4.378061,2.779923,18.560605,0,8.597999999999997,8.251,8.055999999999997,1,1,1,1,1,88.30676284576992,89.60437972849324,85.71152908032329,-1,0.10452067642857266,-0.05141517030664471,0.15593584673521738
2010-03-02,sh.600882,8.9500,9.16,8.85,9.03,22084779,199056204.0000,3,10.333200,1,1.006700,-18.593673,4.422136,2.807909,18.747457,0,8.745999999999999,8.383,8.112999999999998,1,1,1,1,1,89.57610730760264,89.19706217611856,90.33419757057081,1,0.15140495417166377,-0.010851145410983011,0.16225609958264678
2010-03-03,sh.600882,9.0300,9.16,8.81,9.1,26922989,242765439.0000,3,12.596940,1,0.775200,-18.737810,4.456416,2.829676,18.892786,0,8.873999999999999,8.513,8.180499999999999,1,1,1,1,1,91.72700197648288,89.8699573766185,95.44109117621164,1,0.1919962834100204,0.029718340353217673,0.1622779430568027
2010-03-04,sh.600882,9.0700,9.14,8.61,8.74,17461389,155323494.0000,3,8.169972,1,-3.956000,-17.996534,4.280118,2.717732,18.145379,0,8.923999999999998,8.608999999999998,8.224999999999998,-1,1,1,1,1,83.84284121998171,88.38198350135576,74.76455665723358,-1,0.19289266633568403,0.062353205549710945,0.1305394607859731
2010-03-05,sh.600882,8.8000,9.45,8.79,9.25,33109117,300944786.0000,3,15.491354,1,5.835200,-19.046675,4.529873,2.876319,19.204205,0,9.011999999999997,8.732999999999999,8.2915,1,1,1,1,1,82.26485478284036,85.944899326435,74.90476569565107,-1,0.23208051431065613,0.09629866730189998,0.13578184700875615
2010-03-08,sh.600882,9.1500,9.4,8.88,9.14,24453850,223720573.0000,3,11.441660,1,-1.189200,-18.820174,4.476004,2.842114,18.975831,0,9.051999999999998,8.825,8.348999999999998,1,1,1,1,1,75.56722076407117,80.55830558896444,65.5850511142846,-1,0.2513635232447715,0.12731163849047428,0.12405188475429724
2010-03-09,sh.600882,9.1500,9.35,8.9,8.99,23021666,210186506.0000,3,10.771558,1,-1.641100,-18.511309,4.402547,2.795471,18.664411,0,9.043999999999999,8.894999999999998,8.404499999999999,-1,1,1,1,1,73.66456589681454,77.16554714790871,66.66260339462619,-1,0.2516409402359461,0.15217749883956863,0.09946344139637744
2010-03-10,sh.600882,9.0800,9.2,8.57,8.95,23663749,211001067.0000,3,11.071981,1,-0.444900,-18.428945,4.382958,2.783033,18.581366,0,9.014,8.943999999999999,8.453499999999998,-1,1,1,1,1,63.544932989570974,70.92557321681892,48.78365253507508,-1,0.24579970351694236,0.17090193977504337,0.07489776374189899
