date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600887,31.1000,31.67,30.58,31.4,6242537,193406766.0000,3,0.857782,1,2.681500,-23.852868,7.563425,1.149004,8.702028,1,29.956,29.537000000000006,29.592500000000012,1,1,1,1,1,82.13026017111925,65.12873775756982,116.13330499821811,1,0.2665731045366222,0.12094684332693204,0.14562626120969016
2010-02-26,sh.600887,31.3800,31.8,31.0,31.41,4680012,146297430.0000,3,0.643077,1,0.031800,-23.860465,7.565834,1.149370,8.704800,1,30.292,29.793000000000006,29.641500000000015,1,1,1,1,1,93.40357428647633,80.12776250615259,119.9551978471238,1,0.37345914077903686,0.171449302817353,0.20200983796168387
2010-03-01,sh.600887,31.2000,31.3,30.85,31.05,4068634,126100611.0000,3,0.559068,1,-1.146100,-23.586993,7.479119,1.136197,8.605031,1,30.712,29.99600000000001,29.692500000000013,1,1,1,1,1,85.73486263003461,87.08956569587671,83.0254564983504,-1,0.4242278684244738,0.22200501593877714,0.20222285248569666
2010-03-02,sh.600887,31.0500,31.8,30.6,30.88,4775599,149162408.0000,3,0.656211,1,-0.547500,-23.457853,7.438171,1.129976,8.557918,1,31.064,30.17900000000001,29.79500000000001,-1,1,1,1,1,78.93660531697337,86.02501407782809,64.75978779526392,-1,0.44560817790822327,0.2667256483326664,0.1788825295755569
2010-03-03,sh.600887,30.8800,31.38,30.61,30.98,3156367,97849206.0000,3,0.433714,1,0.323800,-23.533817,7.462258,1.133635,8.585632,1,31.144,30.33200000000001,29.89950000000001,-1,1,1,1,1,74.53987730061345,79.73711508254047,64.14540173675942,-1,0.4652581847355677,0.30643215561324666,0.15882602912232102
2010-03-04,sh.600887,30.9800,31.38,30.3,30.44,2659375,81720653.0000,3,0.365423,1,-1.743100,-23.123609,7.332186,1.113876,8.435979,1,30.951999999999998,30.454000000000015,29.937000000000012,-1,-1,1,1,1,68.30265848670753,73.9263803680981,57.05521472392641,-1,0.4322744785776713,0.33160062020613157,0.10067385837153975
2010-03-05,sh.600887,30.2500,30.8,30.01,30.07,3213366,97646152.0000,3,0.441546,1,-1.215500,-22.842540,7.243063,1.100336,8.333439,1,30.683999999999997,30.48800000000001,29.92950000000001,-1,-1,1,1,1,60.020449897750495,67.62099522835713,44.819359236537224,-1,0.37199066915393075,0.33967862999569143,0.032312039158239325
2010-03-08,sh.600887,30.0600,30.3,29.4,29.58,4506197,134654459.0000,3,0.619193,1,-1.629500,-22.470314,7.125035,1.082406,8.197643,1,30.389999999999997,30.55100000000001,29.884000000000015,-1,-1,-1,-1,1,43.65574409586143,57.32628416010646,16.314663967371374,-1,0.2814322353415548,0.3280293510648641,-0.04659711572330927
2010-03-09,sh.600887,29.6000,30.29,29.55,29.89,2470095,74036348.0000,3,0.339414,1,1.048000,-22.705804,7.199706,1.093750,8.283555,1,30.191999999999997,30.628000000000007,29.885500000000015,-1,-1,1,-1,1,31.03389678843131,44.90336359401439,3.29496317726516,-1,0.23200403522825042,0.30882428789754135,-0.07682025266929093
2010-03-10,sh.600887,29.8200,30.1,29.43,30.0,3477220,103696544.0000,3,0.477802,1,0.368000,-22.789365,7.226202,1.097775,8.314040,1,29.99599999999999,30.57000000000001,29.949000000000012,1,-1,1,-1,1,23.723058342623546,32.804233075638734,5.560708876593168,-1,0.19940924556422956,0.286941279430879,-0.08753203386664943
2010-03-11,sh.600887,30.0000,30.17,29.44,29.56,2486345,73909905.0000,3,0.341647,1,-1.466700,-22.455121,7.120218,1.081674,8.192101,1,29.819999999999993,30.386000000000013,29.96150000000001,-1,-1,-1,-1,-1,17.361111111111107,24.039355414055294,4.004622505222734,-1,0.13649983206034833,0.25685298995677286,-0.12035315789642453
