date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2017-12-22,sh.600903,12.2000,12.67,11.65,12.67,51544855,635433916.0000,3,42.267760,1,9.982635,69.185611,4.521020,4.029921,-198.957948,0,10.779999999999998,9.799,10.037499999999998,1,1,1,1,1,99.99999999999999,94.35435435435436,111.29129129129123,1,1.3420956208978474,1.412857557336073,-0.0707619364382257
2017-12-25,sh.600903,13.3500,13.94,13.1,13.94,71371911,974469150.0000,3,58.526322,1,10.023670,76.120554,4.974192,4.433867,-218.900852,0,11.623999999999999,10.302,10.166499999999996,1,1,1,1,1,99.99999999999999,97.71771771771772,104.5645645645645,1,1.5224573397347925,1.434777513815817,0.0876798259189755
2017-12-26,sh.600903,14.3800,15.33,14.21,15.33,47795555,711143814.0000,3,39.193263,1,9.971309,83.710767,5.470184,4.875981,-240.728125,0,12.785999999999998,11.014999999999999,10.411999999999997,1,1,1,1,1,99.99999999999999,100.0,99.99999999999994,-1,1.7572996283992381,1.4992819367325012,0.25801769166673694
2017-12-27,sh.600903,16.4000,16.86,16.4,16.86,40228092,674568046.0000,3,32.987799,1,9.980435,92.065462,6.016132,5.362625,-264.753829,0,14.063999999999998,11.879,10.707999999999998,1,1,1,1,1,99.99999999999999,100.0,99.99999999999994,-1,2.043317949963699,1.6080891393787407,0.4352288105849582
2017-12-28,sh.600903,16.8600,16.86,16.86,16.86,0,0.0000,3,,0,0.000000,92.065462,6.016132,5.362625,-264.753829,0,15.132,12.661,10.969999999999999,1,1,1,1,1,99.99999999999999,100.0,99.99999999999994,-1,2.2441207038963835,1.7352954522822692,0.5088252516141143
2017-12-29,sh.600903,16.8600,16.86,16.86,16.86,0,0.0000,3,,0,0.000000,92.065462,6.016132,5.362625,-264.753829,0,15.969999999999999,13.375,11.279499999999999,1,1,1,1,1,99.99999999999999,100.0,99.99999999999994,-1,2.3758707737422604,1.8634105165742674,0.512460257167993
2018-01-02,sh.600903,16.0100,18.55,15.64,18.55,43840638,736602229.0000,3,35.950156,1,10.023720,101.293851,6.619172,5.900160,-291.292024,0,16.892,14.258000000000001,11.6975,1,1,1,1,1,99.99999999999999,100.0,99.99999999999994,-1,2.5868331273395455,2.008095038727323,0.5787380886122224
2018-01-03,sh.600903,19.0700,20.41,18.66,20.41,76963922,1531242888.0000,3,63.111877,1,10.026960,111.450539,7.282874,6.491766,-320.499742,0,17.907999999999998,15.347,12.2045,1,1,1,1,1,99.99999999999999,100.0,99.99999999999994,-1,2.8710135111853994,2.1806787332189383,0.690334777966461
2018-01-04,sh.600903,20.0000,21.48,19.0,19.77,61455330,1248380759.0000,3,50.394537,1,-3.135715,107.955764,7.054503,6.288203,-310.449774,0,18.49,16.277,12.721499999999999,1,1,1,1,1,94.20142421159714,98.06714140386572,86.46998982705998,-1,3.009889726321777,2.346520931839506,0.6633687944822713
2018-01-05,sh.600903,19.5500,20.56,18.71,19.56,58009388,1125010741.0000,3,47.568800,1,-1.062220,106.809041,6.979569,6.221409,-307.152129,0,19.029999999999998,17.081,13.252499999999998,1,1,1,1,1,86.56419270801717,93.58853897320478,72.51550017764197,-1,3.0676430034078663,2.490745346153178,0.5768976572546882
2018-01-08,sh.600903,18.9800,20.67,18.45,20.33,68507216,1348881217.0000,3,56.177218,1,3.936608,111.013692,7.254328,6.466321,-319.243496,0,19.723999999999997,17.847,13.822999999999997,1,1,1,1,1,81.29138207069484,87.35233299676973,69.16948021854503,-1,3.1393569042199516,2.620467657766533,0.5188892464534187
2018-01-09,sh.600903,19.7000,20.93,19.51,20.07,53683543,1083368278.0000,3,44.021524,1,-1.278899,109.593940,7.161552,6.383623,-315.160697,0,20.028,18.46,14.380999999999995,1,1,1,1,1,79.04201265361823,82.29919581077675,72.52764633930119,-1,3.1390261210474293,2.724179350422712,0.4148467706247172
2018-01-10,sh.600903,19.6700,22.08,19.42,22.08,71401916,1505307407.0000,3,58.550927,1,10.014950,120.569716,7.878778,7.022940,-346.723875,0,20.362,19.135,15.074999999999994,1,1,1,1,1,86.67924415719818,82.3375462938371,95.36263988392037,1,3.26333646333622,2.832010773005414,0.43132569033080603
2018-01-11,sh.600903,22.6700,24.29,22.51,24.29,59100339,1405970608.0000,3,48.463400,1,10.009060,132.637608,8.667369,7.725870,-381.427669,0,21.266,19.878,15.878499999999994,1,1,1,1,1,91.95205479452052,85.89110386844565,104.07395664667027,1,3.4998378829261707,2.9655761949895654,0.5342616879366053
2018-01-12,sh.600903,25.5000,26.72,24.5,26.72,63561501,1646314524.0000,3,52.121638,1,10.004110,145.906830,9.534463,8.498775,-419.586139,0,22.697999999999997,20.864,16.762499999999996,1,1,1,1,1,99.99999999999999,92.8770996505729,114.24580069885414,1,3.839092979380677,3.1402795518677875,0.6988134275128894
2018-01-15,sh.600903,27.8900,29.39,27.89,29.39,36706337,1064018465.0000,3,30.099893,1,9.992516,160.486591,10.487196,9.348016,-461.513347,0,24.509999999999998,22.117,17.74599999999999,1,1,1,1,1,99.99999999999999,97.3173515981735,105.36529680365294,1,4.274132237521609,3.367050088998552,0.9070821485230574
2018-01-16,sh.600903,31.9000,32.33,30.9,32.33,15180007,487048200.0000,3,12.447894,1,10.003410,176.540711,11.536272,10.283136,-507.680385,0,26.962,23.494999999999997,18.87649999999999,1,1,1,1,1,99.99999999999999,100.0,99.99999999999994,-1,4.800796815979361,3.6537994343947138,1.1469973815846468
2018-01-17,sh.600903,32.3300,32.33,32.33,32.33,0,0.0000,3,,0,0.000000,176.540711,11.536272,10.283136,-507.680385,0,29.012,24.687,20.01699999999999,1,1,1,1,1,99.99999999999999,100.0,99.99999999999994,-1,5.158715823990654,3.954782712313902,1.2039331116767524
2018-01-18,sh.600903,32.3300,32.33,32.33,32.33,0,0.0000,3,,0,0.000000,176.540711,11.536272,10.283136,-507.680385,0,30.620000000000005,25.943,21.10999999999999,1,1,1,1,1,99.99999999999999,100.0,99.99999999999994,-1,5.380347914894195,4.239895752829961,1.1404521620642338
2018-01-19,sh.600903,32.3300,32.33,32.33,32.33,0,0.0000,3,,0,0.000000,176.540711,11.536272,10.283136,-507.680385,0,31.742000000000008,27.22,22.150499999999987,1,1,1,1,1,99.99999999999999,100.0,99.99999999999994,-1,5.492676784805578,4.490451959225084,1.0022248255804938
2018-01-22,sh.600903,31.9900,35.2,29.1,30.21,67548627,2113304211.0000,3,55.391157,1,-6.557385,164.964271,10.779795,9.608832,-474.389868,0,31.906000000000013,28.208,23.027499999999986,-1,1,1,1,1,89.45923109421206,96.48641036473735,75.40487255316148,-1,5.348972317815289,4.662156030943125,0.6868162868721637
2018-01-23,sh.600903,29.0100,29.98,27.88,29.31,52446336,1518633638.0000,3,43.006991,1,-2.979145,160.049745,10.458649,9.322571,-460.257101,0,31.30200000000001,29.131999999999998,23.795999999999985,-1,1,1,1,1,73.98773122554907,87.81565410658703,46.33188546347316,-1,5.10363152666546,4.750451130087592,0.3531803965778675
2018-01-24,sh.600903,29.9500,32.24,29.92,32.24,57826321,1825704868.0000,3,47.418681,1,9.996596,176.049259,11.504157,10.254510,-506.267108,0,31.28400000000001,30.148000000000003,24.641499999999986,1,1,1,1,1,64.766547424926,76.07116991489569,42.15730244498664,-1,5.086984108794049,4.8177577258288835,0.2692263829651651
2018-01-25,sh.600903,33.3900,34.4,30.0,30.85,57503599,1831294821.0000,3,47.154043,1,-4.311418,168.459045,11.008165,9.812396,-484.439835,0,30.98800000000001,30.804000000000002,25.340999999999987,-1,1,1,1,1,55.49857316131503,64.75095060393002,36.99381827608505,-1,4.905086740276062,4.835223528718319,0.06986321155774267
