date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2021-03-31,sh.600916,17.4700,19.5,17.14,18.79,55932342,1045945717.4100,3,31.073500,1,4.972100,58.884924,6.277581,0.907504,40.260708,0,19.346000000000004,19.142999999999994,17.2355,-1,-1,1,1,1,45.92709426839958,56.1524101789145,25.47646244736974,-1,1.675510469426186,1.7483932541393061,-0.07288278471312015
2021-04-01,sh.600916,18.5700,18.92,17.81,18.16,41277016,751449459.2700,3,22.931700,1,-3.352800,56.910602,6.067103,0.877077,38.910828,0,18.878000000000004,19.313999999999997,17.2795,-1,-1,1,-1,1,31.868985075304437,44.31733392518998,6.972287375533355,-1,1.5318599354068425,1.7050865903928134,-0.1732266549859709
2021-04-02,sh.600916,18.5500,19.98,18.11,19.98,57061776,1094009364.2300,3,31.701000,1,10.022000,62.614198,6.675149,0.964978,42.810482,0,18.848000000000006,19.501999999999995,17.484,1,1,1,-1,1,36.501077273886004,38.09905220586336,33.30512740993129,-1,1.54704131262352,1.6734775348389548,-0.1264362222154347
2021-04-06,sh.600916,20.5000,21.66,20.19,20.74,69683673,1451934632.8000,3,38.713200,1,3.803800,64.995919,6.929059,1.001684,44.438909,0,19.114000000000004,19.584999999999997,17.7235,1,1,1,-1,1,44.089834515366455,37.48663228818565,57.296238969728066,1,1.6019322342306168,1.6591684747172872,-0.05723624048667042
2021-04-07,sh.600916,20.6600,21.81,20.52,21.55,61873817,1314399385.8400,3,34.374300,1,3.905500,67.534332,7.199673,1.040805,46.174469,0,19.844,19.823999999999998,18.081500000000002,1,1,1,1,1,64.12529550827425,48.23873576584225,95.89841499313826,1,1.691297688660903,1.6655943175060104,0.02570337115489263
2021-04-08,sh.600916,20.7900,21.18,19.85,20.11,52177731,1058739899.4200,3,28.987600,1,-6.682100,63.021597,6.718581,0.971257,43.089029,0,20.108,19.726999999999997,18.362500000000004,1,1,1,1,1,68.53956900086567,58.918233008168805,87.7822409862594,1,1.6271675154805187,1.657908957100912,-0.030741441620393273
2021-04-09,sh.600916,20.1100,20.92,19.61,19.81,35076747,706886233.6200,3,19.487100,1,-1.491800,62.081444,6.618354,0.956768,42.446229,0,20.438000000000002,19.657999999999998,18.600500000000004,-1,1,1,1,1,66.32078910200924,66.3285512037164,66.30526489859491,-1,1.5344482343223191,1.6332168125451934,-0.09876857822287421
2021-04-12,sh.600916,19.5000,19.73,18.76,19.31,30414893,585948985.6200,3,16.897200,1,-2.524000,60.514522,6.451308,0.932619,41.374895,0,20.304000000000002,19.576,18.819000000000003,-1,-1,1,1,1,55.74589578872237,63.535417963865775,40.16685143843556,-1,1.4044322934226194,1.5874599087206787,-0.18302761529805922
2021-04-13,sh.600916,19.1500,19.16,18.4,18.55,28149865,524890684.1200,3,15.638800,1,-3.935800,58.132801,6.197399,0.895913,39.746468,0,19.866000000000003,19.490000000000002,18.977500000000003,-1,-1,-1,1,1,44.610992148465414,55.55922567973236,22.714525085931527,-1,1.225936245214335,1.51515517601941,-0.289218930805075
2021-04-14,sh.600916,18.7100,19.33,18.71,19.2,26868370,511033009.6000,3,14.926900,1,3.504000,60.169799,6.414558,0.927306,41.139202,0,19.396000000000004,19.619999999999997,19.189500000000002,-1,-1,1,-1,1,37.13650963597435,45.83113252438739,19.747263859148262,-1,1.1239699824276208,1.4369181373010522,-0.3129481548734314
