date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2016-12-13,sh.600926,22.5800,22.7,21.81,22.32,17034098,377255520.0000,3,6.507774,1,-1.890111,14.871518,1.683003,4.275775,3.872916,0,23.309999999999995,23.324,24.29650000000001,-1,-1,-1,-1,-1,28.175961222458337,38.18389800147753,8.160087664419947,-1,-0.8562943293983203,-0.7731631899028863,-0.08313113949543394
2016-12-14,sh.600926,22.3000,22.49,22.12,22.15,10606553,236248110.0000,3,4.052169,1,-0.761649,14.758250,1.670185,4.243209,3.843418,0,23.04,23.21,24.077500000000008,-1,-1,-1,-1,-1,12.47294921214584,26.568007698389426,-15.717167760341333,-1,-0.9143469620990103,-0.8013999443421111,-0.11294701775689919
2016-12-15,sh.600926,22.0900,22.33,21.99,22.24,9640535,213972196.0000,3,3.683108,1,0.406321,14.818215,1.676971,4.260450,3.859035,0,22.685999999999996,23.088,23.887000000000008,-1,-1,-1,-1,-1,17.204301075268834,19.284403836624318,13.04409555255787,-1,-0.9422303984075384,-0.8295660351551966,-0.11266436325234186
2016-12-16,sh.600926,22.1400,22.29,22.01,22.16,8575243,190056379.0000,3,3.276120,1,-0.359712,14.764913,1.670939,4.245124,3.845153,0,22.323999999999995,22.988000000000003,23.715500000000013,-1,-1,-1,-1,-1,15.05376344086023,14.910337909424948,15.340614503730794,1,-0.959720493539205,-0.8555969268319983,-0.10412356670720668
2016-12-19,sh.600926,22.1400,22.22,21.74,21.77,8366011,183379880.0000,3,3.196184,1,-1.759925,14.505061,1.641532,4.170413,3.777481,0,22.127999999999993,22.832,23.531500000000012,-1,-1,-1,-1,-1,10.876027830487066,14.378030782205357,3.8720219270504828,-1,-0.9935976849553079,-0.8831970784566602,-0.11040060649864769
2016-12-20,sh.600926,21.7000,21.88,21.41,21.54,7994103,172963442.0000,3,3.054099,1,-1.056498,14.351815,1.624189,4.126353,3.737572,0,21.97199999999999,22.641000000000002,23.332000000000015,-1,-1,-1,-1,-1,6.601087567643571,10.843626279663603,-1.883989856396493,-1,-1.0271641718487743,-0.911990497135083,-0.11517367471369133
2016-12-21,sh.600926,21.6300,21.94,21.5,21.83,9958199,216232795.0000,3,3.804470,1,1.346328,14.545038,1.646056,4.181907,3.787892,0,21.90799999999999,22.474,23.151000000000014,-1,-1,-1,-1,-1,6.79189138747961,8.08966892853673,4.196336305365371,-1,-1.018623223724294,-0.9333170424529251,-0.08530618127136891
2016-12-22,sh.600926,21.7500,21.77,21.51,21.61,6310354,136401457.0000,3,2.410832,1,-1.007784,14.398455,1.629467,4.139762,3.749718,0,21.78199999999999,22.234,22.994000000000014,-1,-1,-1,-1,-1,8.755447127796916,7.3828086943066795,11.50072399477739,1,-1.017873213384899,-0.9502282766393199,-0.06764493674557903
2016-12-23,sh.600926,21.5300,21.75,21.37,21.38,6986125,150530101.0000,3,2.669007,1,-1.064329,14.245209,1.612124,4.095702,3.709809,0,21.62599999999999,21.975,22.831500000000013,-1,-1,-1,-1,-1,7.501444064583288,7.6829275266199195,7.138477140510025,-1,-1.0240334820547723,-0.9649893177224104,-0.059044164332361926
2016-12-26,sh.600926,21.2100,21.48,20.82,21.45,9294161,196242362.0000,3,3.550778,1,0.327416,14.291849,1.617403,4.109112,3.721956,0,21.56199999999999,21.845000000000002,22.666000000000015,-1,-1,-1,-1,-1,15.181189468879603,10.479360220419919,24.584847965798975,1,-1.0116059605618837,-0.974312646290305,-0.03729331427157867
