date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2021-11-10,sh.600955,44.4800,44.49,43.36,44.14,7509959,329563147.5200,3,5.461800,1,-1.274900,11.150966,3.064420,2.737311,5.763283,0,44.02600000000001,45.54899999999999,45.57549999999999,1,-1,-1,-1,-1,20.11175811130347,13.62358693783768,33.08810045823505,1,-1.3155395355687958,-1.3009518750484048,-0.014587660520390955
2021-11-11,sh.600955,43.7700,45.12,43.7,44.6,7603959,339940372.7300,3,5.530200,1,1.042100,11.267174,3.096356,2.765837,5.823344,0,43.95000000000001,45.218999999999994,45.599,1,-1,-1,-1,-1,26.180658774430096,19.395381882310726,39.75121255866883,1,-1.243238007627106,-1.2894091015641451,0.04617109393703922
2021-11-12,sh.600955,44.9000,45.58,44.51,45.27,9292929,418778372.8700,3,6.758500,1,1.502200,11.436435,3.142870,2.807387,5.910825,0,44.44400000000001,44.88199999999999,45.617,1,1,-1,-1,-1,33.737914202572064,26.676777029435197,47.860188548845805,1,-1.118976263426326,-1.2553225339365812,0.13634627051025516
2021-11-15,sh.600955,45.4600,45.78,43.6,45.4,10508038,467961943.4300,3,7.642200,1,0.287200,11.469276,3.151896,2.815449,5.927799,0,44.82400000000001,44.51499999999999,45.644499999999994,1,1,-1,1,-1,55.33469966728203,38.41775754809472,89.16858390565666,1,-0.9984979594123118,-1.2039576190317274,0.2054596596194156
2021-11-16,sh.600955,45.1500,45.87,44.72,44.82,7824207,354675901.2900,3,5.690300,1,-1.277500,11.322752,3.111629,2.779481,5.852069,0,44.84600000000001,44.538999999999994,45.6665,-1,1,-1,1,-1,69.03618762555787,52.70293383180397,101.70269521306567,1,-0.9389950379265386,-1.1509651028106895,0.21197006488415093
2021-11-17,sh.600955,44.4000,45.33,44.17,45.18,6995188,313023679.7700,3,5.087400,1,0.803200,11.413698,3.136622,2.801806,5.899074,0,45.05400000000001,44.53999999999999,45.770999999999994,1,1,-1,1,-1,80.7633242999097,68.37807053091652,105.53383183789606,1,-0.8529571930254249,-1.0913635208536365,0.23840632782821158
2021-11-18,sh.600955,45.0800,45.15,44.22,44.37,6949620,309998241.2100,3,5.054300,1,-1.792800,11.209070,3.080388,2.751574,5.793313,0,45.00800000000001,44.47899999999999,45.73949999999999,-1,-1,-1,1,-1,70.7317073170732,73.51040641418024,65.17430912285914,-1,-0.8404436998063076,-1.0411795566441708,0.2007358568378632
2021-11-19,sh.600955,44.1600,48.0,43.63,46.71,15259495,699169964.4900,3,11.097800,1,5.273800,11.800218,3.242842,2.896688,6.098843,0,45.29600000000001,44.86999999999999,45.81999999999999,1,1,1,1,-1,71.38723337952067,74.29408833216783,65.57352347422633,-1,-0.6343953082550797,-0.9598227069663526,0.3254273987112729
2021-11-22,sh.600955,47.8700,50.93,47.02,49.65,21085331,1035038602.5500,3,15.334800,1,6.294200,12.542942,3.446952,3.079010,6.482714,0,46.14600000000001,45.484999999999985,46.00249999999999,1,1,1,1,1,71.98401213462655,71.36765094374012,73.21673451639944,1,-0.23120189255818957,-0.81409854408472,0.5828966515265305
2021-11-23,sh.600955,49.3500,49.99,48.89,48.98,11697586,577911463.7100,3,8.507300,1,-1.349400,12.373682,3.400437,3.037460,6.395233,0,46.97800000000001,45.91199999999999,46.01199999999999,1,1,1,1,1,76.66648051456275,73.34590867623665,83.30762419121496,1,0.03387787065228309,-0.6445032611373194,0.6783811317896025
2021-11-24,sh.600955,48.7500,49.3,47.9,48.2,9776847,474175567.2400,3,7.110400,1,-1.592500,12.176632,3.346286,2.989089,6.293390,0,47.58200000000001,46.31799999999999,45.933499999999995,1,1,1,1,1,73.08131533307743,73.91060266075556,71.42274067772115,-1,0.1789531509949427,-0.47981197871086695,0.6587651297058097
2021-11-25,sh.600955,48.2500,48.93,47.24,47.37,10121023,484812647.8000,3,7.360700,1,-1.722000,11.966952,3.288663,2.937617,6.185018,0,48.182,46.594999999999985,45.907,-1,1,1,1,1,62.52842201000454,70.75873928588156,46.06778745825051,-1,0.22436594156545908,-0.3389763946556017,0.5633423362210608
2021-11-26,sh.600955,47.3000,48.48,47.15,47.38,8518662,406508342.5500,3,6.195400,1,0.021100,11.969478,3.289357,2.938237,6.186324,0,48.316,46.80599999999999,45.844,-1,1,1,1,1,55.18604346932293,63.59859360413495,38.36094319969891,-1,0.25818660720828035,-0.21954379428282528,0.4777304014911056
2021-11-29,sh.600955,46.3900,48.45,46.13,48.32,9791368,464688063.0900,3,7.121000,1,1.984000,12.206948,3.354617,2.996531,6.309058,0,48.05,47.09799999999999,45.8065,1,1,1,1,1,55.68296922013119,57.79914489981954,51.450617860754505,-1,0.35672773718817297,-0.10428948798862561,0.46101722517679855
2021-11-30,sh.600955,49.0000,49.4,47.58,48.02,10920303,530371792.0300,3,7.942000,1,-0.620900,12.131159,3.333789,2.977926,6.269888,0,47.858000000000004,47.41799999999999,45.9785,1,1,1,1,1,58.58447488584477,56.48449585843295,62.78443294066841,1,0.4059354289138639,-0.0022445046081277092,0.4081799335219916
2021-12-01,sh.600955,47.5000,48.89,47.38,48.63,7547039,365459136.9300,3,5.488800,1,1.270300,12.285262,3.376138,3.015755,6.349534,0,47.944,47.76299999999999,46.1515,1,1,1,1,1,64.2922374429224,59.51989384963277,73.83692462950167,1,0.4885233876287032,0.09590907383923847,0.3926143137894647
2021-12-02,sh.600955,48.2900,48.79,46.91,46.97,8274840,394895593.5200,3,6.018100,1,-3.413500,11.865901,3.260893,2.912811,6.132791,0,47.864000000000004,48.02299999999999,46.251,-1,-1,1,-1,1,48.71004566210047,57.19558599695586,31.738964992389683,-1,0.4152401827741983,0.15977529562623044,0.25546488714796783
2021-12-03,sh.600955,47.2900,47.85,46.7,47.5,5384894,254891258.8800,3,3.916300,1,1.128400,11.999793,3.297688,2.945679,6.201992,0,47.888000000000005,48.10199999999999,46.486000000000004,-1,-1,1,-1,1,40.495126221402025,51.165803108808284,19.153772446589514,-1,0.3953716868594199,0.20689457387286833,0.1884771129865516
2021-12-06,sh.600955,47.5000,48.99,47.05,47.76,7390331,355834259.2300,3,5.374800,1,0.547400,12.065476,3.315739,2.961803,6.235940,0,47.776,47.913,46.699,-1,-1,1,-1,1,34.2797742601659,41.161648714556115,20.516025351385466,-1,0.3960402819477338,0.24472371548784141,0.15131656645989236
2021-12-07,sh.600955,48.0000,48.98,47.1,48.98,11653541,563604553.7100,3,8.475300,1,2.554400,12.373682,3.400437,3.037460,6.395233,0,47.968,47.913,46.9125,1,1,1,1,1,57.49842869441667,44.09110972532818,84.31306663259363,1,0.4893727677639603,0.2936535259430652,0.19571924182089512
2021-12-08,sh.600955,49.2000,49.2,48.38,48.58,7700473,374872811.1100,3,5.600300,1,-0.816700,12.272631,3.372667,3.012654,6.343006,0,47.958000000000006,47.95099999999999,47.1345,1,1,1,1,1,70.64220183486235,54.14013492981496,103.6463356449571,1,0.5250107806654043,0.33992497688753304,0.18508580377787126
