date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600962,15.1400,15.17,14.88,15.0,5649817,84699701.0000,3,3.560061,1,-0.728000,136.063253,3.007432,3.234362,-24.702709,0,14.865999999999996,14.596000000000004,14.229,1,1,1,1,1,91.4249701127917,86.70205847932324,100.87079337972861,1,0.19042398066965838,0.026320644508893584,0.16410333616076478
2010-02-26,sh.600962,14.9000,16.15,14.87,15.98,11710152,183203429.0000,3,7.378798,1,6.533300,144.952718,3.203917,3.445673,-26.316619,0,15.103999999999996,14.862000000000004,14.309000000000001,1,1,1,1,1,92.1072984466352,89.72521555792338,96.87146422405885,1,0.28816407391274623,0.07868933038966411,0.20947474352308212
2010-03-01,sh.600962,15.7600,15.98,15.53,15.95,5992421,94447983.0000,3,3.775943,1,-0.187700,144.680592,3.197903,3.439205,-26.267214,0,15.405999999999997,14.992,14.4165,1,1,1,1,1,90.67377125553226,91.40201327165305,89.2172872232907,-1,0.3590639865799776,0.1347642616277268,0.2242997249522508
2010-03-02,sh.600962,15.9500,16.44,15.61,16.06,7333412,117056922.0000,3,4.620928,1,0.689700,145.678389,3.219957,3.462923,-26.448367,0,15.619999999999996,15.155000000000001,14.542499999999999,1,1,1,1,1,88.58441775108439,90.45516248441727,84.8429282844186,-1,0.4192953826972676,0.19167048584163499,0.22762489685563264
2010-03-03,sh.600962,15.9800,16.82,15.9,16.49,6480320,106546063.0000,3,4.083377,1,2.677500,149.578869,3.306170,3.555642,-27.156511,0,15.895999999999995,15.360000000000003,14.689499999999999,1,1,1,1,1,86.91099954120779,88.72306284927481,83.28687292507374,-1,0.49600892230258253,0.2525381731338245,0.24347074916875805
2010-03-04,sh.600962,16.3700,16.49,15.4,15.45,6201806,98896860.0000,3,3.907880,1,-6.306900,140.145150,3.097655,3.331393,-25.443790,0,15.985999999999995,15.426000000000002,14.769499999999997,-1,1,1,1,1,72.15887762762752,82.55143163997325,51.37376960293605,-1,0.4674966365540101,0.2955298658178616,0.17196677073614847
2010-03-05,sh.600962,15.4900,15.82,15.02,15.43,3946159,60985408.0000,3,2.486553,1,-0.129400,139.963732,3.093645,3.327080,-25.410853,0,15.875999999999994,15.490000000000004,14.847999999999995,-1,-1,1,1,1,59.76562499999992,72.94516738961174,33.40654022077629,-1,0.43823491254525493,0.32407087516334027,0.11416403738191466
2010-03-08,sh.600962,15.4800,15.9,15.48,15.79,2953875,46463970.0000,3,1.861295,1,2.333100,143.229250,3.165823,3.404705,-26.003718,0,15.843999999999994,15.625000000000004,14.922999999999996,-1,1,1,1,1,47.23243464052282,59.718979089383424,22.2593457428016,-1,0.439032879062097,0.3470632759430916,0.09196960311900537
2010-03-09,sh.600962,15.8500,15.95,15.5,15.54,2370393,37159197.0000,3,1.493631,1,-1.583300,140.961530,3.115699,3.350799,-25.592006,0,15.739999999999991,15.680000000000001,15.007499999999997,-1,-1,1,1,1,43.1906344268476,50.062898022456785,29.446107235629242,-1,0.4147118228680302,0.3605929853280793,0.05411883753995089
2010-03-10,sh.600962,15.5800,15.62,14.8,15.02,4043290,61036957.0000,3,2.547757,1,-3.346200,136.244670,3.011442,3.238674,-24.735646,0,15.445999999999993,15.671000000000001,15.073999999999995,-1,-1,-1,-1,1,31.58662246315122,40.66989717684056,13.420073035772546,-1,0.34944932217047864,0.3583642526965592,-0.008914930526080556
2010-03-11,sh.600962,14.8800,15.43,14.88,15.32,3110878,47158982.0000,3,1.960226,1,1.997300,138.965935,3.071590,3.303361,-25.229700,0,15.419999999999993,15.703,15.149499999999994,-1,-1,1,-1,1,23.664212575103594,32.81382315503415,5.364991415242486,-1,0.3182670287787168,0.3503448079129907,-0.0320777791342739
2010-03-12,sh.600962,15.3000,15.7,15.23,15.32,3274422,50814686.0000,3,2.063278,1,0.000000,138.965935,3.071590,3.303361,-25.229700,0,15.397999999999993,15.637,15.249499999999994,-1,-1,1,-1,1,20.792079207920725,25.347638082058523,11.680961459645133,-1,0.2902094823460981,0.3383177427996122,-0.04810826045351407
2010-03-15,sh.600962,15.2000,15.47,14.89,14.99,1920768,29000712.0000,3,1.210314,1,-2.154000,135.972544,3.005427,3.232205,-24.686240,0,15.237999999999994,15.541000000000002,15.266499999999997,-1,-1,-1,-1,-1,20.297029702970246,21.584440495331535,17.722208118247664,-1,0.23859505727956076,0.3183732056956019,-0.07977814841604114
2010-03-16,sh.600962,14.9900,14.99,14.99,14.99,0,0.0000,3,,0,0.000000,135.972544,3.005427,3.232205,-24.686240,0,15.127999999999995,15.434000000000003,15.294499999999996,-1,-1,-1,-1,-1,15.463706133926948,18.850938348272653,8.689241705235538,-1,0.19543737317011356,0.2937860391905042,-0.09834866602039066
