date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600966,9.5500,9.62,9.49,9.57,6384669,60948234.0000,3,1.628810,1,0.525200,37.428682,1.726598,1.722736,4.911543,0,9.440000000000001,9.280999999999997,9.363000000000001,1,1,1,1,1,96.00665936872842,89.2413876034566,109.53720289927205,1,-0.27297139210637233,-0.4221538609346902,0.14918246882831787
2010-02-26,sh.600966,9.5800,9.84,9.56,9.69,9209619,89831833.0000,3,2.349490,1,1.253900,37.898007,1.748248,1.744338,4.973130,0,9.504000000000001,9.339999999999998,9.334,1,1,1,1,1,91.83693571991449,91.95401298971859,91.6027811803063,-1,-0.2290988501416127,-0.3835428587760747,0.154444008634462
2010-03-01,sh.600966,9.7600,9.89,9.75,9.77,6690568,65677178.0000,3,1.706848,1,0.825600,38.210891,1.762681,1.758739,5.014188,0,9.602,9.417999999999997,9.325500000000002,1,1,1,1,1,87.82058170356044,91.88805893073446,79.68562724921239,-1,-0.18573319646390374,-0.3439809263136405,0.15824772984973678
2010-03-02,sh.600966,9.7900,9.82,9.6,9.73,5741247,55540571.0000,3,1.464665,1,-0.409400,38.054449,1.755465,1.751538,4.993659,0,9.656,9.490999999999998,9.3415,1,1,1,1,1,83.86088671445363,87.83946804597618,75.90372405140855,-1,-0.15283152254018617,-0.30575104555894966,0.1529195230187635
2010-03-03,sh.600966,9.6900,9.92,9.63,9.89,6425943,63024162.0000,3,1.639339,1,1.644400,38.680216,1.784331,1.780340,5.075774,0,9.73,9.560999999999998,9.370500000000002,1,1,1,1,1,88.04367201426025,86.57504681075811,90.98092242126452,1,-0.11254865524906421,-0.2671105674969726,0.15456191224790838
2010-03-04,sh.600966,9.8900,9.94,9.42,9.57,6990234,67895704.0000,3,1.783297,1,-3.235600,37.428682,1.726598,1.722736,4.911543,0,9.73,9.584999999999999,9.384500000000001,-1,-1,1,1,1,78.88542285601116,83.59666052824169,69.46294751155011,-1,-0.10523246400674324,-0.23473494679892673,0.1295024827921835
2010-03-05,sh.600966,9.5800,9.88,9.5,9.73,4581813,44325292.0000,3,1.168878,1,1.671900,38.054449,1.755465,1.751538,4.993659,0,9.738000000000003,9.620999999999999,9.407,-1,1,1,1,1,77.38215488215498,81.43708325080878,69.27229814484738,-1,-0.08553764221852411,-0.2048954858828462,0.11935784366432209
2010-03-08,sh.600966,9.8000,10.04,9.7,9.75,9895062,97323275.0000,3,2.524355,1,0.205500,38.132670,1.759073,1.755138,5.003923,0,9.734000000000004,9.668,9.4375,1,1,1,1,1,65.45545545545554,73.90767773120722,48.551010903952175,-1,-0.0675369967466306,-0.17742378805560308,0.10988679130897247
2010-03-09,sh.600966,9.7500,9.77,9.54,9.69,4796029,46439910.0000,3,1.223528,1,-0.615400,37.898007,1.748248,1.744338,4.973130,0,9.726000000000003,9.690999999999999,9.466,-1,-1,1,1,1,60.34195485808393,67.72652173189813,45.57282111045552,-1,-0.057450599334217145,-0.1534291503113259,0.09597855097710875
2010-03-10,sh.600966,9.7700,9.89,9.64,9.68,5796506,56631770.0000,3,1.478762,1,-0.103200,37.858897,1.746444,1.742537,4.967998,0,9.684000000000001,9.706999999999999,9.4845,-1,-1,1,-1,1,48.76489392618425,58.18743474657456,29.919812285403637,-1,-0.049691164332077875,-0.1326815531154763,0.08299038878339843
