date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600976,15.4600,15.65,15.22,15.51,7431714,114582793.0000,3,4.851033,1,0.258600,63.464173,3.127491,1.782027,70.244625,0,14.992000000000004,14.418000000000003,14.458000000000004,1,1,1,1,1,94.07088199432066,90.24755180626704,101.7175423704279,1,-0.01985192550898418,-0.2877679821540215,0.2679160566450373
2010-02-26,sh.600976,14.9800,15.36,14.78,14.93,13978726,210530296.0000,3,9.124578,1,-3.739500,46.875623,2.949879,1.493117,45.871754,0,15.102000000000004,14.520000000000005,14.446500000000004,-1,1,1,1,1,84.42318551735588,90.19713484415077,72.87528686376609,-1,-0.0007930202454247137,-0.23037298977230214,0.22957996952687743
2010-03-01,sh.600976,14.8600,15.17,14.86,14.96,4806557,72155993.0000,3,3.137468,1,0.200900,46.969814,2.955807,1.496117,45.963927,0,15.246000000000004,14.645000000000005,14.464500000000001,-1,1,1,1,1,75.48476555373104,84.65961102180256,57.135074617587975,-1,0.016541370149051104,-0.18099011778803148,0.19753148793708258
2010-03-02,sh.600976,14.9600,15.03,14.82,14.91,3643007,54323885.0000,3,2.377964,1,-0.334200,46.812829,2.945928,1.491117,45.810305,0,15.156000000000002,14.774000000000004,14.486500000000001,-1,1,1,1,1,64.36810879001547,74.7586866203675,43.58695312931141,-1,0.025945335613110743,-0.13960302710780303,0.16554836272091378
2010-03-03,sh.600976,14.9900,15.15,14.72,15.09,4531557,67700894.0000,3,2.957962,1,1.207200,47.377974,2.981492,1.509118,46.363347,0,15.080000000000004,14.907000000000005,14.523499999999999,1,1,1,1,1,63.27878417127909,67.71055283834191,54.41524683715346,-1,0.04737641584149621,-0.10220713851794319,0.1495835543594394
2010-03-04,sh.600976,15.1000,15.28,14.31,14.41,4897834,72730195.0000,3,3.197049,1,-4.506300,45.242983,2.847137,1.441113,44.274077,0,14.860000000000005,14.926000000000005,14.516499999999999,-1,-1,-1,-1,1,47.053277876807265,58.23339027936731,24.69305307168716,-1,0.00938223179431752,-0.07988926445549105,0.08927149624980857
2010-03-05,sh.600976,14.4400,15.0,14.26,14.9,4266788,62312924.0000,3,2.785135,1,3.400400,46.781433,2.943952,1.490117,45.779580,0,14.854000000000005,14.978000000000005,14.528499999999998,1,-1,1,-1,1,42.258397203805565,50.863486417297345,25.048218776821997,-1,0.01859610774830145,-0.06019219001473255,0.078788297763034
2010-03-08,sh.600976,15.0000,15.09,14.77,14.94,3968598,59251367.0000,3,2.590492,1,0.268500,46.907020,2.951855,1.494117,45.902478,0,14.850000000000005,15.048000000000005,14.539999999999997,1,-1,1,-1,1,37.43245403677055,42.248043039127836,27.80127603205598,-1,0.028793918165261445,-0.042394968378733744,0.07118888654399519
2010-03-09,sh.600976,14.9500,15.0,14.79,14.9,2920000,43476592.0000,3,1.906023,1,-0.267700,46.781433,2.943952,1.490117,45.779580,0,14.848000000000008,15.002000000000006,14.571499999999997,1,-1,1,-1,1,47.00239808153475,42.23108310737033,56.54502802986359,1,0.03326463666099677,-0.027263047370787642,0.060527684031784414
2010-03-10,sh.600976,14.8700,14.94,14.46,14.55,2580325,37881467.0000,3,1.684301,1,-2.349000,45.682540,2.874799,1.455114,44.704221,0,14.740000000000006,14.910000000000007,14.594999999999999,-1,-1,-1,-1,1,40.4425550468716,41.625802388392344,38.076060363830095,-1,0.008468024238441174,-0.02011683304894188,0.028584857287383053
