date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.600997,20.3000,20.88,20.3,20.83,7312244,150759130.0000,3,1.020466,1,2.712000,59.612331,5.366318,2.876839,32.729613,0,20.522,20.320000000000004,20.516000000000002,1,1,1,1,1,49.222619109247375,45.12569047797084,57.41647637180044,1,-1.0910922894376682,-1.5153257476198259,0.42423345818215763
2010-02-26,sh.600997,20.7400,20.84,20.55,20.58,5898207,121910159.0000,3,0.823129,1,-1.200200,58.896869,5.301912,2.842312,32.336794,0,20.467999999999996,20.394000000000005,20.453000000000003,1,1,1,1,1,60.813761981858455,49.78228726152175,82.87671142253187,1,-1.003290412342814,-1.4129186805644234,0.40962826822160947
2010-03-01,sh.600997,20.6100,20.95,20.57,20.9,8191308,170238217.0000,3,1.143145,1,1.554900,59.812661,5.384352,2.886507,32.839602,0,20.528,20.491000000000007,20.419500000000003,1,1,1,1,1,75.11004624728348,61.7154757794631,101.89918718292422,1,-0.8975391933956445,-1.3098427831306676,0.4123035897350231
2010-03-02,sh.600997,21.3700,22.75,21.37,21.63,28806356,631305077.0000,3,4.020095,1,3.492800,61.901811,5.572418,2.987328,33.986631,0,20.843999999999998,20.645000000000003,20.473000000000003,1,1,1,1,1,69.06677670036436,68.33019497650209,70.5399401480889,1,-0.746223689167568,-1.1971189643380478,0.4508952751704798
2010-03-03,sh.600997,21.4000,22.14,21.15,21.87,11873981,257491038.0000,3,1.657083,1,1.109600,62.588655,5.634248,3.020474,34.363736,0,21.162,20.793000000000006,20.541500000000003,1,1,1,1,1,72.3884189533044,72.18841396698407,72.78842892594506,1,-0.6000223831294171,-1.0776996480963217,0.47767726496690455
2010-03-04,sh.600997,21.8800,22.21,21.32,21.41,11176396,243784547.0000,3,1.559731,1,-2.103300,61.272204,5.515740,2.956944,33.640951,0,21.278,20.900000000000006,20.578500000000002,1,1,1,1,1,62.3873873873874,67.94752768035205,51.267106801458084,-1,-0.5153344951151446,-0.9652266175000863,0.4498921223849417
2010-03-05,sh.600997,21.3800,21.59,21.0,21.12,6616818,140628774.0000,3,0.923416,1,-1.354500,60.442268,5.441029,2.916891,33.185282,0,21.386,20.927000000000007,20.613000000000003,-1,1,1,1,1,56.64414414414418,63.80665016161199,42.31913210920855,-1,-0.466244731057067,-0.8654302402114824,0.3991855091544154
2010-03-08,sh.600997,21.3000,21.57,21.11,21.38,5543713,118477692.0000,3,0.773658,1,1.231100,61.186349,5.508012,2.952800,33.593813,0,21.482,21.005000000000006,20.6975,-1,1,1,1,1,51.12612612612614,56.719219219219234,39.93993993993995,-1,-0.4017300186918291,-0.7726901959075517,0.3709601772157226
2010-03-09,sh.600997,21.4500,22.4,21.11,22.0,14038325,307094070.0000,3,1.959130,1,2.899900,62.960696,5.667739,3.038429,34.568002,0,21.556,21.200000000000006,20.802500000000002,1,1,1,1,1,56.01213458356316,54.594134951277816,58.848133848133855,1,-0.2971474945459356,-0.6775816556352285,0.38043416108929295
2010-03-10,sh.600997,21.9000,22.3,21.8,22.08,15123865,334116869.0000,3,2.110624,1,0.363600,63.189644,5.688349,3.049477,34.693704,0,21.598,21.380000000000006,20.842000000000002,1,1,1,1,1,64.21647528790383,57.118245332531025,78.41293519864944,1,-0.20544155688694943,-0.5831536358855727,0.37771207899862325
