date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.601003,7.6600,7.81,7.65,7.78,11672478,90244112.0000,3,2.846668,1,-0.384100,73.786847,4.119508,0.750542,85.880248,0,7.722000000000001,7.593000000000002,7.4689999999999985,1,1,1,1,1,58.695933695933654,58.63368730035389,58.82042648709317,1,-0.2368255982655798,-0.4228241583567689,0.1859985600911891
2010-02-26,sh.601003,7.7800,7.78,7.78,7.78,0,0.0000,3,,0,0.000000,73.786847,4.119508,0.750542,85.880248,0,7.726000000000002,7.640000000000002,7.462999999999998,1,1,1,1,1,63.66219550430074,60.2373251180268,70.51193627684862,1,-0.20550109015015217,-0.37935954471544553,0.17385845456529336
2010-03-01,sh.601003,7.7000,7.75,7.5,7.69,12400473,94646065.0000,3,3.024211,1,-1.156800,72.933272,4.071853,0.741860,84.886774,0,7.730000000000001,7.684000000000002,7.463499999999998,-1,1,1,1,1,55.6295902494733,59.329239816569206,48.2302911152815,-1,-0.18579669102666774,-0.34064697397768995,0.1548502829510222
2010-03-02,sh.601003,7.6500,7.68,7.53,7.57,7909167,59887415.0000,3,1.928877,1,-1.560500,71.795171,4.008313,0.730283,83.562143,0,7.726000000000002,7.706000000000003,7.477499999999997,-1,-1,1,1,1,43.92083604071912,54.40420726483102,22.954093592495312,-1,-0.17781407984984465,-0.3080803951521209,0.13026631530227623
2010-03-03,sh.601003,7.5300,7.64,7.4,7.59,12205912,91737990.0000,3,0.476274,1,0.264200,71.984855,4.018903,0.732212,83.782915,0,7.682000000000002,7.724000000000004,7.492499999999998,-1,-1,1,-1,1,36.49512891576386,45.348518401985395,18.78834994332078,-1,-0.16793808442811908,-0.2800519330073205,0.11211384857920142
2010-03-04,sh.601003,7.5900,7.63,7.2,7.26,12654296,93725873.0000,3,0.493770,1,-4.347800,68.855078,3.844168,0.700377,80.140180,0,7.578000000000001,7.650000000000004,7.487999999999998,-1,-1,-1,-1,1,24.990387459331547,35.13545080527148,4.700260767451681,-1,-0.1846114431782988,-0.26096383504151616,0.07635239186321735
2010-03-05,sh.601003,7.2700,7.43,7.27,7.34,5778112,42435755.0000,3,0.225462,1,1.101900,69.613812,3.886528,0.708095,81.023267,0,7.49,7.608000000000004,7.4899999999999975,-1,-1,-1,-1,1,22.587005816819442,28.02417406397159,11.712669322515147,-1,-0.1891890154962077,-0.24660887113245447,0.05741985563624677
2010-03-08,sh.601003,7.3500,7.5,7.35,7.43,5706726,42357874.0000,3,0.222676,1,1.226200,70.467387,3.934183,0.716777,82.016740,0,7.438,7.584000000000003,7.505999999999998,-1,-1,-1,-1,-1,20.772946859903346,22.783446712018087,16.751947155673868,-1,-0.18343994519831686,-0.23397508594562694,0.05053514074731008
2010-03-09,sh.601003,7.4300,7.6,7.28,7.48,7301323,54387431.0000,3,0.284897,1,0.672900,70.941596,3.960658,0.721601,82.568670,0,7.419999999999999,7.573000000000003,7.529499999999997,1,-1,-1,-1,-1,33.174942583353136,25.511631753358614,48.50156424334219,1,-0.17285660014785176,-0.2217513887860719,0.04889478863822014
2010-03-10,sh.601003,7.4500,7.66,7.4,7.51,7346650,55410930.0000,3,0.286666,1,0.401100,71.226121,3.976543,0.724495,82.899828,0,7.403999999999999,7.543000000000004,7.541999999999997,1,-1,-1,-1,-1,44.22774951322153,32.72521298549265,67.2328225686793,1,-0.16020176741432124,-0.20944146451172177,0.04923969709740053
2010-03-11,sh.601003,7.5200,7.72,7.48,7.64,13446692,102388505.0000,3,0.524689,1,1.731000,72.459063,4.045378,0.737036,84.334845,0,7.4799999999999995,7.5290000000000035,7.560999999999997,1,1,1,-1,-1,59.78330506877708,45.7286657217839,87.89258376276345,1,-0.13809098088617766,-0.19517136778661295,0.05708038690043529
2010-03-12,sh.601003,7.6100,7.66,7.3,7.37,9472734,70771486.0000,3,0.369625,1,-3.534000,69.898337,3.902413,0.710989,81.354425,0,7.486,7.488000000000004,7.563999999999997,-1,-1,-1,-1,-1,55.38019451812553,53.13041636670803,59.87975082096051,1,-0.1407324902343703,-0.18428359227616442,0.04355110204179413
2010-03-15,sh.601003,7.3000,7.37,7.15,7.17,5670032,40952843.0000,3,0.221244,1,-2.713700,68.001503,3.796513,0.691695,79.146706,0,7.434,7.436000000000004,7.559999999999997,-1,-1,-1,-1,-1,38.73369320737739,51.299064264759984,13.602951092612201,-1,-0.1571526757324202,-0.1788574089674156,0.021704733234995388
2010-03-16,sh.601003,7.1400,7.38,7.14,7.24,4430279,32188430.0000,3,0.172869,1,0.976300,68.665395,3.833578,0.698448,79.919408,0,7.386,7.403000000000004,7.554499999999997,-1,-1,-1,-1,-1,17.81415297749238,37.30934690099842,-21.176234869519703,-1,-0.16264253416271668,-0.1756144340064758,0.012971899843759127
2010-03-17,sh.601003,7.2800,7.38,7.26,7.35,5014259,36738549.0000,3,0.195656,1,1.519300,69.708654,3.891823,0.709059,81.133653,0,7.354000000000001,7.379000000000003,7.551499999999997,-1,-1,-1,-1,-1,18.985682597297856,25.177842927389197,6.601361937115179,-1,-0.1563153003498421,-0.17175460727514907,0.015439306925306984
2010-03-18,sh.601003,7.3500,7.46,7.3,7.33,4088956,30101438.0000,3,0.159551,1,-0.272100,69.518970,3.881233,0.707130,80.912881,0,7.292,7.386000000000003,7.517999999999998,1,-1,-1,-1,-1,28.735632183908105,21.8451559195661,42.51658471259211,1,-0.15117213653234973,-0.16763811312658922,0.016465976594239484
2010-03-19,sh.601003,7.3300,7.48,7.24,7.45,7076591,52206678.0000,3,0.276128,1,1.637100,70.657071,3.944773,0.718707,82.237512,0,7.308,7.397000000000003,7.502499999999998,1,1,-1,-1,-1,40.804597701149476,29.508637494118464,63.3965181152115,1,-0.13584718326756295,-0.16127992715478395,0.025432743887221
2010-03-22,sh.601003,7.4100,7.48,7.38,7.4,5028590,37249857.0000,3,0.196215,1,-0.671100,70.182862,3.918298,0.713883,81.685583,0,7.353999999999999,7.394000000000003,7.488999999999999,1,1,-1,-1,-1,43.67816091954032,37.73946360153262,55.55555555555571,1,-0.12628094144167612,-0.1542801300121624,0.027999188570486278
2010-03-23,sh.601003,7.4000,7.54,7.3,7.37,6180592,45764512.0000,3,0.241166,1,-0.405400,69.898337,3.902413,0.710989,81.354425,0,7.379999999999998,7.383000000000003,7.477999999999999,-1,-1,-1,-1,-1,45.97701149425296,43.48659003831424,50.95785440613041,1,-0.11974008597761365,-0.14737212120525264,0.02763203522763899
2010-03-24,sh.601003,7.3700,7.4,7.24,7.27,6051367,44161558.0000,3,0.236124,1,-1.356900,68.949920,3.849463,0.701342,80.250566,0,7.363999999999999,7.359000000000002,7.450999999999999,-1,-1,-1,1,-1,36.49425287356327,42.04980842911884,25.383141762452126,-1,-0.1212281327111544,-0.142143323506433,0.020915190795278593
2010-03-25,sh.601003,7.2200,7.35,7.16,7.25,5044800,36466424.0000,3,0.196848,1,-0.275100,68.760237,3.838873,0.699412,80.029794,0,7.347999999999999,7.320000000000002,7.424499999999999,-1,-1,-1,1,-1,30.718390804597732,37.729885057471314,16.695402298850567,-1,-0.12260790570511126,-0.13823623994616865,0.01562833424105739
2010-03-26,sh.601003,7.2300,7.33,7.18,7.29,3197576,23248134.0000,3,0.124769,1,0.551700,69.139604,3.860053,0.703271,80.471337,0,7.316,7.312000000000002,7.399999999999999,-1,-1,-1,1,-1,30.00000000000003,32.404214559387,25.191570881226085,-1,-0.1191008001510303,-0.13440915198714098,0.015308351836110679
2010-03-29,sh.601003,7.2900,7.42,7.28,7.41,6299112,46460873.0000,3,0.245791,1,1.646100,70.277704,3.923593,0.714848,81.795968,0,7.3180000000000005,7.336000000000001,7.385999999999998,1,1,1,-1,-1,43.59649122807022,34.77162734422265,61.24621899576536,1,-0.10542314423086996,-0.12861195043588677,0.023188806205016815
2010-03-30,sh.601003,7.4000,7.4,7.3,7.33,5265379,38602523.0000,3,0.205455,1,-1.079600,69.518970,3.881233,0.707130,80.912881,0,7.3100000000000005,7.3450000000000015,7.374,1,-1,-1,-1,-1,49.34210526315792,40.97953216374271,66.06725146198833,1,-0.09988739507141808,-0.12286703936299304,0.022979644291574952
2010-03-31,sh.601003,7.3500,7.36,7.22,7.25,4714643,34226361.0000,3,0.183965,1,-1.091400,68.760237,3.838873,0.699412,80.029794,0,7.306,7.335000000000003,7.356999999999999,-1,-1,-1,-1,-1,44.73684210526315,45.89181286549709,42.42690058479528,-1,-0.10079371815080584,-0.11845237512055559,0.017658656969749748
2010-04-01,sh.601003,7.2600,7.32,7.24,7.29,6742632,49107671.0000,3,0.263097,1,0.551700,69.139604,3.860053,0.703271,80.471337,0,7.314,7.331000000000003,7.358499999999999,-1,-1,-1,-1,-1,34.21052631578946,42.76315789473683,17.105263157894726,-1,-0.09716427078393508,-0.11419475425323149,0.017030483469296406
2010-04-02,sh.601003,7.3000,7.43,7.29,7.37,7680999,56628331.0000,3,0.299712,1,1.097400,69.898337,3.902413,0.710989,81.354425,0,7.33,7.323000000000003,7.359999999999999,1,1,1,1,-1,37.71929824561402,38.888888888888864,35.380116959064324,-1,-0.08683163514568637,-0.10872213043172246,0.021890495286036094
2010-04-06,sh.601003,7.4000,7.54,7.34,7.49,10448848,78010497.0000,3,0.407713,1,1.628200,71.036438,3.965953,0.722565,82.679056,0,7.345999999999999,7.3320000000000025,7.3629999999999995,1,1,1,1,-1,58.771929824561404,43.567251461988285,89.18128654970765,1,-0.06817408146733506,-0.10061252063884499,0.03243843917150993
2010-04-07,sh.601003,7.5000,7.5,7.34,7.43,7084576,52584624.0000,3,0.276440,1,-0.801100,70.467387,3.934183,0.716777,82.016740,0,7.366,7.338000000000003,7.3605,1,1,1,1,1,71.05263157894734,55.84795321637424,101.46198830409354,1,-0.057565752158458494,-0.0920031669427677,0.0344374147843092
2010-04-08,sh.601003,7.3800,7.38,7.19,7.26,9870350,71743205.0000,3,0.385140,1,-2.288000,68.855078,3.844168,0.700377,80.140180,0,7.367999999999999,7.337000000000003,7.348000000000001,-1,-1,-1,1,1,60.0389863547758,63.287849252761504,53.541260558804396,-1,-0.06215961663545322,-0.0860344568813048,0.023874840245851583
2010-04-09,sh.601003,7.3000,7.3,7.19,7.3,4855829,35211800.0000,3,0.189474,1,0.551000,69.234445,3.865348,0.704236,80.581723,0,7.369999999999999,7.342000000000003,7.331000000000001,-1,-1,-1,1,1,41.56780840991359,57.55314211454557,9.597141000649614,-1,-0.06185954331531551,-0.08119947416810694,0.019339930852791426
2010-04-12,sh.601003,7.3000,7.35,7.16,7.2,6398659,46139221.0000,3,0.249675,1,-1.369900,68.286028,3.812398,0.694589,79.477864,0,7.3359999999999985,7.333000000000003,7.322500000000001,-1,-1,-1,1,1,21.392369813422395,40.999721526037256,-17.822333611807323,-1,-0.06889669905235518,-0.07873891914495659,0.009842220092601411
2010-04-13,sh.601003,7.2000,7.27,7.11,7.22,4979631,35798161.0000,3,0.194305,1,0.277800,68.475712,3.822988,0.696518,79.698636,0,7.281999999999998,7.314000000000003,7.325000000000001,-1,-1,-1,-1,-1,22.512094188960685,28.490757470765548,10.554767625350955,-1,-0.07202955099388308,-0.07739704551474189,0.005367494520858801
2010-04-14,sh.601003,7.2300,7.34,7.16,7.2,7057882,51021305.0000,3,0.275398,1,-0.277000,68.286028,3.812398,0.694589,79.477864,0,7.235999999999999,7.301000000000004,7.323,-1,-1,-1,-1,-1,19.012647898816756,20.972370633733274,15.093202428983723,-1,-0.07525865663475084,-0.07696936773874367,0.0017107111039928319
2010-04-15,sh.601003,7.2600,7.3,7.17,7.27,7798482,56360150.0000,3,0.304296,1,0.972200,68.949920,3.849463,0.701342,80.250566,0,7.2379999999999995,7.303000000000003,7.319000000000001,1,-1,-1,-1,-1,27.906976744185936,23.143906277321122,37.43311767791556,1,-0.07134688861395233,-0.0758448719137854,0.004497983299833072
2010-04-16,sh.601003,7.2700,7.29,7.15,7.16,4953848,35584505.0000,3,0.193299,1,-1.513100,67.906661,3.791218,0.690730,79.036320,0,7.209999999999999,7.290000000000002,7.3105,-1,-1,-1,-1,-1,23.25581395348829,23.391812865496988,22.983816129470895,-1,-0.0762439719182959,-0.07592469191468751,-0.0003192800036083965
2010-04-19,sh.601003,7.1300,7.13,6.66,6.66,9527949,65453613.0000,3,0.371780,1,-6.983200,63.164576,3.526468,0.642495,73.517024,0,7.101999999999999,7.219000000000001,7.271000000000001,-1,-1,-1,-1,-1,16.279069767441786,22.480620155038665,3.8759689922480334,-1,-0.11909788081009509,-0.08455932969376903,-0.03453855111632606
2010-04-20,sh.601003,6.6600,6.75,6.38,6.41,8978227,58152330.0000,3,0.350330,1,-3.753800,60.793533,3.394093,0.618377,70.757376,0,6.94,7.1110000000000015,7.221500000000001,-1,-1,-1,-1,-1,4.875968992248047,14.803617571059368,-14.979328165374596,-1,-0.17125865979016375,-0.10189919571304798,-0.06935946407711577
2010-04-21,sh.601003,6.4200,6.49,6.27,6.45,9302485,59526883.0000,3,0.362982,1,0.624000,61.172900,3.415273,0.622236,71.198920,0,6.790000000000001,7.013000000000001,7.1754999999999995,-1,-1,-1,-1,-1,6.555555555555569,9.23686477174846,1.1929371231697878,-1,-0.20698281813876385,-0.12291592019819116,-0.08406689794057269
