date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.601006,9.6400,9.71,9.58,9.7,35838836,346021308.0000,3,0.276177,1,1.252600,22.052006,3.068328,5.954372,290.950885,0,9.547999999999996,9.460999999999999,9.636500000000002,1,1,1,1,-1,76.38344226579513,69.4117647058823,90.32679738562078,1,-0.19666287257279436,-0.25527115860793004,0.05860828603513568
2010-02-26,sh.601006,9.6700,9.83,9.64,9.69,25019457,243653675.0000,3,0.192802,1,-0.103100,22.029272,3.065165,5.948234,290.650935,0,9.581999999999997,9.493999999999998,9.601500000000001,1,1,1,1,-1,86.38344226579507,76.97167755991278,105.20697167755966,1,-0.17359037195249272,-0.23893500127684258,0.06534462932434987
2010-03-01,sh.601006,9.7000,9.83,9.66,9.8,31984227,312004765.0000,3,0.246473,1,1.135200,22.279346,3.099960,6.015757,293.950378,0,9.635999999999996,9.551999999999998,9.588000000000003,1,1,1,1,1,89.64555052790338,84.13747835316452,100.66169487738111,1,-0.14476045982032026,-0.22010009298553812,0.07533963316521786
2010-03-02,sh.601006,9.8000,9.8,9.8,9.8,0,0.0000,3,,0,0.000000,22.279346,3.099960,6.015757,293.950378,0,9.713999999999995,9.590999999999998,9.579000000000004,1,1,1,1,1,88.37606837606843,88.1350203899223,88.8581643483607,1,-0.12052322997522324,-0.20018472038347515,0.0796614904082519
2010-03-03,sh.601006,9.7700,9.84,9.7,9.79,24330603,237630598.0000,3,0.187494,1,-0.102000,22.256612,3.096797,6.009619,293.650429,0,9.755999999999997,9.629,9.565000000000003,1,1,1,1,1,93.00919206579589,90.34360365658925,98.34036888420914,1,-0.10095818402849233,-0.18033941311247859,0.07938122908398626
2010-03-04,sh.601006,9.8000,9.84,9.48,9.56,44144420,426121943.0000,3,0.340181,1,-2.349300,21.733729,3.024043,5.868433,286.751594,0,9.727999999999998,9.638,9.545500000000004,-1,-1,1,1,1,77.32220609579103,86.23582217921847,59.49497392893613,-1,-0.10282650205850707,-0.16483683090168427,0.0620103288431772
2010-03-05,sh.601006,9.5600,9.6,9.41,9.51,34189256,323548266.0000,3,0.263465,1,-0.523000,21.620059,3.008226,5.837740,285.251847,0,9.691999999999997,9.637,9.533500000000004,-1,-1,-1,1,1,58.49056603773581,76.27398806644094,22.923721980325553,-1,-0.10710707599018754,-0.15329087991938492,0.04618380392919738
2010-03-08,sh.601006,9.4800,9.51,9.43,9.51,19972880,189352063.0000,3,0.153913,1,0.000000,21.620059,3.008226,5.837740,285.251847,0,9.633999999999997,9.635000000000002,9.537000000000003,-1,-1,-1,-1,1,40.880503144654064,58.897758426060335,4.845992581841529,-1,-0.10924020854645988,-0.1444807456447999,0.03524053709834002
2010-03-09,sh.601006,9.5000,9.58,9.41,9.52,22351099,212272650.0000,3,0.172239,1,0.105200,21.642793,3.011390,5.843879,285.551796,0,9.577999999999994,9.646,9.546500000000004,-1,-1,-1,-1,1,33.68436448734817,44.351811223246045,12.34947101555241,-1,-0.10886884278802356,-0.13735836507344462,0.028489522285421065
2010-03-10,sh.601006,9.5200,9.55,9.36,9.39,30947439,291916839.0000,3,0.238484,1,-1.365500,21.347251,2.970268,5.764078,281.652454,0,9.497999999999994,9.627,9.536500000000004,-1,-1,-1,-1,-1,23.189081468480353,32.58464970016089,4.397945005119283,-1,-0.11770758650676427,-0.13342820936010855,0.015720622853344274
