date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.601007,9.1200,9.3,9.08,9.2,6986252,64125847.0000,3,4.720441,1,0.656500,45.194713,2.882668,6.460119,-52.396690,0,9.011999999999997,9.006999999999998,8.807500000000001,1,1,1,1,1,55.6910569105691,51.911111111111154,63.250948509485,1,0.11821633661068809,0.07911714277871379,0.0390991938319743
2010-02-26,sh.601007,9.2000,9.44,9.16,9.38,8202011,76316312.0000,3,5.541899,1,1.956500,46.078957,2.939068,6.586513,-53.421843,0,9.105999999999998,9.046999999999997,8.842000000000002,1,1,1,1,1,74.39024390243908,60.333875338753444,102.50298102981037,1,0.1447399183058149,0.09224169788413401,0.05249822042168088
2010-03-01,sh.601007,9.4200,10.23,9.33,9.78,15743105,154238883.0000,3,10.637233,1,4.264400,48.043945,3.064402,6.867387,-55.699959,0,9.283999999999999,9.131999999999996,8.884000000000002,1,1,1,1,1,77.6168699186992,69.23272357723582,94.38516260162595,1,0.19577987640535177,0.11294933358837757,0.0828305428169742
2010-03-02,sh.601007,9.7600,9.9,9.63,9.84,8931894,87473373.0000,3,6.035064,1,0.613500,48.338693,3.083202,6.909518,-56.041677,0,9.467999999999998,9.199999999999998,8.955500000000002,1,1,1,1,1,79.65447154471546,77.2205284552846,84.52235772357719,1,0.23832366264965543,0.13802419940063315,0.10029946324902228
2010-03-03,sh.601007,9.8400,9.84,9.6,9.79,5864675,57144533.0000,3,3.962618,1,-0.508100,48.093070,3.067535,6.874409,-55.756912,0,9.597999999999997,9.269999999999996,9.028500000000001,1,1,1,1,1,73.33333333333327,76.86822493224933,66.26355013550116,-1,0.2649511457453393,0.1634095886695744,0.1015415570757649
2010-03-04,sh.601007,9.8000,9.82,9.17,9.23,8529379,81189138.0000,3,5.763094,1,-5.720100,45.342087,2.892068,6.481184,-52.567549,0,9.604,9.307999999999996,9.072500000000002,-1,-1,1,1,1,61.874999999999964,71.62093495934958,42.38313008130072,-1,0.2381213829770541,0.17835194753107034,0.05976943544598376
2010-03-05,sh.601007,9.3000,9.44,9.17,9.34,4520661,42079378.0000,3,3.054501,1,1.191800,45.882459,2.926535,6.558425,-53.194031,0,9.595999999999998,9.350999999999997,9.121,-1,-1,1,1,1,51.45833333333329,62.2222222222222,29.930555555555486,-1,0.2231622083525906,0.18731399969537438,0.03584820865721622
2010-03-08,sh.601007,9.3400,9.49,9.34,9.45,3312382,31207455.0000,3,2.238096,1,1.177700,46.422830,2.961002,6.635666,-53.820513,0,9.529999999999998,9.406999999999998,9.161,-1,1,1,1,1,42.31514084507038,51.88282472613457,23.179773082942006,-1,0.21767382699892046,0.19338596515608358,0.024287861842836878
2010-03-09,sh.601007,9.4800,9.49,9.23,9.37,3416594,32002937.0000,3,2.308509,1,-0.846600,46.029833,2.935935,6.579491,-53.364890,0,9.435999999999996,9.451999999999998,9.208,-1,-1,1,-1,1,38.22093794651963,43.998137374974455,26.666539089609998,-1,0.20451143332298116,0.1956110587894631,0.008900374533518052
2010-03-10,sh.601007,9.3800,9.54,9.25,9.45,3566409,33543503.0000,3,2.409736,1,0.853800,46.422830,2.961002,6.635666,-53.820513,0,9.367999999999999,9.482999999999999,9.239999999999998,1,-1,1,-1,1,32.46353919262555,37.66653932807188,22.057538921732885,-1,0.19825016838231058,0.1961388807080326,0.002111287674277984
