date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2011-07-21,sh.601010,20.1000,20.12,19.51,19.55,2364746,46699500.0000,3,2.687211,1,-2.590900,27.309337,9.430387,1.723422,24.875838,0,19.71,19.000999999999998,18.433,-1,1,1,1,1,87.62844371627519,92.75613551863262,77.37306011156033,-1,0.8168496726295764,0.6858685957796821,0.13098107684989435
2011-07-22,sh.601010,19.5300,19.68,18.9,19.51,2727319,52606461.0000,3,3.099226,1,-0.204600,27.253461,9.411092,1.719896,24.824942,0,19.822000000000003,19.117999999999995,18.546499999999998,-1,1,1,1,1,80.08298755186722,87.5394012786494,65.17016009830286,-1,0.7949454474744364,0.7076839661186329,0.08726148135580347
2011-07-25,sh.601010,19.2500,19.43,18.86,19.08,2426590,46388539.0000,3,2.757489,1,-2.204000,26.652796,9.203671,1.681989,24.277800,0,19.638,19.193999999999996,18.638499999999997,-1,-1,1,1,1,66.13092424322004,77.9474518371208,42.49786905541853,-1,0.7344228158289603,0.7130317360606984,0.021391079768261934
2011-07-26,sh.601010,18.9600,19.25,18.69,18.87,1048631,19784968.0000,3,1.191626,1,-1.100600,26.359447,9.102373,1.663477,24.010592,0,19.416000000000004,19.297999999999995,18.7125,-1,-1,1,1,1,52.066263109056855,66.09339163471468,24.012006057741218,-1,0.6618831720516916,0.702802023258897,-0.0409188512072054
2011-07-27,sh.601010,18.8700,19.51,18.55,19.46,2002786,38390333.0000,3,2.275893,1,3.126700,27.183616,9.386973,1.715488,24.761320,0,19.294000000000004,19.416999999999994,18.826999999999995,1,1,1,-1,1,47.07309689661199,55.09009474962961,31.039101190576773,-1,0.6445728167042368,0.6911561819479649,-0.04658336524372808
2011-07-28,sh.601010,19.3100,19.75,19.08,19.7,2197765,42607244.0000,3,2.497460,1,1.233300,27.518872,9.502743,1.736645,25.066702,0,19.324000000000005,19.516999999999996,18.911499999999997,1,1,1,-1,1,52.72556164910762,50.621640551592144,56.93340384413857,1,0.6428103124667253,0.681487008051717,-0.03867669558499176
2011-07-29,sh.601010,19.5600,20.08,19.56,19.91,3678882,73270249.0000,3,4.180548,1,1.066000,27.812220,9.604041,1.755158,25.333910,0,19.404000000000003,19.612999999999996,18.997999999999998,1,1,1,-1,1,69.95117140520513,56.58327665030824,96.68696091499892,1,0.6508560961841567,0.675360825678205,-0.02450472949404825
2011-08-01,sh.601010,19.9100,19.91,19.91,19.91,0,0.0000,3,,0,0.000000,27.812220,9.604041,1.755158,25.333910,0,19.570000000000004,19.603999999999996,19.067,1,1,1,-1,1,78.65853658536578,67.1117565465595,101.75209666297835,1,0.6497426093965686,0.6702371824218777,-0.020494573025309104
2011-08-02,sh.601010,19.9900,19.99,19.41,19.77,1281499,25084314.0000,3,1.456249,1,-0.703200,27.616655,9.536509,1.742816,25.155771,0,19.750000000000004,19.583,19.144,1,1,1,1,1,81.18688830200398,76.5988654308583,90.36293404429534,1,0.6302976541140239,0.662249276760307,-0.03195162264628304
2011-08-03,sh.601010,19.5500,19.88,19.28,19.4,1525398,29804264.0000,3,1.733407,1,-1.871500,27.099803,9.358031,1.710199,24.684975,0,19.738000000000007,19.516,19.200999999999997,-1,-1,1,1,1,72.06313039775827,77.30285176170933,61.58368766985615,-1,0.5783644537745474,0.645472312163155,-0.06710785838860767
2011-08-04,sh.601010,19.4000,19.77,19.34,19.73,918411,18002273.0000,3,1.043649,1,1.701000,27.560779,9.517214,1.739290,25.104874,0,19.744000000000007,19.534,19.2675,-1,1,1,1,1,70.12891497717276,74.45964455897833,61.4674558135616,-1,0.5574097873686981,0.6278598072042636,-0.07045001983556554
