date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2011-04-27,sh.601011,21.7800,21.95,20.87,21.09,2747387,58917473.0000,3,3.540447,1,-2.676500,43.469559,3.058147,3.329897,5.019471,0,22.354000000000006,22.911,23.705999999999996,-1,-1,-1,-1,-1,3.495896282627933,7.434650186574373,-4.3816115252649475,-1,-0.44663886524151053,-0.018719127480977704,-0.4279197377605328
2011-04-28,sh.601011,21.1500,21.35,20.3,20.39,2841999,59011549.0000,3,3.662370,1,-3.319100,42.026757,2.956643,3.219374,4.852869,0,21.678000000000004,22.563,23.590999999999994,-1,-1,-1,-1,-1,3.898901747108791,3.9015614015260542,3.8935824382742634,-1,-0.6154445302602021,-0.13806420803682257,-0.4773803222233795
2011-04-29,sh.601011,20.4200,20.97,20.34,20.95,2224886,45971727.0000,3,2.867121,1,2.746400,43.180999,3.037846,3.307792,4.986151,0,21.266000000000005,22.302,23.433999999999994,-1,-1,-1,-1,-1,9.038376986370187,5.477725005368985,16.15968094837259,1,-0.6960137033630502,-0.2496541071020681,-0.44635959626098215
2011-05-03,sh.601011,21.0600,21.06,20.42,20.94,1580578,32810617.0000,3,2.036827,1,-0.047700,43.160387,3.036396,3.306213,4.983770,0,21.008000000000003,22.051,23.264999999999993,-1,-1,-1,-1,-1,12.568306010928959,8.501861581469326,20.701194869848226,1,-0.7520036400862118,-0.35012401369889684,-0.40187962638731495
2011-05-04,sh.601011,20.7000,20.72,19.99,20.03,2703689,54935256.0000,3,3.484135,1,-4.345700,41.284745,2.904442,3.162533,4.767188,0,20.680000000000003,21.741999999999997,23.028999999999996,-1,-1,-1,-1,-1,12.084486104802435,11.230389700700542,13.79267891300622,1,-0.8598931501674798,-0.45207784099261344,-0.40781530917486636
2011-05-05,sh.601011,20.0300,20.26,19.85,20.01,1534404,30763294.0000,3,1.977325,1,-0.099900,41.243522,2.901542,3.159376,4.762428,0,20.464000000000006,21.409,22.787499999999998,-1,-1,-1,-1,-1,7.528655694710163,10.7271492701472,1.1316685438360885,-1,-0.936218058064,-0.5489058844068908,-0.38731217365710924
2011-05-06,sh.601011,19.9000,19.9,19.01,19.4,2987016,57917525.0000,3,3.849247,1,-3.048500,39.986223,2.813089,3.063063,4.617247,0,20.266000000000002,20.971999999999998,22.488499999999995,-1,-1,-1,-1,-1,4.839972713796221,8.151038171102954,-1.7821582008172463,-1,-1.034008592079065,-0.6459264259413257,-0.38808216613773927
2011-05-09,sh.601011,19.4000,19.4,19.4,19.4,0,0.0000,3,,0,0.000000,39.986223,2.813089,3.063063,4.617247,0,19.956,20.610999999999997,22.199999999999996,-1,-1,-1,-1,-1,8.23975267268323,6.869460360396552,10.980337297256582,1,-1.0988415336341255,-0.7365094474798857,-0.36233208615423984
2011-05-10,sh.601011,19.6500,21.34,19.4,21.06,7990730,163587577.0000,3,10.297332,1,8.556700,43.407725,3.053796,3.325160,5.012331,0,19.98,20.494,21.994499999999995,1,1,-1,-1,-1,30.118359187753004,14.399361524744165,61.556354513770685,1,-1.00469251025266,-0.7901460600344405,-0.2145464502182195
2011-05-11,sh.601011,20.6000,21.2,20.53,20.91,4221001,88101294.0000,3,5.439434,1,-0.712300,43.098553,3.032046,3.301477,4.976630,0,20.156,20.418,21.829999999999995,1,1,-1,-1,-1,54.0437896349226,30.80063383178629,100.53010124119521,1,-0.93144535506487,-0.8184059190405264,-0.11303943602434363
