date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2012-05-30,sh.601012,17.2900,17.55,17.28,17.36,1420484,24715832.0000,3,2.367473,1,1.520500,31.639860,1.734710,2.554253,3.636409,0,17.176,17.174,17.547500000000007,1,1,-1,1,-1,42.1455938697318,31.425937670264123,63.58490626866715,1,-0.46549045771426734,-0.5331617753993348,0.06767131768506751
2012-05-31,sh.601012,17.2900,17.5,17.22,17.34,825675,14355942.0000,3,1.376125,1,-0.115200,31.603409,1.732712,2.551311,3.632220,0,17.18,17.173000000000002,17.515000000000008,1,1,-1,1,-1,51.34099616858231,39.614412651830094,74.79416320208674,1,-0.43087011661369345,-0.5127034436422065,0.08183332702851309
2012-06-01,sh.601012,17.3900,17.44,17.17,17.21,818459,14125859.0000,3,1.364098,1,-0.749700,31.366474,1.719721,2.532183,3.604989,0,17.222,17.173000000000002,17.474000000000004,-1,1,-1,1,-1,55.555555555555465,49.680715197956516,67.30523627075337,1,-0.4092060873569636,-0.492003972385158,0.08279788502819435
2012-06-04,sh.601012,17.0000,17.09,16.9,16.92,784573,13320400.0000,3,1.307622,1,-1.685100,30.837928,1.690743,2.489514,3.544242,0,17.186000000000003,17.169,17.410000000000004,-1,-1,-1,1,-1,38.69731800766285,48.5312899106002,19.029374201788144,-1,-0.41070343096087214,-0.4757438641003008,0.06504043313942864
2012-06-05,sh.601012,16.9500,17.03,16.88,16.9,390337,6611011.0000,3,0.650562,1,-0.118200,30.801477,1.688744,2.486572,3.540053,0,17.146000000000004,17.148,17.338500000000003,-1,-1,-1,-1,-1,21.839080459770102,38.697318007662794,-11.877394636015282,-1,-0.4087916240299023,-0.4623534160862211,0.05356179205631878
2012-06-06,sh.601012,17.0000,17.05,16.81,16.88,428242,7243588.0000,3,0.713737,1,-0.118300,30.765025,1.686746,2.483629,3.535863,0,17.050000000000004,17.113,17.282500000000006,-1,-1,-1,-1,-1,10.04970487729107,23.528701114908,-16.90828759794279,-1,-0.40423061718621156,-0.45072885630621917,0.04649823912000761
2012-06-07,sh.601012,16.9900,17.05,16.8,16.82,514945,8712387.0000,3,0.858242,1,-0.355500,30.655671,1.680750,2.474801,3.523295,0,16.946000000000005,17.063,17.223000000000006,-1,-1,-1,-1,-1,7.107176141658818,12.998653826239988,-4.675779227503522,-1,-0.4008368868421677,-0.44075046241340887,0.0399135755712412
2012-06-08,sh.601012,17.0200,17.02,16.82,16.95,485995,8219975.0000,3,0.809992,1,0.772900,30.892605,1.693741,2.493928,3.550526,0,16.894000000000002,17.058,17.1715,1,-1,-1,-1,-1,10.708708708708633,9.288529909219498,13.5490663076869,1,-0.38323966920119545,-0.4292483037709662,0.04600863456977072
2012-06-11,sh.601012,16.9800,17.1,16.9,17.09,553851,9422734.0000,3,0.923085,1,0.826000,31.147765,1.707730,2.514527,3.579852,0,16.928000000000004,17.057,17.131500000000003,1,1,-1,-1,-1,20.444444444444326,12.753443098270585,35.8264471367918,1,-0.35391718051722876,-0.4141820791202187,0.06026489860298995
2012-06-12,sh.601012,17.0400,17.11,16.95,16.98,532449,9057242.0000,3,0.887415,1,-0.643700,30.947283,1.696738,2.498342,3.556810,0,16.944000000000003,17.044999999999998,17.103,1,-1,-1,-1,-1,28.126984126984024,19.760045760045653,44.86086086086076,1,-0.3356854052746101,-0.398482744351097,0.06279733907648688
