date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2018-08-06,sh.601066,8.8100,9.01,8.69,8.85,34210598,303118594.0000,3,8.552649,1,0.682599,16.918234,1.697050,5.911369,-9.202503,0,9.280000000000005,9.764999999999997,9.723499999999998,-1,-1,-1,-1,-1,7.3275338903095095,19.095867663655827,-16.209133656383127,-1,-0.20580399650407344,-0.07050684512889739,-0.13529715137517606
2018-08-07,sh.601066,8.8800,9.08,8.64,9.05,50249101,446143914.0000,3,12.562275,1,2.259885,17.300567,1.735402,6.044960,-9.410470,0,9.112000000000004,9.640999999999998,9.6915,-1,-1,-1,-1,-1,9.776827998243599,11.478901927890876,6.372680138949047,-1,-0.22720514661006597,-0.1018465054251311,-0.12535864118493487
2018-08-08,sh.601066,8.9400,8.97,8.41,8.45,55340324,480580416.0000,3,13.835081,1,-6.629838,16.153568,1.620347,5.644189,-8.786571,0,8.850000000000003,9.434,9.646999999999998,-1,-1,-1,-1,-1,10.113236028628833,9.072532639060649,12.194642807765202,1,-0.2892464448798897,-0.13932649331608282,-0.14991995156380689
2018-08-09,sh.601066,8.4500,8.84,8.4,8.58,52963819,458975883.0000,3,13.240955,1,1.538463,16.402085,1.645276,5.731022,-8.921749,0,8.744000000000003,9.268999999999998,9.562499999999998,-1,-1,-1,-1,-1,10.544633335026132,10.144899120632855,11.344101763812684,1,-0.32418767349721733,-0.17629872935230972,-0.1478889441449076
2018-08-10,sh.601066,8.5200,8.77,8.5,8.61,35767350,307825854.0000,3,8.941838,1,0.349647,16.459435,1.651028,5.751061,-8.952944,0,8.708000000000002,9.127999999999998,9.499499999999998,-1,-1,-1,-1,-1,7.679688538284782,9.445852633979916,4.147360346894512,-1,-0.3454756711490017,-0.2101341177116481,-0.13534155343735357
2018-08-13,sh.601066,8.4100,8.54,8.21,8.51,43042779,360344635.0000,3,10.760695,1,-1.161434,16.268268,1.631853,5.684266,-8.848961,0,8.640000000000002,8.959999999999999,9.443499999999997,-1,-1,-1,-1,-1,12.094444131243613,10.10625533485151,16.07082172402782,1,-0.36619446507961406,-0.2413461871852413,-0.12484827789437275
2018-08-14,sh.601066,8.4800,8.63,8.4,8.52,31381124,266808008.0000,3,7.845281,1,0.117512,16.907527,1.633770,5.694010,-8.859359,0,8.534,8.822999999999999,9.379999999999999,-1,-1,-1,-1,-1,15.99892258929348,11.924351752940625,24.148064261999192,1,-0.3774562612921475,-0.26856820200662257,-0.10888805928552492
2018-08-15,sh.601066,8.5300,8.53,8.22,8.25,29306380,244895182.0000,3,7.326595,1,-3.169019,16.371725,1.581996,5.513566,-8.578605,0,8.494,8.671999999999999,9.325499999999998,-1,-1,-1,-1,-1,13.565211030648745,13.886192583728613,12.923247924489008,-1,-0.4035165715863869,-0.29555787592257543,-0.10795869566381144
2018-08-16,sh.601066,8.1000,8.62,8.03,8.33,44377136,370691870.0000,3,11.094284,1,0.969696,16.530481,1.597336,5.567031,-8.661791,0,8.443999999999999,8.593999999999998,9.2715,-1,-1,-1,-1,-1,17.98697973813177,15.850371119357996,22.260196975679317,1,-0.41295394778174455,-0.31903709029440924,-0.0939168574873353
2018-08-17,sh.601066,8.3800,8.47,8.11,8.12,31783039,263607824.0000,3,7.945760,1,-2.521009,16.113746,1.557067,5.426686,-8.443427,0,8.346,8.526999999999997,9.186499999999999,-1,-1,-1,-1,-1,13.814644137224755,15.122278302001755,11.199375807670759,-1,-0.4323940123475474,-0.34170847470503685,-0.09068553764251053
2018-08-20,sh.601066,8.1000,8.39,8.08,8.32,32445128,268115064.0000,3,8.111282,1,2.463052,16.510636,1.595419,5.560348,-8.651393,0,8.308,8.473999999999998,9.119499999999999,1,-1,-1,-1,-1,22.664640324214815,18.15542139985711,31.683078172930223,1,-0.42674284911736393,-0.3587153495875023,-0.06802749952986165
2018-08-21,sh.601066,8.2800,8.38,8.23,8.33,28879385,239958972.0000,3,7.219846,1,0.120195,16.530481,1.597336,5.567031,-8.661791,0,8.27,8.401999999999997,9.0215,1,-1,-1,-1,-1,25.486509812750977,20.655264758063513,35.1489999221259,1,-0.41665441240861867,-0.37030316215172554,-0.04635125025689313
2018-08-22,sh.601066,8.3100,8.31,8.15,8.17,21518634,176553727.0000,3,5.379658,1,-1.920767,16.212969,1.566655,5.460101,-8.495418,0,8.254,8.373999999999999,8.904,-1,-1,-1,-1,-1,28.935673261914456,25.695607799626746,35.41580418648987,1,-0.41676570088571196,-0.37959566989852284,-0.03717003098718913
2018-08-23,sh.601066,8.1700,8.55,8.16,8.33,42822377,356931960.0000,3,10.705594,1,1.958382,16.530481,1.597336,5.567031,-8.661791,0,8.254,8.348999999999998,8.809000000000001,1,-1,-1,-1,-1,35.31865198531869,29.91361168666137,46.12873258263332,1,-0.3993398932722023,-0.3835445145732587,-0.015795378698943596
2018-08-24,sh.601066,8.3000,8.43,8.2,8.33,31723137,263469083.0000,3,7.930784,1,0.000000,16.530481,1.597336,5.567031,-8.661791,0,8.296,8.320999999999998,8.7245,1,1,-1,-1,-1,39.639639639639654,34.63132162895759,49.656275661003775,1,-0.38113631302489814,-0.3830628742635866,0.0019265612386884512
2018-08-27,sh.601066,8.3100,8.58,8.31,8.5,40096330,339562157.0000,3,10.024083,1,2.040817,16.867828,1.522662,5.680645,-9.447791,0,8.331999999999999,8.319999999999997,8.64,1,1,-1,1,-1,59.887005649717544,44.948432424891955,89.76415209936873,1,-0.3489695614006578,-0.37624421169100086,0.02727465029034304
2018-08-28,sh.601066,8.4800,8.55,8.41,8.5,28760204,243623399.0000,3,7.190051,1,0.000000,16.867828,1.522662,5.680645,-9.447791,0,8.366,8.317999999999998,8.570500000000001,1,1,-1,1,-1,69.7740112994351,56.43355219626409,96.45492950577713,1,-0.3197908293714029,-0.3649535352270813,0.04516270585567839
2018-08-29,sh.601066,8.4900,8.63,8.45,8.47,28108232,239630890.0000,3,7.027058,1,-0.352938,16.808294,1.517288,5.660596,-9.414445,0,8.425999999999998,8.339999999999998,8.506000000000002,1,1,-1,1,-1,76.74370826913207,68.80157507276157,92.62797466187308,1,-0.2956788218912578,-0.3510985925599166,0.055419770668658774
