date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2015-03-17,sh.601069,14.6000,14.75,14.44,14.65,13486957,196546440.0000,3,10.703934,1,0.411200,82.774473,8.145216,8.716568,-195.442660,0,14.276,14.429999999999996,15.0455,1,1,-1,-1,-1,53.36507936507943,37.125215447641274,85.84480719995575,1,1.2691197164301329,1.9714843997694789,-0.702364683339346
2015-03-18,sh.601069,14.5800,14.88,14.5,14.84,13452649,198435845.0000,3,10.676706,1,1.296900,83.847999,8.250854,8.829616,-197.977412,0,14.469999999999999,14.425999999999997,14.961500000000001,1,1,-1,1,-1,70.95238095238099,54.513778022448584,103.82958681224581,1,1.1893476412767061,1.8150570480709243,-0.6257094067942182
2015-03-19,sh.601069,15.2800,16.32,15.28,16.32,30248303,485167248.0000,3,24.006590,1,9.973000,92.210198,9.073716,9.710198,-217.721790,0,14.906,14.585999999999995,14.937000000000001,1,1,1,1,-1,83.09523809523813,69.13756613756617,111.01058201058206,1,1.2313570109852545,1.6983170406537904,-0.4669600296685359
2015-03-20,sh.601069,16.7800,16.78,15.66,15.85,38549584,615680736.0000,3,30.594908,1,-2.879900,89.554635,8.812401,9.430554,-211.451616,0,15.25,14.682999999999996,14.895500000000002,1,1,1,1,1,83.74458874458874,79.26406926406928,92.70562770562768,1,1.21274489880836,1.6012026122847043,-0.3884577134763443
2015-03-23,sh.601069,16.1000,16.22,15.81,16.04,21325333,341255920.0000,3,16.924867,1,1.198700,90.628161,8.918039,9.543601,-213.986367,0,15.539999999999997,14.861999999999995,14.904500000000002,1,1,1,1,1,81.9264069264069,82.9220779220779,79.93506493506487,-1,1.1994990001078474,1.520861889849333,-0.3213628897414855
2015-03-24,sh.601069,15.9000,16.81,15.7,16.43,35939419,585958496.0000,3,28.523348,1,2.431400,92.831713,9.134874,9.775646,-219.189277,0,15.895999999999997,15.085999999999995,14.950500000000002,1,1,1,1,1,77.85352375384528,81.17483980828028,71.21089164497528,-1,1.2065627660820013,1.4580020650958665,-0.2514392990138652
2015-03-25,sh.601069,16.0900,16.29,15.8,16.08,21755280,348495632.0000,3,17.266095,1,-2.130300,90.854166,8.940279,9.567401,-214.519999,0,16.144,15.306999999999993,15.016000000000002,-1,1,1,1,1,79.32010781760249,79.7000128326182,78.56029778757107,-1,1.1704268247103897,1.400487017018771,-0.23006019230838137
2015-03-26,sh.601069,16.0000,16.24,15.83,16.17,15740543,252463644.0000,3,12.492494,1,0.559700,91.362678,8.990317,9.620950,-215.720670,0,16.113999999999997,15.509999999999996,15.070000000000004,1,1,1,1,1,79.36856682128543,78.84739946424436,80.41090153536757,1,1.135956479479523,1.3475809095109215,-0.21162443003139852
2015-03-27,sh.601069,16.4000,16.73,16.14,16.15,17424644,285904368.0000,3,13.829083,1,-0.123700,91.249676,8.979198,9.609050,-215.453854,0,16.173999999999996,15.711999999999998,15.115500000000003,-1,1,1,1,1,74.15874957190611,77.61580807026463,67.24463257518906,-1,1.0944089841621256,1.2969465244411622,-0.2025375402790366
2015-03-30,sh.601069,15.9000,15.9,15.57,15.82,15871442,249887013.0000,3,12.596383,1,-2.043300,89.385131,8.795722,9.412704,-211.051392,0,16.129999999999995,15.834999999999997,15.142000000000001,-1,-1,1,1,1,68.4713862873697,73.99956756018703,57.41502374173504,-1,1.0230608441366762,1.242169388380265,-0.21910854424358872
2015-03-31,sh.601069,15.6800,15.8,15.6,15.64,10830948,169659847.0000,3,8.595990,1,-1.137800,88.368107,8.695644,9.305606,-208.650048,0,15.971999999999994,15.933999999999997,15.182000000000002,-1,-1,1,1,1,50.94138921391345,64.52384169106305,23.77648425961425,-1,0.9411435168331277,1.1819642140708375,-0.24082069723770982
2015-04-01,sh.601069,15.6400,15.96,15.62,15.83,9476458,149842946.0000,3,7.520998,1,1.214800,89.441632,8.801282,9.418654,-211.184800,0,15.921999999999993,16.032999999999998,15.229500000000002,-1,-1,1,-1,1,33.880003614349015,51.09759303854401,-0.5551752340409877,-1,0.8813946875573198,1.121850308768134,-0.2404556212108142
2015-04-02,sh.601069,16.1500,16.29,15.81,16.02,12970279,207209883.0000,3,10.293872,1,1.200300,90.515158,8.906919,9.531701,-213.719551,0,15.891999999999992,16.003,15.2945,1,1,1,-1,1,26.92915876027834,37.250183862846896,6.287108555141231,-1,0.839695237981605,1.065419294610828,-0.22572405662922312
2015-04-03,sh.601069,15.8200,15.98,15.75,15.93,11273318,178833589.0000,3,8.947078,1,-0.561800,90.006646,8.856880,9.478153,-212.518879,0,15.847999999999994,16.011000000000003,15.347,1,-1,1,-1,1,28.76344086021506,29.857534411614097,26.575253757416988,-1,0.7902760653740586,1.0103906487634742,-0.22011458338941559
2015-04-07,sh.601069,16.2400,17.34,16.1,17.11,36291373,606733840.0000,3,28.802677,1,7.407400,96.673805,9.512946,10.180238,-228.261018,0,16.105999999999995,16.118000000000002,15.49,1,1,1,-1,1,50.77607678755846,35.48955880268391,81.34911275730757,1,0.8366823994806936,0.975648998906918,-0.13896659942622447
2015-04-08,sh.601069,17.0800,17.08,16.2,16.5,24703544,409961200.0000,3,19.605987,1,-3.565200,93.227223,9.173793,9.817295,-220.123133,0,16.277999999999995,16.125,15.605500000000001,1,1,1,1,1,56.19342688779539,45.24431484518959,78.09165097300698,1,0.8148448276328359,0.9434881646521016,-0.12864333701926567
2015-04-09,sh.601069,16.3800,16.39,15.65,16.0,15150885,242678365.0000,3,12.024512,1,-3.030300,90.402155,8.895800,9.519802,-213.452735,0,16.311999999999994,16.117,15.712,-1,-1,1,1,1,54.61393596986816,53.8611465484073,56.11951481278989,1,0.7485635980924013,0.9045032513401615,-0.15593965324776027
2015-04-10,sh.601069,15.9600,16.98,15.76,16.9,23263241,386400016.0000,3,18.462890,1,5.625000,95.487277,9.396188,10.055290,-225.459451,0,16.487999999999992,16.19,15.85,1,1,1,1,1,50.65913370998114,53.8221655225482,44.33307008484702,-1,0.7598980923488448,0.8755822195418982,-0.11568412719305343
2015-04-13,sh.601069,17.2200,17.4,16.71,16.9,20980724,355714944.0000,3,16.651368,1,0.000000,95.487277,9.396188,10.055290,-225.459451,0,16.681999999999995,16.265,15.988499999999998,1,1,1,1,1,57.219083490269895,54.16405105670636,63.32914835739696,1,0.7601185867964979,0.8524894929928182,-0.09237090619632027
2015-04-14,sh.601069,16.9000,16.9,16.45,16.84,15814428,263895692.0000,3,12.551133,1,-0.355000,95.148269,9.362829,10.019591,-224.659004,0,16.627999999999993,16.367,16.101,1,1,1,1,1,71.96759700092399,59.94860473372497,96.00558153532201,1,0.7468426939928463,0.8313601331928238,-0.08451743919997745
2015-04-15,sh.601069,16.6100,18.52,16.6,18.25,44579069,794779392.0000,3,35.380213,1,8.372900,148.015949,10.210859,10.793374,-119.600098,0,16.977999999999994,16.628000000000004,16.281,1,1,1,1,1,77.11796085323083,68.76821378147486,93.81745499674275,1,0.8404089581040264,0.8331698981750643,0.007239059928962122
2015-04-16,sh.601069,17.7000,19.5,17.32,19.05,43174075,792559024.0000,3,34.265139,1,4.383600,154.504319,10.658458,11.266509,-124.842842,0,17.587999999999994,16.950000000000003,16.491500000000002,1,1,1,1,1,82.48111621638618,77.18889135684695,93.06556593546466,1,0.9679562139392353,0.8601271613278985,0.1078290526113368
2015-04-17,sh.601069,18.7500,20.96,18.55,20.96,32769673,653195168.0000,3,26.007677,1,10.026200,169.995304,11.727102,12.396117,-137.359893,0,18.399999999999995,17.444000000000003,16.7235,1,1,1,1,1,92.96800760215395,84.18902822392359,110.52596635861468,1,1.209220232454694,0.9299457755532575,0.2792744569014364
2015-04-20,sh.601069,21.8400,23.06,20.0,22.96,51782649,1133806800.0000,3,41.097340,1,9.542000,186.216230,12.846100,13.578952,-150.466753,0,19.611999999999995,18.147000000000002,17.079,1,1,1,1,1,95.6540535487904,90.36772578911011,106.226709068151,1,1.5440086203804277,1.0527583445186917,0.4912502758617361
2015-04-21,sh.601069,22.0000,23.3,21.32,22.45,27177993,606092432.0000,3,21.569836,1,-2.221200,182.079894,12.560755,13.277329,-147.124504,0,20.733999999999995,18.681,17.399499999999996,1,1,1,1,1,95.84645374119059,94.82283829737825,97.89368462881524,1,1.7480279143919795,1.1918122584933493,0.5562156558986302
2015-04-22,sh.601069,22.1000,23.12,22.03,22.45,22982436,518441216.0000,3,18.240029,1,0.000000,182.079894,12.560755,13.277329,-147.124504,0,21.573999999999995,19.276,17.700499999999998,1,1,1,1,1,92.08871722483337,94.52974150493806,87.206668664624,-1,1.8879515445789004,1.3310401157104594,0.5569114288684409
2015-04-23,sh.601069,22.0000,22.68,21.4,21.79,22778175,497167216.0000,3,18.077917,1,-2.939900,176.726988,12.191486,12.886993,-142.799240,0,22.121999999999996,19.854999999999997,17.985999999999997,-1,1,1,1,1,85.19062790645975,91.04193295749451,73.48801780439024,-1,1.9234136303996614,1.4495148186482998,0.4738988117513616
2015-04-24,sh.601069,21.8200,21.84,20.79,21.05,17286361,365688160.0000,3,13.719334,1,-3.396100,170.725245,11.777457,12.449344,-137.949702,0,22.139999999999993,20.27,18.229999999999997,-1,1,1,1,1,77.9454265006744,85.07492387732243,63.68643174737835,-1,1.870246733189152,1.5336612015564701,0.3365855316326818
2015-04-27,sh.601069,21.0500,21.81,20.8,21.39,15864786,336527936.0000,3,12.591100,1,1.615200,207.716564,8.690972,12.619835,193.180112,0,21.825999999999997,20.719,18.491999999999997,-1,1,1,1,1,72.20067545484255,78.44557662065883,59.71087312321001,-1,1.8344009107798982,1.5938091434011556,0.24059176737874255
2015-04-28,sh.601069,21.6100,22.46,20.8,22.43,25970395,567587344.0000,3,20.611425,1,4.862100,217.815920,9.113535,13.233422,202.572693,0,21.821999999999996,21.278,18.822499999999998,1,1,1,1,1,74.69910900056267,74.94840365202647,74.20051969763509,-1,1.8683746862623387,1.6487222519733922,0.21965243428894654
2015-04-29,sh.601069,23.0000,24.67,22.56,24.67,31114801,746950208.0000,3,24.694287,1,9.986600,239.568379,10.023669,14.554995,222.802869,0,22.266,21.919999999999998,19.274,1,1,1,1,1,85.64801411005173,77.51593285515226,101.91217661985067,1,2.0523897560988686,1.7294557527984875,0.32293400330038113
