date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2011-12-14,sh.601100,17.5200,17.87,16.95,17.02,3826755,66351747.0000,3,4.555661,1,-3.678600,20.496979,9.360136,6.107567,-120.574180,0,18.094,18.96600000000001,20.414500000000007,-1,-1,-1,-1,-1,2.4135196748934447,3.0148144035646234,1.2109302175510868,-1,-1.6876331769254023,-1.4630218227745198,-0.22461135415088251
2011-12-15,sh.601100,17.0200,17.02,17.02,17.02,0,0.0000,3,,0,0.000000,20.496979,9.360136,6.107567,-120.574180,0,17.686,18.606000000000012,20.109000000000005,-1,-1,-1,-1,-1,2.575502803807188,2.5481031148379443,2.6303021817456758,1,-1.7329204604682253,-1.5170015503132608,-0.21591891015496456
2011-12-16,sh.601100,16.6200,17.46,16.59,17.42,5132862,86969222.0000,3,6.110550,1,2.350200,20.978694,9.580115,6.251105,-123.407886,0,17.474,18.312000000000012,19.877500000000005,-1,-1,-1,-1,-1,10.448309821351064,5.1457774333505695,21.053374597352054,1,-1.7167447371987201,-1.5569501876903526,-0.15979454950836747
2011-12-19,sh.601100,17.1100,17.56,16.9,17.51,3934606,67625914.0000,3,4.684055,1,0.516600,21.087080,9.629611,6.283401,-124.045470,0,17.328000000000003,18.106000000000012,19.637500000000006,1,-1,-1,-1,-1,20.045586367780174,11.023132997646146,38.090493108048236,1,-1.67732791996821,-1.5810257341459242,-0.09630218582228589
2011-12-20,sh.601100,17.4000,17.78,16.5,16.97,3015200,52530200.0000,3,3.589524,1,-3.084000,20.436765,9.332638,6.089624,-120.219967,0,17.188000000000002,17.882000000000012,19.39100000000001,-1,-1,-1,-1,-1,24.44386753597283,18.312587908368027,36.706426791182444,1,-1.6704078731925307,-1.5989021619552455,-0.07150571123728522
2011-12-21,sh.601100,17.1900,17.28,15.98,16.02,4588165,76236092.0000,3,5.462101,1,-5.598100,19.292691,8.810186,5.748720,-113.489916,0,16.988000000000003,17.54100000000001,19.104000000000006,-1,-1,-1,-1,-1,15.763600227322627,20.084351377025214,7.122097927917451,-1,-1.7217336727478525,-1.6234684641137669,-0.09826520863408561
2011-12-22,sh.601100,15.9000,15.99,15.26,15.56,4345398,67883480.0000,3,5.173093,1,-2.871400,18.738719,8.557210,5.583651,-110.231154,0,16.696000000000005,17.19100000000001,18.808500000000006,-1,-1,-1,-1,-1,8.501201946960256,16.236223236751908,-6.968840632623049,-1,-1.779020453906604,-1.6545788620723343,-0.12444159183426962
2011-12-23,sh.601100,15.4500,16.2,15.38,15.81,3144559,49933060.0000,3,3.743523,1,1.606700,19.039791,8.694697,5.673362,-112.002220,0,16.374000000000002,16.924000000000014,18.517500000000005,-1,-1,-1,-1,-1,9.445323614766151,11.236708596349681,5.8625536515990895,-1,-1.7836865023482886,-1.680400390127525,-0.10328611222076356
2011-12-26,sh.601100,15.7600,16.04,15.56,15.82,2289122,36224884.0000,3,2.725145,1,0.063300,19.051834,8.700196,5.676951,-112.073063,0,16.036,16.68200000000001,18.215500000000006,-1,-1,-1,-1,-1,16.17669329620655,11.374406285977656,25.78126731666434,1,-1.7662176058014758,-1.6975638332623153,-0.0686537725391605
2011-12-27,sh.601100,15.8000,17.35,15.61,16.42,7233928,119637113.0000,3,8.611819,1,3.792700,19.774407,9.030166,5.892259,-116.323622,0,15.926000000000002,16.55700000000001,17.939500000000006,1,-1,-1,-1,-1,28.526596664074003,18.049537858348902,49.4807142755242,1,-1.6845400645662103,-1.6949590795230942,0.01041901495688391
2011-12-28,sh.601100,16.0000,16.74,15.98,16.69,4181184,68644258.0000,3,4.977600,1,1.644300,20.099564,9.178652,5.989147,-118.236373,0,16.060000000000002,16.524000000000008,17.745000000000008,1,1,-1,-1,-1,41.41123882503195,28.7048429284375,66.82403061822086,1,-1.5798121896432384,-1.671929701547123,0.09211751190388462
2011-12-29,sh.601100,16.5000,16.78,16.18,16.26,3791418,62277984.0000,3,4.513593,1,-2.576400,19.581721,8.942174,5.834843,-115.190139,0,16.200000000000003,16.448000000000008,17.527000000000008,1,-1,-1,-1,-1,47.48677248677253,39.14153599195949,64.1772454763986,1,-1.5140588723714714,-1.6403555357119928,0.12629666334052136
2011-12-30,sh.601100,16.3000,16.98,16.22,16.71,4712832,77878343.0000,3,5.610514,1,2.767500,20.123650,9.189651,5.996324,-118.378058,0,16.380000000000003,16.377000000000006,17.344500000000004,1,1,-1,1,-1,51.32275132275135,46.74025421151861,60.48774554521684,1,-1.4093910725446293,-1.59416264307852,0.18477157053389082
2012-01-04,sh.601100,16.8500,16.85,16.01,16.16,2938401,48812413.0000,3,3.498096,1,-3.291400,19.461292,8.887179,5.798959,-114.481713,0,16.448,16.242000000000008,17.174000000000007,-1,-1,-1,1,-1,46.761474393053355,48.523666067525745,43.23709104410857,-1,-1.3551995932210943,-1.546370033107035,0.19117043988594062
2012-01-05,sh.601100,16.0000,16.0,15.01,15.12,3150883,48668104.0000,3,3.751051,1,-6.435600,18.208832,8.315232,5.425758,-107.114078,0,16.188000000000002,16.05700000000001,16.969500000000007,-1,-1,-1,1,-1,35.10091273249167,44.395046149432126,16.512645898610756,-1,-1.3802609744551226,-1.5131482213766525,0.13288724692152987
2012-01-06,sh.601100,15.1400,15.64,14.91,15.56,1905437,29050069.0000,3,2.268377,1,2.910100,18.738719,8.557210,5.583651,-110.231154,0,15.962000000000003,16.011000000000006,16.776000000000007,-1,-1,-1,-1,-1,24.800799973362512,35.554395699635855,3.2936085208158232,-1,-1.3490667748583611,-1.4803319320729942,0.13126515721463305
2012-01-09,sh.601100,15.5600,16.42,15.33,16.35,3099725,49789648.0000,3,3.690149,1,5.077100,19.690106,8.991670,5.867139,-115.827723,0,15.98,16.090000000000007,16.64050000000001,1,1,-1,-1,-1,30.11886413525757,30.00685894703726,30.3428745116982,1,-1.2462329515291835,-1.433512135964232,0.18727918443504854
2012-01-10,sh.601100,16.3500,17.35,16.23,17.03,8484770,144701472.0000,3,10.100917,1,4.159000,20.509022,9.365635,6.111155,-120.645023,0,16.044,16.212000000000007,16.568000000000005,1,1,1,-1,-1,57.513661202185794,37.477775103601964,97.58543339935345,1,-1.097218042065819,-1.3662533171845495,0.2690352751187304
