date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-04-02,sh.601106,5.5800,5.75,5.53,5.66,87248541,494719885.0000,3,8.724854,1,1.252200,36.771132,9.873293,3.625503,3316.281892,0,5.518000000000001,5.452000000000001,5.460500000000001,1,1,1,1,1,58.29059829059825,46.780626780626754,81.31054131054124,1,-0.01425857266515873,-0.05005718649558588,0.03579861383042715
2010-04-06,sh.601106,5.6900,5.7,5.6,5.63,34995545,197558062.0000,3,3.499555,1,-0.530000,36.576232,9.820961,3.606287,3298.704426,0,5.542000000000001,5.472000000000001,5.463500000000001,1,1,1,1,1,75.89743589743586,59.54415954415952,108.60398860398853,1,-0.0017735336397119994,-0.040400455924411105,0.038626922284699106
2010-04-07,sh.601106,5.6100,5.72,5.58,5.68,47782487,271260134.0000,3,4.778249,1,0.888100,36.901065,9.908181,3.638314,3328.000203,0,5.588000000000001,5.503000000000002,5.470000000000001,1,1,1,1,1,79.25925925925924,71.14909781576446,95.47958214624879,1,0.012017007290648252,-0.029916963281399235,0.04193397057204749
2010-04-08,sh.601106,5.6600,5.69,5.53,5.56,44463914,248225640.0000,3,4.446391,1,-2.112700,36.121465,9.698853,3.561449,3257.690339,0,5.6240000000000006,5.5180000000000025,5.4725,-1,1,1,1,1,71.85185185185179,75.66951566951565,64.21652421652408,-1,0.013111966625937832,-0.021311177299931823,0.034423143925869655
2010-04-09,sh.601106,5.5500,5.59,5.54,5.58,17500812,97384625.0000,3,1.750081,1,0.359700,36.251399,9.733741,3.574259,3269.408650,0,5.622000000000002,5.542000000000002,5.477,-1,1,1,1,1,66.21082621082616,72.44064577397909,53.751187084520296,-1,0.015415858223375878,-0.013965770195270281,0.02938162841864616
2010-04-12,sh.601106,5.5800,5.58,5.44,5.48,31521899,173290670.0000,3,3.152190,1,-1.792100,35.601732,9.559302,3.510205,3210.817097,0,5.586000000000001,5.552000000000001,5.48,-1,-1,1,1,1,47.711800869695594,61.9248263107912,19.28574998750439,-1,0.009068014224521193,-0.009359013311311986,0.01842702753583318
2010-04-13,sh.601106,5.4900,5.69,5.45,5.62,60122201,336220239.0000,3,6.012220,1,2.554700,36.511265,9.803517,3.599881,3292.845271,0,5.584000000000001,5.563000000000001,5.492500000000001,1,1,1,1,1,50.38236617183986,54.768331084120554,41.61043634727848,-1,0.015159384148785371,-0.004455333819292515,0.019614717968077885
2010-04-14,sh.601106,5.5900,5.6,5.5,5.55,34160128,188967964.0000,3,3.416013,1,-1.245600,36.056499,9.681409,3.555043,3251.831184,0,5.558000000000002,5.573,5.500500000000001,-1,-1,1,-1,1,46.89426268373637,48.32947657509063,44.023834901027854,-1,0.014175022874078458,-0.0007292624806183199,0.014904285354696779
2010-04-15,sh.601106,5.5400,5.58,5.46,5.5,23327269,128705775.0000,3,2.332727,1,-0.900900,35.731665,9.594190,3.523016,3222.535407,0,5.546000000000002,5.585,5.5025,-1,-1,-1,-1,1,43.696752779944575,46.991127211840286,37.10800391615315,-1,0.00925365694233804,0.0012673214039729524,0.007986335538365088
2010-04-16,sh.601106,5.5000,5.53,5.46,5.5,16707042,91688766.0000,3,1.670704,1,0.000000,35.731665,9.594190,3.523016,3222.535407,0,5.530000000000003,5.5760000000000005,5.504500000000001,-1,-1,-1,-1,1,28.90978536139818,39.83360027502639,7.062155534141752,-1,0.005292431133226749,0.0020723433498237116,0.0032200877834030377
2010-04-19,sh.601106,5.4400,5.46,5.34,5.35,34674649,186843228.0000,3,3.467465,1,-2.727300,34.757166,9.332530,3.426933,3134.648078,0,5.504000000000002,5.545000000000001,5.498500000000001,-1,-1,-1,-1,1,14.471663028538996,29.02606705662727,-14.637145027637551,-1,-0.009837217932409992,-0.00030956890662302934,-0.009527649025786962
2010-04-20,sh.601106,5.3500,5.38,5.27,5.32,22680636,120382759.0000,3,2.268064,1,-0.560700,34.562266,9.280198,3.407717,3117.070612,0,5.444000000000002,5.514000000000001,5.493,-1,-1,-1,-1,-1,11.988304093567242,18.45658416116816,-0.9482560416345933,-1,-0.023971988933322308,-0.005042052911962885,-0.018929936021359423
2010-04-21,sh.601106,5.3200,5.39,5.3,5.37,27599042,147828988.0000,3,2.759904,1,0.939800,34.887099,9.367418,3.439744,3146.366389,0,5.408000000000002,5.4830000000000005,5.493,-1,-1,-1,-1,-1,12.781954887218092,13.080640669774796,12.184583322104682,-1,-0.030784450669839813,-0.010190532463538272,-0.02059391820630154
2010-04-22,sh.601106,5.3500,5.38,5.31,5.34,17555065,93993438.0000,3,1.755507,1,-0.558700,34.692199,9.315086,3.420528,3128.788923,0,5.376000000000002,5.461,5.489500000000001,-1,-1,-1,-1,-1,17.460317460317537,14.076858813700975,24.227234753550658,1,-0.0381641919087663,-0.01578526435258388,-0.02237892755618242
2010-04-23,sh.601106,5.3200,5.42,5.32,5.4,18266587,98179629.0000,3,1.826659,1,1.123600,35.081999,9.419750,3.458961,3163.943855,0,5.356000000000002,5.443,5.4925000000000015,1,-1,-1,-1,-1,23.809523809523878,18.017265385686517,35.394040657198595,1,-0.03872479610554613,-0.02037317070317633,-0.018351625402369804
2010-04-26,sh.601106,5.3700,5.47,5.37,5.4,16225365,88055772.0000,3,1.622536,1,0.000000,35.081999,9.419750,3.458961,3163.943855,0,5.366000000000001,5.4350000000000005,5.493500000000002,1,-1,-1,-1,-1,29.004329004329122,23.424723424723528,40.16354016354031,1,-0.03872270770011088,-0.024043078102563238,-0.014679629597547643
