date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2017-12-08,sh.601108,17.2500,17.65,17.12,17.4,27153967,472733628.0000,3,7.563779,1,1.280555,38.514520,3.969435,15.938962,-19.570125,0,17.35,18.187000000000005,19.58,1,-1,-1,-1,-1,17.36375158428389,14.19570812231458,23.69983850822251,1,-1.2913503683460874,-1.054038598397919,-0.23731176994816838
2017-12-11,sh.601108,17.3300,17.54,17.26,17.44,23083308,401452915.0000,3,6.429891,1,0.229890,38.603059,3.978560,15.975603,-19.615113,0,17.336,18.037000000000006,19.261,1,-1,-1,-1,-1,16.349809885931567,15.723074151464521,17.60328135486566,1,-1.2799530651151372,-1.0992214917413627,-0.18073157337377443
2017-12-12,sh.601108,17.4300,17.46,16.58,16.64,30609083,520270585.0000,3,8.526207,1,-4.587162,36.832276,3.796058,15.242777,-18.715338,0,17.235999999999997,17.793000000000006,18.943999999999996,-1,-1,-1,-1,-1,13.615041877360133,15.776201115858532,9.292723400363332,-1,-1.3202548581380071,-1.1434281650206917,-0.17682669311731547
2017-12-13,sh.601108,16.6200,16.95,16.53,16.82,22759691,381303497.0000,3,6.339747,1,1.081733,37.230703,3.837121,15.407663,-18.917787,0,17.095999999999997,17.543000000000006,18.660499999999995,-1,-1,-1,-1,-1,10.958570543579478,13.64114076895706,5.593430092824317,-1,-1.3224257232341259,-1.1792276766633785,-0.14319804657074742
2017-12-14,sh.601108,16.7500,17.25,16.52,16.98,29404937,495684861.0000,3,8.190790,1,0.951248,37.584859,3.873621,15.554228,-19.097742,0,17.055999999999997,17.342000000000006,18.400499999999997,-1,-1,-1,-1,-1,11.508189414428053,12.02726727845589,10.470033686372378,-1,-1.2962926320902426,-1.2026406677487513,-0.09365196434149126
2017-12-15,sh.601108,16.8400,17.5,16.78,17.26,37320820,642083551.0000,3,10.395772,1,1.649003,38.204633,3.937497,15.810717,-19.412664,0,17.028,17.189000000000004,18.233999999999998,1,1,-1,-1,-1,30.397623767779933,17.621461241929158,55.949948819481484,1,-1.2387092400875943,-1.20985438221652,-0.028854857871074335
2017-12-18,sh.601108,17.3000,17.45,17.1,17.34,22564851,389389511.0000,3,6.285474,1,0.463499,38.381711,3.955748,15.884000,-19.502641,0,17.008000000000003,17.172000000000004,18.111499999999996,1,1,-1,-1,-1,51.032492759624496,30.979435313944162,91.13860765098516,1,-1.1730959359249802,-1.202502692958212,0.029406757033231923
2017-12-19,sh.601108,17.2800,17.59,17.26,17.38,28351604,493863617.0000,3,7.897383,1,0.230675,38.470250,3.964873,15.920641,-19.547630,0,17.156,17.196000000000005,17.952499999999993,1,1,-1,-1,-1,69.13424170061346,50.1881194093393,107.02648628316176,1,-1.1051300031944429,-1.1830281550054582,0.07789815181101534
2017-12-20,sh.601108,17.3000,17.31,16.84,16.99,24226298,413191497.0000,3,6.748272,1,-2.243955,37.606994,3.875903,15.563388,-19.108990,0,17.19,17.143000000000004,17.797999999999995,-1,-1,-1,1,-1,63.421828908554595,61.19618778959752,67.87311114646873,1,-1.0703973777993525,-1.1605019995642372,0.09010462176488465
2017-12-21,sh.601108,16.8800,18.35,16.86,17.67,53067516,940281577.0000,3,14.782038,1,4.002356,39.112159,4.031030,16.186290,-19.873799,0,17.328,17.192,17.752499999999998,1,1,-1,1,-1,60.18021503296421,64.24542854737743,52.04978800413778,-1,-0.9767419319450887,-1.1237499860404074,0.1470080540953187
2017-12-22,sh.601108,17.6100,17.91,17.51,17.7,31848471,562478029.0000,3,8.871440,1,0.169783,39.178563,4.037874,16.213771,-19.907541,0,17.416,17.222,17.704499999999996,1,1,-1,1,-1,56.305108241855656,59.96905072779149,48.97722326998398,-1,-0.889841033547075,-1.076968195541741,0.18712716199466595
2017-12-25,sh.601108,17.6400,17.88,17.35,17.81,33948217,600584651.0000,3,9.456328,1,0.621462,39.422046,4.062968,16.314535,-20.031260,0,17.509999999999998,17.259,17.647999999999996,1,1,1,1,-1,65.93806921675771,60.80779749719253,76.19861265588808,1,-0.8028407167560729,-1.0221426997846073,0.21930198302853432
2017-12-26,sh.601108,17.7500,18.43,17.71,18.28,50540082,918944930.0000,3,14.078017,1,2.638974,40.462381,4.170188,16.745070,-20.559878,0,17.69,17.423,17.607999999999997,1,1,1,1,1,75.70642481808903,65.98320075890081,95.15287293646549,1,-0.6880360159453858,-0.955321363016763,0.2672853470713772
2017-12-27,sh.601108,18.1800,18.31,17.8,17.87,38115288,689678885.0000,3,10.617072,1,-2.242887,39.554855,4.076656,16.369497,-20.098743,0,17.866000000000003,17.528,17.5355,1,1,1,1,1,76.2330020659778,72.62583203360818,83.44734213071703,1,-0.6229549994590045,-0.8888480903052113,0.2658930908462068
2017-12-28,sh.601108,17.8500,19.35,17.78,18.45,64333445,1194836806.0000,3,17.920180,1,3.245662,40.838672,4.208970,16.900796,-20.751080,0,18.022000000000002,17.675,17.508499999999998,1,1,1,1,1,74.11687640468854,75.35210109625179,71.64642702156206,-1,-0.5185985905370956,-0.8147981903515882,0.2961995998144926
2017-12-29,sh.601108,18.2800,18.62,18.14,18.38,30622493,560695072.0000,3,8.529942,1,-0.379412,40.683728,4.193001,16.836673,-20.672350,0,18.158,17.787,17.487999999999996,1,1,1,1,1,63.85287134291118,71.40091660452585,48.756780819681836,-1,-0.4365119614326112,-0.7391409445677928,0.3026289831351816
2018-01-02,sh.601108,18.4100,18.68,18.2,18.49,33205218,612801610.0000,3,9.249364,1,0.598480,40.927211,4.218095,16.937437,-20.796069,0,18.294,17.902,17.537,1,1,1,1,1,63.74501992031867,67.23825588930613,56.75854798234374,-1,-0.3584496513201785,-0.6630026859182699,0.30455303459809147
2018-01-03,sh.601108,18.4000,19.06,18.34,18.63,48732538,909583361.0000,3,13.574523,1,0.757163,41.237098,4.250033,17.065681,-20.953530,0,18.363999999999997,18.027,17.6115,1,1,1,1,1,66.05865693851096,64.55218273391361,69.07160534770566,1,-0.2820367342654784,-0.5868094955877117,0.3047727613222333
2018-01-04,sh.601108,18.4900,18.55,18.21,18.37,31044257,569400391.0000,3,8.647425,1,-1.395590,40.661594,4.190720,16.827513,-20.661103,0,18.464,18.165,17.654,-1,1,1,1,1,62.60712971407538,64.13693552430168,59.547518093622784,-1,-0.23969571111133448,-0.5173867386924362,0.27769102758110176
2018-01-05,sh.601108,18.3100,18.76,18.13,18.17,33647457,619830470.0000,3,9.372551,1,-1.088736,40.218898,4.145094,16.644307,-20.436159,0,18.407999999999998,18.215000000000003,17.7035,-1,-1,1,1,1,54.361445783132524,61.009077478572955,41.06618239225166,-1,-0.21974538572149172,-0.4578584680982473,0.2381130823767556
2018-01-08,sh.601108,18.0600,18.88,17.81,18.39,43361315,795321022.0000,3,12.078361,1,1.210783,40.705863,4.195282,16.845834,-20.683597,0,18.41,18.284000000000002,17.753,-1,1,1,1,1,44.48780487804879,53.818793458418895,25.825827717308584,-1,-0.1840607104363272,-0.4030989165658633,0.21903820612953606
