date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2011-02-24,sh.601126,24.9000,25.5,24.88,24.92,2106101,52948599.0000,3,3.210520,1,0.201000,78.556584,16.404931,8.085296,176.307000,0,25.54399999999999,26.000999999999987,24.668,-1,-1,1,-1,1,23.595959595959624,48.44829244829247,-26.108706108706073,-1,-0.7430301995849504,-1.2082088285845625,0.46517862899961204
2011-02-25,sh.601126,25.1500,25.84,25.05,25.73,3054641,77767109.0000,3,4.656465,1,3.250400,81.109988,16.938157,8.348101,182.037685,0,25.349999999999987,25.972999999999992,24.8195,1,-1,1,-1,1,20.848484848484862,30.784030784030808,0.9773929773929737,-1,-0.6441828252769284,-1.0954036279230357,0.4512208026461073
2011-02-28,sh.601126,25.7900,25.99,25.18,25.61,2388087,60653477.0000,3,3.640377,1,-0.466400,80.731706,16.859160,8.309167,181.188695,0,25.16399999999999,25.876999999999992,24.999500000000005,1,-1,1,-1,1,29.818181818181813,24.754208754208776,39.94612794612789,1,-0.5689698360011057,-0.9901168695386497,0.421147033537544
2011-03-01,sh.601126,25.5500,25.61,25.0,25.19,2887644,72775998.0000,3,4.401896,1,-1.639985,79.407718,16.582673,8.172897,178.217229,0,25.26399999999999,25.795999999999992,25.119000000000003,-1,-1,1,-1,1,33.5034965034965,28.056721056721063,44.397047397047366,1,-0.5370625670698921,-0.8995060090448982,0.3624434419750061
2011-03-02,sh.601126,24.9900,25.48,24.82,25.3,2165702,54634207.0000,3,3.301375,1,0.436700,79.754477,16.655086,8.208587,178.995470,0,25.349999999999987,25.624999999999993,25.2325,-1,-1,1,-1,1,30.917637917637922,31.413105413105416,29.926702926702937,-1,-0.4971686946358105,-0.8190385461630807,0.3218698515272702
2011-03-03,sh.601126,25.3000,25.88,24.31,24.33,2784748,69456647.0000,3,4.245043,1,-3.834000,76.696697,16.016532,7.893870,172.132798,0,25.23199999999999,25.387999999999995,25.2475,-1,-1,-1,-1,-1,18.96889943145452,27.796677950862986,1.313342392637594,-1,-0.5376259889437414,-0.7627560347192128,0.22513004577547147
2011-03-04,sh.601126,24.0000,24.38,23.81,24.35,1950127,47020736.0000,3,2.972755,1,0.082200,76.759744,16.029698,7.900359,172.274296,0,24.95599999999999,25.152999999999995,25.271,-1,-1,-1,-1,-1,17.998203460758578,22.628246936617014,8.73811650904171,-1,-0.5616010658067232,-0.7225250409367149,0.16092397512999168
2011-03-07,sh.601126,24.3500,24.64,24.24,24.49,1619867,39569258.0000,3,2.469309,1,0.574900,77.201073,16.121860,7.945782,173.264785,0,24.73199999999999,24.947999999999997,25.2805,-1,-1,-1,-1,-1,17.284645866467034,18.083916252893385,15.686105093614337,-1,-0.5628168546218006,-0.690583403673732,0.1277665490519314
2011-03-08,sh.601126,24.4500,24.45,23.98,24.19,2200849,53002292.0000,3,3.354953,1,-1.225000,76.255367,15.924369,7.848447,171.142309,0,24.53199999999999,24.897999999999996,25.308,-1,-1,-1,-1,-1,22.80135766374308,19.361402330322903,29.681268330583435,1,-0.5812871523587226,-0.6687241534107302,0.08743700105200758
2011-03-09,sh.601126,24.0200,24.5,24.0,24.48,2437646,59108910.0000,3,3.715924,1,1.198800,77.169549,16.115277,7.942538,173.194036,0,24.367999999999988,24.858999999999995,25.414,1,-1,-1,-1,-1,26.452599388379298,22.179534306196476,34.99872955274494,1,-0.5659999252026502,-0.6481793077691143,0.08217938256646407
