date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2016-08-01,sh.601127,31.7000,31.75,29.5,30.26,11227549,342035184.0000,3,7.878982,1,-6.344800,67.000020,10.405068,2.537451,95.573949,0,32.226000000000006,34.23699999999999,36.5575,-1,-1,-1,-1,-1,13.308688186472528,12.024253906825749,15.877556745766086,1,4.556503627772454,7.9756083116107686,-3.419104683838315
2016-08-02,sh.601127,30.5100,31.2,30.42,30.67,7939652,243886131.0000,3,5.571686,1,1.354900,67.907819,10.546048,2.571831,96.868904,0,31.368000000000006,33.56399999999999,36.501999999999995,-1,-1,-1,-1,-1,14.632301236469942,13.088335821558701,17.720232066292425,1,3.931783354398277,7.166843320168271,-3.2350599657699934
2016-08-03,sh.601127,30.5000,31.95,30.38,31.79,14913438,468327424.0000,3,10.465571,1,3.651800,70.387661,10.931167,2.665749,100.406340,0,31.312000000000005,32.998,36.34349999999999,1,-1,-1,-1,-1,17.483292806926134,15.141427409956217,22.16702360086597,1,3.4868682301946023,6.430848302173537,-2.9439800719789346
2016-08-04,sh.601127,31.5000,31.98,31.33,31.65,10420355,329770912.0000,3,7.312530,1,-0.440400,70.077681,10.883027,2.654009,99.964161,0,31.336000000000006,32.455,36.00299999999999,1,-1,-1,-1,-1,26.58129530380502,19.565629782400382,40.6126263466143,1,3.0873835234231244,5.762155346423454,-2.67477182300033
2016-08-05,sh.601127,31.7800,31.78,30.61,30.71,9507886,295776672.0000,3,6.672201,1,-2.970000,67.996385,10.559803,2.575186,96.995241,0,31.01600000000001,32.019999999999996,35.42299999999999,-1,-1,-1,-1,-1,28.54161276412248,24.20206695828456,37.22070437579832,1,2.6642273169962003,5.142569740538003,-2.478342423541803
2016-08-08,sh.601127,30.3800,31.38,29.56,31.33,11094863,337259040.0000,3,7.785869,1,2.018900,69.369155,10.772993,2.627176,98.953465,0,31.230000000000008,31.72799999999999,34.864999999999995,1,-1,-1,-1,-1,30.004956629491943,28.37595489913983,33.26296009019617,1,2.351791801225861,4.584414152675575,-2.232622351449714
2016-08-09,sh.601127,31.1600,31.88,31.02,31.54,10047097,316258080.0000,3,7.050594,1,0.670300,69.834125,10.845203,2.644785,99.616734,0,31.404000000000007,31.385999999999996,34.45599999999999,1,1,-1,1,-1,35.67709249592833,31.407887296514264,44.21550289475646,1,2.096957231306355,4.086922768401731,-1.989965537095376
2016-08-10,sh.601127,31.5900,34.06,31.38,33.08,23357275,768374880.0000,3,16.391070,1,4.882700,73.243908,11.374740,2.773922,104.480709,0,31.662000000000013,31.486999999999995,34.08299999999999,1,1,-1,1,-1,55.12446091698093,40.26883668080041,84.83570938934197,1,1.9962525713260462,3.668788728986594,-1.6725361576605478
2016-08-11,sh.601127,32.5500,32.96,32.12,32.19,12782652,415826480.0000,3,8.970282,1,-2.690500,71.273319,11.068709,2.699291,101.669710,0,31.77000000000001,31.55299999999999,33.69999999999999,1,1,-1,1,-1,63.44991364421413,51.417155685707804,87.51542956122678,1,1.823606440899006,3.2997522713690763,-1.4761458304700703
2016-08-12,sh.601127,32.0300,33.32,31.86,32.9,14230225,468221952.0000,3,9.986123,1,2.205700,72.845362,11.312846,2.758828,103.912192,0,32.20800000000001,31.611999999999988,33.34249999999999,1,1,-1,1,-1,70.57407407407402,63.04948287842304,85.62325646537597,1,1.7241987154544738,2.984641560186156,-1.2604428447316822
