date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2018-07-26,sh.601138,17.6600,18.05,17.63,17.76,66539746,1185426892.0000,3,5.952264,1,0.282333,21.885524,11.401444,0.952125,19.569829,0,17.615999999999993,17.536999999999995,17.5045,1,1,1,1,1,74.72476678712495,65.51011992486353,93.15406051164777,1,-0.8414512850933917,-1.2271424938415347,0.385691208748143
2018-07-27,sh.601138,17.6800,17.68,17.28,17.29,54516175,950530431.0000,3,4.876704,1,-2.646393,21.306346,11.099717,0.926928,19.051933,0,17.613999999999994,17.503999999999994,17.447000000000003,-1,-1,-1,1,1,59.515715095157134,66.35026650043234,45.84661228460672,-1,-0.7997470210587423,-1.1416633992849763,0.341916378226234
2018-07-30,sh.601138,17.2000,17.38,17.05,17.14,36771092,631237641.0000,3,3.289331,1,-0.867562,21.121502,11.003421,0.918887,18.886648,0,17.59199999999999,17.43399999999999,17.424500000000002,-1,-1,-1,1,1,47.11695497116953,60.45247895115054,20.44590701120751,-1,-0.7699246259198134,-1.0673156446119436,0.29739101869213025
2018-07-31,sh.601138,17.1900,17.27,17.05,17.17,29162201,500048026.0000,3,2.608683,1,0.175033,21.158471,11.022680,0.920495,18.919705,0,17.413999999999994,17.381999999999994,17.388000000000005,-1,-1,-1,1,1,34.30656934306568,46.97974646979745,8.960215089602144,-1,-0.7353922693190036,-1.0009309695533557,0.2655387002343521
2018-08-01,sh.601138,17.2500,17.41,16.96,16.98,45200663,776123681.0000,3,4.043392,1,-1.106584,20.924335,10.900705,0.910309,18.710343,0,17.267999999999994,17.35899999999999,17.378500000000006,-1,-1,-1,-1,-1,26.763990267639926,36.06250486062505,8.166961081669683,-1,-0.7151131606509153,-0.9437674077728676,0.22865424712195226
2018-08-02,sh.601138,16.9000,16.93,16.02,16.24,68910577,1133184225.0000,3,6.164345,1,-4.358067,20.012438,10.425645,0.870637,17.894933,0,16.96399999999999,17.289999999999992,17.34250000000001,-1,-1,-1,-1,-1,20.313962193524244,27.128173934743284,6.68553871108616,-1,-0.7501068714021173,-0.9050353004987175,0.1549284290966002
2018-08-03,sh.601138,16.2700,16.34,15.8,15.81,51818003,828764283.0000,3,4.635341,1,-2.647779,19.482552,10.149596,0.847585,17.421114,0,16.66799999999999,17.14099999999999,17.271500000000007,-1,-1,-1,-1,-1,9.75329362270014,18.943748694621437,-8.627616521142457,-1,-0.8032773641969086,-0.8846837132383557,0.08140634904144706
2018-08-06,sh.601138,15.7700,15.85,15.11,15.14,49149378,757691964.0000,3,4.396621,1,-4.237824,18.656916,9.719474,0.811666,16.682838,0,16.26799999999999,16.92999999999999,17.15500000000001,-1,-1,-1,-1,-1,4.0107046162946745,11.359320144173019,-10.686526439462014,-1,-0.8892282931478483,-0.8855926292202543,-0.0036356639275940683
2018-08-07,sh.601138,15.2000,15.57,15.04,15.55,45278678,696241558.0000,3,4.050371,1,2.708057,19.162156,9.982683,0.833646,17.134619,0,15.943999999999988,16.67899999999999,17.065000000000005,-1,-1,-1,-1,-1,6.132904122215147,6.632300787069987,5.134110792505467,-1,-0.9137285560792385,-0.8912198145920511,-0.0225087414871874
2018-08-08,sh.601138,15.4100,15.47,15.0,15.01,46605307,709284547.0000,3,4.169043,1,-3.472669,18.496718,9.636018,0.804696,16.539590,0,15.549999999999988,16.40899999999999,16.983000000000008,-1,-1,-1,-1,-1,6.112354695436,5.418654477981941,7.499755130344118,1,-0.9655879808137549,-0.9060934478363919,-0.05949453297736296
2018-08-09,sh.601138,14.9900,15.58,14.8,15.42,61822492,950425491.0000,3,5.530285,1,2.731511,19.001958,9.899227,0.826676,16.991371,0,15.38599999999999,16.17499999999999,16.85600000000001,1,-1,-1,-1,-1,13.690481731691094,8.645246849780747,23.780951495511786,1,-0.9625081798984745,-0.9173763942488085,-0.04513178564966602
2018-08-10,sh.601138,15.3200,15.53,15.31,15.47,36117070,557064563.0000,3,3.230826,1,0.324255,19.063573,9.931326,0.829357,17.046467,0,15.317999999999989,15.99299999999999,16.74850000000001,1,-1,-1,-1,-1,16.599473894893347,12.13410344067348,25.530214803333077,1,-0.945137872287944,-0.9229286898566356,-0.022209182431308427
2018-08-13,sh.601138,15.1900,15.83,15.08,15.72,52992504,822665060.0000,3,4.740405,1,1.616031,19.371646,10.091819,0.842760,17.321943,0,15.433999999999989,15.85099999999999,16.642500000000013,1,-1,-1,-1,-1,28.22477650063857,19.504910709074338,45.66450808376703,1,-0.9008148350171528,-0.918505918888739,0.017691083871586244
2018-08-14,sh.601138,15.7300,15.76,15.44,15.51,44634477,693689985.0000,3,3.992744,1,-1.335878,19.107982,5.029430,0.810668,7.088016,0,15.425999999999991,15.684999999999992,16.53350000000001,1,-1,-1,-1,-1,31.417624521072796,25.413958305534905,43.42495695214858,1,-0.8725752492919803,-0.9093197849693873,0.036744535677406986
2018-08-15,sh.601138,15.3900,15.49,15.04,15.06,40808623,620369300.0000,3,3.650505,1,-2.901353,18.553592,4.883508,0.787148,6.882367,0,15.43599999999999,15.492999999999991,16.426000000000013,-1,-1,-1,-1,-1,28.48849745401469,29.376966158575353,26.711560044893368,-1,-0.8764037761535466,-0.9027365832062191,0.02633280705267249
2018-08-16,sh.601138,14.8500,15.15,14.71,14.89,34594813,516841869.0000,3,3.094654,1,-1.128819,18.344155,4.828382,0.778263,6.804678,0,15.32999999999999,15.357999999999993,16.324000000000012,-1,-1,-1,-1,-1,22.001974633553573,27.30269886954702,11.400526161566681,-1,-0.8829770803766692,-0.8987846826403091,0.015807602263639864
2018-08-17,sh.601138,15.0900,15.14,14.62,14.63,32110673,477788531.0000,3,2.872437,1,-1.746140,18.023841,4.744072,0.764673,6.685859,0,15.161999999999988,15.239999999999991,16.19050000000001,-1,-1,-1,-1,-1,11.166345616106426,20.552272567891563,-7.605508287463849,-1,-0.8988054289232572,-0.8987888318968987,-1.659702635847804e-05
2018-08-20,sh.601138,14.6500,14.93,14.53,14.92,35590839,524770429.0000,3,3.183752,1,1.982228,18.381115,4.838110,0.779831,6.818388,0,15.00199999999999,15.217999999999993,16.074000000000012,-1,-1,-1,-1,-1,15.53863998840081,16.235653412686936,14.144613139828557,-1,-0.8778298566572129,-0.8945970368489615,0.01676718019174861
