date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.601139,13.7300,14.07,13.66,13.93,9295896,129045496.0000,3,8.938362,1,0.000000,63.642746,11.671189,4.430696,48.870947,0,13.37,13.22300000000001,13.593499999999997,1,1,1,1,-1,69.1156361369127,50.70589772717428,105.93511295638952,1,-0.7814221971099382,-1.074308902564887,0.2928867054549489
2010-02-26,sh.601139,13.7700,13.94,13.7,13.71,5594561,77056447.0000,3,5.379386,1,-1.579300,62.637620,11.486863,4.360721,48.099116,0,13.471999999999998,13.30200000000001,13.559499999999996,1,1,1,1,-1,86.7188367188367,68.2027428835939,123.75102438932228,1,-0.7059984925708953,-1.0006468205660888,0.29464832799519347
2010-03-01,sh.601139,13.8500,14.46,13.71,14.28,8514921,120671608.0000,3,8.187424,1,4.157500,65.241810,11.964435,4.542020,50.098860,0,13.739999999999998,13.416000000000007,13.569499999999996,1,1,1,1,1,86.23931623931621,80.69126303168854,97.33542265457154,1,-0.5933901942275313,-0.9191954952983773,0.32580530107084604
2010-03-02,sh.601139,14.2900,14.38,14.01,14.26,6095374,86249369.0000,3,5.860937,1,-0.140100,65.150435,11.947678,4.535659,50.028694,0,14.021999999999997,13.54300000000001,13.567999999999994,1,1,1,1,1,85.81196581196578,86.25670625670621,84.92248492248493,-1,-0.49999747963683383,-0.8353558921660686,0.3353584125292348
2010-03-03,sh.601139,14.1900,14.2,13.91,14.1,6049693,84985190.0000,3,5.817013,1,-1.122000,64.419434,11.813623,4.484768,49.467362,0,14.055999999999997,13.63700000000001,13.537499999999998,1,1,1,1,1,87.3504273504273,86.46723646723642,89.11680911680904,1,-0.4338921051895692,-0.7550631347707688,0.3211710295811996
2010-03-04,sh.601139,14.1000,14.38,13.4,13.51,6447494,89753835.0000,3,6.199513,1,-4.184400,61.723869,11.319294,4.297107,47.397451,0,13.971999999999998,13.67100000000001,13.489999999999998,-1,-1,1,1,1,74.18803418803414,82.45014245014238,57.66381766381767,-1,-0.42422103284268786,-0.6888947143851526,0.26467368154246473
2010-03-05,sh.601139,13.5200,13.68,13.28,13.41,3799148,51284066.0000,3,3.653027,1,-0.740200,61.266994,11.235509,4.265300,47.046619,0,13.911999999999997,13.69200000000001,13.443999999999997,-1,-1,-1,1,1,59.65811965811963,73.73219373219366,31.509971509971564,-1,-0.4197867621111673,-0.6350731239303555,0.21528636181918825
2010-03-08,sh.601139,13.4400,13.8,13.44,13.75,3897482,53376219.0000,3,3.747579,1,2.535400,62.820370,11.520377,4.373444,48.239449,0,13.805999999999997,13.77300000000001,13.459499999999997,-1,-1,1,1,1,52.590364322207876,62.145506056120524,33.48008085438258,-1,-0.38440621652822493,-0.5849397424499294,0.20053352592170448
2010-03-09,sh.601139,13.8600,13.86,13.52,13.69,2652273,36385700.0000,3,2.550263,1,-0.436400,62.546245,11.470106,4.354359,48.028950,0,13.691999999999998,13.85700000000001,13.486999999999998,-1,-1,1,-1,1,47.07826813214558,53.10891737082434,35.01696965478807,-1,-0.35709204301990205,-0.539370202563924,0.18227815954402193
2010-03-10,sh.601139,13.7000,14.2,13.7,13.88,6002151,83962393.0000,3,5.771299,1,1.387900,63.414308,11.629297,4.414793,48.695531,0,13.648,13.85200000000001,13.514499999999998,1,1,1,-1,1,48.642805289903094,49.43714591475216,47.05412404020497,-1,-0.3164659293820993,-0.494789347927559,0.17832341854545974
2010-03-11,sh.601139,13.7800,13.91,13.48,13.73,2749517,37610816.0000,3,2.643766,1,-1.080700,62.728995,11.503620,4.367082,48.169283,0,13.691999999999998,13.832000000000008,13.527499999999998,1,-1,1,-1,1,41.24293785310736,45.65467042505198,32.41947270921811,-1,-0.2929957157982699,-0.4544306215017012,0.16143490570343133
2010-03-12,sh.601139,13.6000,13.76,13.32,13.33,3132596,42203170.0000,3,3.012112,1,-2.913300,60.901493,11.168482,4.239855,46.765953,0,13.675999999999998,13.794000000000008,13.547999999999996,-1,-1,-1,-1,1,31.1761684643041,40.35397053577149,12.820564321369332,-1,-0.3031772212149484,-0.42417994144435067,0.12100272022940228
2010-03-15,sh.601139,13.1700,13.26,13.05,13.11,2118650,27825664.0000,3,2.037163,1,-1.650400,59.896367,10.984156,4.169880,45.994122,0,13.547999999999998,13.67700000000001,13.546499999999998,-1,-1,-1,-1,1,15.730775320427412,29.38329387927959,-11.574261797276947,-1,-0.32524903063012367,-0.4043937592815053,0.07914472865138161
