date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2016-01-21,sh.601155,13.7600,14.25,13.5,13.54,27857746,385036336.0000,3,5.240506,1,-3.835200,23.905035,3.125908,1.325630,-19.203892,0,13.927999999999997,14.38,17.250499999999995,-1,-1,-1,-1,-1,19.912000157051992,18.46048873027625,22.815023010603475,1,-2.6915862885429984,-2.636588913406063,-0.05499737513693548
2016-01-22,sh.601155,13.5400,13.54,13.54,13.54,0,0.0000,3,,0,0.000000,23.905035,3.125908,1.325630,-19.203892,0,13.905999999999997,14.132000000000001,16.766,-1,-1,-1,-1,-1,15.243807937372347,18.540589197171254,8.650245417774535,-1,-2.6442382285193595,-2.638118776428722,-0.006119452090637356
2016-01-25,sh.601155,13.3600,14.19,12.89,14.15,42772797,574939328.0000,3,8.046276,1,4.505200,24.981998,3.266736,1.385352,-20.069060,0,13.959999999999997,14.105,16.356999999999996,1,1,-1,-1,-1,27.500471609130347,20.885426567851553,40.73056169168794,1,-2.528347432449337,-2.616164507632845,0.08781707518350812
2016-01-26,sh.601155,13.6600,13.97,12.74,12.74,34729357,466332112.0000,3,6.533171,1,-9.964700,22.492625,2.941217,1.247306,-18.069246,0,13.609999999999996,13.901000000000002,15.914999999999997,-1,-1,-1,-1,-1,24.005847953216374,22.250042499906346,27.51745885983643,1,-2.521215356526108,-2.5971746774114974,0.07595932088538948
2016-01-27,sh.601155,12.8000,12.94,11.72,12.33,29665811,366514752.0000,3,5.580633,1,-3.218200,21.768765,2.846562,1.207165,-17.487739,0,13.259999999999996,13.706000000000003,15.432499999999996,-1,-1,-1,-1,-1,26.360544217687075,25.955621260011256,27.17039013303871,1,-2.5196023015261275,-2.5816602022344233,0.062057900708295755
2016-01-28,sh.601155,12.1100,12.38,11.41,11.62,21791182,262218252.0000,3,4.099284,1,-5.758300,20.515252,2.682648,1.137653,-16.480741,0,12.875999999999996,13.402000000000005,14.933499999999995,-1,-1,-1,-1,-1,9.117357634877843,19.82791660192709,-12.303760299220649,-1,-2.546263272092798,-2.5745808162060984,0.028317544113300563
2016-01-29,sh.601155,11.9900,12.45,11.72,12.2,26747493,323427584.0000,3,5.031649,1,4.991400,21.539249,2.816550,1.194438,-17.303359,0,12.607999999999995,13.257000000000001,14.527999999999995,-1,-1,-1,-1,-1,17.398280066743663,17.62539397310285,16.944052254025287,-1,-2.491866445361925,-2.558037942037264,0.06617149667533884
2016-02-01,sh.601155,12.3500,12.5,12.03,12.24,23484303,287718224.0000,3,4.417789,1,0.327900,21.609869,2.825784,1.198354,-17.360092,0,12.225999999999996,13.093000000000004,14.225499999999993,1,-1,-1,-1,-1,19.613093384810174,15.376243695477216,28.086792763476094,1,-2.4176596273207913,-2.5299622790939695,0.11230265177317822
2016-02-02,sh.601155,12.3700,12.95,12.28,12.65,28843801,363532880.0000,3,5.426000,1,3.349700,22.333729,2.920439,1.238495,-17.941598,0,12.207999999999995,12.909000000000002,13.981999999999994,1,-1,-1,-1,-1,31.9658261335036,22.9923998616858,49.912678677139205,1,-2.299262153045593,-2.483822253884294,0.18456010083870122
2016-02-03,sh.601155,12.8000,13.46,12.58,12.95,36065991,470271312.0000,3,6.784614,1,2.371500,22.863383,2.989698,1.267866,-18.367090,0,12.331999999999997,12.796000000000003,13.724999999999994,1,1,-1,-1,-1,42.15013151938357,31.24301701256577,63.96436053301918,1,-2.1563665574961277,-2.418331114606661,0.2619645571105331
