date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2016-11-04,sh.601163,40.6000,41.79,40.5,41.25,26325483,1083366128.0000,3,13.162741,1,0.929780,41.044309,4.350487,4.956064,23.301698,0,40.706,39.92500000000001,39.31650000000002,1,1,1,1,1,81.92766823780005,78.89781080048834,87.98738311242346,1,-0.08955636508334663,-0.6777014672838154,0.5881451022004688
2016-11-07,sh.601163,41.2500,41.47,40.05,40.32,20411231,828742864.0000,3,10.205616,1,-2.254546,40.118947,4.252403,4.844328,22.776350,0,40.836,40.06300000000001,39.36350000000002,-1,1,1,1,1,71.44659102288577,77.67787663986685,58.984019788923604,-1,-0.059791376685836894,-0.5541194491642197,0.49432807247838284
2016-11-08,sh.601163,40.4600,41.24,40.22,40.91,18421545,751699424.0000,3,9.210773,1,1.463294,40.706005,4.314628,4.915214,23.109635,0,40.916000000000004,40.25500000000001,39.42600000000002,-1,1,1,1,1,70.94878253568436,74.77434726545675,63.29765307613957,-1,0.011275681194668152,-0.4410404230924422,0.45231610428711033
2016-11-09,sh.601163,40.7100,40.92,39.04,39.79,22589549,904782816.0000,3,11.294775,1,-2.737714,39.591589,4.196506,4.780650,22.476959,0,40.628,40.41000000000001,39.43100000000002,-1,-1,1,1,1,52.58144134701541,64.99227163519521,27.759780770655794,-1,-0.0225182270892077,-0.3573359838917953,0.3348177568025876
2016-11-10,sh.601163,40.2200,43.77,39.87,43.07,56549865,2391617664.0000,3,28.274932,1,8.243274,42.855234,4.542436,5.174732,24.329797,0,41.068,40.813,39.64350000000002,1,1,1,1,1,61.586257240707134,61.70549370780233,61.34778430651673,-1,0.21291410376633024,-0.24328596636017014,0.4562000701265004
2016-11-11,sh.601163,43.0000,45.78,42.47,43.63,59601461,2632965664.0000,3,29.800731,1,1.300212,43.412441,4.601497,5.242014,24.646135,0,41.544,41.12500000000001,39.88300000000002,1,1,1,1,1,59.93726766259036,58.03498875010433,63.74182548756241,1,0.43961562675837484,-0.10670564773646116,0.546321274494836
2016-11-14,sh.601163,43.6100,43.63,42.21,43.15,27123399,1161039744.0000,3,13.561699,1,-1.100159,42.934835,4.550873,5.184344,24.374988,0,42.11,41.473,40.15450000000001,1,1,1,1,1,71.42698812010799,64.31683767446852,85.64728901138696,1,0.5739303171167123,0.029421545234173535,0.5445087718825388
2016-11-15,sh.601163,43.1300,44.98,42.65,44.06,33394106,1469070512.0000,3,16.697053,1,2.108922,43.840297,4.646847,5.293677,24.889038,0,42.74,41.828,40.46250000000001,1,1,1,1,1,67.85361028684473,66.40595535651438,70.7489201475054,1,0.7452147005357332,0.1725801762944855,0.5726345242412477
2016-11-16,sh.601163,43.9000,43.9,42.72,42.82,21343791,920996032.0000,3,10.671895,1,-2.814348,42.606481,4.516069,5.144695,24.188574,0,43.346000000000004,41.987,40.66300000000002,-1,1,1,1,1,63.84767556874383,67.70942465856554,56.124177389100424,-1,0.7720020128949585,0.2924645436145801,0.47953746928037844
2016-11-17,sh.601163,42.5500,43.26,42.25,42.52,13011184,555447408.0000,3,6.505592,1,-0.700605,42.307976,4.484429,5.108651,24.019108,0,43.236000000000004,42.152,40.87300000000001,-1,1,1,1,1,60.7319485657765,64.14441147378838,53.90702274975274,-1,0.7602598557644953,0.3860236060445631,0.3742362497199322
2016-11-18,sh.601163,42.6800,43.5,42.39,42.45,16221171,695889808.0000,3,8.110586,1,-0.164628,42.238325,4.477046,5.100241,23.979565,0,43.000000000000014,42.272,41.098500000000016,-1,1,1,1,1,52.76953511374881,59.11638641608974,40.07583250906694,-1,0.7368121844427407,0.4561813217241986,0.28063086271854204
