date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-03-23,sh.601179,7.6100,7.62,7.47,7.49,15444868,116251174.0000,3,1.818006,1,-1.317500,32.394389,7.516420,2.507268,123.101632,0,7.538000000000004,7.471000000000001,7.493,-1,1,-1,1,1,67.85714285714288,72.71372876636036,58.14397103870789,-1,0.011012145848687815,0.00026170571151151734,0.010750440137176298
2010-03-24,sh.601179,7.4900,7.57,7.48,7.5,11151034,83807845.0000,3,1.312581,1,0.133500,32.437639,7.526455,2.510615,123.265986,0,7.552000000000004,7.476000000000001,7.4990000000000006,-1,1,1,1,1,61.111111111111086,69.72988025619604,43.87357282094118,-1,0.010224109095494427,0.0022541863883080993,0.007969922707186328
2010-03-25,sh.601179,7.5000,7.5,7.38,7.39,13935428,103285188.0000,3,1.640331,1,-1.466700,31.961887,7.416067,2.473793,121.458085,0,7.5080000000000044,7.465000000000001,7.49,-1,-1,-1,1,1,45.238095238095234,58.06878306878307,19.576719576719555,-1,0.0007152585441829729,0.0019464008194830739,-0.001231142275300101
2010-03-26,sh.601179,7.4000,7.55,7.36,7.49,13365612,99944508.0000,3,1.573258,1,1.353200,32.394389,7.516420,2.507268,123.101632,0,7.492000000000004,7.473999999999999,7.486500000000001,-1,1,1,1,1,45.238095238095234,50.529100529100525,34.656084656084644,-1,0.0012343612912273372,0.0018039929138319265,-0.0005696316226045893
2010-03-29,sh.601179,7.4900,7.92,7.46,7.68,60260890,467186489.0000,3,7.093272,1,2.536700,33.216142,7.707090,2.570870,126.224370,0,7.510000000000005,7.507999999999998,7.491000000000001,1,1,1,1,1,46.75813828356198,45.74477625325082,48.78486234418432,1,0.016783694084026024,0.004799933147870746,0.011983760936155278
2010-03-30,sh.601179,7.6000,7.72,7.53,7.65,27045541,206224720.0000,3,3.183514,1,-0.390600,33.086392,7.676984,2.560827,125.731306,0,7.542000000000004,7.539999999999999,7.4990000000000006,1,1,1,1,1,54.496233521657246,48.83082234777149,65.82705586942876,1,0.026381790214178302,0.009116304561132257,0.017265485653046045
2010-03-31,sh.601179,7.6200,7.64,7.54,7.56,15881336,120378218.0000,3,1.869382,1,-1.176500,32.697140,7.586667,2.530700,124.252114,0,7.554000000000005,7.553,7.4925000000000015,1,1,1,1,1,48.94067796610164,50.06501659044029,46.692000717424335,-1,0.026421531738210824,0.01257734999654797,0.013844181741662853
2010-04-01,sh.601179,7.5600,8.32,7.56,8.32,193413135,1575529431.0000,3,22.766539,1,10.052900,35.984154,8.349347,2.785109,136.743068,0,7.740000000000005,7.6240000000000006,7.538000000000001,1,1,1,1,1,62.499999999999964,55.312303829252954,76.87539234149398,1,0.08677834880988033,0.027417549759214444,0.059360799050665894
2010-04-02,sh.601179,8.3900,8.39,8.12,8.23,183853837,1514824189.0000,3,21.641320,1,-1.081700,35.594903,8.259030,2.754982,135.263876,0,7.888000000000005,7.690000000000002,7.578500000000001,1,1,1,1,1,73.39343504392042,61.61137100334068,96.9575631250799,1,0.12589803912175945,0.047113647631723446,0.07878439149003601
2010-04-06,sh.601179,8.2100,8.28,8.05,8.21,91131148,744338985.0000,3,10.726991,1,-0.243000,35.508402,8.238959,2.748287,134.935166,0,7.994000000000005,7.752000000000001,7.612000000000002,1,1,1,1,1,88.99676375404529,74.9633995993219,117.06349206349208,1,0.15351719205417957,0.06839435651621467,0.0851228355379649
2010-04-07,sh.601179,8.2100,8.31,8.15,8.19,75654474,621153268.0000,3,8.905241,1,-0.243600,35.421902,8.218889,2.741592,134.606457,0,8.102000000000006,7.822000000000001,7.646500000000001,1,1,1,1,1,82.52427184466015,81.63815688087529,84.29650177222987,1,0.17181120427127095,0.08907772606722593,0.08273347820404502
2010-04-08,sh.601179,8.1800,8.35,8.04,8.08,110202901,903875017.0000,3,12.971915,1,-1.343100,34.946150,8.108501,2.704769,132.798556,0,8.206000000000005,7.880000000000001,7.678000000000003,-1,1,1,1,1,77.6699029126213,83.06364617044225,66.88241639697938,-1,0.17541122860920577,0.1063444265756219,0.06906680203358387
2010-04-09,sh.601179,8.0400,8.15,7.99,8.08,53600730,432468517.0000,3,6.309308,1,0.000000,34.946150,8.108501,2.704769,132.798556,0,8.158000000000005,7.949000000000001,7.707000000000003,-1,1,1,1,1,72.38403451995676,77.5260697590794,62.09996404171147,-1,0.17623277213768151,0.12032209568803383,0.05591067644964769
2010-04-12,sh.601179,8.0800,8.11,7.85,7.89,51784505,412035472.0000,3,6.095522,1,-2.351500,34.124396,7.917831,2.641167,129.675818,0,8.090000000000003,7.989000000000002,7.731500000000002,-1,-1,1,1,1,59.47668146810157,69.84353963355987,38.74296513718497,-1,0.15971138576098642,0.12819995370262435,0.03151143205836207
2010-04-13,sh.601179,7.8600,8.25,7.86,8.15,77721827,628148182.0000,3,9.148588,1,3.295300,35.248901,8.178748,2.728202,133.949039,0,8.078000000000003,8.036000000000001,7.772000000000003,1,1,1,1,1,60.097279221766144,63.98599840327483,52.319840858748776,-1,0.1656879475939359,0.13569755248088666,0.02999039511304924
2010-04-14,sh.601179,8.1000,8.16,7.99,8.06,34056448,274181466.0000,3,4.008763,1,-1.104300,34.859650,8.088430,2.698074,132.469847,0,8.052000000000003,8.077000000000002,7.808500000000002,1,-1,1,-1,1,57.955378284684514,59.17644632485074,55.51324220435207,-1,0.1613027701400478,0.1408185960127189,0.02048417412732889
2010-04-15,sh.601179,8.0600,8.07,7.87,7.94,28411333,225990150.0000,3,3.344280,1,-1.488800,34.340647,7.968007,2.657905,130.497591,0,8.024000000000004,8.115,7.834000000000001,-1,-1,1,-1,1,49.55744546814711,55.87003432486592,36.932267754709486,-1,0.14645623201930835,0.1419461232140368,0.0045101088052715566
2010-04-16,sh.601179,7.9400,7.99,7.87,7.92,16474795,130701061.0000,3,1.939238,1,-0.251900,34.254147,7.947937,2.651210,130.168882,0,7.992000000000004,8.075000000000001,7.849500000000001,-1,-1,1,-1,1,30.302543507362817,45.93845575339815,-0.9692809847078507,-1,0.13155987044870887,0.1398688726609712,-0.008309002212262329
2010-04-19,sh.601179,7.8300,7.93,7.51,7.56,37112994,286696177.0000,3,4.368547,1,-4.545500,32.697140,7.586667,2.530700,124.252114,0,7.926000000000005,8.008000000000001,7.849000000000001,-1,-1,-1,-1,1,12.206349206349218,30.68877939395305,-24.758511168858448,-1,0.08967172539540513,0.129829443207858,-0.040157717812452864
2010-04-20,sh.601179,7.5900,7.71,7.52,7.67,34433294,262829986.0000,3,4.053122,1,1.455000,33.172892,7.697055,2.567522,126.060015,0,7.830000000000005,7.954000000000001,7.853,-1,-1,-1,-1,-1,12.99999999999998,18.502964237904006,1.9940715241919307,-1,0.06460640690184238,0.11678483594665487,-0.052178429044812485
2010-04-21,sh.601179,7.6600,7.76,7.57,7.73,29901767,229221580.0000,3,3.519718,1,0.782300,33.432393,7.757266,2.587607,127.046143,0,7.764000000000005,7.908000000000001,7.864999999999999,-1,-1,-1,-1,-1,18.24324324324323,14.483197483197479,25.76333476333474,1,0.04901840629404486,0.10323155001613286,-0.054213143722088006
2010-04-22,sh.601179,7.6600,7.85,7.63,7.73,29679998,229623807.0000,3,3.493614,1,0.000000,33.432393,7.757266,2.587607,127.046143,0,7.722000000000004,7.873000000000002,7.876499999999998,1,-1,-1,-1,-1,26.169026169026193,19.137423137423138,40.2322322322323,1,0.03624697098828911,0.08983463421056412,-0.05358766322227501
2010-04-23,sh.601179,7.7100,7.8,7.61,7.65,24153238,185901253.0000,3,2.843063,1,-1.034900,33.086392,7.676984,2.560827,125.731306,0,7.668000000000004,7.830000000000003,7.8895,-1,-1,-1,-1,-1,26.126126126126167,23.512798512798536,31.352781352781427,1,0.019446023429781967,0.07575691205440768,-0.056310888624625716
