date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.601186,8.6900,8.74,8.65,8.72,40750230,354724223.0000,3,1.663275,1,0.345200,21.803670,2.137061,0.340792,21.392140,0,8.646,8.604000000000001,8.594499999999996,1,1,1,1,1,75.2873563218392,65.40229885057487,95.05747126436788,1,-0.0901574584028566,-0.14893780548015595,0.058780347077299344
2010-02-26,sh.601186,8.7000,8.71,8.64,8.66,31862644,276142364.0000,3,1.300516,1,-0.688100,21.653644,2.122357,0.338447,21.244947,0,8.656,8.619,8.584999999999997,1,1,1,1,1,82.75862068965519,74.46998722860802,99.33588761174954,1,-0.08066623292252828,-0.1352834909686304,0.054617258046102124
2010-03-01,sh.601186,8.6600,8.66,8.66,8.66,0,0.0000,3,,0,0.000000,21.653644,2.122357,0.338447,21.244947,0,8.66,8.636999999999999,8.582499999999996,1,1,1,1,1,77.39463601532576,78.4802043422734,75.22349936143047,-1,-0.07231081429352493,-0.1226889556336093,0.05037814134008438
2010-03-02,sh.601186,8.6600,8.66,8.66,8.66,0,0.0000,3,,0,0.000000,21.653644,2.122357,0.338447,21.244947,0,8.678,8.642999999999999,8.589499999999996,-1,1,1,1,1,68.58237547892723,76.24521072796942,53.25670498084284,-1,-0.06494049127315371,-0.11113926276151818,0.04619877148836447
2010-03-03,sh.601186,8.6600,8.66,8.66,8.66,0,0.0000,3,,0,0.000000,21.653644,2.122357,0.338447,21.244947,0,8.672,8.648,8.598999999999995,-1,1,1,1,1,66.66666666666667,70.88122605363992,58.23754789272016,-1,-0.058425959091687574,-0.10059660202755207,0.04217064293586449
2010-03-04,sh.601186,8.6800,8.72,8.43,8.46,58950816,506748973.0000,3,2.406156,1,-2.309500,21.153560,2.073341,0.330630,20.754301,0,8.620000000000001,8.633,8.596499999999995,-1,-1,-1,-1,1,47.67025089605746,60.97309768055049,21.064557327071398,-1,-0.06861057394561954,-0.09419939641116556,0.02558882246554603
2010-03-05,sh.601186,8.4700,8.5,8.4,8.44,39207263,330937195.0000,3,1.600296,1,-0.236400,21.103552,2.068440,0.329849,20.705237,0,8.575999999999999,8.615999999999998,8.592499999999996,-1,-1,-1,-1,-1,29.369597301286134,47.902171621336784,-7.695551338815164,-1,-0.07740352776057335,-0.09084022268104712,0.013436694920473766
2010-03-08,sh.601186,8.4500,8.48,8.4,8.44,35220491,297292545.0000,3,1.437571,1,0.000000,21.103552,2.068440,0.329849,20.705237,0,8.532,8.595999999999998,8.588999999999995,-1,-1,-1,-1,-1,11.068943706514808,29.369597301286166,-25.532363483027908,-1,-0.08341050265535976,-0.08935427867590964,0.005943776020549879
2010-03-09,sh.601186,8.4400,8.5,8.38,8.44,35152871,296824109.0000,3,1.434811,1,0.000000,21.103552,2.068440,0.329849,20.705237,0,8.488,8.582999999999998,8.587999999999996,-1,-1,-1,-1,-1,13.398692810457234,17.94574460608609,4.304589219199521,-1,-0.087166274978566,-0.08891667793644091,0.0017504029578749164
2010-03-10,sh.601186,8.4600,8.48,8.38,8.41,26488972,223168280.0000,3,1.081183,1,-0.355500,21.028539,2.061088,0.328676,20.631640,0,8.437999999999999,8.554999999999998,8.573999999999995,-1,-1,-1,-1,-1,12.418300653594509,12.295312390188883,12.664277180405762,1,-0.09150864617220478,-0.08943507158359368,-0.002073574588611099
2010-03-11,sh.601186,8.4200,8.45,8.37,8.44,19753477,166160782.0000,3,0.806264,1,0.356700,21.103552,2.068440,0.329849,20.705237,0,8.434,8.526999999999997,8.565499999999995,1,-1,-1,-1,-1,15.163398692810278,13.660130718954038,18.169934640522758,1,-0.09147479287750926,-0.08984301584237679,-0.0016317770351324673
2010-03-12,sh.601186,8.4600,8.49,8.38,8.39,22401696,188993608.0000,3,0.914355,1,-0.592400,20.978531,2.056186,0.327895,20.582575,0,8.424,8.499999999999998,8.559499999999995,-1,-1,-1,-1,-1,11.512605042016858,13.03143479614058,8.474945533769414,-1,-0.09439442584744917,-0.09075329784339127,-0.0036411280040579003
2010-03-15,sh.601186,8.4400,8.45,8.36,8.39,22819282,191603313.0000,3,0.931399,1,0.000000,20.978531,2.056186,0.327895,20.582575,0,8.414,8.472999999999999,8.554999999999996,-1,-1,-1,-1,-1,11.34920634920656,12.675070028011264,8.697478991597148,-1,-0.09560616762335528,-0.09172387179938407,-0.0038822958239712047
2010-03-16,sh.601186,8.4000,8.41,8.35,8.4,13901600,116533345.0000,3,0.567412,1,0.119200,21.003535,2.058637,0.328285,20.607108,0,8.406,8.447,8.544999999999996,-1,-1,-1,-1,-1,9.187044187044448,10.682951859422657,6.195228842288028,-1,-0.09466828818711903,-0.09231275507693107,-0.002355533110187963
2010-03-17,sh.601186,8.4200,8.5,8.39,8.49,24257664,205002149.0000,3,0.990109,1,1.071400,21.228573,2.080694,0.331803,20.827898,0,8.422,8.43,8.538999999999996,1,1,-1,-1,-1,38.39339339339359,19.6432146432149,75.89375089375096,1,-0.08567515429049877,-0.09098523491964461,0.005310080629145841
2010-03-18,sh.601186,8.5000,8.5,8.44,8.48,21825849,184876733.0000,3,0.890851,1,-0.117800,21.203569,2.078243,0.331412,20.803366,0,8.430000000000001,8.432,8.532499999999995,1,1,-1,-1,-1,64.50450450450471,37.36164736164761,118.79021879021889,1,-0.07845061742801462,-0.08847831142131861,0.010027693993303985
2010-03-19,sh.601186,8.4700,8.49,8.43,8.48,22017787,186385833.0000,3,0.898685,1,0.000000,21.203569,2.078243,0.331412,20.803366,0,8.448000000000002,8.436000000000002,8.525999999999994,1,1,-1,1,-1,88.88888888888914,63.928928928929174,138.8088088088091,1,-0.07189634361919595,-0.08516191786089408,0.013265574241698136
2010-03-22,sh.601186,8.4900,8.57,8.48,8.51,27011559,230315291.0000,3,1.102513,1,0.353800,21.278581,2.085595,0.332584,20.876962,0,8.472000000000001,8.443000000000001,8.519499999999994,1,1,-1,1,-1,82.02020202020218,78.4711984711987,89.11820911820911,1,-0.06354873486733759,-0.08083928126218279,0.017290546394845202
2010-03-23,sh.601186,8.5100,8.51,8.42,8.44,18960563,160406990.0000,3,0.773901,1,-0.822600,21.103552,2.068440,0.329849,20.705237,0,8.48,8.443000000000001,8.512999999999995,-1,-1,-1,1,-1,66.76767676767676,79.22558922558939,41.85185185185151,-1,-0.06186842903762191,-0.07704511081727061,0.015176681779648704
2010-03-24,sh.601186,8.4500,8.47,8.41,8.42,17673848,149142525.0000,3,0.721382,1,-0.237000,21.053543,2.063538,0.329067,20.656172,0,8.466000000000001,8.444000000000003,8.499499999999994,-1,-1,-1,1,-1,48.484848484848385,65.7575757575758,13.939393939393568,-1,-0.061442338384281925,-0.07392455633067288,0.012482217946390955
2010-03-25,sh.601186,8.4000,8.41,8.3,8.31,32707054,272596057.0000,3,1.334982,1,-1.306400,20.778497,2.036580,0.324768,20.386317,0,8.432000000000002,8.431000000000003,8.478999999999994,-1,-1,-1,1,-1,25.47699214365873,46.909839132061315,-17.388701833146442,-1,-0.0691832378623296,-0.07297629263700423,0.00379305477467462
2010-03-26,sh.601186,8.3200,8.4,8.28,8.35,24548268,204755366.0000,3,1.001970,1,0.481300,20.878514,2.046383,0.326331,20.484446,0,8.406000000000002,8.427000000000003,8.463499999999993,-1,-1,-1,-1,-1,19.886605518789413,31.2828153824322,-2.9058142084961602,-1,-0.07126874898772328,-0.07263478390714803,0.0013660349194247468
2010-03-29,sh.601186,8.4000,8.64,8.37,8.55,64081285,547020793.0000,3,2.615563,1,2.395200,21.378598,2.095398,0.334148,20.975092,0,8.414000000000001,8.443000000000001,8.457999999999995,1,1,1,-1,-1,34.280544912728836,26.54804752505902,49.745539688068476,1,-0.05613610102058075,-0.06933504732983457,0.01319894630925382
2010-03-30,sh.601186,8.5600,8.56,8.47,8.5,25719612,218659093.0000,3,1.049780,1,-0.584800,21.253577,2.083144,0.332194,20.852430,0,8.426000000000002,8.453000000000001,8.449999999999994,1,1,1,-1,-1,53.41634738186466,35.86116593779433,88.52671027000532,1,-0.047628914140105394,-0.06499382069188873,0.01736490655178334
2010-03-31,sh.601186,8.5000,8.51,8.42,8.43,23793532,201085371.0000,3,0.971165,1,-0.823500,21.078548,2.065989,0.329458,20.680704,0,8.428,8.447000000000003,8.438499999999994,1,-1,-1,-1,-1,59.259259259259274,48.98538385128429,79.80701007520925,1,-0.046005005169476476,-0.06119605758740628,0.015191052417929805
2010-04-01,sh.601186,8.4400,8.52,8.43,8.5,33104431,280751113.0000,3,1.351201,1,0.830400,21.253577,2.083144,0.332194,20.852430,0,8.466000000000001,8.449000000000002,8.440499999999995,1,1,1,1,1,54.6296296296296,55.76841209025121,52.35206470838638,-1,-0.03862439266918827,-0.05668172460376268,0.018057331934574414
2010-04-02,sh.601186,8.5400,8.54,8.49,8.51,31831347,270753015.0000,3,1.299239,1,0.117600,21.278581,2.085595,0.332584,20.876962,0,8.498000000000001,8.452000000000002,8.443999999999994,1,1,1,1,1,55.55555555555551,56.481481481481495,53.703703703703525,-1,-0.031603976691251034,-0.05166617502126035,0.020062198330009315
2010-04-06,sh.601186,8.5100,8.53,8.45,8.47,27909069,236912091.0000,3,1.139146,1,-0.470000,21.178565,2.075792,0.331021,20.778833,0,8.482,8.448000000000002,8.445499999999994,-1,1,1,1,1,59.259259259259274,56.481481481481495,64.81481481481484,1,-0.02893437469496085,-0.04711981495600045,0.018185440261039597
2010-04-07,sh.601186,8.4800,8.49,8.42,8.43,20828453,175776664.0000,3,0.850141,1,-0.472300,21.078548,2.065989,0.329458,20.680704,0,8.468,8.447000000000003,8.444999999999995,-1,-1,-1,1,1,52.77777777777779,55.86419753086423,46.60493827160491,-1,-0.029703952906471542,-0.043636642546094666,0.013932689639623123
2010-04-08,sh.601186,8.4200,8.43,8.34,8.36,31495691,263796341.0000,3,1.285538,1,-0.830400,20.903518,2.048834,0.326722,20.508978,0,8.453999999999999,8.441000000000003,8.442499999999995,-1,-1,-1,1,1,38.888888888888914,50.308641975308696,16.04938271604935,-1,-0.03555243779689654,-0.04201980159625504,0.0064673637993585
2010-04-09,sh.601186,8.3700,8.43,8.35,8.4,22596053,189358256.0000,3,0.922288,1,0.478500,21.003535,2.058637,0.328285,20.607108,0,8.434,8.450000000000003,8.440499999999997,-1,-1,-1,-1,-1,27.962962962962973,39.8765432098766,4.135802469135712,-1,-0.036538544901397074,-0.04092355025728345,0.004385005355886373
