date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2017-04-05,sh.601212,12.7000,12.97,12.2,12.79,128482577,1624203328.0000,3,18.407246,1,-1.615385,242.648843,7.756064,1.478643,868.898306,0,13.853999999999996,14.898999999999996,13.107,-1,-1,-1,-1,1,9.100170241743259,14.547329338450771,-1.7941479516717642,-1,2.5418638397520823,3.430539569547121,-0.8886757297950387
2017-04-06,sh.601212,12.6100,13.12,12.61,12.86,115215072,1486613392.0000,3,16.506457,1,0.547300,243.976866,7.798513,1.486735,873.653809,0,13.367999999999995,14.643999999999995,13.385,-1,-1,-1,-1,-1,9.848484848484842,9.661468618771972,10.222517307910582,1,2.292069334918324,3.2028455226213617,-0.9107761877030378
2017-04-07,sh.601212,12.7100,13.76,12.7,13.29,180465121,2408016736.0000,3,25.854602,1,3.343704,252.134724,8.059272,1.536447,902.866183,0,13.193999999999994,14.343999999999994,13.648000000000001,1,-1,-1,-1,-1,16.44345238095238,11.797369157060155,25.73561882873683,1,2.104542935576566,2.9831850052124027,-0.8786420696358368
2017-04-10,sh.601212,12.8000,12.87,11.96,11.96,159603015,1953025008.0000,3,22.865761,1,-10.007520,226.902280,7.252738,1.382687,812.511629,0,12.779999999999994,13.879999999999995,13.8045,-1,-1,-1,-1,-1,12.510119047619048,12.934018759018754,11.662319624819634,-1,1.8275402815557964,2.7520560604810815,-0.9245157789252851
2017-04-11,sh.601212,11.7000,12.28,11.41,12.2,116106211,1396137040.0000,3,16.634128,1,2.006687,231.455503,7.398278,1.410433,828.816210,0,12.619999999999994,13.523999999999996,13.929000000000002,-1,-1,-1,-1,-1,13.988095238095228,14.313888888888881,13.336507936507925,-1,1.6088340394420229,2.52341165627327,-0.9145776168312469
2017-04-12,sh.601212,12.1700,12.17,11.48,11.52,104596199,1229844736.0000,3,14.985129,1,-5.573765,218.554704,6.985915,1.331819,782.619897,0,12.365999999999994,13.109999999999996,13.971,-1,-1,-1,-1,-1,6.979077291577279,11.159097192430513,-1.3809625101291907,-1,1.364903689758103,2.2917100629702363,-0.9268063732121332
2017-04-13,sh.601212,11.5000,11.79,11.3,11.55,69917148,806220512.0000,3,10.016783,1,0.260414,219.123857,7.004108,1.335287,784.657970,0,12.103999999999994,12.735999999999997,13.961000000000002,-1,-1,-1,-1,-1,9.535314510391185,10.167495680021224,8.270952171131107,-1,1.1606288723161935,2.065493824839428,-0.9048649525232344
2017-04-14,sh.601212,11.6100,11.87,11.3,11.56,81444112,947488560.0000,3,11.668211,1,0.086582,219.313575,7.010172,1.336443,785.337327,0,11.757999999999994,12.475999999999997,13.892500000000002,-1,-1,-1,-1,-1,6.666597579174261,7.726996460380902,4.545799816760978,-1,0.988155680618787,1.8500261959952997,-0.8618705153765127
2017-04-17,sh.601212,10.6400,10.79,10.4,10.4,71632015,751548240.0000,3,10.262466,1,-10.034610,197.306330,6.306729,1.202336,706.531851,0,11.445999999999994,12.112999999999998,13.7015,-1,-1,-1,-1,-1,5.5654964780731655,7.25580285587953,2.1848837224604374,-1,0.7492304656921149,1.6298670499346628,-0.8806365842425479
2017-04-18,sh.601212,9.9300,10.24,9.83,9.86,79888476,800258384.0000,3,11.445340,1,-5.192307,187.061579,5.979264,1.139907,669.846544,0,10.977999999999994,11.798999999999998,13.472999999999999,-1,-1,-1,-1,-1,3.2637121854679054,5.16526874757177,-0.5394009387398242,-1,0.5104231837331312,1.4059782766943565,-0.8955550929612253
