date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2011-09-23,sh.601222,14.6000,15.12,14.49,15.1,2767169,41146806.0000,3,4.611948,1,1.958100,24.651973,6.819995,3.396564,60.369226,0,15.012000000000004,15.237000000000004,16.544999999999998,1,-1,-1,-1,-1,35.98956764836522,28.337993313260373,51.29271631857491,1,-1.2455740772142718,-1.238273707641462,-0.007300369572809773
2011-09-26,sh.601222,15.1000,15.45,14.86,15.13,2617400,39744708.0000,3,4.362333,1,0.198700,24.700950,6.833545,3.403312,60.489165,0,15.102000000000004,15.162000000000003,16.323999999999998,1,-1,-1,-1,-1,33.49173002534349,32.14988744638754,36.17541518325541,1,-1.2021682148144102,-1.2310526090760516,0.028884394261641466
2011-09-27,sh.601222,15.2200,15.39,14.88,15.29,2950898,44862262.0000,3,4.918163,1,1.057500,24.962163,6.905810,3.439303,61.128839,0,15.184000000000003,15.191000000000003,16.1355,1,1,-1,-1,-1,46.48526077097503,38.65551948156126,62.14474334980258,1,-1.1416973173237555,-1.2131815507255923,0.07148423340183685
2011-09-28,sh.601222,15.3800,15.39,14.8,14.87,2130098,32203180.0000,3,3.550163,1,-2.746900,24.276479,6.716115,3.344829,59.449695,0,15.040000000000003,15.131000000000004,15.948999999999998,-1,-1,-1,-1,-1,41.70068027210881,40.559223689475786,43.983593437374864,1,-1.114813311400038,-1.1935079028604814,0.07869459146044333
2011-09-29,sh.601222,14.7800,14.78,14.0,14.07,3607855,51699090.0000,3,6.013092,1,-5.380000,22.970414,6.354790,3.164878,56.251325,0,14.892000000000001,14.967000000000002,15.738499999999997,-1,-1,-1,-1,-1,28.456324558808998,38.88075520063095,7.607463275165088,-1,-1.1448635824125102,-1.183779038770887,0.0389154563583769
2011-09-30,sh.601222,14.1500,14.24,13.72,14.01,1614988,22576051.0000,3,2.691647,1,-0.426400,22.872459,6.327691,3.151382,56.011447,0,14.674000000000001,14.843,15.524999999999995,-1,-1,-1,-1,-1,14.875483417320973,28.344162749412934,-12.061875246862947,-1,-1.1601466883919382,-1.1790525686950972,0.018905880303158984
2011-10-10,sh.601222,14.1800,14.2,13.91,13.95,972427,13647679.0000,3,1.620712,1,-0.428300,22.774504,6.300592,3.137886,55.771570,0,14.437999999999999,14.77,15.293999999999993,-1,-1,-1,-1,-1,9.444216570959794,17.592008182363262,-6.851366651847144,-1,-1.163685911727482,-1.1759792373015743,0.01229332557409224
2011-10-11,sh.601222,14.3000,14.48,13.88,14.05,2198830,31285237.0000,3,3.664717,1,0.716800,22.937763,6.345757,3.160379,56.171366,0,14.190000000000001,14.687000000000001,15.107499999999996,-1,-1,-1,-1,-1,14.355875909829683,12.89185863270349,17.283910464082066,1,-1.145220221614558,-1.169827434164171,0.024607212549613067
2011-10-12,sh.601222,13.9900,14.62,13.8,14.55,3230038,46407394.0000,3,5.383397,1,3.558700,23.754053,6.571585,3.272848,58.170347,0,14.126000000000001,14.583000000000002,15.030499999999998,1,-1,-1,-1,-1,25.78842035306234,16.52950427795061,44.3062525032858,1,-1.0778158180034136,-1.1514251109320195,0.07360929292860585
2011-10-13,sh.601222,14.5400,14.83,14.5,14.63,2919143,42821768.0000,3,4.865238,1,0.549800,23.884659,6.607717,3.290843,58.490184,0,14.238000000000003,14.565000000000001,14.939999999999998,1,1,-1,-1,-1,39.70578684159258,26.616694368161536,65.88397178845466,1,-1.0063415323479177,-1.122408395215199,0.1160668628672814
