date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2011-07-05,sh.601233,28.0900,28.14,27.5,27.77,6980694,193645309.0000,3,7.271556,1,-1.314900,12.254440,5.062681,0.910028,36.301787,0,27.382000000000012,26.466,25.612500000000004,1,1,1,1,1,92.5112563543936,91.23443399033953,95.06490108250173,1,0.07204351932966802,-0.5643709481138236,0.6364144674434916
2011-07-06,sh.601233,27.4900,27.96,27.03,27.75,6579560,179931613.0000,3,6.853708,1,-0.072000,12.245614,5.059035,0.909372,36.275643,0,27.628000000000007,26.841,25.749000000000006,1,1,1,1,1,90.38715305453707,91.88805380894019,87.38535154573083,-1,0.16292961910749426,-0.41891083466956003,0.5818404537770543
2011-07-07,sh.601233,27.7300,29.2,27.68,28.42,9701361,275692908.0000,3,10.105584,1,2.414400,12.541274,5.181181,0.931328,37.151487,0,27.870000000000005,27.144000000000005,25.922500000000007,1,1,1,1,1,84.07629230753726,88.99156723882264,74.24574244496651,-1,0.2857272229891805,-0.2779832231378119,0.5637104461269924
2011-07-08,sh.601233,28.2000,28.6,28.05,28.3,5015351,141821637.0000,3,5.224324,1,-0.422241,12.488320,5.159304,0.927396,36.994619,0,28.076000000000004,27.413000000000004,26.067000000000007,1,1,1,1,1,78.08061260135428,84.1813526544762,65.87913249511041,-1,0.3691073716373481,-0.14856510418277988,0.517672475820128
2011-07-11,sh.601233,28.2000,28.43,27.8,28.02,5761849,162216534.0000,3,6.001926,1,-0.989400,12.364761,5.108258,0.918220,36.628595,0,28.052000000000003,27.583000000000006,26.19750000000001,-1,1,1,1,1,70.23925686991618,77.46538725960256,55.7869960905434,-1,0.407891164776089,-0.037273850391006086,0.44516501516709506
2011-07-12,sh.601233,27.7000,27.75,26.75,26.8,9289802,252510382.0000,3,9.676877,1,-4.354000,11.826395,4.885843,0.878241,35.033774,0,27.858000000000004,27.620000000000005,26.264000000000003,-1,-1,1,1,1,49.35140187330861,65.89042378152637,16.273358056873093,-1,0.33630705780757,0.03744233124870912,0.29886472655886087
2011-07-13,sh.601233,26.9900,28.18,26.97,27.99,7679475,212283511.0000,3,7.999453,1,4.440300,12.351522,5.102789,0.917237,36.589378,0,27.906000000000006,27.767000000000003,26.386000000000003,1,1,1,1,1,42.442956966683504,54.0112052366361,19.3064604267783,-1,0.3713188593814323,0.10421763687525376,0.2671012225061785
2011-07-14,sh.601233,28.1800,30.59,28.15,29.84,16260699,480424404.0000,3,16.938228,1,6.609500,13.167897,5.440058,0.977862,39.007754,0,28.190000000000005,28.03,26.6595,1,1,1,1,1,48.956822860723236,46.91706056690512,53.036347448359464,1,0.5420965516756979,0.1917934198353426,0.35030313184035533
2011-07-15,sh.601233,29.8000,30.66,29.61,30.08,9659467,291676495.0000,3,10.061945,1,0.804300,13.273805,5.483812,0.985727,39.321489,0,28.546000000000003,28.311,26.975500000000004,1,1,1,1,1,72.08241176905544,54.4940638654874,107.25910757619151,1,0.6888642986107989,0.29120759559043385,0.39765670302036504
2011-07-18,sh.601233,30.0300,32.4,30.03,31.53,11255949,355298888.0000,3,11.724947,1,4.820500,13.913666,5.748158,1.033244,41.216973,0,29.248,28.65,27.381000000000007,1,1,1,1,1,83.41225344023722,68.15049602333863,113.93576827403439,1,0.9116724844019934,0.4153005733527458,0.49637191104924766
2011-07-19,sh.601233,31.0000,32.25,30.61,31.26,8569155,269017517.0000,3,8.926203,1,-0.856300,13.794519,5.698935,1.024396,40.864021,0,30.140000000000004,28.999000000000002,27.732500000000005,1,1,1,1,1,83.19700639008974,79.56389053312746,90.4632381040143,1,1.0543094107694309,0.5431023408360828,0.5112070699333481
2011-07-20,sh.601233,31.5400,31.7,30.02,30.55,9390009,287817483.0000,3,9.781259,1,-2.271300,13.481208,5.569496,1.001129,39.935888,0,30.652000000000005,29.279000000000003,28.060000000000002,-1,1,1,1,1,77.2271386430679,81.27879949113162,69.12381694694045,-1,1.0974088897095093,0.6539636506107681,0.44344523909874123
2011-07-21,sh.601233,30.5000,31.45,30.31,30.72,7338498,227093623.0000,3,7.644269,1,0.556500,13.556226,5.600489,1.006700,40.158117,0,30.828000000000003,29.509000000000004,28.326500000000003,-1,1,1,1,1,72.448377581121,77.62417420475954,62.096784333843885,-1,1.1322314570875243,0.7496172119061193,0.38261424518140497
2011-07-22,sh.601233,30.8600,31.11,30.13,30.8,5435201,166323775.0000,3,5.661668,1,0.260400,13.591529,5.615073,1.009321,40.262695,0,30.972,29.759000000000004,28.586000000000002,-1,1,1,1,1,69.73451327433632,73.1366764995084,62.93018682399216,-1,1.1529929391405283,0.8302923573530011,0.32270058178752714
2011-07-25,sh.601233,30.4900,31.47,29.6,29.85,8804472,267723199.0000,3,9.171325,1,-3.084400,13.172310,5.441881,0.978190,39.020826,0,30.636000000000003,29.942000000000007,28.7625,-1,-1,1,1,1,64.99519222933885,69.05936102826537,56.866854631485836,-1,1.080336061100681,0.8803010981025371,0.20003496299814383
2011-07-26,sh.601233,29.6000,30.2,29.45,29.76,5028002,149715234.0000,3,5.237502,1,-0.301500,13.132594,5.425473,0.975240,38.903176,0,30.336000000000002,30.238000000000007,28.929000000000002,-1,-1,1,1,1,54.20081430117646,62.976839934950526,36.64876303362833,-1,1.003920147410195,0.9050249079640686,0.09889523944612644
2011-07-27,sh.601233,29.5200,32.74,29.51,32.74,14652261,464627998.0000,3,15.262772,1,10.013400,14.447619,5.968750,1.072896,42.798722,0,30.774,30.713000000000005,29.240000000000002,1,1,1,1,1,63.64034232477527,60.94544961843017,69.03012773746546,1,1.17033024184175,0.9580859747396049,0.21224426710214517
2011-07-28,sh.601233,32.5000,32.87,31.89,32.75,10290247,333732910.0000,3,10.719007,1,0.030500,14.452031,5.970573,1.073223,42.811794,0,31.18,31.00400000000001,29.517000000000003,1,1,1,1,1,78.12452700378402,65.32189454324522,103.72979192486164,1,1.2881691449793848,1.0241026087875609,0.26406653619182396
2011-07-29,sh.601233,32.7000,34.15,31.9,31.97,13212659,436541478.0000,3,13.763186,1,-2.381700,14.107830,5.828373,1.047663,41.792155,0,31.413999999999998,31.193000000000005,29.752000000000002,1,1,1,1,1,83.36941644892377,75.04476192582767,100.01872549511597,1,1.303590859460673,1.0800002589221833,0.22359060053848978
2011-08-01,sh.601233,31.8800,33.0,31.65,32.6,6902153,223825106.0000,3,7.189743,1,1.970600,14.385839,5.943227,1.068308,42.615710,0,31.964,31.30000000000001,29.975000000000005,1,1,1,1,1,72.37650864750536,77.9568173667377,61.21589120904068,-1,1.3510740732627013,1.1342150217902869,0.21685905147241447
2011-08-02,sh.601233,32.3100,33.58,32.2,33.56,10751491,355887707.0000,3,11.199470,1,2.944800,14.809471,6.118242,1.099767,43.870651,0,32.724000000000004,31.530000000000012,30.26450000000001,1,1,1,1,1,69.36170212765965,75.03587574136291,58.01335490025312,-1,1.4494603624436344,1.1972640899209563,0.25219627252267807
2011-08-03,sh.601233,33.1700,33.89,32.8,33.45,6539663,217908097.0000,3,6.812149,1,-0.327800,14.760930,6.098188,1.096162,43.726856,0,32.866,31.82000000000001,30.549500000000013,1,1,1,1,1,79.8581560283689,73.86545560117794,91.84355688275079,1,1.501250641859535,1.258061400308672,0.24318924155086297
2011-08-04,sh.601233,33.2600,33.67,32.12,32.43,10151065,332646111.0000,3,10.574026,1,-3.049300,14.310821,5.912234,1.062737,42.393481,0,32.802,31.991000000000014,30.75000000000001,-1,1,1,1,1,78.65248226950364,75.95744680851071,84.04255319148947,1,1.4433512808109192,1.2951193764091216,0.14823190440179768
2011-08-05,sh.601233,33.6000,35.6,33.53,34.47,24991372,867063818.0000,3,26.032679,1,6.290500,13.041171,2.648755,0.943120,6.767768,0,33.302,32.35800000000002,31.058500000000016,1,1,1,1,1,76.7122181860117,78.40761882796137,73.32141690211236,-1,1.544275128641079,1.344950526855513,0.19932460178556588
2011-08-08,sh.601233,33.4600,35.3,32.77,34.91,18129488,621203991.0000,3,18.884883,1,1.276500,13.207638,2.682566,0.955159,6.854157,0,33.763999999999996,32.86400000000001,31.403000000000013,1,1,1,1,1,77.90007410607593,77.75492485386371,78.19037261050039,1,1.640847657526347,1.4041299529896798,0.2367177045366673
2011-08-09,sh.601233,33.8100,35.38,33.0,34.8,13120393,450620185.0000,3,13.667076,1,-0.315100,13.166022,2.674113,0.952149,6.832560,0,34.012,33.36800000000001,31.803000000000015,1,1,1,1,1,83.34760081403891,79.3199643687088,91.40287370469915,1,1.6890358478777543,1.4611111319672947,0.2279247159104596
2011-08-10,sh.601233,35.3500,37.43,34.8,35.27,18550036,667837573.0000,3,19.322954,1,1.350600,13.343839,2.710229,0.965009,6.924838,0,34.376000000000005,33.62100000000001,32.167000000000016,1,1,1,1,1,77.01551465580712,79.42106319197394,72.20441758347349,-1,1.7450347337897938,1.5178958523317945,0.22713888145799932
2011-08-11,sh.601233,34.6000,36.85,34.32,36.09,13873919,497599022.0000,3,14.451999,1,2.324900,13.654072,2.773240,0.987445,7.085836,0,35.108000000000004,33.955000000000005,32.479500000000016,1,1,1,1,1,73.06440074168168,77.8091720705092,63.57485808402663,-1,1.834435174503902,1.581203716766216,0.25323145773768596
2011-08-12,sh.601233,36.1300,36.17,35.4,35.81,10595141,379139045.0000,3,11.036605,1,-0.775800,13.548139,2.751724,0.979784,7.030861,0,35.376000000000005,34.339000000000006,32.766000000000005,1,1,1,1,1,69.64596406857868,73.24195982202245,62.45397256169113,-1,1.8612368283453975,1.6372103390820523,0.22402648926334523
2011-08-15,sh.601233,35.5400,36.09,35.41,35.59,7708517,275425383.0000,3,8.029705,1,-0.614400,13.464905,2.734818,0.973764,6.987667,0,35.51200000000001,34.638,32.96900000000001,1,1,1,1,1,70.5521778889911,71.08751423308378,69.48150520080574,-1,1.8434747414309527,1.6784632195518323,0.16501152187912038
2011-08-16,sh.601233,35.5000,36.48,35.5,35.82,7811252,281085370.0000,3,8.136721,1,0.646200,13.551922,2.752492,0.980057,7.032824,0,35.71600000000001,34.864,33.19700000000002,1,1,1,1,1,68.17325800376658,69.45713332044541,65.6055073704089,-1,1.8268978956554633,1.7081501547725586,0.11874774088290474
2011-08-17,sh.601233,35.9000,35.9,34.8,35.05,10298139,362072497.0000,3,10.727228,1,-2.149600,13.260605,2.693324,0.958989,6.881644,0,35.672000000000004,35.024,33.42200000000001,-1,1,1,1,1,61.31842907139339,66.68128832138365,50.59271057141288,-1,1.7316664877612098,1.7128534213702888,0.01881306639092095
2011-08-18,sh.601233,34.9400,35.05,33.7,34.17,16843386,576087949.0000,3,14.036155,1,-2.510700,12.927671,2.625702,0.934912,6.708867,0,35.288,35.198,33.59450000000001,-1,-1,1,1,1,49.54993547413712,59.68054084976566,29.288724722880033,-1,1.5671214646217138,1.6837070300205739,-0.11658556539886011
2011-08-19,sh.601233,33.5000,34.16,33.4,33.88,8554670,289454442.0000,3,7.128892,1,-0.848700,12.817954,2.603418,0.926978,6.651929,0,34.902,35.138999999999996,33.748500000000014,-1,-1,1,-1,1,32.94483896698606,47.93773450417216,2.9590478926138672,-1,1.3972115864967876,1.6264079413158166,-0.229196354819029
2011-08-22,sh.601233,34.0000,34.28,32.55,32.68,12390548,413401425.0000,3,10.325457,1,-3.541900,12.363954,2.511207,0.894145,6.416323,0,34.32,34.916000000000004,33.89000000000001,-1,-1,-1,-1,1,17.523804233526135,33.33952622488308,-14.107639749187754,-1,1.1524421767237385,1.531614788397401,-0.37917261167366245
2011-08-23,sh.601233,32.6800,32.68,32.68,32.68,0,0.0000,3,,0,0.000000,12.363954,2.511207,0.894145,6.416323,0,33.692,34.704,34.03600000000001,-1,-1,-1,-1,-1,8.517250019865445,19.661964406792517,-13.772178753988698,-1,0.9475380274517065,1.414799436208262,-0.46726140875655564
2011-08-24,sh.601233,33.8000,35.35,33.5,34.71,17202394,592122940.0000,3,14.335328,1,6.211800,13.131972,2.667197,0.949687,6.814889,0,33.62400000000001,34.648,34.13450000000001,1,1,1,-1,-1,20.216340767083995,15.419131673491828,29.810758954268334,1,0.938139756341684,1.3194675002349465,-0.3813277438932625
2011-08-25,sh.601233,34.5000,34.96,34.01,34.76,10610626,366137006.0000,3,8.842188,1,0.144100,13.150888,2.671039,0.951055,6.824706,0,33.742000000000004,34.515,34.23500000000001,1,1,1,-1,-1,38.07306152237814,22.268884103109162,69.6814163609161,1,0.924073991154728,1.2403887984189028,-0.3163148072641748
2011-08-26,sh.601233,34.7900,35.3,34.58,35.28,8975034,314276024.0000,3,7.479195,1,1.495974,13.347622,2.710997,0.965282,6.926802,0,34.022000000000006,34.462,34.40050000000001,1,1,1,-1,-1,60.220525869380936,39.503309386280996,101.65495883558081,1,0.9440045285022194,1.1811119444355662,-0.23710741593334683
2011-08-29,sh.601233,34.9200,35.2,34.39,34.47,7461949,259381380.0000,3,6.218291,1,-2.295900,13.041171,2.648755,0.943120,6.767768,0,34.38000000000001,34.35,34.49400000000001,1,1,-1,1,-1,61.004392794298305,53.09932672868576,76.8145249255234,1,0.8842463508855474,1.1217388257255625,-0.23749247484001512
2011-08-30,sh.601233,34.8000,34.84,33.48,33.58,8194430,280720388.0000,3,6.828692,1,-2.582000,12.704454,2.580365,0.918769,6.593027,0,34.56,34.126,34.49500000000001,-1,-1,-1,1,1,54.5215986588324,58.582172440837184,46.40045109482284,-1,0.7563532333695235,1.0486617072543547,-0.29230847388483117
2011-08-31,sh.601233,34.0000,35.35,33.9,34.73,13481578,468546981.0000,3,11.234648,1,3.424700,13.139538,2.668734,0.950234,6.818816,0,34.564,34.094,34.55900000000001,1,1,1,1,1,57.318763326226,57.61491825978553,56.726453459106935,-1,0.7392705545934959,0.9867834767221829,-0.24751292212868703
2011-09-01,sh.601233,34.7800,35.18,34.0,34.97,8834126,306084830.0000,3,7.361772,1,0.691000,13.230338,2.687176,0.956801,6.865937,0,34.606,34.174,34.686000000000014,1,1,1,1,-1,67.02380952380948,59.62139050295593,81.82864756551658,1,0.7366072529359968,0.9367482319649457,-0.2001409790289489
2011-09-02,sh.601233,34.8500,35.19,33.9,34.49,7780339,268279544.0000,3,6.483616,1,-1.372600,13.048738,2.650292,0.943668,6.771695,0,34.448,34.235,34.68700000000001,1,1,-1,1,-1,77.35865881933294,67.23374388978944,97.60848867841995,1,0.6878356376438148,0.8869657131007196,-0.19913007545690475
2011-09-05,sh.601233,34.0000,34.69,33.15,33.27,7972314,270155976.0000,3,6.643595,1,-3.537300,12.587171,2.556544,0.910288,6.532163,0,34.208000000000006,34.294,34.60500000000001,-1,-1,-1,-1,-1,53.22445968513392,65.86897600942542,27.93542703655092,-1,0.5444637380542829,0.8184653180914323,-0.27400158003714936
2011-09-06,sh.601233,15.6200,16.2,15.36,15.45,8539130,133611900.0000,3,3.557971,1,-4.864500,11.690519,2.374428,0.845443,6.066842,0,30.582000000000004,32.571,33.63750000000002,-1,-1,-1,-1,-1,24.565010913128898,51.716043139198554,-29.737053539010418,-1,-0.995607849807076,0.45565068451173063,-1.4512585343188067
2011-09-07,sh.601233,15.4900,15.78,15.01,15.69,16161904,249060965.0000,3,6.734127,1,1.553400,11.872120,2.411312,0.858576,6.161084,0,26.774000000000008,30.669,32.65850000000002,-1,-1,-1,-1,-1,3.0826455807088617,26.957372059657192,-44.6668073771878,-1,-2.171725386167889,-0.06982452962419339,-2.1019008565436956
2011-09-08,sh.601233,15.6800,15.68,14.85,14.88,17699634,268850064.0000,3,7.374847,1,-5.162521,11.259219,2.286828,0.814252,5.843017,0,22.756000000000007,28.681,31.59800000000002,-1,-1,-1,-1,-1,1.3132442503318569,9.653633581389839,-15.367534411784106,-1,-3.1330513717933925,-0.6824698980580333,-2.450581473735359
2011-09-09,sh.601233,14.9200,15.18,14.23,14.66,13499943,198329676.0000,3,5.624976,1,-1.478500,11.092752,2.253017,0.802213,5.756628,0,18.790000000000003,26.619,30.540500000000016,-1,-1,-1,-1,-1,1.8418308289747136,2.07924022000511,1.3670120469139206,-1,-3.868072569969577,-1.319590432440342,-2.548482137529235
2011-09-13,sh.601233,14.2100,15.06,14.21,14.75,12034059,178040883.0000,3,5.014191,1,0.613900,11.160852,2.266849,0.807138,5.791969,0,15.086000000000002,24.647,29.498500000000014,-1,-1,-1,-1,-1,1.5789085183468405,1.577994532551103,1.580736489938316,1,-4.392683792814513,-1.9342091045151761,-2.4584746882993365
2011-09-14,sh.601233,14.4500,15.72,14.45,15.55,17349575,261667725.0000,3,7.228990,1,5.423700,11.766186,2.389796,0.850915,6.106109,0,15.106,22.844,28.485000000000007,1,-1,-1,-1,-1,3.6591397877710676,2.3599597116975066,6.25749993991819,1,-4.689827243273488,-2.4853327322668384,-2.2044945110066494
