date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2011-06-16,sh.601258,31.6000,31.65,30.59,30.6,931224,28922248.0000,3,0.831450,1,-3.470000,25.954826,9.805392,0.596700,6.353401,0,31.566000000000003,32.27700000000001,32.8345,-1,-1,-1,-1,-1,9.262560242952391,12.15018729346294,3.4873061419312954,-1,-0.7892278150338754,-0.6048598305403929,-0.18436798449348246
2011-06-17,sh.601258,30.5800,30.7,29.73,29.75,667095,20001300.0000,3,0.595621,1,-2.777800,25.233858,9.533020,0.580125,6.176918,0,31.137999999999998,31.980000000000008,32.5715,-1,-1,-1,-1,-1,3.227474319984444,8.362879074130449,-7.043335188307566,-1,-0.9277660979004736,-0.6694410840124091,-0.2583250138880645
2011-06-20,sh.601258,29.7500,29.76,27.87,28.85,1347967,38511389.0000,3,1.203542,1,-3.025200,24.470481,9.244626,0.562575,5.990053,0,30.560000000000002,31.56400000000001,32.2675,-1,-1,-1,-1,-1,6.0273640474044194,6.172466203447084,5.737159735319091,-1,-1.097529526381141,-0.7550587724861555,-0.3424707538949856
2011-06-21,sh.601258,28.9000,28.95,28.5,28.7,732350,21005177.0000,3,0.653884,1,-0.519900,24.343252,9.196560,0.559650,5.958909,0,29.919999999999998,31.105000000000008,31.991000000000003,-1,-1,-1,-1,-1,11.10587481697207,6.786904394786977,19.74381566134226,1,-1.229993414491279,-0.8500457008871802,-0.37994771360409874
2011-06-22,sh.601258,28.8000,28.98,28.21,28.64,394898,11310671.0000,3,0.352587,1,-0.209100,24.292360,9.177334,0.558480,5.946451,0,29.308,30.627000000000002,31.719,-1,-1,-1,-1,-1,16.138030832344825,11.090423232240438,26.2332460325536,1,-1.3245449688283806,-0.9449455544754203,-0.3795994143529603
2011-06-23,sh.601258,28.3500,29.47,28.35,29.31,857536,24941856.0000,3,0.765657,1,2.339400,24.860652,9.392027,0.571545,6.085562,0,29.05,30.308000000000003,31.5015,1,-1,-1,-1,-1,22.047450071229814,16.4304519068489,33.28144639999164,1,-1.3300819989349044,-1.0219728433673172,-0.3081091555675872
2011-06-24,sh.601258,29.0700,29.98,29.05,29.82,1759583,52028052.0000,3,1.571056,1,1.740000,25.293232,9.555451,0.581490,6.191452,0,29.064,30.101000000000006,31.321500000000004,1,-1,-1,-1,-1,32.866558072844136,23.68401299213959,51.231648234253235,1,-1.27857873763449,-1.0732940222207517,-0.20528471541373827
2011-06-27,sh.601258,29.8600,29.96,29.59,29.78,804786,23934944.0000,3,0.718559,1,-0.134100,25.259304,9.542633,0.580710,6.183147,0,29.25,29.90500000000001,31.1855,1,-1,-1,-1,-1,43.41941356123274,32.77780723510222,64.70262621349376,1,-1.2268473649616887,-1.1040046907689391,-0.12284267419274952
2011-06-28,sh.601258,29.7000,29.88,29.15,29.58,846233,24921953.0000,3,0.755565,1,-0.671600,25.089665,9.478546,0.576810,6.141621,0,29.426,29.67300000000001,31.078000000000003,1,-1,-1,-1,-1,46.8482932037046,41.04475494592715,58.455369719259494,1,-1.1882903366287358,-1.1208618199408984,-0.06742851668783745
2011-06-29,sh.601258,29.5300,29.76,29.02,29.03,664118,19545080.0000,3,0.592962,1,-1.859400,24.623157,9.302305,0.566085,6.027426,0,29.503999999999998,29.406000000000006,30.9295,-1,-1,-1,1,-1,44.50157408471792,44.923093616551746,43.65853502105027,-1,-1.1884147123037287,-1.1343723984134644,-0.05404231389026437
