date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2019-03-14,sh.601298,8.8000,8.97,8.28,8.4,68840700,588404542.0000,3,15.150602,1,-6.458797,15.786456,2.153429,4.879533,-13.088496,0,9.313999999999997,8.867999999999999,8.058499999999999,-1,-1,1,1,1,51.36441775267692,66.43561589401703,21.22202146999669,-1,0.5545860535758376,0.42374264927453115,0.13084340430130642
2019-03-15,sh.601298,8.4900,8.78,8.34,8.65,56217712,479319076.0000,3,12.372509,1,2.976191,16.256291,2.217519,5.024757,-13.478034,0,9.153999999999998,8.953999999999999,8.145,-1,-1,1,1,1,33.412463586246595,51.89184299793357,-3.546295237127353,-1,0.513087935204867,0.44161170646059833,0.07147622874426862
2019-03-18,sh.601298,8.6400,9.01,8.43,9.01,68742975,606054786.0000,3,15.129095,1,4.161857,16.932854,2.309809,5.233880,-14.038970,0,8.983999999999998,9.041,8.243999999999998,1,-1,1,-1,1,30.356188159511785,38.377689832811775,14.3131848129118,-1,0.5034459571625973,0.4539785566009981,0.049467400561599206
2019-03-19,sh.601298,9.0500,9.45,8.88,9.17,70569332,643512254.0000,3,15.531043,1,1.775803,17.233548,2.350827,5.326824,-14.288275,0,8.841999999999997,9.148,8.344999999999997,1,1,1,-1,1,36.68399518019666,33.484215641985024,43.083554256619934,1,0.502917957760106,0.4637664368328197,0.03915152092728624
2019-03-20,sh.601298,9.4200,9.9,9.28,9.81,117318589,1129728992.0000,3,25.819715,1,6.979284,18.436326,2.514898,5.698598,-15.285493,0,9.008,9.268,8.487499999999997,1,1,1,-1,1,51.362765416650376,39.46764958545295,75.15299707904522,1,0.5478271552908023,0.4805785805244162,0.06724857476638607
2019-03-21,sh.601298,10.3000,10.3,9.6,9.65,142537046,1422435323.0000,3,31.369845,1,-1.630997,18.135631,2.473880,5.605654,-15.036189,0,9.258,9.286000000000001,8.627499999999998,1,1,1,-1,1,59.33767403404645,49.128144876964505,79.75673234821035,1,0.5640058467431626,0.49726403376816547,0.0667418129749971
2019-03-22,sh.601298,9.4200,9.9,9.21,9.72,96980845,933697715.0000,3,21.343743,1,0.725395,18.267185,2.491825,5.646317,-15.145259,0,9.471999999999998,9.313,8.764999999999997,1,1,1,1,1,69.23712192276055,59.979187124485804,87.75299151931006,1,0.5758380882315564,0.5129788446608436,0.06285924357071271
2019-03-25,sh.601298,9.5000,9.59,9.22,9.23,70756395,663979104.0000,3,15.572212,1,-5.041160,17.346309,2.366209,5.361677,-14.381764,0,9.516,9.250000000000002,8.862999999999996,-1,-1,1,1,1,61.08191387859165,63.21890327846623,56.80793507884249,-1,0.5394577863978878,0.5182746330082525,0.02118315338963528
2019-03-26,sh.601298,9.1400,9.7,8.9,9.33,77385614,720185415.0000,3,17.031184,1,1.083428,17.534243,2.391845,5.419767,-14.537579,0,9.547999999999998,9.195000000000002,8.951999999999996,-1,1,1,1,1,56.76567656765676,62.36157078966966,45.573888123630965,-1,0.5127842418114188,0.5171765547688858,-0.004392312957467004
2019-03-27,sh.601298,9.2200,9.58,9.08,9.44,62797139,588396437.0000,3,13.820523,1,1.178989,17.740970,2.420044,5.483666,-14.708976,0,9.473999999999998,9.241000000000001,9.023999999999997,-1,1,1,1,1,51.71078332323026,56.519457923159564,42.09343412337165,-1,0.49481739928000934,0.5127047236711105,-0.01788732439110119
