date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.601318,44.8500,45.57,44.73,45.22,61458659,2775679972.0000,3,1.565193,1,1.367400,40.060706,3.669200,1.691295,9.043573,0,46.742,47.85200000000002,48.109000000000016,-1,-1,-1,-1,-1,12.376684935565047,29.147977029991182,-21.165899253287222,-1,-1.5138212456253584,-1.3484799235776816,-0.1653413220476767
2010-02-26,sh.601318,45.0500,45.56,44.83,45.02,48719160,2200839829.0000,3,1.240751,1,-0.442300,39.883524,3.652972,1.683815,9.003575,0,45.730000000000004,47.54700000000002,47.861500000000014,-1,-1,-1,-1,-1,14.72868217054261,17.1792660728847,9.827514365858427,-1,-1.5910488017115156,-1.3969936992044485,-0.19405510250706715
2010-03-01,sh.601318,45.9800,46.88,45.31,46.7,56701376,2616181552.0000,3,1.184633,1,3.731700,41.371848,3.789289,1.746649,9.339559,0,45.254,47.40800000000002,47.70900000000002,1,-1,-1,-1,-1,25.529715762273884,17.54502762279385,41.49909204123396,1,-1.4994060174290311,-1.417476162849365,-0.08192985457966606
2010-03-02,sh.601318,46.7000,46.98,46.31,46.58,33599279,1564937643.0000,3,0.701972,1,-0.257000,41.265539,3.779552,1.742161,9.315560,0,45.626,47.19300000000002,47.606000000000016,1,-1,-1,-1,-1,32.5581395348837,24.272179155900073,49.13006029285095,1,-1.4200915167241845,-1.417999233624329,-0.002092283099855541
2010-03-03,sh.601318,46.6300,46.8,45.94,46.42,26000387,1200550511.0000,3,0.543213,1,-0.343500,41.123794,3.766569,1.736177,9.283562,0,45.988,46.83300000000002,47.546500000000016,1,-1,-1,-1,-1,39.91071320255726,32.66618949990495,54.39976060786188,1,-1.3545306797990335,-1.40530552285927,0.050774843060236385
2010-03-04,sh.601318,46.4600,46.67,45.01,45.06,31642261,1452330382.0000,3,0.661086,1,-2.929800,39.918961,3.656217,1.685311,9.011575,0,45.956,46.349000000000025,47.460000000000015,-1,-1,-1,-1,-1,31.855944919501525,34.77493255231417,26.017969653876236,-1,-1.3962191331505593,-1.4034882449175279,0.007269111766968539
2010-03-05,sh.601318,45.3000,45.7,45.1,45.49,24915348,1131918722.0000,3,0.520544,1,0.954300,40.299901,3.691108,1.701394,9.097571,0,46.05,45.89000000000003,47.411000000000016,-1,-1,-1,1,-1,31.290392220272764,34.35235011411052,25.16647643259725,-1,-1.3786677033473325,-1.3985241366034888,0.01985643325615638
2010-03-08,sh.601318,45.6000,46.34,45.42,46.16,22699556,1045515695.0000,3,0.474250,1,1.472900,40.893458,3.745473,1.726453,9.231564,0,45.942,45.59800000000003,47.32650000000001,1,1,-1,1,-1,42.82757454864517,35.324637229473154,57.833449186989185,1,-1.295757976825179,-1.3779709046478268,0.08221292782264777
2010-03-09,sh.601318,46.1900,47.7,45.7,47.05,41912842,1966560972.0000,3,0.875663,1,1.928100,41.681915,3.817688,1.759740,9.409556,0,46.036,45.831000000000024,47.30650000000001,1,1,-1,1,-1,62.96701383110053,45.69499353333949,97.51105442662261,1,-1.1450365902129462,-1.3313840417608507,0.18634745154790444
2010-03-10,sh.601318,47.0600,47.75,46.85,47.24,30793102,1456470568.0000,3,0.643344,1,0.403800,41.850238,3.833105,1.766846,9.447554,0,46.2,46.09400000000002,47.17700000000001,1,1,1,1,-1,77.71064872211015,61.16841236728529,110.79512143175988,1,-0.9987444885627568,-1.2648561311212319,0.2661116425584751
2010-03-11,sh.601318,47.2500,47.71,46.53,47.0,21858044,1027961522.0000,3,0.456669,1,-0.508000,41.637620,3.813631,1.757870,9.399556,0,46.588,46.27200000000003,47.062000000000005,1,1,-1,1,-1,77.75882063869928,72.81216106397,87.65213978815785,1,-0.891891765177995,-1.1902632579325845,0.2983714927545895
