date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.601328,8.1000,8.25,8.05,8.19,55834892,457249306.0000,3,0.349954,1,1.236100,14.028248,2.557728,5.232286,17.033025,0,8.148000000000001,8.148,8.296999999999999,1,1,-1,1,-1,41.77109440267335,38.71089134247038,47.89150052307927,1,-0.2234388927627382,-0.2581790987097702,0.03474020594703198
2010-02-26,sh.601328,8.1900,8.24,8.15,8.2,28096671,230163178.0000,3,0.176100,1,0.122100,14.045376,2.560851,5.238674,17.053822,0,8.134000000000004,8.152999999999999,8.251499999999998,1,1,-1,-1,-1,59.523809523809405,44.485462906515544,89.60050275839713,1,-0.20793437579749074,-0.2481301541273143,0.040195778329823545
2010-03-01,sh.601328,8.1900,8.39,8.18,8.33,42420030,352191089.0000,3,0.265874,1,1.585400,14.268047,2.601450,5.321727,17.324188,0,8.172000000000002,8.177999999999999,8.227,1,1,1,-1,-1,74.40476190476177,58.56655527708151,106.0811751601223,1,-0.18304696933414988,-0.2351135171686814,0.05206654783453152
2010-03-02,sh.601328,8.3400,8.4,8.23,8.28,36207646,300854242.0000,3,0.226937,1,-0.600200,14.182404,2.585835,5.289784,17.220201,0,8.218000000000004,8.193,8.199,1,1,1,1,1,77.35260770975042,70.42705971277387,91.2037037037035,1,-0.16545088769666805,-0.22118099127427873,0.055730103577610685
2010-03-03,sh.601328,8.3000,8.33,8.21,8.28,29500694,243727691.0000,3,0.184900,1,0.000000,14.182404,2.585835,5.289784,17.220201,0,8.256000000000004,8.202,8.1875,1,1,1,1,1,79.50680272108828,77.08805744520015,84.34429327286455,1,-0.14977930364796777,-0.20690065374901653,0.05712135010104877
2010-03-04,sh.601328,8.2800,8.3,8.11,8.15,32496882,266291271.0000,3,0.203679,1,-1.570000,13.959734,2.545236,5.206731,16.949836,0,8.248000000000003,8.198,8.182500000000001,-1,-1,-1,1,1,66.66666666666656,74.50869236583509,50.98261526832948,-1,-0.1461644807762159,-0.1947534191544564,0.04858893837824049
2010-03-05,sh.601328,8.1500,8.19,8.11,8.12,27978702,227713964.0000,3,0.175361,1,-0.368100,13.908348,2.535867,5.187565,16.887444,0,8.232000000000003,8.183000000000002,8.180000000000001,-1,-1,-1,1,1,55.78231292516995,67.31859410430826,32.70975056689332,-1,-0.14405982489918934,-0.184614700303403,0.04055487540421365
2010-03-08,sh.601328,8.1400,8.23,8.11,8.2,24028002,196597056.0000,3,0.150599,1,0.985200,14.045376,2.560851,5.238674,17.053822,0,8.206000000000003,8.189000000000002,8.187000000000001,-1,1,1,1,1,50.34013605442164,57.59637188208605,35.827664399092825,-1,-0.13438740419896433,-0.17456924108251526,0.040181836883550925
2010-03-09,sh.601328,8.2000,8.31,8.14,8.24,37281666,306940800.0000,3,0.233669,1,0.487800,14.113890,2.573343,5.264229,17.137012,0,8.198000000000004,8.208000000000002,8.194,1,1,1,-1,1,52.108843537414806,52.74376417233547,50.83900226757349,-1,-0.12208693323213282,-0.16407277951243876,0.04198584628030594
2010-03-10,sh.601328,8.2500,8.32,8.18,8.2,38551419,317987502.0000,3,0.241627,1,-0.485400,14.045376,2.560851,5.238674,17.053822,0,8.182000000000002,8.219000000000001,8.1875,1,-1,1,-1,-1,48.16795683790744,50.2056454765813,44.09257956055971,-1,-0.11424939121273958,-0.15410810185249893,0.03985871063975935
