date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.601333,4.6300,4.69,4.62,4.68,49005718,228207406.0000,3,0.911321,1,0.862100,28.645990,1.452126,2.759261,23.918838,0,4.614,4.591999999999999,4.583499999999998,1,1,1,1,1,77.99999999999986,71.23868312757192,91.52263374485574,1,-0.04711098400676317,-0.08086680315989457,0.0337558191531314
2010-02-26,sh.601333,4.6500,4.67,4.62,4.64,23709294,109981044.0000,3,0.440903,1,-0.854700,28.401153,1.439715,2.735678,23.714404,0,4.622,4.605999999999999,4.576499999999998,1,1,1,1,1,85.70202020202002,77.73812196034406,101.62981668537194,1,-0.0408684572895055,-0.07286713398581676,0.03199867669631126
2010-03-01,sh.601333,4.6300,4.67,4.6,4.66,39510454,183234652.0000,3,0.734745,1,0.431000,28.523572,1.445921,2.747469,23.816621,0,4.636,4.622999999999999,4.5749999999999975,1,1,1,1,1,86.03535353535331,83.24579124579107,91.6144781144778,1,-0.033916409778382395,-0.06507698914432988,0.03116057936594749
2010-03-02,sh.601333,4.6600,4.66,4.6,4.62,30824105,142431371.0000,3,0.573212,1,-0.858400,28.278734,1.433509,2.723886,23.612187,0,4.648000000000001,4.624999999999998,4.578499999999998,-1,-1,1,1,1,75.7575757575756,82.49831649831633,62.27609427609414,-1,-0.031274020306382155,-0.05831639537674034,0.027042375070358185
2010-03-03,sh.601333,4.6100,4.69,4.59,4.68,55551290,258318747.0000,3,1.033044,1,1.298700,28.645990,1.452126,2.759261,23.918838,0,4.656000000000001,4.626999999999999,4.582499999999999,1,1,1,1,1,81.66666666666647,81.15319865319846,82.69360269360251,1,-0.024061048266422524,-0.051465325954676774,0.02740427768825425
2010-03-04,sh.601333,4.6800,4.68,4.52,4.54,46650979,215233392.0000,3,0.867532,1,-2.991500,27.789059,1.408687,2.676719,23.203318,0,4.628,4.620999999999999,4.580499999999999,-1,-1,-1,1,1,61.66666666666648,73.03030303030286,38.93939393939371,-1,-0.029303750534073636,-0.04703301087055615,0.017729260336482512
2010-03-05,sh.601333,4.5600,4.57,4.49,4.53,27631261,125409472.0000,3,0.513837,1,-0.220300,27.727850,1.405584,2.670823,23.152209,0,4.606,4.613999999999999,4.5794999999999995,-1,-1,-1,-1,1,46.666666666666515,63.333333333333165,13.333333333333215,-1,-0.03387505572344107,-0.04440141984113313,0.01052636411769206
2010-03-08,sh.601333,4.5400,4.56,4.51,4.55,23821967,108020021.0000,3,0.442998,1,0.441500,27.850269,1.411790,2.682615,23.254426,0,4.5840000000000005,4.609999999999998,4.584,-1,-1,-1,-1,1,24.999999999999886,44.44444444444431,-13.888888888888957,-1,-0.0354750805216808,-0.04261615197724267,0.007141071455561865
2010-03-09,sh.601333,4.5500,4.57,4.49,4.53,21597047,97755403.0000,3,0.401623,1,-0.439600,27.727850,1.405584,2.670823,23.152209,0,4.566000000000001,4.6069999999999975,4.587,-1,-1,-1,-1,-1,23.333333333333258,31.66666666666656,6.66666666666665,-1,-0.037919828377604325,-0.041676887257315,0.003757058879710673
2010-03-10,sh.601333,4.5300,4.55,4.48,4.5,20489739,92365677.0000,3,0.381032,1,-0.662300,27.544222,1.396275,2.653136,22.998883,0,4.53,4.592999999999998,4.584999999999999,-1,-1,-1,-1,-1,19.841269841269696,22.72486772486762,14.074074074073849,-1,-0.041796256716261304,-0.04170076114910426,-9.549556715704455e-05
2010-03-11,sh.601333,4.5000,4.52,4.46,4.5,18599669,83559858.0000,3,0.345883,1,0.000000,27.544222,1.396275,2.653136,22.998883,0,4.522,4.5749999999999975,4.583499999999999,-1,-1,-1,-1,-1,15.638371290545129,19.604324821716038,7.706464228203309,-1,-0.04435703382812939,-0.04223201568490929,-0.002125018143220102
2010-03-12,sh.601333,4.4900,4.51,4.42,4.43,21923289,97828281.0000,3,0.407690,1,-1.555600,27.115756,1.374556,2.611865,22.641123,0,4.502000000000001,4.553999999999998,4.58,-1,-1,-1,-1,-1,10.206272525113,15.228637885642618,0.1615418040537655,-1,-0.05144189300320434,-0.044073991148568296,-0.007367901854636046
2010-03-15,sh.601333,4.4200,4.45,4.4,4.42,18147403,80106719.0000,3,0.337473,1,-0.225700,27.054547,1.371453,2.605969,22.590014,0,4.476000000000001,4.5299999999999985,4.5765,-1,-1,-1,-1,-1,9.330519925222488,11.725054580293547,4.541450615080368,-1,-0.057204196995034984,-0.046700032317861635,-0.010504164677173349
2010-03-16,sh.601333,4.4200,4.47,4.4,4.46,16345677,72485559.0000,3,0.303968,1,0.905000,27.299384,1.383864,2.629552,22.794449,0,4.462000000000001,4.5139999999999985,4.5695,-1,-1,-1,-1,-1,10.676275618804246,10.071022689713253,11.88678147698623,1,-0.05787603975792166,-0.04893523380587364,-0.00894080595204802
2010-03-17,sh.601333,4.4600,4.51,4.44,4.5,19143916,85721929.0000,3,0.356004,1,0.896900,27.544222,1.396275,2.653136,22.998883,0,4.462000000000001,4.495999999999999,4.5615000000000006,1,1,-1,-1,-1,29.04955085482455,16.352115466283767,54.44442163190612,1,-0.054551973093427186,-0.05005858166338435,-0.004493391430042834
2010-03-18,sh.601333,4.5100,4.52,4.46,4.48,15288516,68532139.0000,3,0.284309,1,-0.444400,27.421803,1.390070,2.641344,22.896666,0,4.458,4.489999999999999,4.5555,1,-1,-1,-1,-1,42.4369747899159,27.38760042118157,72.53572352738456,1,-0.052921414047530035,-0.05063114814021349,-0.002290265907316548
2010-03-19,sh.601333,4.4800,4.5,4.44,4.5,16638368,74353275.0000,3,0.309411,1,0.446400,27.544222,1.396275,2.653136,22.998883,0,4.472,4.486999999999999,4.550500000000001,1,1,-1,-1,-1,54.90196078431362,42.129495476351366,80.44689140023814,1,-0.04944537588852249,-0.05039399368987529,0.0009486178013527954
2010-03-22,sh.601333,4.5000,4.53,4.46,4.49,23438867,105337373.0000,3,0.435874,1,-0.222200,27.483012,1.393173,2.647240,22.947774,0,4.4860000000000015,4.481,4.5455000000000005,1,1,-1,1,-1,55.29411764705882,50.877684407096126,64.12698412698421,1,-0.04695622489911688,-0.049706439931723606,0.002750215032606723
2010-03-23,sh.601333,4.4900,4.49,4.45,4.45,14469680,64646518.0000,3,0.269081,1,-0.890900,27.238175,1.380761,2.623656,22.743340,0,4.484000000000001,4.473,4.540000000000001,-1,-1,-1,1,-1,52.42835595776767,54.208144796380054,48.8687782805429,-1,-0.04766180489432159,-0.049297512924243204,0.0016357080299216134
2010-03-24,sh.601333,4.4600,4.5,4.45,4.46,16559691,74013252.0000,3,0.307948,1,0.224700,27.299384,1.383864,2.629552,22.794449,0,4.476000000000001,4.468999999999999,4.531000000000001,-1,-1,-1,1,-1,48.20512820512812,51.97586726998489,40.66365007541458,-1,-0.04687373446441967,-0.0488127572322785,0.0019390227678588307
2010-03-25,sh.601333,4.4600,4.46,4.4,4.41,22818468,100721215.0000,3,0.424337,1,-1.121100,26.993337,1.368350,2.600073,22.538905,0,4.4620000000000015,4.459999999999999,4.5175,-1,-1,-1,1,-1,30.769230769230592,43.80090497737549,4.7058823529408045,-1,-0.049710730743391274,-0.048992351934501056,-0.0007183788088902174
2010-03-26,sh.601333,4.4100,4.45,4.38,4.45,23616805,104486477.0000,3,0.439183,1,0.907000,27.238175,1.380761,2.623656,22.743340,0,4.452000000000001,4.462,4.508,-1,-1,-1,-1,-1,33.50427350427339,37.49287749287739,25.527065527065403,-1,-0.048176061380837965,-0.04882909382376844,0.0006530324429304749
2010-03-29,sh.601333,4.4400,4.55,4.43,4.52,51932308,234210499.0000,3,0.965744,1,1.573000,27.666640,1.402481,2.664927,23.101100,0,4.458,4.4719999999999995,4.5009999999999994,1,1,1,-1,-1,45.570638511814906,36.61471426177298,63.482487011898755,1,-0.04084062457107773,-0.047231399973230295,0.006390775402152563
2010-03-30,sh.601333,4.5100,4.52,4.46,4.49,28786313,129190738.0000,3,0.535316,1,-0.663700,27.483012,1.393173,2.647240,22.947774,0,4.466000000000001,4.475,4.4944999999999995,1,1,-1,-1,-1,64.57516339869285,47.88335847159374,97.95877325289109,1,-0.037021229639544906,-0.045189365906493216,0.00816813626694831
2010-03-31,sh.601333,4.5000,4.52,4.46,4.48,23519639,105594940.0000,3,0.437376,1,-0.222700,27.421803,1.390070,2.641344,22.896666,0,4.470000000000001,4.473000000000001,4.484499999999999,1,1,-1,-1,-1,68.62745098039228,59.5910842969667,86.70018434724346,1,-0.034404652646012224,-0.04303242325439702,0.008627770608384794
2010-04-01,sh.601333,4.4800,4.52,4.47,4.52,32479738,146204206.0000,3,0.604000,1,0.892900,27.666640,1.402481,2.664927,23.101100,0,4.492000000000001,4.476999999999999,4.4834999999999985,1,1,1,1,1,68.62745098039228,67.27668845315917,71.32897603485853,1,-0.028771668931466543,-0.04018027238981092,0.01140860345834438
2010-04-02,sh.601333,4.5200,4.53,4.49,4.51,26060433,117395803.0000,3,0.484625,1,-0.221200,27.605431,1.399378,2.659031,23.049992,0,4.5040000000000004,4.478,4.482499999999999,1,1,1,1,1,72.54901960784319,69.93464052287595,77.77777777777766,1,-0.024828201133102468,-0.03710985813846923,0.012281657005366764
2010-04-06,sh.601333,4.5200,4.53,4.48,4.5,23756858,107098178.0000,3,0.441788,1,-0.221700,27.544222,1.396275,2.653136,22.998883,0,4.500000000000001,4.478999999999999,4.479999999999999,-1,1,1,1,1,76.47058823529409,72.54901960784322,84.31372549019582,1,-0.022253367944832902,-0.03413856009974196,0.01188519215490906
2010-04-07,sh.601333,4.5000,4.54,4.48,4.51,25458629,114696790.0000,3,0.473434,1,0.222200,27.605431,1.399378,2.659031,23.049992,0,4.5040000000000004,4.4849999999999985,4.478999999999999,1,1,1,1,1,74.50980392156863,74.50980392156868,74.50980392156856,-1,-0.019184728062914935,-0.03114779369237656,0.011963065629461624
2010-04-08,sh.601333,4.5000,4.51,4.44,4.45,25985156,116045329.0000,3,0.483226,1,-1.330400,27.238175,1.380761,2.623656,22.743340,0,4.498,4.483999999999999,4.4765,-1,-1,-1,1,1,62.74509803921577,71.24183006535954,45.751633986928226,-1,-0.021348218433913324,-0.029187878640683913,0.007839660206770589
2010-04-09,sh.601333,4.4600,4.47,4.43,4.46,21796695,96982308.0000,3,0.405336,1,0.224700,27.299384,1.383864,2.629552,22.794449,0,4.486000000000001,4.488999999999999,4.474499999999999,-1,-1,-1,-1,1,47.549019607843256,61.60130718954259,19.444444444444585,-1,-0.022002255409096172,-0.027750753994366363,0.005748498585270191
2010-04-12,sh.601333,4.4600,4.47,4.39,4.42,36501409,161317735.0000,3,0.678788,1,-0.896900,27.054547,1.371453,2.605969,22.590014,0,4.468000000000001,4.485999999999999,4.473999999999998,-1,-1,-1,-1,-1,28.725490196078596,46.339869281045914,-6.50326797385604,-1,-0.02545482277815303,-0.027291567751123697,0.001836744972970667
2010-04-13,sh.601333,4.4100,4.49,4.41,4.47,35852877,159695039.0000,3,0.666728,1,1.131200,27.360593,1.386967,2.635448,22.845557,0,4.462000000000001,4.480999999999999,4.476499999999999,1,-1,-1,-1,-1,32.77777777777786,36.35076252723328,25.631808278867013,-1,-0.023881138263559976,-0.026609481853610954,0.002728343590050978
2010-04-14,sh.601333,4.4700,4.47,4.41,4.44,27823681,123357687.0000,3,0.517415,1,-0.671100,27.176965,1.377658,2.617760,22.692231,0,4.448000000000001,4.475999999999998,4.4754999999999985,-1,-1,-1,-1,-1,35.555555555555706,32.35294117647076,41.9607843137256,1,-0.02476920722490661,-0.026241426927870085,0.001472219702963476
2010-04-15,sh.601333,4.4400,4.45,4.41,4.44,21614458,95708280.0000,3,0.401947,1,0.000000,27.176965,1.377658,2.617760,22.692231,0,4.4460000000000015,4.471999999999999,4.472499999999998,-1,-1,-1,-1,-1,40.00000000000024,36.111111111111306,47.77777777777811,1,-0.025182717582373115,-0.02602968505877069,0.0008469674763975747
2010-04-16,sh.601333,4.4300,4.43,4.39,4.4,19932069,87807676.0000,3,0.370661,1,-0.900900,26.932128,1.365247,2.594177,22.487797,0,4.434000000000002,4.459999999999999,4.468499999999999,-1,-1,-1,-1,-1,24.444444444444855,33.33333333333364,6.6666666666672825,-1,-0.02841059358799658,-0.026505866764615867,-0.0019047268233807133
2010-04-19,sh.601333,4.3900,4.39,4.18,4.19,40544839,173440555.0000,3,0.753981,1,-4.772700,25.646731,1.300088,2.470364,21.414516,0,4.388000000000002,4.427999999999999,4.4529999999999985,-1,-1,-1,-1,-1,14.2592592592596,26.234567901234943,-9.691358024691084,-1,-0.04736792557430558,-0.03067827852655381,-0.01668964704775177
2010-04-20,sh.601333,4.1900,4.25,4.13,4.16,23822118,99192000.0000,3,0.443001,1,-0.716000,25.463103,1.290779,2.452676,21.261190,0,4.326000000000002,4.393999999999998,4.436499999999999,-1,-1,-1,-1,-1,5.779727095516802,14.827810266407132,-12.316439246263858,-1,-0.06407389307840106,-0.03735740143692326,-0.026716491641477796
2010-04-21,sh.601333,4.1600,4.22,4.14,4.21,25145034,105079483.0000,3,0.467602,1,1.201900,25.769150,1.306293,2.482156,21.516733,0,4.280000000000002,4.363999999999999,4.424499999999998,-1,-1,-1,-1,-1,10.964912280701844,10.334632878492796,12.225471085119938,1,-0.07244382325308152,-0.04437468580015491,-0.028069137452926607
2010-04-22,sh.601333,4.2000,4.27,4.13,4.25,35866260,150711896.0000,3,0.666977,1,0.950100,26.013987,1.318705,2.505739,21.721167,0,4.242000000000002,4.3439999999999985,4.413999999999999,1,-1,-1,-1,-1,21.150097465886965,12.631578947368583,38.187134502923726,1,-0.07498500702808109,-0.05049675004574015,-0.024488256982340938
2010-04-23,sh.601333,4.2200,4.26,4.15,4.21,26988691,113758242.0000,3,0.501888,1,-0.941200,21.832328,1.271077,2.378632,-150.699790,0,4.204000000000002,4.318999999999998,4.403999999999998,1,-1,-1,-1,-1,25.925925925925927,19.346978557504958,39.08382066276787,1,-0.07931231617341528,-0.056259863271275176,-0.0230524529021401
2010-04-26,sh.601333,4.2200,4.22,4.13,4.16,20252573,84794830.0000,3,0.376621,1,-1.187600,21.573037,1.255981,2.350382,-148.910006,0,4.198000000000002,4.2929999999999975,4.389499999999998,-1,-1,-1,-1,-1,21.459694989106783,22.845239460306605,18.688606046707143,-1,-0.0857874180260465,-0.06216537422222944,-0.023622043803817064
2010-04-27,sh.601333,4.1400,4.16,4.01,4.05,28921302,117744573.0000,3,0.537827,1,-2.644200,21.002596,1.222770,2.288233,-144.972482,0,4.176000000000002,4.250999999999998,4.365999999999998,-1,-1,-1,-1,-1,13.378886908298705,20.254835941110517,-0.3730111573249175,-1,-0.09865779790459239,-0.06946385895870202,-0.02919393894589037
2010-04-28,sh.601333,4.0200,4.06,3.99,4.04,14288088,57616097.0000,3,0.265704,1,-0.246900,20.950738,1.219750,2.282583,-144.614525,0,4.142000000000001,4.210999999999998,4.343499999999999,-1,-1,-1,-1,-1,9.759358288770079,14.86598006205857,-0.45388525780690614,-1,-0.10841484427206094,-0.07725405602137381,-0.031160788250687133
2010-04-29,sh.601333,4.0400,4.07,4.01,4.02,15551037,62890970.0000,3,0.289190,1,-0.495000,20.847021,1.213712,2.271283,-143.898612,0,4.096000000000002,4.168999999999999,4.320499999999998,-1,-1,-1,-1,-1,9.318181818181769,10.818809005083565,6.316927444378173,-1,-0.1164191986138432,-0.08508708453986769,-0.031332114073975514
2010-04-30,sh.601333,4.0300,4.05,3.99,4.05,18350763,73698754.0000,3,0.341255,1,0.746300,21.002596,1.222770,2.288233,-144.972482,0,4.064000000000002,4.133999999999999,4.296999999999999,-1,-1,-1,-1,-1,13.43073593073585,10.836092012562615,18.62002376708232,1,-0.11897053949570946,-0.09186377553103604,-0.027106763964673417
