date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2017-02-24,sh.601375,10.4700,10.54,10.15,10.42,121117741,1249918512.0000,3,17.302967,1,-1.325761,54.368771,5.261461,20.290479,-3.449729,0,10.737999999999998,10.363,9.299999999999999,-1,1,1,1,1,56.307044210270014,65.51733371939567,37.886465192018704,-1,0.8087973624767031,0.6863385494589571,0.12245881301774597
2017-02-27,sh.601375,10.3200,10.52,10.1,10.31,109614377,1130620208.0000,3,15.659589,1,-1.055659,53.794820,5.205918,20.076280,-3.413312,0,10.535999999999998,10.459,9.408499999999998,-1,-1,1,1,1,52.044639947865754,57.68243469073409,40.76905046212907,-1,0.7698679515758826,0.7030444298823422,0.06682352169354044
2017-02-28,sh.601375,10.2500,10.86,10.23,10.84,188616039,2009803904.0000,3,26.945823,1,5.140637,56.560218,5.473535,21.108330,-3.588778,0,10.523999999999997,10.603,9.551999999999998,1,1,1,-1,1,53.47523025460284,53.9423048042462,52.54108115531612,-1,0.7728734791997312,0.71701023974582,0.05586323945391114
2017-03-01,sh.601375,10.8000,11.1,10.6,10.64,151701301,1637893152.0000,3,21.672157,1,-1.845017,55.516672,5.372548,20.718877,-3.522564,0,10.553999999999998,10.706,9.6855,1,-1,1,-1,1,48.17004366383751,51.229971288768695,42.05018841397515,-1,0.7504661463785336,0.7237014210723627,0.02676472530617091
2017-03-02,sh.601375,10.6100,11.6,10.61,10.96,218604780,2438588464.0000,3,31.230036,1,3.007516,57.186346,5.534128,21.342001,-3.628506,0,10.633999999999997,10.745000000000001,9.843,1,1,1,-1,1,52.12963962343351,51.258304513957945,53.87230984238464,1,0.7498852885114591,0.7289381945601819,0.02094709395127714
2017-03-03,sh.601375,10.8000,10.8,10.43,10.5,125427042,1326349872.0000,3,17.918597,1,-4.197081,54.786189,5.301856,20.446260,-3.476214,0,10.649999999999997,10.694,9.9815,-1,-1,1,-1,1,39.76470588235299,46.68812972320799,25.917858200642996,-1,0.7041893424502295,0.7239884241381914,-0.01979908168796196
2017-03-06,sh.601375,10.5000,11.0,10.42,10.9,130727807,1408876352.0000,3,18.675868,1,3.809520,56.873282,5.503832,21.225165,-3.608642,0,10.767999999999997,10.652000000000001,10.128,1,1,1,1,1,45.777777777777835,45.890707761188104,45.551917810957306,-1,0.6922715574455598,0.7176450507996651,-0.025373493354105325
2017-03-07,sh.601375,10.8300,11.25,10.71,11.23,144484164,1583419648.0000,3,20.641111,1,3.027522,58.595134,5.670461,21.867762,-3.717894,0,10.845999999999998,10.685,10.296,1,1,1,1,1,51.77777777777783,45.77342047930287,63.78649237472774,1,0.7013699132687314,0.7143900232934783,-0.0130201100247469
2017-03-08,sh.601375,11.2400,11.37,11.05,11.22,142756232,1597653392.0000,3,20.394258,1,-0.089041,58.542957,5.665412,21.848289,-3.714583,0,10.961999999999998,10.758000000000001,10.424,1,1,1,1,1,67.77777777777784,55.111111111111164,93.11111111111121,1,0.6997077144034822,0.7114535615154791,-0.011745847111996888
2017-03-09,sh.601375,11.1600,11.54,10.9,11.43,171281475,1928665632.0000,3,24.469394,1,1.871658,59.638680,5.771449,22.257215,-3.784108,0,11.055999999999997,10.845000000000002,10.538499999999999,1,1,1,1,1,79.55555555555561,66.37037037037042,105.92592592592601,1,0.7071836815101555,0.7105995855144144,-0.0034159040042588407
