date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.601390,5.8000,5.83,5.77,5.83,63645461,369740731.0000,3,1.361400,1,0.517200,26.516586,2.012443,0.385668,-47.143835,0,5.760000000000001,5.722999999999999,5.7559999999999985,1,1,1,1,1,68.68595991403016,63.874310657936554,78.3092584262174,1,-0.0988028818360478,-0.14451199622719357,0.04570911439114578
2010-02-26,sh.601390,5.8200,5.82,5.77,5.79,37291734,215871847.0000,3,0.797684,1,-0.686100,26.334654,1.998635,0.383022,-46.820378,0,5.7700000000000005,5.736999999999999,5.739999999999999,1,1,1,1,1,75.9734093067426,69.120807717299,89.67861248562977,1,-0.08893681532534359,-0.13339696004682358,0.044460144721479994
2010-03-01,sh.601390,5.8000,5.94,5.8,5.93,98743895,581059380.0000,3,2.112169,1,2.418000,26.971416,2.046962,0.392283,-47.952477,0,5.808,5.765999999999999,5.738499999999999,1,1,1,1,1,83.54011579818021,76.06649500631765,98.48735738190533,1,-0.0690253750069818,-0.12052264303885522,0.05149726803187342
2010-03-02,sh.601390,5.9200,5.98,5.87,5.91,51820359,306445583.0000,3,1.108457,1,-0.337300,26.880450,2.040058,0.390960,-47.790749,0,5.851999999999999,5.784999999999999,5.743499999999999,1,1,1,1,1,82.00165425971865,80.50505978821381,84.99484320272833,1,-0.0542340713386702,-0.10726492869881822,0.05303085736014802
2010-03-03,sh.601390,5.9100,5.91,5.85,5.91,46178320,271649061.0000,3,0.987772,1,0.000000,26.880450,2.040058,0.390960,-47.790749,0,5.874,5.805,5.750999999999999,1,1,1,1,1,85.59139784946224,83.71105596912035,89.35208161014603,1,-0.04202739101348385,-0.09421742116175134,0.052190030148267494
2010-03-04,sh.601390,5.9000,5.92,5.74,5.75,61229427,356758054.0000,3,1.309720,1,-2.707300,26.152722,1.984828,0.380376,-46.496921,0,5.858,5.808999999999999,5.750999999999999,-1,-1,-1,1,1,64.7619047619047,77.45165229036185,39.38240970499041,-1,-0.04474834071866862,-0.0843236050731348,0.03957526435446618
2010-03-05,sh.601390,5.7600,5.8,5.69,5.75,43895392,252188697.0000,3,0.938939,1,0.000000,26.152722,1.984828,0.380376,-46.496921,0,5.85,5.81,5.752499999999999,-1,-1,-1,1,1,49.52380952380947,66.62570404505878,15.320020481310848,-1,-0.0463701863199546,-0.07673292132249876,0.03036273500254416
2010-03-08,sh.601390,5.7600,5.77,5.71,5.74,51241314,294003811.0000,3,1.096071,1,-0.173900,26.107239,1.981376,0.379714,-46.416057,0,5.812,5.81,5.756499999999998,-1,-1,-1,1,1,32.6610644257703,48.9822595704948,0.018674136321308765,-1,-0.04791014869908139,-0.07096836679781529,0.0230582180987339
2010-03-09,sh.601390,5.7400,5.79,5.7,5.76,36543426,210071346.0000,3,0.781678,1,0.348400,26.198205,1.988280,0.381037,-46.577785,0,5.782000000000001,5.816999999999999,5.763499999999999,-1,-1,-1,-1,1,29.278470008693063,37.15444798609092,13.526514053897344,-1,-0.046975245734590665,-0.06616974258517036,0.019194496850579695
2010-03-10,sh.601390,5.7700,5.79,5.7,5.73,35133372,201413711.0000,3,0.751516,1,-0.520800,26.061756,1.977924,0.379053,-46.335193,0,5.746,5.81,5.761499999999999,-1,-1,-1,-1,-1,22.447599729546933,28.12904472133674,11.084709745967317,-1,-0.04810060385945203,-0.06255591484002669,0.014455310980574662
2010-03-11,sh.601390,5.7300,5.76,5.69,5.73,28598749,163750697.0000,3,0.611738,1,0.000000,26.061756,1.977924,0.379053,-46.335193,0,5.742000000000001,5.8,5.761499999999999,-1,-1,-1,-1,-1,17.24137931034474,22.98914968286155,5.745838565311118,-1,-0.04843413966828258,-0.05973155980567787,0.011297420137395285
2010-03-12,sh.601390,5.7300,5.75,5.68,5.68,32495660,185761006.0000,3,0.695094,1,-0.872600,25.834341,1.960665,0.375745,-45.930872,0,5.728000000000001,5.789,5.762999999999998,-1,-1,-1,-1,-1,9.195402298850558,16.29479377958072,-5.003380662609764,-1,-0.052132104878411134,-0.05821166882022452,0.006079563941813387
2010-03-15,sh.601390,5.6900,5.73,5.63,5.65,33824791,191725923.0000,3,0.723525,1,-0.528200,25.697892,1.950309,0.373761,-45.688279,0,5.710000000000001,5.761,5.763499999999999,-1,-1,-1,-1,-1,6.8965517241379635,11.11111111111106,-1.5325670498082289,-1,-0.05682843540055238,-0.05793502213629009,0.0011065867357377135
