date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2020-07-27,sh.601399,4.8800,5.11,4.83,5.11,15797785,78694575.4000,3,3.200700,1,4.928100,74.516116,3.008721,4.008538,-34.946765,1,5.090000000000001,5.293999999999999,5.266,1,-1,-1,-1,-1,11.309523809523833,7.809320309320319,18.30993080993086,1,0.0505978018378439,0.140980134392226,-0.0903823325543821
2020-07-28,sh.601399,5.1800,5.32,5.09,5.23,24149645,125516512.4400,3,4.892800,1,2.348300,76.266006,3.079376,4.102672,-35.767433,1,5.086,5.238999999999999,5.2844999999999995,1,-1,-1,-1,-1,26.190476190476243,14.234839234839265,50.1017501017502,1,0.05067099978261336,0.12291830747030348,-0.07224730768769012
2020-07-29,sh.601399,5.1700,5.27,5.14,5.25,14899696,77841159.1500,3,3.018700,1,0.382400,76.557654,3.091152,4.118361,-35.904211,1,5.094,5.193999999999998,5.292,1,1,-1,-1,-1,50.334168755221434,29.27805625174051,92.44639376218328,1,0.051746342904212206,0.10868391455708523,-0.056937571652873026
2020-07-30,sh.601399,5.2600,5.4,5.19,5.19,17297707,91524946.4500,3,3.504600,1,-1.142900,75.682709,3.055825,4.071294,-35.493877,1,5.130000000000001,5.170999999999998,5.2835,1,1,-1,-1,-1,63.866587372385816,46.79707743936117,98.0056072384351,1,0.04721282149914874,0.09638969594549793,-0.04917687444634919
2020-07-31,sh.601399,5.1200,5.23,5.07,5.15,17348401,89220542.1900,3,3.514800,1,-0.770700,75.099413,3.032273,4.039916,-35.220321,1,5.186,5.163999999999998,5.282000000000001,-1,-1,-1,1,-1,66.40896025374174,60.203238793782994,78.82040317365924,1,0.03993199622168753,0.08509815600073585,-0.04516615977904832
2020-08-03,sh.601399,5.1400,5.24,5.13,5.19,14993636,77683241.2200,3,3.037700,1,0.776700,75.682709,3.055825,4.071294,-35.493877,1,5.202,5.145999999999998,5.282000000000001,-1,1,-1,1,-1,62.14689265536728,64.14081342716494,58.15905111177196,-1,0.036963463639954064,0.07547121752857949,-0.03850775388862543
2020-08-04,sh.601399,5.2000,5.22,5.08,5.09,15100023,77428647.8900,3,3.059300,1,-1.926800,74.224468,2.996945,3.992849,-34.809987,1,5.174,5.129999999999998,5.281500000000001,-1,-1,-1,1,-1,56.49717514124296,61.68434268345066,46.12284005682757,-1,0.026239246219621037,0.0656248232667878,-0.03938557704716676
2020-08-05,sh.601399,5.0500,5.3,5.03,5.19,18084787,93433702.8000,3,3.664000,1,1.964600,75.682709,3.055825,4.071294,-35.493877,1,5.162000000000001,5.127999999999998,5.2730000000000015,1,1,-1,1,-1,58.75706214689268,59.133709981167634,58.00376647834277,-1,0.025515266802328185,0.05760291197389587,-0.03208764517156769
2020-08-06,sh.601399,5.1500,5.18,5.09,5.13,11542087,59130006.3200,3,2.338500,1,-1.156100,74.807765,3.020497,4.024227,-35.083543,1,5.15,5.139999999999999,5.260000000000001,-1,-1,-1,1,-1,54.83199524234313,56.695410843492915,51.10516404004356,-1,0.019870949403567373,0.050056519459830175,-0.030185570056262802
2020-08-07,sh.601399,5.1300,5.16,5.03,5.07,11123241,56478107.6300,3,2.253600,1,-1.169600,73.932820,2.985170,3.977160,-34.673209,1,5.134,5.159999999999998,5.2465,-1,-1,-1,-1,-1,42.61638980639872,52.06848239854484,23.712204622106483,-1,0.010435989055209483,0.04213241337890604,-0.031696424323696556
2020-08-10,sh.601399,5.0700,5.21,5.03,5.11,11101868,56936438.7000,3,2.249300,1,0.789000,74.516116,3.008721,4.008538,-34.946765,1,5.118,5.159999999999998,5.227,-1,-1,-1,-1,-1,28.3546704599336,41.93435183622515,1.1953077073505085,-1,0.0061158806448986525,0.03492910683210456,-0.028813226187205908
2020-08-11,sh.601399,5.1200,5.29,5.09,5.19,19010253,98453957.7400,3,3.851500,1,1.565600,75.682709,3.055825,4.071294,-35.493877,1,5.138,5.155999999999999,5.1975,1,1,-1,-1,-1,25.225225225225234,32.06542849718584,11.544818681304022,-1,0.009043250059670882,0.029751935477617824,-0.020708685417946942
2020-08-12,sh.601399,5.1300,5.45,5.11,5.45,34436793,182952630.6900,3,6.977000,1,5.009600,79.474136,3.208910,4.275251,-37.271990,1,5.1899999999999995,5.175999999999999,5.1850000000000005,1,1,1,1,1,54.954954954954964,36.17828354670459,92.50829777145572,1,0.031974456865436096,0.03019643975518148,0.0017780171102546177
2020-08-13,sh.601399,5.3700,5.46,5.27,5.3,24317373,130706979.2000,3,4.926800,1,-2.752300,77.286774,3.120592,4.157583,-36.246156,1,5.224,5.186999999999999,5.179,1,1,1,1,1,68.67798030588726,49.61938682868915,106.79516726028346,1,0.03761030884299643,0.03167921357274447,0.005931095270251964
2020-08-14,sh.601399,5.3200,5.48,5.27,5.38,17091641,91640836.2300,3,3.462800,1,1.509400,78.453367,3.167695,4.220339,-36.793267,1,5.286,5.209999999999999,5.186999999999999,1,1,1,1,1,80.18949181739873,67.94080902608032,104.68685740003556,1,0.047979021260252885,0.03493917511024615,0.013039846150006737
