date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2020-09-16,sh.601456,16.4700,17.55,16.35,17.06,94710404,1610927323.9400,3,19.908900,1,3.456600,83.433349,4.836319,25.511466,-67.593745,0,16.752000000000002,17.618000000000002,17.318499999999997,1,-1,-1,-1,-1,15.461775604655763,13.572375521175887,19.240575771615514,1,1.5153783599468245,2.2742019196036702,-0.7588235596568458
2020-09-17,sh.601456,16.8000,18.6,16.78,17.85,113851972,1989642539.6800,3,23.932600,1,4.630700,87.296910,5.060275,26.692829,-70.723819,0,17.024000000000008,17.537000000000003,17.342,1,1,1,-1,-1,27.91478312345275,18.90130740517157,45.941734560015114,1,1.4568075400179783,2.110723043686532,-0.6539155036685536
2020-09-18,sh.601456,17.6700,19.64,17.61,19.64,156412331,2931879601.9100,3,32.879100,1,10.028000,96.051053,5.567720,29.369589,-77.816011,0,17.564000000000007,17.631000000000007,17.481499999999997,1,1,1,-1,1,59.10087719298243,34.15914530703032,108.98434096488664,1,1.537108948449589,1.9960002246391433,-0.4588912761895543
2020-09-21,sh.601456,19.6400,19.64,19.64,19.64,0,0.0000,3,,0,0.000000,96.051053,5.567720,29.369589,-77.816011,0,18.136000000000006,17.76000000000001,17.641999999999996,1,1,1,1,1,83.88157894736842,56.96574642126787,137.7132439995695,1,1.5825062462413122,1.913301428959577,-0.3307951827182649
2020-09-22,sh.601456,19.6400,19.64,19.64,19.64,0,0.0000,3,,0,0.000000,96.051053,5.567720,29.369589,-77.816011,0,18.76600000000001,17.841000000000008,17.773999999999994,1,1,1,1,1,100.0,80.99415204678361,138.01169590643278,1,1.6000396704799442,1.8506490772636506,-0.25060940678370636
2020-09-23,sh.601456,19.6400,19.64,19.64,19.64,0,0.0000,3,,0,0.000000,96.051053,5.567720,29.369589,-77.816011,0,19.282000000000007,18.017000000000007,17.931499999999993,1,1,1,1,1,100.0,94.62719298245615,110.7456140350877,1,1.5955426134534605,1.7996277845016126,-0.20408517104815216
2020-09-24,sh.601456,19.6400,19.64,19.64,19.64,0,0.0000,3,,0,0.000000,96.051053,5.567720,29.369589,-77.816011,0,19.640000000000008,18.332000000000004,18.112999999999992,-1,1,1,1,1,100.0,100.0,100.0,1,1.573836456370561,1.7544695188754023,-0.18063306250484135
2020-09-25,sh.601456,19.6400,19.64,19.64,19.64,0,0.0000,3,,0,0.000000,96.051053,5.567720,29.369589,-77.816011,0,19.640000000000008,18.602000000000004,18.214499999999994,-1,1,1,1,1,100.0,100.0,100.0,1,1.5388947497515275,1.7113545650506272,-0.1724598152990997
2020-09-28,sh.601456,19.6400,19.64,19.64,19.64,0,0.0000,3,,0,0.000000,96.051053,5.567720,29.369589,-77.816011,0,19.640000000000008,18.888000000000005,18.34199999999999,-1,1,1,1,1,100.0,100.0,100.0,1,1.4939815066767714,1.6678799533758562,-0.17389844669908472
2020-09-29,sh.601456,19.6400,19.64,19.64,19.64,0,0.0000,3,,0,0.000000,96.051053,5.567720,29.369589,-77.816011,0,19.640000000000008,19.203000000000003,18.464999999999993,-1,1,1,1,1,100.0,100.0,100.0,1,1.4417676380948201,1.622657490319649,-0.18088985222482878
