date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2020-02-14,sh.601512,11.3900,12.07,11.32,11.97,15118196,177882146.0000,3,10.086200,1,4.632900,14.144233,2.050713,3.455722,10.948088,0,11.655999999999995,11.337999999999997,12.319999999999997,1,1,-1,1,-1,66.99530516431926,58.496697354084155,83.99252078478948,1,-0.7464213942326463,-0.8367417581298956,0.09032036389724929
2020-02-17,sh.601512,11.9000,12.17,11.8,12.06,14262517,170932163.0000,3,9.515300,1,0.751900,14.250581,2.066132,3.481705,11.030404,0,11.777999999999997,11.429999999999996,12.242999999999997,1,1,-1,1,-1,76.76470588235297,67.00521717429108,96.28368329847675,1,-0.6791021276010483,-0.8052138320241261,0.12611170442307784
2020-02-18,sh.601512,12.0100,12.07,11.85,11.96,8180351,97842716.0000,3,5.457600,1,-0.829200,14.132417,2.049000,3.452835,10.938941,0,11.825999999999997,11.574999999999998,12.159999999999997,1,1,-1,1,-1,81.36809269162215,75.04270124609813,94.01887558267018,1,-0.6265972648258522,-0.7694905185844714,0.14289325375861917
2020-02-19,sh.601512,11.9800,12.07,11.88,11.89,6973732,83446671.0000,3,4.652600,1,-0.585300,14.132417,2.049000,3.452835,10.938941,0,11.863999999999999,11.655999999999997,12.061499999999995,1,1,-1,1,-1,75.83258494237394,77.98846117211635,71.52083248288912,-1,-0.5839043123401488,-0.7323732773356069,0.14846896499545803
2020-02-20,sh.601512,11.8600,11.94,11.75,11.93,7810151,92687282.0000,3,5.210600,1,0.336400,14.096968,2.043860,3.444174,10.911502,0,11.962,11.729999999999999,11.974999999999996,-1,1,-1,1,-1,70.43644274565783,75.87904012655129,59.55124798387092,-1,-0.5406103545540262,-0.6940206927792907,0.1534103382252645
2020-02-21,sh.601512,11.8900,11.97,11.87,11.89,6909706,82355271.0000,3,4.609900,1,-0.335300,14.049702,2.037008,3.432626,10.874917,0,11.946,11.800999999999998,11.897999999999996,-1,1,-1,1,1,64.8734599767927,70.38082922160814,53.85872148716183,-1,-0.5037206684873592,-0.6559606879209043,0.15224001943354515
2020-02-24,sh.601512,11.8400,11.88,11.6,11.7,8299596,97136027.0000,3,5.537100,1,-1.598000,13.825190,2.004457,3.377773,10.701138,0,11.873999999999999,11.825999999999997,11.819999999999997,-1,-1,-1,1,1,57.12911032853642,64.14633768366231,43.094655618284634,-1,-0.4842347814723098,-0.6216155066311855,0.13738072515887567
2020-02-25,sh.601512,11.4800,11.57,11.22,11.42,7794759,89006720.0000,3,5.200300,1,-2.393200,13.494331,1.956487,3.296938,10.445043,0,11.765999999999998,11.795999999999998,11.725499999999995,-1,-1,-1,-1,1,41.111423835882015,54.371331380403696,14.591608746838645,-1,-0.4857858981246519,-0.5944495849298788,0.10866368680522687
2020-02-26,sh.601512,11.3000,11.79,11.22,11.53,8665972,100037385.0000,3,5.781600,1,0.963200,13.624312,1.975332,3.328694,10.545652,0,11.693999999999999,11.778999999999998,11.648499999999995,-1,-1,-1,-1,1,32.796697626418926,43.67907726361244,11.031938352031887,-1,-0.47269021005312695,-0.5700977099545284,0.0974074999014014
2020-02-27,sh.601512,11.4800,11.54,11.37,11.4,5323948,60874402.0000,3,3.551900,1,-1.127500,13.470698,1.953060,3.291164,10.426750,0,11.587999999999997,11.774999999999999,11.576999999999995,-1,-1,-1,-1,1,24.210526315789437,32.70621592603011,7.219147095308088,-1,-0.467413642930957,-0.5495608965498141,0.08214725361885711
2020-02-28,sh.601512,11.1900,11.28,10.84,10.85,8047377,88973684.0000,3,5.368900,1,-4.824600,12.820796,1.858834,3.132379,9.923705,0,11.379999999999999,11.662999999999998,11.500499999999995,-1,-1,-1,-1,-1,17.46398516616743,24.823736369458583,2.744482759585118,-1,-0.5018275730440038,-0.540014231848652,0.03818665880464822
2020-03-02,sh.601512,10.8200,11.38,10.82,11.38,8152939,91720802.0000,3,5.439300,1,4.884800,13.447066,1.949634,3.285390,10.408457,0,11.315999999999999,11.594999999999997,11.512499999999994,1,-1,-1,-1,-1,21.520125517044672,21.06487899966716,22.43061855179969,1,-0.48079201888136147,-0.528169789255194,0.047377770373832506
2020-03-03,sh.601512,11.4800,11.58,11.34,11.44,7042575,80706480.0000,3,4.698500,1,0.527200,13.517964,1.959913,3.302712,10.463335,0,11.319999999999997,11.542999999999997,11.558999999999994,1,-1,-1,-1,-1,33.17535053611406,24.05315373977537,51.41974412879144,1,-0.4540457354903289,-0.5133449785022209,0.059299243011892044
2020-03-04,sh.601512,11.3800,12.28,11.28,12.27,24558735,293627552.0000,3,16.384500,1,7.255300,14.498725,2.102110,3.542331,11.222476,0,11.467999999999998,11.580999999999998,11.618499999999994,1,1,1,-1,-1,66.0093706571372,40.23494890343196,117.55821416454766,1,-0.3617055335686903,-0.4830170895155148,0.12131155594682452
2020-03-05,sh.601512,12.1500,12.32,12.04,12.22,17546555,214065262.0000,3,11.706300,1,-0.407500,14.439643,2.093543,3.527896,11.176744,0,11.631999999999998,11.609999999999996,11.669999999999995,1,1,1,1,-1,82.18714843491496,60.45728987605539,125.64686555263411,1,-0.2892258251278772,-0.44425883663798726,0.15503301151011006
2020-03-06,sh.601512,11.9500,12.08,11.87,11.97,9586151,114720839.0000,3,6.395500,1,-2.045800,14.144233,2.050713,3.455722,10.948088,0,11.855999999999998,11.617999999999997,11.709499999999995,1,1,1,1,1,89.77168949771693,79.32273619658969,110.66959609997144,1,-0.2490867279149569,-0.4052244148933812,0.15613768697842428
