date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2012-04-06,sh.601515,14.3300,14.77,14.22,14.41,2301043,33294607.0000,3,5.136257,1,0.278400,15.774042,7.892806,5.903859,-181.648500,0,14.251999999999999,14.620999999999995,15.177000000000007,1,-1,-1,-1,-1,37.97979797979793,31.691919191919144,50.55555555555551,1,-0.4516726003673206,-0.33890980354486405,-0.11276279682245655
2012-04-09,sh.601515,14.8000,14.8,14.06,14.17,1885104,27126029.0000,3,4.207821,1,-1.665500,14.431774,6.756941,5.131850,-241.863074,0,14.239999999999998,14.565999999999994,15.079000000000008,-1,-1,-1,-1,-1,40.40404040404034,37.37373737373732,46.46464646464638,1,-0.46481439657846124,-0.3640907221515835,-0.10072367442687774
2012-04-10,sh.601515,14.1600,14.2,13.68,14.18,1443947,20081605.0000,3,3.223096,1,0.070600,14.441959,6.761709,5.135472,-242.033761,0,14.235999999999995,14.479999999999995,14.978500000000007,-1,-1,-1,-1,-1,36.56565656565652,38.31649831649827,33.06397306397301,-1,-0.46901592470310227,-0.38507576266188726,-0.08394016204121502
2012-04-11,sh.601515,14.0100,14.22,13.88,14.04,1109549,15584426.0000,3,2.476672,1,-0.987300,14.299373,6.694950,5.084769,-239.644147,0,14.233999999999998,14.386999999999995,14.87050000000001,-1,-1,-1,-1,-1,29.090909090909022,35.3535353535353,16.565656565656468,-1,-0.4781309005876153,-0.40368679024703286,-0.07444411034058246
2012-04-12,sh.601515,14.0500,14.48,13.93,14.33,3030631,43354334.0000,3,6.764801,1,2.065500,14.594730,6.833236,5.189796,-244.594061,0,14.225999999999999,14.303999999999997,14.76200000000001,1,1,-1,-1,-1,32.93185014703996,32.86280526786851,33.06993990538285,1,-0.4566895751343125,-0.4142873472244888,-0.04240222790982373
2012-04-13,sh.601515,14.3100,14.59,14.2,14.34,3335412,47937425.0000,3,7.445116,1,0.069800,14.604915,6.838005,5.193418,-244.764748,0,14.212,14.231999999999996,14.650500000000008,1,1,-1,-1,-1,42.22477943996925,34.749179559306086,57.175979201295576,1,-0.43388865547563604,-0.41820760887471825,-0.015681046600917792
2012-04-16,sh.601515,14.2800,14.65,14.11,14.54,3734542,54040003.0000,3,8.336031,1,1.394700,14.808610,6.933375,5.265851,-248.178482,0,14.286000000000001,14.262999999999996,14.613000000000008,1,1,-1,1,-1,59.941229656419445,45.032619747809555,89.75844947363923,1,-0.3951256710652693,-0.41359122131282844,0.018465550247559137
2012-04-17,sh.601515,14.5700,14.74,14.39,14.66,3929570,57266226.0000,3,8.771362,1,0.825300,14.930827,6.990596,5.309310,-250.226723,0,14.382000000000001,14.308999999999997,14.59250000000001,1,1,1,1,-1,74.76190476190466,58.975971286097796,106.3337717135184,1,-0.35068030526153215,-0.40100903810256916,0.050328732841037005
2012-04-18,sh.601515,14.6700,14.9,14.62,14.78,3506277,51681549.0000,3,7.826511,1,0.818600,15.053044,7.047818,5.352770,-252.274963,0,14.530000000000001,14.381999999999996,14.568000000000008,1,1,1,1,-1,84.81654957064784,73.17322799632399,108.10319271929552,1,-0.30228943113881535,-0.3812651167098184,0.07897568557100304
2012-04-19,sh.601515,14.7200,14.81,14.45,14.6,2741112,40058625.0000,3,6.118554,1,-1.217900,14.869718,6.961985,5.287580,-249.202603,0,14.584,14.404999999999996,14.536500000000009,1,1,1,1,1,84.35792349726769,81.31212594327341,90.44951860525626,1,-0.275290433679265,-0.3600701801037077,0.08477974642444275
2012-04-20,sh.601515,14.5500,14.96,14.55,14.84,4710090,69750668.0000,3,10.513594,1,1.643800,15.114152,7.076429,5.374499,-253.299084,0,14.684000000000001,14.447999999999997,14.534500000000008,1,1,1,1,1,85.39959016393435,84.85802107728331,86.48272833723641,1,-0.2318548609268607,-0.3344271162683383,0.10257225534147763
2012-04-23,sh.601515,14.6700,14.73,14.54,14.58,1983130,28976767.0000,3,4.426629,1,-1.752000,14.849349,6.952449,5.280337,-248.861229,0,14.692000000000002,14.488999999999999,14.527500000000007,-1,1,1,1,1,76.94988362679611,82.23579909599941,66.37805268838949,-1,-0.2159226616373484,-0.31072622534214034,0.09480356370479193
2012-04-24,sh.601515,14.4600,14.66,14.0,14.44,2515248,35989373.0000,3,5.614393,1,-0.960200,14.706762,6.885690,5.229634,-246.471615,0,14.648000000000001,14.514999999999997,14.497500000000006,-1,-1,-1,1,1,68.31812597387021,76.88919992153359,51.17597807854344,-1,-0.21214760337192118,-0.2910105009480965,0.07886289757617532
2012-04-25,sh.601515,14.2300,14.67,14.23,14.55,2479834,35963152.0000,3,5.535344,1,0.761800,14.818795,6.938143,5.269472,-248.349169,0,14.602,14.565999999999999,14.476500000000005,-1,-1,1,1,1,57.20701486275913,67.49167482114184,36.6376949459937,-1,-0.19799737135915585,-0.2724078750303084,0.07441050367115254
2012-04-26,sh.601515,14.6900,14.74,14.5,14.59,1903197,27856944.0000,3,4.248208,1,0.274900,14.859534,6.957217,5.283959,-249.031916,0,14.6,14.591999999999999,14.448000000000002,-1,-1,1,1,1,56.08818770226531,60.53777617963158,47.18901074753276,-1,-0.1814637437553177,-0.25421904877531026,0.07275530501999256
2012-04-27,sh.601515,14.5200,14.77,14.4,14.58,1993308,29081702.0000,3,4.449348,1,-0.068500,14.849349,6.952449,5.280337,-248.861229,0,14.547999999999998,14.616,14.424000000000001,1,-1,1,-1,1,59.722222222222165,57.67247492908223,63.82171680850203,1,-0.1672398048206265,-0.2368231999843735,0.06958339516374701
2012-05-02,sh.601515,14.5800,14.58,14.58,14.58,0,0.0000,3,,0,0.000000,13.954057,4.046527,5.037645,10.492171,0,14.547999999999998,14.620000000000001,14.4415,1,-1,1,-1,1,60.76388888888881,58.85809960445878,64.57546745774887,1,-0.15418982639805634,-0.22029652526711008,0.06610669886905374
2012-05-03,sh.601515,14.9300,14.93,14.6,14.69,4981857,73439846.0000,3,11.120217,1,0.754500,14.059334,4.077056,5.075652,10.571330,0,14.597999999999999,14.623000000000001,14.466,1,1,1,-1,1,64.23611111111101,61.57407407407402,69.56018518518499,1,-0.1334334065353815,-0.20292390152076437,0.06949049498538287
2012-05-04,sh.601515,14.6100,15.08,14.61,15.01,4544120,67362708.0000,3,10.143125,1,2.178400,14.365596,4.165869,5.186218,10.801611,0,14.690000000000001,14.646,14.514,1,1,1,1,1,75.27006172839496,66.7566872427983,92.29681069958829,1,-0.09012358007276866,-0.18036383723116522,0.09024025715839656
2012-05-07,sh.601515,14.9000,15.18,14.83,14.99,2800393,41935095.0000,3,6.250877,1,-0.133200,14.346455,4.160318,5.179307,10.787218,0,14.77,14.685000000000002,14.544999999999998,1,1,1,1,1,83.09727453442135,74.20114912464247,100.88952535397911,1,-0.05675977210265515,-0.15564302420546322,0.09888325210280807
