date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-05-07,sh.601518,4.8900,5.14,4.81,4.99,18569871,92619926.0000,3,3.012651,1,-2.348300,47.821608,3.955069,12.425293,,0,4.900000000000001,4.8809999999999985,5.053,1,1,-1,1,-1,70.09485094850949,55.0271002710027,100.23035230352308,1,-0.11982091196587419,-0.1379290561536402,0.018108144187766018
2010-05-10,sh.601518,4.9400,5.11,4.72,4.93,14922453,73884645.0000,3,2.420918,1,-1.202400,47.246599,3.907513,12.275891,,0,4.9460000000000015,4.872999999999998,5.023000000000001,-1,1,-1,1,-1,56.09756097560976,60.76332429990966,46.76603432700996,-1,-0.11453553115598591,-0.13325035115410935,0.01871481999812344
2010-05-11,sh.601518,5.1000,5.15,4.93,4.97,15258498,76576691.0000,3,2.475436,1,0.811400,47.629938,3.939217,12.375493,,0,5.016000000000001,4.883999999999999,4.9995,-1,1,-1,1,1,50.40650406504063,58.86630532971995,33.486901535681994,-1,-0.10589843187580605,-0.1277799672984487,0.02188153542264265
2010-05-12,sh.601518,4.9000,5.06,4.72,4.95,11917732,58690017.0000,3,1.933453,1,-0.402400,47.438268,3.923365,12.325692,,0,4.990000000000001,4.8889999999999985,4.9825,-1,1,-1,1,1,48.78048780487803,51.76151761517613,42.81842818428183,-1,-0.09952009560927433,-0.12212799296061383,0.0226078973513395
2010-05-13,sh.601518,4.9100,5.0,4.78,4.99,12889674,63122233.0000,3,2.091134,1,0.808100,47.821608,3.955069,12.425293,,0,4.966000000000001,4.902999999999999,4.966,1,1,1,1,1,51.21951219512195,50.13550135501353,53.38753387533879,1,-0.09019780827100288,-0.11574195602269163,0.025544147751688756
2010-05-14,sh.601518,4.9600,5.21,4.88,5.14,58575234,298462811.0000,3,9.502852,1,3.006000,49.259131,4.073959,12.798799,,0,4.996,4.947999999999999,4.964,1,1,1,1,1,58.130081300813,52.71002710027099,68.97018970189703,1,-0.06990031467810098,-0.1065736277537735,0.03667331307567252
2010-05-17,sh.601518,5.0300,5.05,4.63,4.63,31403898,151376535.0000,3,5.094757,1,-9.922200,44.371552,3.669733,11.528880,,0,4.936000000000001,4.940999999999999,4.934500000000001,-1,-1,-1,-1,1,45.12195121951218,51.49051490514904,32.384823848238455,-1,-0.09388489588391113,-0.10403588137980103,0.0101509854958899
2010-05-18,sh.601518,4.5600,4.68,4.31,4.57,21865309,97836619.0000,3,3.547280,1,-1.295900,43.796543,3.622177,11.379477,,0,4.856000000000001,4.935999999999999,4.913500000000001,-1,-1,-1,-1,-1,35.41187298665439,46.22130183565986,13.793015288643446,-1,-0.11639264587839016,-0.10650723427951886,-0.009885411598871297
2010-05-19,sh.601518,4.5000,4.56,4.42,4.48,14049797,62893368.0000,3,2.279344,1,-1.969400,42.934029,3.550843,11.155374,,0,4.762000000000001,4.8759999999999994,4.883000000000001,-1,-1,-1,-1,-1,17.72442944555235,32.75275121723964,-12.33221409782223,-1,-0.13987999820023678,-0.11318178706366244,-0.026698211136574335
2010-05-20,sh.601518,4.4200,4.54,4.32,4.34,12783462,56459135.0000,3,2.073903,1,-3.125000,41.592340,3.439879,10.806768,,0,4.6320000000000014,4.7989999999999995,4.843000000000001,-1,-1,-1,-1,-1,15.583508036338264,22.906603489515003,0.937317129984784,-1,-0.16785578707689552,-0.12411658706630906,-0.04373920001058647
2010-05-21,sh.601518,4.2000,4.36,4.15,4.35,17120125,72770249.0000,3,2.777454,1,0.230400,41.688175,3.447805,10.831669,,0,4.474000000000001,4.734999999999999,4.808000000000001,-1,-1,-1,-1,-1,13.696715583508038,15.66821768846622,9.753711373591674,-1,-0.18706353292525257,-0.13670597623809777,-0.0503575566871548
2010-05-24,sh.601518,4.3300,4.65,4.33,4.51,23169401,104439063.0000,3,3.758848,1,3.678200,43.221534,3.574621,11.230075,,0,4.450000000000001,4.693,4.783,1,-1,-1,-1,-1,18.721174004192832,16.000465874679715,24.162590263219066,1,-0.18721702573607057,-0.14680818613769234,-0.04040883959837824
2010-05-25,sh.601518,4.4600,4.48,4.38,4.41,12858571,56875269.0000,3,2.086088,1,-2.217300,42.263185,3.495361,10.981071,,0,4.418000000000001,4.636999999999999,4.7605,-1,-1,-1,-1,-1,25.786163522012526,19.401351036571132,38.55578849289531,1,-0.1931809642546769,-0.15608274176108924,-0.03709822249358766
2010-05-26,sh.601518,4.4000,4.49,4.37,4.42,9072485,40120745.0000,3,1.471859,1,0.226800,42.359020,3.503287,11.005971,,0,4.4060000000000015,4.583999999999999,4.7365,1,-1,-1,-1,-1,27.987421383647757,24.164919636617707,35.632424877707855,1,-0.19485435239028348,-0.1638370638869281,-0.03101728850335539
2010-05-27,sh.601518,4.4000,4.49,4.31,4.48,15808779,69890817.0000,3,2.564710,1,1.357500,42.934029,3.550843,11.155374,,0,4.434000000000002,4.532999999999999,4.718000000000001,1,-1,-1,-1,-1,28.88888888888887,27.554157931516386,31.558350803633843,1,-0.18915852426416002,-0.1689013559623745,-0.020257168301785533
2010-05-28,sh.601518,4.5400,4.67,4.4,4.59,25202670,114473099.0000,3,4.088711,1,2.455400,43.988213,3.638029,11.429278,,0,4.482000000000001,4.477999999999999,4.713000000000001,1,1,-1,1,-1,48.385744234800825,35.08735150244582,74.98252969951083,1,-0.1737653993874062,-0.16987416464738084,-0.0038912347400253677
2010-05-31,sh.601518,4.5100,4.68,4.42,4.43,19287453,88159099.0000,3,3.129066,1,-3.485800,42.454854,3.511213,11.030872,,0,4.466000000000001,4.457999999999998,4.6995000000000005,-1,-1,-1,1,-1,57.50524109014673,44.926624737945474,82.66247379454924,1,-0.1724885591063332,-0.17039704353917132,-0.002091515567161889
2010-06-01,sh.601518,4.3800,4.41,4.21,4.3,11344344,48925220.0000,3,1.840430,1,-2.934500,41.209001,3.408175,10.707167,,0,4.444000000000001,4.430999999999998,4.6835,-1,-1,-1,1,-1,54.71698113207541,53.535988819007656,57.07896575821093,1,-0.17989287445185909,-0.17229620972170887,-0.007596664730150221
2010-06-02,sh.601518,4.3000,4.35,4.23,4.34,7650414,32817857.0000,3,1.241152,1,0.930200,41.592340,3.439879,10.806768,,0,4.428000000000001,4.416999999999999,4.6465000000000005,-1,-1,-1,1,-1,38.99371069182382,50.405310971348655,16.170510132774154,-1,-0.18045303178009853,-0.1739275741333868,-0.006525457646711724
2010-06-03,sh.601518,4.3600,4.42,4.27,4.29,10489568,45669044.0000,3,1.701757,1,-1.152100,41.113166,3.400249,10.682266,,0,4.390000000000001,4.411999999999998,4.605500000000001,-1,-1,-1,-1,-1,27.057406663990317,40.256032829296515,0.6601543333779176,-1,-0.1828240606637035,-0.17570687143945013,-0.007117189224253362
2010-06-04,sh.601518,4.2500,4.45,4.2,4.4,12461355,53904851.0000,3,2.021646,1,2.564100,42.167350,3.487435,10.956171,,0,4.352000000000001,4.416999999999998,4.576000000000001,1,-1,-1,-1,-1,31.51233328872831,32.52115021484749,29.494699436489952,-1,-0.173823310522212,-0.1753301592560025,0.0015068487337905057
