date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2011-03-23,sh.601519,23.2000,23.48,23.19,23.41,2491065,58204801.0000,3,2.830756,1,0.905200,101.241145,19.794406,28.690594,-91.945767,0,23.448,23.84,24.474000000000004,-1,-1,-1,-1,-1,19.83786361468759,24.272964474995174,10.967661894072414,-1,-0.44602261441001545,-0.253970825185689,-0.19205178922432647
2011-03-24,sh.601519,23.4800,23.5,23.05,23.09,3528420,81832103.0000,3,4.009568,1,-1.366900,99.857242,19.523829,28.298411,-90.688926,0,23.316000000000003,23.655,24.335500000000003,-1,-1,-1,-1,-1,18.862253858590037,20.48811503851798,15.610531498734154,-1,-0.4789091607120106,-0.2989584922909533,-0.17995066842105734
2011-03-25,sh.601519,23.0700,23.33,23.01,23.19,2588038,60034689.0000,3,2.940952,1,0.433100,100.289712,19.608384,28.420968,-91.081689,0,23.222,23.51,24.201,-1,-1,-1,-1,-1,21.32098753683595,20.00703500337118,23.948892603765493,1,-0.49124011111144483,-0.3374148160550516,-0.15382529505639325
2011-03-28,sh.601519,23.2000,23.33,23.08,23.16,3002273,69608374.0000,3,3.411674,1,-0.129400,100.159971,19.583018,28.384201,-90.963860,0,23.21,23.396,24.091,-1,-1,-1,-1,-1,18.05871590757634,19.41398576766743,15.348176187394152,-1,-0.4976960966254005,-0.36947107216912134,-0.12822502445627915
2011-03-29,sh.601519,23.1600,23.16,22.51,22.54,4548648,103293880.0000,3,5.168918,1,-2.677000,97.478659,19.058774,27.624348,-88.528731,0,23.078000000000003,23.3,23.962000000000003,-1,-1,-1,-1,-1,13.942071148314342,17.7739248642422,6.278363716458628,-1,-0.5465411440038501,-0.4048850865360671,-0.14165605746778304
2011-03-30,sh.601519,22.3600,22.6,22.0,22.01,3835718,85019105.0000,3,4.358770,1,-2.351400,95.186570,18.610631,26.974796,-86.447088,0,22.798000000000005,23.122999999999998,23.793000000000003,-1,-1,-1,-1,-1,6.229949936193139,12.743578997361261,-6.7973081861431055,-1,-0.6208608689413389,-0.44808024301712146,-0.1727806259242174
2011-03-31,sh.601519,22.0100,22.54,22.0,22.18,2613855,58248212.0000,3,2.970290,1,0.772400,95.921768,18.754375,27.183142,-87.114785,0,22.616000000000003,22.966,23.675500000000003,-1,-1,-1,-1,-1,4.765469061876208,8.312496715461217,-2.3285862452938098,-1,-0.6584519825653956,-0.49015459092677627,-0.16829739163861934
2011-04-01,sh.601519,22.3000,22.35,22.0,22.25,1961626,43452770.0000,3,2.229120,1,0.315600,96.224497,18.813564,27.268932,-87.389719,0,22.428000000000004,22.825,23.560000000000002,-1,-1,-1,-1,-1,9.72222222222223,6.905880406763846,15.354905853139,1,-0.674815937882645,-0.52708686031795,-0.147729077564695
2011-04-06,sh.601519,22.2000,22.9,22.01,22.75,4114987,92509504.0000,3,4.676122,1,2.247200,98.386845,19.236341,27.881717,-89.353533,0,22.346000000000004,22.778,23.456000000000003,1,-1,-1,-1,-1,26.222222222222204,13.569971168773534,51.526724329119546,1,-0.6400604505912248,-0.549681578372605,-0.09037887221861984
2011-04-07,sh.601519,22.6000,22.67,22.4,22.49,2401724,54050667.0000,3,2.729232,1,-1.142900,97.262424,19.016497,27.563069,-88.332350,0,22.336000000000006,22.707,23.357000000000006,1,-1,-1,-1,-1,33.111111111111065,23.018518518518487,53.29629629629623,1,-0.6262769725071671,-0.5650006571995174,-0.061276315307649654
2011-04-08,sh.601519,22.5000,22.79,22.5,22.62,2088944,47297232.0000,3,2.373800,1,0.578000,97.824635,19.126419,27.722393,-88.842941,0,22.458000000000006,22.628000000000004,23.234000000000005,1,-1,-1,-1,-1,43.09440267335004,34.14257866889442,60.99805068226128,1,-0.5979705213301152,-0.5715946300256369,-0.02637589130447826
2011-04-11,sh.601519,22.6300,22.77,22.17,22.2,2939888,65829512.0000,3,3.340782,1,-1.856800,96.008262,18.771286,27.207654,-87.193338,0,22.462000000000003,22.539,23.097000000000005,-1,-1,-1,-1,-1,31.440267335004165,35.88192703982174,22.556947925369016,-1,-0.6024828969454745,-0.5777722834096044,-0.02471061353587012
2011-04-12,sh.601519,22.2100,22.48,22.17,22.3,1783670,39739160.0000,3,2.026898,1,0.450500,96.440732,18.855842,27.330211,-87.586100,0,22.472,22.450000000000003,22.980000000000008,-1,-1,-1,1,-1,29.172068101287746,34.568912703213975,18.378378897435283,-1,-0.5911751240293555,-0.5804528515335546,-0.010722272495800822
2011-04-13,sh.601519,22.2800,22.5,22.04,22.48,2262969,50314718.0000,3,2.571556,1,0.807200,97.219177,19.008041,27.550813,-88.293073,0,22.418000000000003,22.382,22.889000000000006,1,1,-1,1,-1,31.410998761271035,30.67444473252097,32.884106818771166,1,-0.5612197449750767,-0.5766062302218591,0.015386485246782433
2011-04-14,sh.601519,22.5000,22.51,22.26,22.26,1753660,39191099.0000,3,1.992795,1,-0.978600,96.267744,18.822019,27.281188,-87.428995,0,22.372000000000007,22.354000000000003,22.827000000000005,-1,-1,-1,1,-1,36.02809706257995,32.20372130837956,43.67684857098074,1,-0.5489046218416682,-0.571065908545821,0.02216128670415274
