date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.601666,25.9000,26.32,25.78,26.29,7188575,187627858.0000,3,0.514521,1,1.978300,26.061250,4.728934,1.948542,-13.297198,0,26.037999999999982,25.861,26.011000000000003,1,1,1,1,1,51.17702448210931,50.99318446776081,51.5447045108063,1,-1.3259578352199313,-1.8395530006609357,0.5135951654410045
2010-02-26,sh.601666,26.2000,26.35,25.9,25.97,5795938,151169354.0000,3,0.414843,1,-1.217200,25.744034,4.671374,1.924824,-13.135345,0,25.93599999999998,25.944000000000006,25.964500000000005,1,1,1,-1,-1,59.17131904745987,52.26466276009958,72.98463162218044,1,-1.2309409284685344,-1.7178305862224554,0.486889657753921
2010-03-01,sh.601666,26.0400,26.59,26.01,26.44,6681715,175730081.0000,3,0.478243,1,1.809800,26.209945,4.755915,1.959659,-13.373066,0,25.99799999999998,26.04800000000001,25.935500000000008,1,1,1,-1,1,71.35108481262328,60.56647611406415,92.92030220974154,1,-1.1049767886665158,-1.5952598267112674,0.4902830380447516
2010-03-02,sh.601666,26.4800,26.68,25.45,25.65,13193564,340665792.0000,3,0.944327,1,-2.987900,25.426818,4.613813,1.901107,-12.973493,0,26.025999999999975,26.038000000000004,25.91100000000001,-1,-1,-1,-1,1,58.57988165680471,63.03409517229594,49.67145462582225,-1,-1.0567145504892501,-1.4875507714668639,0.43083622097761376
2010-03-03,sh.601666,25.5500,25.99,25.4,25.94,6335202,162760117.0000,3,0.453441,1,1.130600,25.714295,4.665977,1.922601,-13.120172,0,26.057999999999975,26.014000000000003,25.899000000000008,-1,-1,1,1,1,57.9881656804734,62.63971071663379,48.685075608152616,-1,-0.9837260214274117,-1.3867858214589734,0.4030598000315617
2010-03-04,sh.601666,26.0200,26.65,25.79,25.86,12638135,331320456.0000,3,0.904572,1,-0.308400,25.634991,4.651587,1.916671,-13.079709,0,25.97199999999998,26.005000000000006,25.867000000000008,-1,-1,-1,-1,1,46.54832347140037,54.37212360289282,30.90072320841547,-1,-0.9217124898669695,-1.2937711551405726,0.3720586652736031
2010-03-05,sh.601666,25.8100,26.1,25.5,25.68,5333438,137144511.0000,3,0.381740,1,-0.696100,25.456557,4.619210,1.903330,-12.988666,0,25.91399999999998,25.925000000000004,25.841500000000007,-1,-1,-1,-1,1,47.45083975853206,50.66244297013527,41.02763333532566,-1,-0.8769815179621574,-1.2104132277048896,0.3334317097427322
2010-03-08,sh.601666,25.9500,26.26,25.71,26.05,5776197,150506688.0000,3,0.413430,1,1.440800,25.823338,4.685764,1.930754,-13.175808,0,25.835999999999984,25.91700000000001,25.900000000000006,1,1,1,-1,-1,50.1081824158747,48.0357818819357,54.252983483752715,1,-0.8024261238149428,-1.1288158069269003,0.3263896831119575
2010-03-09,sh.601666,26.1900,27.33,25.92,26.8,16085569,429215096.0000,3,1.151322,1,2.879100,26.566812,4.820671,1.986342,-13.555150,0,26.065999999999985,26.04600000000001,26.001500000000004,1,1,1,1,1,57.91699377191608,51.82533864877427,70.10030401819971,1,-0.6750402608925938,-1.038060697720039,0.3630204368274452
2010-03-10,sh.601666,26.8000,26.88,26.21,26.36,8012864,211996800.0000,3,0.573519,1,-1.641800,26.130641,4.741525,1.953730,-13.332603,0,26.149999999999988,26.104000000000006,25.981000000000005,1,1,1,1,1,61.365991521432,56.463722569740916,71.17052942481418,1,-0.6026434707295856,-0.9509772523219484,0.34833378159236283
