date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2011-12-02,sh.601669,4.4900,4.53,4.4,4.5,49304836,220030018.0000,3,3.286989,1,-0.662300,12.858481,1.625586,0.377775,2.915187,0,4.525999999999999,4.574999999999998,4.7365,-1,-1,-1,-1,-1,40.0000000000001,36.64550264550272,46.708994708994865,1,-0.11732938971546414,-0.08687624155923028,-0.03045314815623386
2011-12-05,sh.601669,4.4800,4.48,4.36,4.38,39170829,173260764.0000,3,2.611389,1,-2.666700,12.515588,1.582237,0.367701,2.837449,0,4.481999999999998,4.5459999999999985,4.7,-1,-1,-1,-1,-1,40.0000000000001,40.05555555555565,39.888888888889,-1,-0.12769036902251418,-0.09503906705188706,-0.03265130197062713
2011-12-06,sh.601669,4.3700,4.39,4.29,4.35,32539975,141135071.0000,3,2.169332,1,-0.684900,12.429865,1.571400,0.365182,2.818014,0,4.427999999999999,4.511999999999999,4.662999999999999,-1,-1,-1,-1,-1,27.222222222222243,35.74074074074081,10.185185185185105,-1,-0.13674594689530206,-0.10338044302057006,-0.033365503874732
2011-12-07,sh.601669,4.3400,4.37,4.28,4.31,31747972,137112789.0000,3,2.116531,1,-0.919500,12.315568,1.556950,0.361824,2.792101,0,4.413999999999999,4.481999999999999,4.622999999999999,-1,-1,-1,-1,-1,14.091591591591536,27.104604604604628,-11.93443443443465,-1,-0.14547329768571693,-0.11179901395359944,-0.03367428373211749
2011-12-08,sh.601669,4.3000,4.43,4.26,4.35,52394844,228290312.0000,3,3.492990,1,0.928100,12.429865,1.571400,0.365182,2.818014,0,4.377999999999998,4.455,4.594499999999999,-1,-1,-1,-1,-1,15.950565950565851,19.088126588126546,9.67544467544446,-1,-0.14746226713478006,-0.11893166458983556,-0.028530602544944494
2011-12-09,sh.601669,4.3100,4.38,4.31,4.36,22021731,95786847.0000,3,1.468115,1,0.229900,12.458440,1.575012,0.366022,2.824492,0,4.349999999999999,4.438,4.570499999999999,1,-1,-1,-1,-1,18.942018942018915,16.32805882805877,24.169939169939205,1,-0.14654237405772363,-0.12445380648341317,-0.022088567574310464
2011-12-12,sh.601669,4.3600,4.41,4.32,4.35,26084197,114091099.0000,3,1.738946,1,-0.229400,12.429865,1.571400,0.365182,2.818014,0,4.3439999999999985,4.412999999999999,4.5394999999999985,1,-1,-1,-1,-1,24.57264957264958,19.821744821744783,34.07445907445918,1,-0.14494938234142296,-0.12855292165501514,-0.01639646068640782
2011-12-13,sh.601669,4.3400,4.35,4.18,4.2,59700592,253787336.0000,3,3.980039,1,-3.448300,12.001249,1.517213,0.352590,2.720841,0,4.313999999999998,4.371,4.503499999999999,-1,-1,-1,-1,-1,18.39549339549346,20.63672063672065,13.913038913039081,-1,-0.15401527906122858,-0.13364539313625784,-0.020369885924970743
2011-12-14,sh.601669,4.1800,4.24,4.13,4.18,31324405,131554290.0000,3,2.088294,1,-0.476200,11.944100,1.509989,0.350911,2.707885,0,4.2879999999999985,4.351,4.475999999999999,-1,-1,-1,-1,-1,14.01515151515153,18.994431494431524,4.056591556591542,-1,-0.1609584713167891,-0.1391080087723641,-0.021850462544424992
2011-12-15,sh.601669,4.1400,4.2,4.08,4.09,36078668,149387438.0000,3,2.405245,1,-2.153100,11.686931,1.477477,0.343355,2.649581,0,4.235999999999998,4.3069999999999995,4.446,-1,-1,-1,-1,-1,6.5151515151515325,12.975265475265507,-6.405076405076418,-1,-0.1717434969151137,-0.145635106400914,-0.026108390514199692
2011-12-16,sh.601669,4.1000,4.22,4.06,4.21,38102132,157728548.0000,3,2.540142,1,2.934000,12.029824,1.520826,0.353429,2.727319,0,4.205999999999998,4.278,4.426499999999999,1,-1,-1,-1,-1,18.513513513513526,13.01460551460553,29.511329511329517,1,-0.168663462874882,-0.1502407776957076,-0.018422685179174392
2011-12-19,sh.601669,4.1600,4.25,4.07,4.23,44645266,186179526.0000,3,2.976351,1,0.475100,12.086972,1.528051,0.355108,2.740276,0,4.181999999999999,4.263,4.4045,1,-1,-1,-1,-1,29.662162162162264,18.230275730275775,52.52593502593525,1,-0.16273279845162492,-0.15273918184689106,-0.009993616604733857
2011-12-20,sh.601669,4.2000,4.26,4.18,4.18,25233482,106407746.0000,3,1.682232,1,-1.182000,11.944100,1.509989,0.350911,2.707885,0,4.177999999999999,4.2459999999999996,4.379,1,-1,-1,-1,-1,39.63963963963977,29.271771771771853,60.3753753753756,1,-0.16022036565902642,-0.15423541860931814,-0.0059849470497082835
2011-12-21,sh.601669,4.2200,4.24,4.06,4.07,36746583,152167302.0000,3,2.449772,1,-2.631600,11.629782,1.470252,0.341676,2.636625,0,4.155999999999999,4.2219999999999995,4.351999999999999,-1,-1,-1,-1,-1,27.07850707850724,32.12676962676976,16.9819819819822,-1,-0.16520099107042086,-0.15642853310153867,-0.00877245796888218
2011-12-22,sh.601669,4.0800,4.1,3.99,4.05,42490697,171164311.0000,3,2.832713,1,-0.491400,11.572633,1.463027,0.339997,2.623668,0,4.147999999999999,4.191999999999998,4.323499999999999,-1,-1,-1,-1,-1,16.525096525096586,27.747747747747866,-5.920205920205973,-1,-0.16881599968538286,-0.1589060264183075,-0.00990997326707535
2011-12-23,sh.601669,4.0400,4.12,4.0,4.07,49143889,199092112.0000,3,3.276259,1,0.493800,11.629782,1.470252,0.341676,2.636625,0,4.119999999999999,4.1629999999999985,4.3004999999999995,-1,-1,-1,-1,-1,13.121693121693196,18.908432241765677,1.5482148815482333,-1,-0.16812900074057602,-0.1607506212827612,-0.007378379457814804
2011-12-26,sh.601669,4.0600,4.11,4.02,4.07,27988696,113657695.0000,3,1.865913,1,0.000000,11.629782,1.470252,0.341676,2.636625,0,4.087999999999999,4.134999999999999,4.273999999999999,-1,-1,-1,-1,-1,22.045855379188747,17.230881675326177,31.675802786913884,1,-0.16567475369560647,-0.16173544776533028,-0.0039393059302761935
2011-12-27,sh.601669,4.0600,4.1,4.02,4.03,26345681,106779966.0000,3,1.756379,1,-0.982800,11.515484,1.455802,0.338318,2.610712,0,4.057999999999999,4.1179999999999986,4.2444999999999995,-1,-1,-1,-1,-1,22.2222222222223,19.12992357436808,28.406819517930735,1,-0.16505476237894356,-0.16239931068805294,-0.0026554516908906256
2011-12-28,sh.601669,4.0100,4.04,3.97,4.03,29604688,118462817.0000,3,1.973646,1,0.000000,11.515484,1.455802,0.338318,2.610712,0,4.049999999999999,4.102999999999999,4.226999999999999,-1,-1,-1,-1,-1,21.71136653895282,21.993148046787955,21.147803523282555,-1,-0.1626880482433366,-0.16245705819910966,-0.00023099004422694192
2011-12-29,sh.601669,4.0200,4.03,3.99,4.01,25748170,103191826.0000,3,1.716545,1,-0.496300,11.458336,1.448578,0.336639,2.597755,0,4.041999999999999,4.094999999999998,4.201,-1,-1,-1,-1,-1,16.432524478501502,20.122037746558874,9.053497942386755,-1,-0.1605752317753435,-0.16208069291435642,0.0015054611390129258
2011-12-30,sh.601669,4.0100,4.09,4.01,4.09,37360789,151253758.0000,3,2.490719,1,1.995000,11.686931,1.477477,0.343355,2.649581,0,4.0459999999999985,4.082999999999998,4.1805,1,1,-1,-1,-1,25.28735632183906,21.143749113097794,33.574570739321594,1,-0.15070820768474746,-0.15980619586843464,0.009097988183687178
2012-01-04,sh.601669,4.1200,4.13,4.01,4.01,34188243,138223408.0000,3,2.279216,1,-1.956000,11.458336,1.448578,0.336639,2.597755,0,4.033999999999999,4.060999999999998,4.162000000000001,-1,-1,-1,-1,-1,23.32907620263934,21.682985667659967,26.62125727259808,1,-0.14764192718431168,-0.15737334213161006,0.009731414947298372
2012-01-05,sh.601669,3.9900,4.02,3.82,3.96,56700506,223743868.0000,3,3.780034,1,-1.246900,11.315464,1.430516,0.332442,2.565364,0,4.019999999999999,4.038999999999998,4.1425,-1,-1,-1,-1,-1,33.78513849407432,27.467190339517572,46.42103480318781,1,-0.14754564557075867,-0.15540780281943978,0.007862157248681112
2012-01-06,sh.601669,3.9100,4.03,3.9,4.03,30472636,120987516.0000,3,2.031509,1,1.767700,11.515484,1.455802,0.338318,2.610712,0,4.019999999999999,4.034999999999998,4.128500000000001,1,-1,-1,-1,-1,42.57268020708884,33.22896496793417,61.260110685398175,1,-0.14020473381574394,-0.1523671890187006,0.012162455202956668
2012-01-09,sh.601669,4.0100,4.15,3.99,4.15,41986798,172280364.0000,3,2.799120,1,2.977700,11.858377,1.499151,0.348392,2.688450,0,4.047999999999999,4.044999999999998,4.118500000000001,1,1,1,1,-1,70.96774193548394,49.108520212215694,114.68618538202043,1,-0.12328288291006828,-0.14655032779697413,0.023267444886905853
2012-01-10,sh.601669,4.1300,4.32,4.11,4.31,71209057,302005704.0000,3,4.747270,1,3.855400,12.315568,1.556950,0.361824,2.792101,0,4.091999999999999,4.068999999999998,4.116000000000001,1,1,1,1,-1,88.58064516129035,67.37368910128771,130.9945572812956,1,-0.09585655661177483,-0.13641157355993427,0.04055501694815944
2012-01-11,sh.601669,4.2800,4.48,4.25,4.34,65784471,287271354.0000,3,4.385631,1,0.696100,12.401291,1.567787,0.364343,2.811536,0,4.1579999999999995,4.095999999999998,4.115500000000002,1,1,1,1,1,92.26262626262621,83.9370044531335,108.91386988161165,1,-0.07088314932266382,-0.12330588871248019,0.05242273938981637
2012-01-12,sh.601669,4.3300,4.4,4.24,4.27,46469632,200501804.0000,3,3.097975,1,-1.612900,12.201270,1.542500,0.358466,2.766188,0,4.219999999999999,4.119999999999997,4.1190000000000015,1,1,1,1,1,81.65656565656558,87.49994569349406,69.9698055827086,-1,-0.056093349887347266,-0.1098633809474536,0.05377003106010633
2012-01-13,sh.601669,4.2700,4.28,4.06,4.08,50181332,207153168.0000,3,3.345422,1,-4.449600,11.658356,1.473864,0.342516,2.643103,0,4.229999999999999,4.124999999999997,4.114000000000001,-1,-1,-1,1,1,62.12121212121207,78.68013468013463,29.003367003366947,-1,-0.05902335488945187,-0.09969537573585326,0.04067202084640138
2012-01-16,sh.601669,4.0400,4.05,3.92,3.93,30086345,120005749.0000,3,2.005756,1,-3.676500,11.229740,1.419678,0.329923,2.545930,0,4.185999999999998,4.116999999999997,4.106000000000001,-1,-1,-1,1,1,41.41414141414139,61.73063973063969,0.7811447811447891,-1,-0.0726121239949249,-0.09427872538766759,0.021666601392742693
2012-01-17,sh.601669,3.9300,4.21,3.93,4.18,52115937,212749088.0000,3,3.474396,1,6.361300,11.944100,1.509989,0.350911,2.707885,0,4.159999999999998,4.125999999999997,4.104500000000002,1,1,1,1,1,36.86868686868686,46.801346801346774,17.003367003367018,-1,-0.06248808698075159,-0.08792059770628438,0.025432510725532792
2012-01-18,sh.601669,4.1900,4.24,4.0,4.04,138537664,566472741.0000,3,4.617922,1,-3.349300,11.544059,1.459415,0.339158,2.617190,0,4.099999999999999,4.128999999999997,4.0950000000000015,-1,-1,-1,-1,1,31.783350748867985,36.68872634389875,21.97259955880645,-1,-0.06501212536587797,-0.0833389032382031,0.01832677787232513
2012-01-19,sh.601669,4.0000,4.11,3.97,4.06,80785076,327425851.0000,3,2.692836,1,0.495000,11.601208,1.466640,0.340837,2.630146,0,4.057999999999998,4.138999999999998,4.089000000000001,1,-1,-1,-1,-1,34.561128526645724,34.40438871473353,34.874608150470124,1,-0.06465332780019839,-0.07960178815060216,0.014948460350403772
2012-01-20,sh.601669,4.0700,4.43,4.06,4.28,157331971,662928996.0000,3,5.244399,1,5.418700,12.229844,1.546113,0.359306,2.772667,0,4.097999999999999,4.163999999999997,4.099500000000002,1,1,1,-1,-1,37.80788177339899,34.717453682970906,43.98873795425516,1,-0.04608557098605903,-0.07289854471769354,0.026812973731634507
2012-01-30,sh.601669,4.2400,4.26,4.12,4.16,90495327,377711222.0000,3,3.016511,1,-2.803700,11.886952,1.502764,0.349232,2.694928,0,4.143999999999999,4.164999999999997,4.105000000000002,1,-1,1,-1,1,44.047619047619015,38.80554311588791,54.53177091108124,1,-0.040585641049214694,-0.06643596398399777,0.02585032293478308
2012-01-31,sh.601669,4.1400,4.18,4.05,4.12,66801042,273691901.0000,3,2.226701,1,-0.961500,11.772654,1.488314,0.345874,2.669016,0,4.132,4.145999999999997,4.107500000000002,-1,-1,1,-1,1,48.786181139122334,43.54722732004678,59.26408877727344,1,-0.0390049478958554,-0.0609497607663693,0.021944812870513898
2012-02-01,sh.601669,4.1000,4.21,4.06,4.13,68545192,284641436.0000,3,2.284840,1,0.242700,11.801228,1.491927,0.346713,2.675494,0,4.1499999999999995,4.124999999999998,4.110500000000002,-1,1,1,1,1,41.08309990662934,44.63896669779024,33.97136632430755,-1,-0.036524291460649394,-0.05606466690522532,0.019540375444575923
2012-02-02,sh.601669,4.1500,4.19,4.11,4.19,52687130,219107778.0000,3,1.756238,1,1.452800,11.972675,1.513601,0.351750,2.714363,0,4.176,4.116999999999997,4.118500000000002,1,1,1,1,1,44.44444444444451,44.77124183006541,43.7908496732027,-1,-0.029378201188500874,-0.050727373761880426,0.021349172573379552
2012-02-03,sh.601669,4.1800,4.22,4.14,4.2,73335587,306796122.0000,3,2.444520,1,0.238700,12.001249,1.517213,0.352590,2.720841,0,4.159999999999999,4.128999999999998,4.127000000000002,1,1,1,1,1,49.3725490196079,44.966697790227265,58.18425147836918,1,-0.02264689740048098,-0.04511127848960054,0.022464381089119557
2012-02-06,sh.601669,4.2000,4.21,4.1,4.15,62036598,257907755.0000,3,2.067887,1,-1.190500,11.858377,1.499151,0.348392,2.688450,0,4.1579999999999995,4.150999999999998,4.134000000000002,-1,-1,1,1,1,48.69053708439906,47.50251018281717,51.06659088756284,1,-0.021103603579092578,-0.04030974350749895,0.01920613992840637
2012-02-07,sh.601669,4.1300,4.14,4.01,4.04,76588871,310540701.0000,3,2.552962,1,-2.650600,11.544059,1.459415,0.339158,2.617190,0,4.1419999999999995,4.136999999999998,4.131500000000002,-1,-1,-1,1,1,36.11594202898555,44.72634271099752,18.895140664961602,-1,-0.02842890211129223,-0.037933575228257604,0.009504673116965373
2012-02-08,sh.601669,4.0400,4.14,4.02,4.14,60771108,249042981.0000,3,2.025704,1,2.475200,11.829803,1.495539,0.347553,2.681972,0,4.144,4.146999999999998,4.138000000000002,-1,-1,1,-1,1,28.433402346445842,37.74662715327683,9.806952732783856,-1,-0.025866912048355672,-0.03552024259227722,0.009653330543921548
2012-02-09,sh.601669,4.1200,4.15,4.09,4.12,53960255,222499276.0000,3,1.798675,1,-0.483100,11.772654,1.488314,0.345874,2.669016,0,4.13,4.152999999999997,4.146000000000003,-1,-1,-1,-1,-1,30.056590752242965,31.535311709224803,27.099148838279284,-1,-0.025160316847498976,-0.03344825744332157,0.008287940595822593
2012-02-10,sh.601669,4.1000,4.19,4.08,4.14,85556142,354761814.0000,3,2.851871,1,0.485400,11.829803,1.495539,0.347553,2.681972,0,4.118,4.138999999999998,4.151500000000002,1,1,-1,-1,-1,45.61904761904765,34.70301357257884,67.45111571198527,1,-0.02272454776594479,-0.031303515507846214,0.008578967741901422
