date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-04-12,sh.601678,23.7500,24.08,22.98,23.04,8553179,199730778.0000,3,9.719522,1,-2.866800,38.004529,12.216541,3.709098,-732.567860,0,23.848000000000006,23.471000000000004,22.566000000000006,-1,-1,1,1,1,51.384158656464955,68.33560189716182,17.48127217507121,-1,0.5062827348501635,0.35600241184608844,0.15028032300407507
2010-04-13,sh.601678,23.0900,23.28,22.0,22.58,8234592,186891198.0000,3,9.357491,1,-1.996500,37.245758,11.972635,3.635045,-717.941939,0,23.556000000000008,23.477000000000004,22.666000000000004,-1,-1,-1,1,1,36.84330360966505,53.51969114700824,3.4905285349786794,-1,0.42013879355950934,0.3688296881887726,0.05130910537073674
2010-04-14,sh.601678,22.5800,23.36,22.41,23.3,4834451,111076882.0000,3,5.493694,1,3.188700,38.433400,12.354402,3.750954,-740.834685,0,23.27200000000001,23.553000000000004,22.806000000000004,1,-1,1,-1,1,31.340261454080537,39.855907906736846,14.308968548767922,-1,0.40529509262171004,0.3761227690753601,0.029172323546349965
2010-04-15,sh.601678,23.1100,23.3,22.16,22.5,5392230,122453152.0000,3,6.127534,1,-3.433500,37.113798,11.930216,3.622166,-715.398301,0,23.02800000000001,23.473000000000006,22.879000000000005,-1,-1,-1,-1,1,26.89265536723161,31.6920734769924,17.293819147710032,-1,0.3252290010878589,0.3659440154778598,-0.040715014390000914
2010-04-16,sh.601678,22.3200,22.84,22.3,22.71,2968266,67211489.0000,3,3.373030,1,0.933300,37.460193,12.041565,3.655973,-722.075351,0,22.82600000000001,23.382000000000005,22.934000000000005,-1,-1,-1,-1,-1,28.36158192090396,28.864832914072036,27.355079934567804,-1,0.2755449806429553,0.3478642085108789,-0.07231922786792361
2010-04-19,sh.601678,22.5800,23.0,21.85,21.89,6138908,137773475.0000,3,6.976032,1,-3.610700,36.107602,11.606775,3.523965,-696.003058,0,22.59600000000001,23.222,22.914,-1,-1,-1,-1,-1,14.102423911062493,23.118887066399353,-3.9305023996112283,-1,0.1680655346460327,0.31190447373790964,-0.14383893909187695
2010-04-20,sh.601678,22.0000,22.36,21.76,22.25,4522819,99915532.0000,3,5.139567,1,1.644600,34.756941,3.446812,3.185690,62.291322,0,22.530000000000012,23.043000000000003,22.907500000000002,-1,-1,-1,-1,-1,13.654404910738611,18.70613691423502,3.55094090374579,-1,0.11066066345589576,0.2716557116815069,-0.16099504822561111
2010-04-21,sh.601678,22.1800,22.79,21.9,22.68,5731769,128002162.0000,3,6.513374,1,1.932600,35.428648,3.513425,3.247256,63.495154,0,22.406000000000013,22.839000000000006,22.939,1,-1,-1,-1,-1,18.850196845279797,15.535675222360299,25.479240091118793,1,0.09872624114503736,0.23706981757421297,-0.1383435764291756
2010-04-22,sh.601678,22.4500,23.56,22.38,23.42,8625947,199781276.0000,3,9.802212,1,3.262800,36.584609,3.628061,3.353207,65.566866,0,22.59000000000001,22.809000000000005,23.0075,1,1,1,-1,-1,42.270664031041804,24.925088595686734,76.96181490175195,1,0.14728216393687177,0.21911228684674472,-0.07183012290987295
2010-04-23,sh.601678,23.4800,23.48,22.99,23.07,4523357,104805554.0000,3,5.140178,1,-1.494400,36.037871,3.573841,3.303095,64.587002,0,22.662000000000013,22.744000000000003,23.055,1,1,1,-1,-1,61.32822477650067,40.81636188427409,102.35195056095384,1,0.15572589644970947,0.20643500876733767,-0.0507091123176282
2010-04-26,sh.601678,23.2900,23.29,22.81,22.86,3362558,77420587.0000,3,3.821089,1,-0.910300,35.709827,3.541309,3.273028,63.999084,0,22.856000000000012,22.726000000000006,23.0985,1,1,-1,1,-1,68.48020434227334,57.35969771660527,90.72121759360948,1,0.1438145655529368,0.1939109201244575,-0.050096354571520674
2010-04-27,sh.601678,22.8100,22.82,21.4,22.0,5606999,122924304.0000,3,6.371590,1,-3.762000,34.366413,3.408084,3.149895,61.591420,0,22.80600000000001,22.668000000000006,23.0725,-1,-1,-1,1,-1,53.88888888888889,61.232439335887626,39.20178799489143,-1,0.06423942521440296,0.16797662114244657,-0.10373719592804362
2010-04-28,sh.601678,21.6100,22.07,21.42,21.65,2705004,58681181.0000,3,3.073868,1,-1.590900,33.819675,3.353865,3.099783,60.611556,0,22.600000000000012,22.503000000000007,23.028,-1,-1,-1,1,-1,33.487654320987644,51.952249184049954,-3.4415354051369746,-1,-0.026758071349565427,0.12902968264404419,-0.1557877539936096
2010-04-29,sh.601678,21.7800,21.98,21.0,21.08,2848528,61409621.0000,3,3.236964,1,-2.632800,32.929272,3.265564,3.018173,59.015778,0,22.132000000000012,22.361000000000008,22.916999999999998,-1,-1,-1,-1,-1,14.158950617283926,33.845164609053484,-25.21347736625519,-1,-0.14321755644840906,0.07458023482555354,-0.2177977912739626
2010-04-30,sh.601678,20.9800,21.44,20.45,21.28,2633822,54889356.0000,3,2.992980,1,0.948800,33.241694,3.296547,3.046808,59.575700,0,21.77400000000001,22.218000000000007,22.8,-1,-1,-1,-1,-1,13.795725655988226,20.480776864753263,0.42562323845815087,-1,-0.21687421791960304,0.01628934427652222,-0.23316356219612527
2010-05-04,sh.601678,20.9500,21.45,20.55,21.3,1599967,33805329.0000,3,1.818144,1,0.094000,33.272936,3.299645,3.049672,59.631693,0,21.46200000000001,22.15900000000001,22.6905,-1,-1,-1,-1,-1,19.04809753483386,15.667591269368666,25.809110065764255,1,-0.27051548581960105,-0.041071621742702444,-0.2294438640768986
2010-05-05,sh.601678,21.2900,21.83,20.96,21.74,2440256,52601908.0000,3,2.773018,1,2.065700,33.960265,3.367807,3.112669,60.863521,0,21.41000000000001,22.10800000000001,22.575499999999998,1,-1,-1,-1,-1,31.83279742765274,21.558873539491604,52.380645203975014,1,-0.27435960755527233,-0.08772921890521643,-0.1866303886500559
2010-05-06,sh.601678,21.7000,21.82,20.68,20.7,2754578,58766996.0000,3,3.130202,1,-4.783800,32.335671,3.206697,2.963765,57.951927,0,21.220000000000013,21.910000000000007,22.374499999999998,-1,-1,-1,-1,-1,25.687038157191907,25.52264437322616,26.0158257251234,1,-0.3572077415925641,-0.14162492344268596,-0.21558281814987812
2010-05-07,sh.601678,20.2000,20.7,19.0,19.1,8100972,159748323.0000,3,9.205650,1,-7.729500,29.836295,2.958837,2.734682,53.472551,0,20.824000000000012,21.478000000000005,22.1435,-1,-1,-1,-1,-1,17.353642363989035,24.957825982944556,2.1452751260779905,-1,-0.5456818324583317,-0.2224363052458151,-0.3232455272125166
2010-05-10,sh.601678,19.2000,19.35,17.95,18.5,3813975,71137643.0000,3,4.334062,1,-3.141400,28.899029,2.865889,2.648776,51.792785,0,20.26800000000001,21.021000000000008,21.8825,-1,-1,-1,-1,-1,7.2918206368101535,16.777500385997026,-11.679538861563593,-1,-0.7349913699462327,-0.3249473181858986,-0.4100440517603341
2010-05-11,sh.601678,19.0000,19.15,18.04,18.21,2661926,49491394.0000,3,3.024916,1,-1.567600,28.446017,2.820964,2.607254,50.980898,0,19.650000000000013,20.556000000000008,21.641,-1,-1,-1,-1,-1,6.645105479857578,10.43018949355225,-0.9250625475317662,-1,-0.8980687412550274,-0.4395716027997244,-0.45849713845530304
