date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2015-05-07,sh.601689,23.1200,23.41,22.31,22.39,8970126,204969408.0000,3,6.948200,1,-3.823000,36.633429,4.914499,5.289495,13.531518,0,23.857999999999997,24.483000000000004,24.23099999999999,-1,-1,-1,-1,-1,2.8653278072338337,15.554312728614834,-22.512642035528167,-1,0.3460403185649277,0.7574116173768685,-0.4113712988119408
2015-05-08,sh.601689,22.8000,23.26,22.6,23.25,9445200,216306497.0000,3,7.316189,1,3.841000,38.040520,5.103265,5.492664,14.051263,0,23.477999999999998,24.349000000000004,24.217999999999993,-1,-1,-1,-1,-1,9.194210910207735,8.850217722757614,9.882197285107974,1,0.2547634236110561,0.656881978623706,-0.4021185550126499
2015-05-11,sh.601689,23.6000,24.17,23.26,24.16,11700537,277983552.0000,3,9.063158,1,3.914000,39.529417,5.303006,5.707646,14.601227,0,23.369999999999997,24.319000000000003,24.237499999999994,1,-1,-1,-1,-1,20.93362509117436,10.997721269538651,40.80543273444577,1,0.2529394925376671,0.5760934814064982,-0.32315398886883107
2015-05-12,sh.601689,24.2900,24.59,23.92,24.3,12457543,302146976.0000,3,9.649530,1,0.579500,39.758478,5.333735,5.740720,14.685837,0,23.475999999999996,24.259000000000004,24.229499999999994,1,1,1,-1,-1,37.62441496474597,22.58408365537603,67.70507758348583,1,0.25979607653956904,0.5128340004331123,-0.2530379238935433
2015-05-13,sh.601689,24.2000,25.43,23.84,24.98,18949872,470149024.0000,3,14.678445,1,2.798400,40.871061,5.482992,5.901366,15.096798,0,23.815999999999995,24.189,24.286499999999997,1,1,1,-1,-1,54.00570361266167,37.52124788952734,86.97461505893033,1,0.3164524192585567,0.4735576841982012,-0.1571052649396445
2015-05-14,sh.601689,25.2800,27.28,24.99,27.17,31708771,838136816.0000,3,24.561403,1,8.767000,44.454233,5.963687,6.418739,16.420337,0,24.772,24.315000000000005,24.4815,1,1,1,1,1,73.1074769074266,54.912531828278084,109.49736706572365,1,0.5319358510838761,0.48523331757533616,0.04670253350853992
2015-05-15,sh.601689,27.2500,29.72,26.13,28.6,36916529,1031419088.0000,3,28.595297,1,5.263200,46.793929,6.277565,6.756568,17.284565,0,25.841999999999995,24.660000000000004,24.7205,1,1,1,1,1,84.1282680680204,70.41381619603624,111.55717181198872,1,0.8087740287124454,0.549941459802758,0.2588325689096874
2015-05-18,sh.601689,28.5000,31.46,28.0,31.45,36737582,1107577968.0000,3,28.456686,1,9.965000,51.456961,6.903127,7.429862,19.006978,0,27.299999999999994,25.335,25.0925,1,1,1,1,1,94.18757361763113,83.80777286435939,114.9471751241746,1,1.243803666128418,0.68871390106789,0.555089765060528
2015-05-19,sh.601689,32.2700,33.85,28.88,30.15,36970268,1146910976.0000,3,28.636923,1,-4.133500,49.329964,6.617783,7.122746,18.221316,0,28.46999999999999,25.973000000000003,25.418,1,1,1,1,1,84.23786961661752,87.51790376742302,77.67780131500652,-1,1.4667607476807802,0.8443232703904681,0.6224374772903122
2015-05-20,sh.601689,29.6800,31.67,29.41,29.74,26470416,805386672.0000,3,20.503808,1,-1.359900,48.659142,6.527790,7.025886,17.973530,0,29.42199999999999,26.619,25.671,1,1,1,1,1,77.09832845602371,85.1745905634241,60.94580424122293,-1,1.5920204469291477,0.993862705698204,0.5981577412309437
