date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2020-04-14,sh.601696,20.6900,21.45,20.53,21.13,50247020,1051122222.0000,3,18.074500,1,2.572800,73.534509,4.609957,20.187707,11.719329,0,21.438,21.840999999999998,22.353500000000004,-1,-1,-1,-1,-1,16.415994202830102,26.546732462445117,-3.8454823163999308,-1,1.7664771846501282,2.8293821655332727,-1.0629049808831446
2020-04-15,sh.601696,20.8000,21.09,20.42,20.46,43308400,894267474.0000,3,15.578600,1,-3.170800,71.202842,4.463783,19.547585,11.347727,0,21.119999999999997,21.752,22.208000000000002,-1,-1,-1,-1,-1,13.249211356466914,18.353897795999,3.039838477402739,-1,1.5196413357413903,2.567433999574896,-1.0477926638335058
2020-04-16,sh.601696,20.1100,20.85,20.05,20.51,38226818,783825897.0000,3,13.750700,1,0.244400,71.376847,4.474691,19.595356,11.375458,0,20.778,21.642999999999997,22.096,-1,-1,-1,-1,-1,14.70959361662648,14.791599725307838,14.545581399263764,-1,1.3129221796363524,2.316531635587187,-1.0036094559508348
2020-04-17,sh.601696,20.7600,21.18,20.46,20.59,49589924,1032181708.0000,3,17.838100,1,0.390100,71.655255,4.492145,19.671788,11.419829,0,20.658,21.391,21.907999999999998,-1,-1,-1,-1,-1,11.381208634873524,13.113337869322313,7.916950165975944,-1,1.1423824171080597,2.0817017918913616,-0.939319374783302
2020-04-20,sh.601696,20.7000,21.06,20.36,20.9,37875505,786447006.0000,3,13.624300,1,1.505600,72.734086,4.559778,19.967964,11.591764,0,20.718,21.259,21.773999999999997,1,-1,-1,-1,-1,19.03302037427346,15.041274208591162,27.01651270563805,1,1.020479384732809,1.869457310459651,-0.8489779257268419
2020-04-21,sh.601696,20.7000,21.4,20.58,20.98,48376246,1016145840.0000,3,17.401500,1,0.382800,73.012494,4.577232,20.044396,11.636134,0,20.688000000000002,21.063,21.662,1,-1,-1,-1,-1,24.620936322411655,18.345055110519553,37.17269874619586,1,0.9197236826184927,1.6795105848914194,-0.7597869022729267
2020-04-22,sh.601696,20.6200,21.28,20.4,21.28,46522634,969006025.0000,3,16.734800,1,1.429900,74.056524,4.642683,20.331017,11.802523,0,20.852000000000004,20.985999999999997,21.601499999999998,1,1,-1,-1,-1,38.134158124894135,27.262704940526422,59.87706449362957,1,0.8542344723281516,1.5144553623787658,-0.6602208900506141
2020-04-23,sh.601696,21.0800,21.16,20.57,20.62,37973200,792364273.0000,3,13.659400,1,-3.101500,71.759658,4.498690,19.700450,11.436468,0,20.874000000000002,20.826,21.4845,-1,-1,-1,1,-1,42.47648789067671,35.07719411266084,57.27507544670844,1,0.740540823555623,1.3596724546141372,-0.6191316310585142
2020-04-24,sh.601696,20.3600,20.54,18.91,19.02,64289279,1265279963.0000,3,23.125600,1,-7.759500,66.191498,4.149616,18.171802,10.549060,0,20.560000000000002,20.609,21.325499999999998,-1,-1,-1,-1,-1,33.82233757477564,38.14432786344884,25.178356997429233,-1,0.5153900637075672,1.1908159764328232,-0.675425912725256
2020-04-27,sh.601696,18.8800,18.98,18.05,18.05,47429309,877982711.0000,3,17.060900,1,-5.099900,62.815801,3.937990,17.245059,10.011069,0,19.990000000000002,20.354000000000003,21.1305,-1,-1,-1,-1,-1,15.014998125234348,30.437941196895576,-15.83088801808811,-1,0.25573758731712104,1.0038002986096828,-0.7480627112925617
2020-04-28,sh.601696,18.4800,18.76,17.52,18.11,47801621,873451621.0000,3,17.194800,1,0.332400,63.024607,3.951080,17.302384,10.044347,0,19.416,20.052000000000003,20.9465,-1,-1,-1,-1,-1,6.5122980761425255,18.449877925384182,-17.362861622340787,-1,0.05417809627256176,0.8138758581422586,-0.7596977618696968
2020-04-29,sh.601696,17.9000,18.5,17.83,18.46,32655810,596690925.0000,3,11.746700,1,1.932600,61.466563,3.545620,17.353415,11.225531,0,18.851999999999997,19.852000000000004,20.802,-1,-1,-1,-1,-1,13.144329896907218,11.55720869942804,16.318572291865575,1,-0.07643607017286413,0.635813472479234,-0.7122495426520982
2020-04-30,sh.601696,18.5000,19.6,18.5,19.25,50054201,955599456.0000,3,18.005100,1,4.279500,64.097039,3.697356,18.096059,11.705930,0,18.577999999999996,19.726000000000006,20.684499999999996,1,-1,-1,-1,-1,28.006872852233688,15.88783360842782,52.24495133984543,1,-0.11487809721502984,0.48567515854038124,-0.6005532557554111
