date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.601699,41.1600,41.69,40.92,41.38,8040816,333016814.0000,3,0.698872,1,1.074700,16.805141,5.292558,2.796567,329.958559,0,41.354,40.82900000000001,40.74250000000001,1,1,1,1,1,52.128175924724474,59.730614678324805,36.92329841752381,-1,-2.2232175712257742,-3.2382810043888544,1.0150634331630801
2010-02-26,sh.601699,41.0900,41.95,40.31,40.56,7576048,311444157.0000,3,0.658476,1,-1.981600,16.472124,5.187679,2.741149,323.419990,0,41.001999999999995,40.96400000000001,40.637000000000015,-1,-1,-1,1,1,52.095107141655724,53.723842840124234,48.83763574471871,-1,-2.0933159413568845,-3.00928799178246,0.9159720504255757
2010-03-01,sh.601699,40.7000,41.37,40.67,41.15,8557124,350533833.0000,3,0.743747,1,1.454600,16.711734,5.263141,2.781023,328.124570,0,40.866,41.10000000000001,40.58800000000001,1,1,1,-1,1,52.27147398468924,52.164919017023145,52.48458392002142,1,-1.9206201807318948,-2.791554429572347,0.8709342488404523
2010-03-02,sh.601699,41.0800,41.33,40.2,40.35,6792315,276247353.0000,3,0.590358,1,-1.944100,16.386840,5.160820,2.726957,321.745478,0,40.876000000000005,41.12000000000001,40.58800000000001,-1,-1,-1,-1,1,40.97222222222219,48.44626778285572,26.02413110095513,-1,-1.8272474887239198,-2.5986930414026617,0.7714455526787418
2010-03-03,sh.601699,40.5000,40.97,39.93,40.82,5063936,204467352.0000,3,0.440135,1,1.164800,16.577715,5.220933,2.758721,325.493195,0,40.852000000000004,41.08200000000001,40.62000000000002,-1,-1,1,-1,1,43.551587301587254,45.59842783616623,39.457906232429295,-1,-1.6957760350000157,-2.4181096401221325,0.7223336051221168
2010-03-04,sh.601699,40.9000,41.3,39.8,39.89,7607584,308799959.0000,3,0.661217,1,-2.278300,16.200026,5.101985,2.695869,318.077500,0,40.55400000000001,40.95400000000001,40.586500000000015,-1,-1,-1,-1,-1,31.051587301587265,38.52513227513224,16.104497354497312,-1,-1.647634285957075,-2.264014569289121,0.6163802833320462
2010-03-05,sh.601699,39.8900,40.2,39.5,39.64,4862111,193315701.0000,3,0.422593,1,-0.626700,16.098496,5.070010,2.678973,316.084033,0,40.370000000000005,40.68600000000001,40.55150000000002,-1,-1,-1,-1,-1,24.9007936507936,33.167989417989375,8.366402116402043,-1,-1.6110829522515573,-2.1334282458816083,0.522345293630051
2010-03-08,sh.601699,40.1700,40.58,39.82,40.11,4721656,189869316.0000,3,0.410385,1,1.185700,16.289372,5.130124,2.710737,319.831750,0,40.162,40.51400000000001,40.64100000000001,-1,-1,-1,-1,-1,20.021645021644947,25.324675324675272,9.415584415584298,-1,-1.5265930702628836,-2.0120612107578633,0.48546814049497966
2010-03-09,sh.601699,40.0000,41.7,39.82,41.02,11455916,468469761.0000,3,0.995697,1,2.268800,16.658938,5.246514,2.772237,327.087968,0,40.29600000000001,40.586000000000006,40.75250000000001,1,1,1,-1,-1,34.947948876520265,26.62346251631961,51.59692159692158,1,-1.3704076291576541,-1.8837304944378215,0.5133228652801674
2010-03-10,sh.601699,41.0000,41.25,40.47,40.77,7850251,321204208.0000,3,0.682309,1,-0.609500,16.557409,5.214538,2.755342,325.094501,0,40.28600000000001,40.569,40.686000000000014,1,1,1,-1,-1,48.0601937744795,34.34326255754824,75.49405620834202,1,-1.2523659573041783,-1.757457587011093,0.5050916297069146
