date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.601727,9.2000,9.27,9.17,9.24,8394275,77348001.0000,3,0.394897,1,0.763400,46.204383,5.165116,2.007320,86.751550,0,9.082000000000004,8.975999999999997,9.0365,1,1,1,1,1,87.08058562481864,84.1352414771779,92.97127392010012,1,-0.1516417014587912,-0.24158111336296192,0.08993941190417074
2010-02-26,sh.601727,9.2500,9.26,9.15,9.16,6647773,61005442.0000,3,0.312735,1,-0.865800,45.804345,5.120396,1.989941,86.000454,0,9.116000000000003,9.014999999999997,9.011500000000002,1,1,1,1,1,89.24671523455727,86.77382224370268,94.19250121626646,1,-0.13237616808999597,-0.21974012430836873,0.08736395621837276
2010-03-01,sh.601727,9.1600,9.22,9.09,9.21,9494419,87011182.0000,3,0.446652,1,0.545900,46.054368,5.148346,2.000803,86.469889,0,9.154000000000003,9.057999999999998,9.002500000000001,1,1,1,1,1,85.90325018896465,87.41018368278019,82.88938320133357,-1,-0.11178492493108116,-0.1981490844329112,0.08636415950183005
2010-03-02,sh.601727,9.2500,9.48,9.24,9.4,16669587,156692164.0000,3,0.784198,1,2.063000,47.004459,5.254555,2.042079,88.253742,0,9.236000000000002,9.105999999999998,9.020500000000002,1,1,1,1,1,83.310657596372,86.1535410066313,77.6248907758534,-1,-0.0792215871292985,-0.17436358497218868,0.09514199784289018
2010-03-03,sh.601727,9.4800,10.34,9.42,10.34,50013368,511162818.0000,3,2.352811,1,10.000000,51.704904,5.780010,2.246287,97.079116,0,9.470000000000002,9.247,9.083500000000003,1,1,1,1,1,90.79365079365088,86.66918619299584,99.04257999496096,1,0.022179564563030496,-0.13505495506514484,0.15723451962817533
2010-03-04,sh.601727,10.7600,10.95,10.37,10.51,127414151,1353742246.0000,3,5.994025,1,1.644100,52.554985,5.875040,2.283218,98.675194,0,9.724,9.403,9.150000000000002,1,1,1,1,1,88.47020933977456,87.52483924326582,90.36094953279203,1,0.11493340632125992,-0.08505728278786388,0.19999068910912382
2010-03-05,sh.601727,10.3700,10.37,10.01,10.13,44440111,451258014.0000,3,2.090625,1,-3.615600,50.654805,5.662621,2.200666,95.107490,0,9.918000000000003,9.517,9.201500000000001,1,1,1,1,1,79.71014492753626,86.3246683536539,66.48109807530099,-1,0.15598062244156807,-0.036849701741977485,0.19283032418354557
2010-03-08,sh.601727,10.1200,10.35,10.06,10.18,27704403,282419579.0000,3,1.303316,1,0.493600,50.904829,5.690571,2.211528,95.576924,0,10.112000000000002,9.633000000000001,9.265500000000001,1,1,1,1,1,66.5477517651431,78.24270201081798,43.15785127379334,-1,0.19035116928862905,0.00859047246414383,0.18176069682448523
2010-03-09,sh.601727,10.2200,10.23,9.98,10.08,20721695,208207675.0000,3,0.974824,1,-0.982300,50.404781,5.634672,2.189804,94.638055,0,10.248000000000001,9.742,9.331500000000002,-1,1,1,1,1,58.04170013146174,68.09986560804704,37.925369178291135,-1,0.20713320833645632,0.04829901963860633,0.15883418869785
2010-03-10,sh.601727,10.0600,10.34,9.84,10.18,31886838,321316469.0000,3,1.500073,1,0.992100,50.904829,5.690571,2.211528,95.576924,0,10.216000000000001,9.843,9.395500000000002,-1,1,1,1,1,57.446925834022636,60.67879257687582,50.983192348316265,-1,0.22589824510228773,0.08381886473134262,0.1420793803709451
