date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.601766,5.6600,5.72,5.63,5.66,60450251,343180153.0000,3,2.015008,1,-0.527200,49.153592,4.004810,1.648470,-19.791147,0,5.5920000000000005,5.498000000000002,5.432999999999998,1,1,1,1,1,81.5750419408957,76.90510306854581,90.91491968559549,1,0.033267763113133064,-0.01711077798206932,0.05037854109520239
2010-02-26,sh.601766,5.6500,5.65,5.55,5.56,34816797,194535943.0000,3,1.160560,1,-1.766800,48.285154,3.934054,1.619345,-19.441481,0,5.604,5.512000000000002,5.451999999999998,-1,1,1,1,1,80.91366627952002,80.47274917193624,81.79550049468756,1,0.034514595052609565,-0.006785703375133541,0.041300298427743104
2010-03-01,sh.601766,5.5700,5.63,5.55,5.59,29862989,166809197.0000,3,0.995433,1,0.539600,48.545685,3.955281,1.628082,-19.546381,0,5.606,5.537000000000002,5.464499999999998,-1,1,1,1,1,70.50264550264554,77.66378457435376,56.18036735922911,-1,0.03749129135786777,0.002069695571466721,0.035421595786401056
2010-03-02,sh.601766,5.5800,5.65,5.54,5.56,23546713,131300977.0000,3,0.784890,1,-0.536700,48.285154,3.934054,1.619345,-19.441481,0,5.611999999999999,5.559000000000002,5.481499999999999,-1,1,1,1,1,58.0602491892814,69.82552032381565,34.5297069202129,-1,0.03700304725107095,0.009056365907387568,0.027946681343683385
2010-03-03,sh.601766,5.5600,5.59,5.5,5.58,43591179,241678425.0000,3,1.453039,1,0.359700,48.458842,3.948205,1.625170,-19.511414,0,5.589999999999999,5.572000000000001,5.499999999999998,-1,1,1,1,1,54.66670786470564,61.0765341855442,41.84705522302853,-1,0.03779427426425297,0.014803947578760648,0.02299032668549232
2010-03-04,sh.601766,5.5900,5.62,5.42,5.44,35968871,198442751.0000,3,1.198962,1,-2.509000,47.243028,3.849146,1.584395,-19.021880,0,5.545999999999999,5.569000000000001,5.501499999999998,-1,-1,-1,-1,1,35.59263379063163,49.4398636148729,7.898174142149102,-1,0.0268153863200018,0.01720623532700888,0.00960915099299292
2010-03-05,sh.601766,5.4500,5.48,5.38,5.41,32954713,178629996.0000,3,1.098490,1,-0.551500,46.982497,3.827919,1.575657,-18.916980,0,5.516,5.5600000000000005,5.4994999999999985,-1,-1,-1,-1,1,22.404778003155414,37.5547065528309,-7.895079096195559,-1,0.015514942644934138,0.01686797679059393,-0.0013530341456597927
2010-03-08,sh.601766,5.4100,5.47,5.39,5.46,27089040,147428950.0000,3,0.902968,1,0.924200,47.416716,3.863297,1.590220,-19.091814,0,5.49,5.548000000000001,5.495999999999998,-1,-1,-1,-1,-1,13.00653594771252,23.667982580499864,-8.31635731786217,-1,0.010473114208400247,0.015589004274155193,-0.005115890065754946
2010-03-09,sh.601766,5.4700,5.5,5.39,5.44,33062843,180090148.0000,3,1.102095,1,-0.366300,47.243028,3.849146,1.584395,-19.021880,0,5.466,5.539000000000001,5.492999999999998,-1,-1,-1,-1,-1,16.666666666666767,17.359326872511573,15.281346254977151,-1,0.00480817039962389,0.013432837499248933,-0.008624667099625043
2010-03-10,sh.601766,5.4500,5.48,5.38,5.4,24077278,130510807.0000,3,0.802576,1,-0.735300,46.895653,3.820843,1.572745,-18.882013,0,5.43,5.510000000000001,5.492499999999998,-1,-1,-1,-1,-1,16.194625998547696,15.289276204309,18.005325587025094,1,-0.002875853044854715,0.010171099390428203,-0.013046952435282918
2010-03-11,sh.601766,5.4000,5.48,5.37,5.44,19369297,105229463.0000,3,0.645643,1,0.740700,47.243028,3.849146,1.584395,-19.021880,0,5.43,5.488000000000001,5.492999999999998,1,-1,-1,-1,-1,16.684822076979085,16.515371580731188,17.023723069474876,1,-0.005672442888308815,0.007002390934680799,-0.012674833822989614
2010-03-12,sh.601766,5.4300,5.45,5.05,5.3,19203414,103586828.0000,3,0.640114,1,-2.573500,46.027215,3.750087,1.543620,-18.532347,0,5.4079999999999995,5.462000000000001,5.486999999999997,-1,-1,-1,-1,-1,24.69135802469144,19.190268700072746,35.693536673928826,1,-0.018966951251261577,0.0018085224974923233,-0.020775473748753902
2010-03-15,sh.601766,5.3500,5.38,5.25,5.29,22070949,116782139.0000,3,0.735698,1,-0.188700,45.940371,3.743011,1.540707,-18.497380,0,5.374,5.432,5.484499999999998,-1,-1,-1,-1,-1,36.257309941520504,25.877830014397016,57.01626979576748,1,-0.02996444981196511,-0.004546071964399164,-0.025418377847565947
2010-03-16,sh.601766,5.2900,5.32,5.25,5.31,9915509,52385838.0000,3,0.330517,1,0.378100,46.114059,3.757163,1.546532,-18.567313,0,5.347999999999999,5.407,5.482999999999998,-1,-1,-1,-1,-1,43.128654970760216,34.692440978990724,60.00108295429921,1,-0.036643806806112345,-0.0109656189327418,-0.025678187873370544
2010-03-17,sh.601766,5.3500,5.4,5.31,5.39,16470363,88333816.0000,3,0.549012,1,1.506600,46.808809,3.813768,1.569832,-18.847047,0,5.345999999999999,5.388,5.479999999999998,1,1,-1,-1,-1,54.42495126705651,44.603638726445745,74.06757634827802,1,-0.03507756163849418,-0.015788007473892276,-0.019289554164601905
2010-03-18,sh.601766,5.3900,5.44,5.34,5.35,26349883,142008999.0000,3,0.878329,1,-0.742100,46.461434,3.785465,1.558182,-18.707180,0,5.3279999999999985,5.3790000000000004,5.4739999999999975,1,-1,-1,-1,-1,62.612085769980446,53.388564002599054,81.05912930474324,1,-0.03664158537738604,-0.01995872305459103,-0.016682862322795013
2010-03-19,sh.601766,5.3900,5.44,5.37,5.4,18985461,102601374.0000,3,0.632849,1,0.934600,46.895653,3.820843,1.572745,-18.882013,0,5.347999999999999,5.378000000000001,5.468999999999998,1,1,-1,-1,-1,73.33333333333333,63.456790123456756,93.08641975308649,1,-0.03346078818845566,-0.022659136081363957,-0.010801652107091702
2010-03-22,sh.601766,5.5000,5.7,5.43,5.58,82465134,461934359.0000,3,2.748838,1,3.333300,48.458842,3.948205,1.625170,-19.511414,0,5.405999999999999,5.390000000000001,5.468999999999998,1,1,1,1,-1,75.32763532763535,70.42435147698303,85.13420302894,1,-0.016228416736291607,-0.021372992212349486,0.005144575476057879
2010-03-23,sh.601766,5.5800,5.6,5.47,5.49,30363928,167904571.0000,3,1.012131,1,-1.612900,47.677247,3.884524,1.598957,-19.196714,0,5.441999999999998,5.395000000000001,5.466999999999997,1,1,1,1,-1,75.66951566951572,74.77682811016147,77.45489078822422,1,-0.00972181896908264,-0.019042757563696118,0.009320938594613477
2010-03-24,sh.601766,5.5100,5.6,5.49,5.51,23157524,128179535.0000,3,0.771917,1,0.364300,47.850935,3.898675,1.604782,-19.266647,0,5.465999999999998,5.406000000000001,5.4579999999999975,1,1,1,1,1,73.33333333333333,74.77682811016147,70.44634377967705,-1,-0.002917825630453841,-0.015817771177047663,0.012899945546593822
2010-03-25,sh.601766,5.5000,5.5,5.39,5.41,24086136,130782504.0000,3,0.802871,1,-1.814900,46.982497,3.827919,1.575657,-18.916980,0,5.477999999999998,5.403000000000001,5.445499999999997,-1,1,-1,1,1,58.00569800569801,69.00284900284903,36.01139601139596,-1,-0.005531018021780021,-0.013760420545994134,0.008229402524214113
2010-03-26,sh.601766,5.4100,5.62,5.39,5.55,42846664,237916053.0000,3,1.428222,1,2.587800,48.198310,3.926978,1.616432,-19.406514,0,5.507999999999997,5.428000000000002,5.444999999999998,1,1,1,1,1,57.66381766381763,63.00094966761633,46.989553656220224,-1,0.0036527317345518284,-0.010277790089884942,0.01393052182443677
