date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2011-10-10,sh.601789,7.6000,7.65,7.49,7.58,3454718,26166841.0000,3,4.318397,1,0.664000,28.997072,5.436678,0.378845,-16.127497,0,7.88,8.327,8.975000000000005,-1,-1,-1,-1,-1,5.32066993464054,4.787523756547545,6.3869622908265296,1,-0.7613510514761987,-0.6405854158078778,-0.12076563566832099
2011-10-11,sh.601789,7.7900,7.93,7.53,7.7,6123296,47536706.0000,3,7.654120,1,1.583100,29.456128,5.522747,0.384843,-16.382814,0,7.723999999999999,8.201,8.852500000000003,-1,-1,-1,-1,-1,9.453914141414172,6.090779114676196,16.180184194890124,1,-0.7595451167571028,-0.6643773559977227,-0.09516776075938005
2011-10-12,sh.601789,7.6800,8.06,7.64,8.01,8188569,64834946.0000,3,10.235711,1,4.026000,30.642025,5.745091,0.400336,-17.042382,0,7.703999999999999,8.078000000000001,8.758500000000003,1,-1,-1,-1,-1,23.564797565822172,12.779793880625638,45.13480493621523,1,-0.7247450811024603,-0.6764509010186702,-0.04829418008379005
2011-10-13,sh.601789,8.0000,8.12,7.87,8.0,8724718,69658149.0000,3,10.905898,1,-0.124800,30.603770,5.737919,0.399836,-17.021105,0,7.7639999999999985,8.003000000000002,8.647000000000004,1,-1,-1,-1,-1,36.53440139095878,23.18437103273172,63.234462107412895,1,-0.6900186134972266,-0.6791644435143815,-0.010854169982845052
2011-10-14,sh.601789,7.9600,8.55,7.84,8.38,16675316,137392541.0000,3,20.844145,1,4.750000,32.057449,6.010470,0.418829,-17.829608,0,7.933999999999999,7.985000000000001,8.571000000000003,1,1,-1,-1,-1,59.69457455113193,39.93125783597097,99.22120798145386,1,-0.6246344167866056,-0.6682584381688264,0.04362402138222077
2011-10-17,sh.601789,8.2800,8.36,8.2,8.3,9006925,74644702.0000,3,11.258656,1,-0.954700,31.751411,5.953091,0.414830,-17.659397,0,8.078,7.979000000000001,8.497500000000004,1,1,-1,1,-1,69.74043715846996,55.3231377001869,98.5750360750361,1,-0.5726709074915419,-0.6491409320333694,0.0764700245418275
2011-10-18,sh.601789,8.2200,8.25,7.72,7.74,8420556,67254334.0000,3,10.525695,1,-6.747000,29.609147,5.551437,0.386842,-16.467919,0,8.086,7.904999999999999,8.421000000000003,-1,-1,-1,1,-1,63.39285714285717,64.27595628415303,61.62665886026545,-1,-0.5701049568188683,-0.6333337369904692,0.06322878017160094
2011-10-19,sh.601789,7.7700,7.87,7.66,7.82,5101897,39642199.0000,3,6.377371,1,1.033600,29.915185,5.608816,0.390840,-16.638130,0,8.048,7.8759999999999994,8.338500000000003,-1,-1,-1,1,-1,46.7261904761905,59.95316159250589,20.272248243559716,-1,-0.5552159076386367,-0.6177101711201027,0.06249426348146603
2011-10-20,sh.601789,7.7500,7.75,7.43,7.47,4436336,33494338.0000,3,5.545420,1,-4.475700,28.576270,5.357782,0.373347,-15.893457,0,7.942,7.852999999999999,8.244000000000003,-1,-1,-1,1,-1,22.023809523809543,44.04761904761909,-22.023809523809547,-1,-0.5651436792764777,-0.6071968727513777,0.0420531934749
2011-10-21,sh.601789,7.4700,7.57,7.3,7.38,3766890,28024408.0000,3,4.708613,1,-1.204800,28.231978,5.293230,0.368849,-15.701970,0,7.742,7.837999999999998,8.145000000000005,-1,-1,-1,-1,-1,14.930952380952393,27.893650793650824,-10.994444444444468,-1,-0.5736609513086721,-0.6004896884628366,0.02682873715416445
2011-10-24,sh.601789,7.3100,7.56,7.15,7.5,4966639,36663747.0000,3,6.208299,1,1.626000,28.691034,5.379299,0.374847,-15.957286,0,7.581999999999999,7.829999999999998,8.078500000000004,-1,-1,-1,-1,-1,11.657142857142853,16.203968253968274,2.5634920634920135,-1,-0.5642239313759623,-0.5932365370454618,0.02901260566949948
2011-10-25,sh.601789,7.4800,7.8,7.37,7.69,7005013,53346768.0000,3,8.756266,1,2.533300,29.417874,5.515575,0.384343,-16.361537,0,7.571999999999998,7.828999999999998,8.015000000000004,1,-1,-1,-1,-1,23.32380952380952,16.6373015873016,36.69682539682536,1,-0.5352436572819483,-0.5816379610927591,0.04639430381081078
2011-10-26,sh.601789,7.6000,7.87,7.58,7.65,6679342,51485525.0000,3,8.349177,1,-0.520200,29.264855,5.486885,0.382344,-16.276432,0,7.5379999999999985,7.7929999999999975,7.935500000000003,1,-1,-1,-1,-1,33.095238095238095,22.6920634920635,53.90158730158728,1,-0.5096295547036522,-0.5672362798149377,0.057606725111285506
2011-10-27,sh.601789,7.6200,7.84,7.58,7.64,5140668,39605934.0000,3,6.425835,1,-0.130700,29.226600,5.479713,0.381844,-16.255156,0,7.571999999999998,7.756999999999998,7.880000000000003,1,-1,-1,-1,-1,38.260527351436444,31.559858323494698,51.66186540731993,1,-0.48455150220266674,-0.5506993242924836,0.06614782208981684
2011-10-28,sh.601789,7.7300,8.2,7.67,8.01,10937335,86373215.0000,3,13.671669,1,4.842900,30.642025,5.745091,0.400336,-17.042382,0,7.697999999999999,7.719999999999999,7.852500000000002,1,1,1,-1,-1,51.463990554899645,40.939918667191414,72.5121343303161,1,-0.42986583141468593,-0.526532625716924,0.09666679430223812
2011-10-31,sh.601789,7.9500,8.0,7.83,7.89,5692966,45044567.0000,3,7.116208,1,-1.498100,30.130367,2.705878,0.397562,11.826901,0,7.775999999999999,7.678999999999999,7.829000000000002,1,1,1,1,-1,63.05129214220124,50.92527001617913,87.30333639424546,1,-0.3916948263082647,-0.49956506583519217,0.10787023952692748
2011-11-01,sh.601789,7.7600,7.92,7.73,7.81,5965950,46640236.0000,3,7.457438,1,-1.013900,29.824862,2.678442,0.393531,11.706983,0,7.799999999999999,7.686,7.795500000000002,1,1,1,1,1,70.50505050505052,61.67344440071715,88.16826271371725,1,-0.3637067758538528,-0.4723934078389243,0.1086866319850715
2011-11-02,sh.601789,7.7000,7.99,7.58,7.97,7835880,60867198.0000,3,9.794850,1,2.048700,30.435871,2.733314,0.401593,11.946819,0,7.863999999999999,7.700999999999999,7.7885000000000035,1,1,1,1,1,70.4761904761905,68.01084437448077,75.40688267960996,1,-0.324870476770152,-0.44288882162516985,0.11801834485501783
2011-11-03,sh.601789,8.0000,8.16,7.95,7.96,11058351,88869803.0000,3,13.822939,1,-0.125500,30.397683,2.729885,0.401089,11.931829,0,7.927999999999999,7.749999999999998,7.801500000000004,1,1,1,1,1,72.69841269841274,71.22655122655127,75.64213564213568,1,-0.2915386700604712,-0.4126187913122301,0.12108012125175893
2011-11-04,sh.601789,8.0000,8.38,7.98,8.29,14661333,120131492.0000,3,18.326666,1,4.145700,31.657889,2.843058,0.417717,12.426490,0,7.983999999999999,7.840999999999999,7.839500000000004,1,1,1,1,1,82.1090680496621,75.09455707475513,96.13808999947605,1,-0.23577684235276664,-0.3772504015203374,0.14147355916757076
2011-11-07,sh.601789,8.5000,8.87,8.36,8.39,18579872,158717157.0000,3,23.224840,1,1.206300,32.039769,2.877353,0.422756,12.576388,0,8.084,7.93,7.880000000000004,1,1,1,1,1,77.00755457605563,77.27167844137684,76.47930684541322,-1,-0.18142467714185528,-0.33808525664464095,0.15666057950278567
2011-11-08,sh.601789,8.2600,8.34,8.11,8.13,9841151,80550149.0000,3,12.301439,1,-3.098900,31.046880,2.788186,0.409655,12.186655,0,8.148,7.973999999999999,7.901500000000004,-1,1,1,1,1,65.50515516667947,74.87392593079909,46.76761363844025,-1,-0.1575142949721453,-0.3019710643101418,0.1444567693379965
2011-11-09,sh.601789,8.1500,8.19,7.92,8.18,7210512,58227702.0000,3,9.013140,1,0.615000,31.237820,2.805334,0.412175,12.261603,0,8.19,8.026999999999997,7.9100000000000055,-1,1,1,1,1,50.64599483204142,64.38623485825887,23.165514779606497,-1,-0.13299745087938497,-0.26817634162399046,0.13517889074460548
2011-11-10,sh.601789,7.9800,8.08,7.95,7.95,5798566,46453007.0000,3,7.248208,1,-2.811700,30.359495,2.726455,0.400585,11.916839,0,8.187999999999999,8.057999999999998,7.907500000000004,-1,-1,1,1,1,39.27648578811375,51.80921192894491,14.211033506451443,-1,-0.13062103512717194,-0.24066528032462675,0.11004424519745482
2011-11-11,sh.601789,7.9500,7.98,7.71,7.75,5618912,44035828.0000,3,7.023640,1,-2.515700,29.595734,2.657865,0.390508,11.617045,0,8.08,8.031999999999998,7.876000000000005,-1,-1,-1,1,1,29.4573643410853,39.79328165374685,8.785529715762195,-1,-0.14322502808339177,-0.22117722987637975,0.07795220179298798
2011-11-14,sh.601789,7.8100,8.05,7.78,7.97,5987089,47497300.0000,3,7.483861,1,2.838700,30.435871,2.733314,0.401593,11.946819,0,7.9959999999999996,8.039999999999997,7.859500000000004,-1,-1,1,-1,1,24.03100775193801,30.921619293712382,10.249784668389267,-1,-0.1339178997375985,-0.2037253638486235,0.06980746411102501
2011-11-15,sh.601789,7.9400,8.09,7.92,8.06,5048984,40550518.0000,3,6.311230,1,1.129200,30.779563,2.764180,0.406128,12.081726,0,7.981999999999999,8.064999999999998,7.875500000000004,1,-1,1,-1,1,24.527755502093953,26.005375865039117,21.572514776203626,-1,-0.11792037297394131,-0.18656436567368706,0.06864399269974575
2011-11-16,sh.601789,7.9600,8.07,7.58,7.64,12500401,97545958.0000,3,12.500401,1,-5.210900,29.175666,2.620141,0.384965,11.452158,0,7.874,8.031999999999998,7.866500000000004,-1,-1,-1,-1,1,21.685378241112033,23.414713831714696,18.22670705990671,-1,-0.1375471497491514,-0.17676092248877992,0.03921377273962853
2011-11-17,sh.601789,7.6500,7.69,7.44,7.6,7077910,53607087.0000,3,7.077910,1,-0.523600,29.022913,2.606423,0.382950,11.392199,0,7.803999999999999,7.995999999999998,7.873000000000003,-1,-1,-1,-1,-1,15.337462590870787,20.51686544469229,4.978656883227785,-1,-0.1545476483650674,-0.1723182676640374,0.017770619298970003
2011-11-18,sh.601789,7.5300,7.53,7.29,7.32,9005987,66464486.0000,3,9.005987,1,-3.684200,27.953648,2.510396,0.368841,10.972486,0,7.717999999999999,7.898999999999998,7.870000000000003,-1,-1,-1,-1,-1,6.23237227888391,14.418404370288942,-10.139691903926153,-1,-0.1884420829118385,-0.17554303071359761,-0.01289905219824089
2011-11-21,sh.601789,7.3300,7.39,7.25,7.38,3694179,27045181.0000,3,3.694179,1,0.819700,28.182777,2.530973,0.371864,11.062425,0,7.6,7.797999999999997,7.8640000000000025,-1,-1,-1,-1,-1,9.291913759998877,10.287249543251223,7.301242193494186,-1,-0.20806373866316186,-0.18204717230351047,-0.026016566359651383
2011-11-22,sh.601789,7.2900,7.44,7.26,7.43,4015976,29593882.0000,3,4.015976,1,0.677500,28.373717,2.548121,0.374384,11.137373,0,7.473999999999999,7.727999999999997,7.8510000000000035,-1,-1,-1,-1,-1,12.705167173252297,9.409817737378393,19.295866045000103,1,-0.21707713005051588,-0.18905316385291154,-0.028023966197604333
2011-11-23,sh.601789,7.4200,7.44,7.3,7.33,3034715,22350299.0000,3,3.034715,1,-1.345900,27.991836,2.513826,0.369345,10.987476,0,7.411999999999999,7.642999999999996,7.8350000000000035,-1,-1,-1,-1,-1,14.927389395474513,12.308156776241928,20.165854633939684,1,-0.22964229845883555,-0.19717099077409633,-0.032471307684739215
2011-11-24,sh.601789,7.2600,7.43,7.16,7.4,4778455,34870039.0000,3,4.778455,1,0.955000,28.259153,2.537832,0.372872,11.092404,0,7.371999999999998,7.5879999999999965,7.823000000000005,1,-1,-1,-1,-1,18.91961085509475,15.517389141273886,25.72405428273648,1,-0.23128575178775979,-0.20399394297682902,-0.027291808810930768
2011-11-25,sh.601789,7.3400,7.41,7.25,7.27,3060490,22449529.0000,3,3.060490,1,-1.756800,27.762708,2.493249,0.366322,10.897537,0,7.361999999999997,7.5399999999999965,7.786000000000006,-1,-1,-1,-1,-1,15.719406041986701,16.52213543085202,14.113947264256062,-1,-0.2403079929795071,-0.21125675297736463,-0.029051240002142487
2011-11-28,sh.601789,7.3400,7.35,7.18,7.26,2800221,20296648.0000,3,2.800221,1,-0.137600,27.724520,2.489819,0.365818,10.882548,0,7.337999999999998,7.468999999999997,7.7545000000000055,-1,-1,-1,-1,-1,16.207806530387174,16.948941142489574,14.725537306182375,-1,-0.24543586863709255,-0.2180925761093102,-0.027343292527782337
2011-11-29,sh.601789,7.3200,7.41,7.25,7.39,5248662,38570326.0000,3,5.248662,1,1.790600,28.220965,2.534403,0.372368,11.077414,0,7.329999999999998,7.401999999999997,7.733500000000005,1,-1,-1,-1,-1,22.071064797784164,17.99942579005271,30.21434281324707,1,-0.23628607470913643,-0.22173127582927546,-0.01455479887986097
2011-11-30,sh.601789,7.3500,7.39,6.8,6.98,6857383,48484207.0000,3,6.857383,1,-5.548000,26.655255,2.393793,0.351709,10.462835,0,7.26,7.335999999999997,7.684000000000005,-1,-1,-1,-1,-1,26.347590550226883,21.542153959466106,35.95846373174844,1,-0.2591312666492378,-0.22921127399326793,-0.029919992655969868
2011-12-01,sh.601789,7.1400,7.22,7.02,7.06,6057460,43184424.0000,3,6.057460,1,1.146100,26.960759,2.421229,0.355740,10.582753,0,7.192,7.281999999999998,7.639000000000005,-1,-1,-1,-1,-1,36.226253553889876,28.214969633967005,52.24882139373562,1,-0.2676950920536001,-0.23690803760533435,-0.030787054448265738
2011-12-02,sh.601789,7.0300,7.03,6.62,6.72,5607027,38114006.0000,3,5.607027,1,-4.815900,25.662366,2.304626,0.338608,10.073102,0,7.082000000000001,7.221999999999997,7.560500000000005,-1,-1,-1,-1,-1,25.82588539926495,29.466576501127268,18.544503195540322,-1,-0.2984764926746406,-0.24922172861919561,-0.04925476405544499
2011-12-05,sh.601789,6.7000,6.75,6.45,6.5,3009041,19881060.0000,3,3.009041,1,-3.273800,24.822229,2.229177,0.327523,9.743328,0,6.9300000000000015,7.133999999999998,7.4660000000000055,-1,-1,-1,-1,-1,19.290209000574826,27.114115984576586,3.642395032571308,-1,-0.3367413906805883,-0.26672566103147416,-0.07001572964911412
2011-12-06,sh.601789,6.5000,6.57,6.45,6.53,2359928,15377930.0000,3,2.359928,1,0.461500,24.936793,2.239466,0.329034,9.788297,0,6.758000000000001,7.043999999999997,7.3860000000000054,-1,-1,-1,-1,-1,8.469630769282338,17.861908389707406,-10.3149244715678,-1,-0.36049034050655226,-0.2854785969264898,-0.07501174358006246
2011-12-07,sh.601789,6.5100,6.58,6.47,6.53,2173366,14185356.0000,3,2.173366,1,0.000000,24.936793,2.239466,0.329034,9.788297,0,6.668000000000001,6.963999999999997,7.303500000000005,-1,-1,-1,-1,-1,7.18236789665363,11.647402555503632,-1.7477014210463757,-1,-0.37498891554961133,-0.30338066065111413,-0.0716082548984972
2011-12-08,sh.601789,6.5300,6.54,6.33,6.47,3681605,23760007.0000,3,3.681605,1,-0.918800,24.707664,2.218889,0.326011,9.698359,0,6.550000000000002,6.870999999999998,7.229500000000006,-1,-1,-1,-1,-1,9.819853867472931,8.490617511136334,12.478326580146128,1,-0.386861144822098,-0.3200767574853109,-0.0667843873367871
2011-12-09,sh.601789,6.4000,6.48,6.28,6.33,2945760,18742989.0000,3,2.945760,1,-2.163800,24.173032,2.170876,0.318957,9.488502,0,6.472000000000001,6.776999999999998,7.158500000000006,-1,-1,-1,-1,-1,8.573691685786088,8.525304483304248,8.670466090749766,1,-0.40292216610598786,-0.3366458392094463,-0.06627632689654156
2011-12-12,sh.601789,6.3900,6.46,6.31,6.31,3022633,19292742.0000,3,3.022633,1,-0.316000,24.096656,2.164017,0.317949,9.458523,0,6.434000000000002,6.681999999999998,7.075500000000007,-1,-1,-1,-1,-1,6.696814808909188,8.363453454056101,3.363537518615363,-1,-0.4125093233385977,-0.3518185360352766,-0.060690787303321114
2011-12-13,sh.601789,6.2500,6.26,6.06,6.11,4158205,25465652.0000,3,4.158205,1,-3.169600,23.332895,2.095427,0.307871,9.158728,0,6.350000000000001,6.553999999999998,6.978000000000007,-1,-1,-1,-1,-1,3.812608763783633,6.361038419493002,-1.2842505476351054,-1,-0.43127408386741006,-0.36770964560170327,-0.06356443826570679
2011-12-14,sh.601789,6.1200,6.14,5.98,6.01,2589342,15739416.0000,3,2.589342,1,-1.636700,22.951014,2.061131,0.302833,9.008831,0,6.246,6.456999999999998,6.896500000000008,-1,-1,-1,-1,-1,3.2900634624772542,4.599829011723391,0.6705323639849805,-1,-0.4490382229271068,-0.383975361066784,-0.06506286186032284
2011-12-15,sh.601789,5.9300,6.0,5.87,5.88,3333121,19811668.0000,3,3.333121,1,-2.163100,22.454570,2.016548,0.296282,8.813964,0,6.128000000000001,6.338999999999998,6.810500000000007,-1,-1,-1,-1,-1,2.7679504403642423,3.2902075555417416,1.7234362100092442,-1,-0.46820912135932424,-0.40082211312529203,-0.06738700823403221
2011-12-16,sh.601789,5.8400,6.01,5.7,5.99,4124528,24225719.0000,3,4.124528,1,1.870700,22.874638,2.054272,0.301825,8.978851,0,6.0600000000000005,6.265999999999998,6.744000000000009,-1,-1,-1,-1,-1,12.316017316017307,6.1246770729529665,24.698697802145986,1,-0.4691184107707844,-0.4144813726543905,-0.05463703811639392
2011-12-19,sh.601789,5.9900,5.99,5.99,5.99,0,0.0000,3,,0,0.000000,22.874638,2.054272,0.301825,8.978851,0,5.996,6.214999999999998,6.674500000000009,-1,-1,-1,-1,-1,22.348484848484862,12.477484201622168,42.09048614221025,1,-0.46448473824961134,-0.4244820457734347,-0.04000269247617666
2011-12-20,sh.601789,5.9900,5.99,5.99,5.99,0,0.0000,3,,0,0.000000,22.874638,2.054272,0.301825,8.978851,0,5.972000000000001,6.160999999999999,6.602500000000009,1,-1,-1,-1,-1,33.4776334776335,22.714045214045257,55.00481000481,1,-0.4555610946703501,-0.43069785555281775,-0.024863239117532354
2011-12-21,sh.601789,5.9900,5.99,5.99,5.99,0,0.0000,3,,0,0.000000,22.874638,2.054272,0.301825,8.978851,0,5.968000000000002,6.106999999999998,6.535500000000009,1,-1,-1,-1,-1,34.88594738594741,30.237355237355292,44.18313168313164,1,-0.4433780565991867,-0.43323389576209154,-0.010144160837095184
2011-12-22,sh.601789,5.9900,5.99,5.99,5.99,0,0.0000,3,,0,0.000000,22.874638,2.054272,0.301825,8.978851,0,5.990000000000002,6.058999999999999,6.465000000000009,-1,-1,-1,-1,-1,36.62039714671295,34.99465933676466,39.87187276660954,1,-0.4287801999155203,-0.4323431565927773,0.0035629566772569787
2011-12-23,sh.601789,5.9900,5.99,5.99,5.99,0,0.0000,3,,0,0.000000,22.874638,2.054272,0.301825,8.978851,0,5.990000000000002,6.0249999999999995,6.401000000000009,-1,-1,-1,-1,-1,42.37436540068122,37.960236644447235,51.202622913149185,1,-0.41245674866859616,-0.42836587500794104,0.01590912633934488
2011-12-26,sh.601789,5.9900,5.99,5.99,5.99,0,0.0000,3,,0,0.000000,22.874638,2.054272,0.301825,8.978851,0,5.990000000000002,5.992999999999999,6.337500000000008,-1,-1,-1,-1,-1,51.95089997721582,43.648554174870036,68.5555915819074,1,-0.3949673581056947,-0.4216861716274918,0.026718813521797058
2011-12-27,sh.601789,5.9900,5.99,5.99,5.99,0,0.0000,3,,0,0.000000,22.874638,2.054272,0.301825,8.978851,0,5.990000000000002,5.981,6.267500000000008,-1,1,-1,1,-1,70.41439743052656,54.91322093614124,101.41675041929723,1,-0.3767637916178872,-0.41270169562557085,0.03593790400768365
