date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2019-02-26,sh.601860,7.2400,7.24,6.92,7.24,170175260,1226513550.0000,3,46.484683,1,10.030390,21.085788,2.466977,6.276305,0.000000,0,6.15,5.820999999999999,5.5714999999999995,1,1,1,1,1,100.0,85.5676076577203,128.8647846845594,1,0.034724784978807044,-0.25682176319220396,0.291546548171011
2019-02-27,sh.601860,7.2800,7.96,6.98,7.96,182895810,1378935207.0000,3,49.959399,1,9.944756,23.182717,2.712312,6.900468,5.316869,0,6.640000000000001,6.075999999999999,5.682999999999999,1,1,1,1,1,100.0,94.79905437352245,110.4018912529551,1,0.19461801990061822,-0.16653380657363953,0.36115182647425775
2019-02-28,sh.601860,8.0400,8.76,8.04,8.76,134226790,1157591849.0000,3,36.665082,1,10.050250,25.512639,2.984906,7.593982,5.851228,0,7.304,6.407999999999999,5.832999999999999,1,1,1,1,1,100.0,100.0,100.0,1,0.3814902920484684,-0.05692898684921795,0.43841927889768634
2019-03-01,sh.601860,9.5000,9.5,7.88,8.59,234841617,1989971425.0000,3,64.148797,1,-1.940640,25.017530,2.926979,7.446610,5.737676,0,7.8260000000000005,6.729999999999999,5.9784999999999995,1,1,1,1,1,92.69076305220885,97.56358768406962,82.9451137884873,-1,0.5099914706025004,0.05645510464112573,0.45353636596137464
2019-03-04,sh.601860,8.6600,9.45,8.39,9.45,232364842,2113238760.0000,3,63.472246,1,10.011640,27.522196,3.220018,8.192138,6.312112,0,8.4,7.119999999999999,6.183999999999999,1,1,1,1,1,92.28915662650604,94.99330655957164,86.88085676037485,-1,0.6734611521408151,0.17985631414106362,0.4936048379997515
2019-03-05,sh.601860,9.0000,10.3,8.86,9.75,207315776,1958579165.0000,3,56.629901,1,3.174605,28.395916,3.322241,8.452206,6.512496,0,8.902,7.525999999999999,6.406999999999999,1,1,1,1,1,88.58545292280235,91.18845753383908,83.37944370072887,-1,0.8177925419256402,0.307443559697979,0.5103489822276612
2019-03-06,sh.601860,9.4600,10.73,9.41,10.73,178565932,1835059564.0000,3,48.776660,1,10.051280,31.250070,3.656169,9.301761,7.167086,0,9.456,8.047999999999998,6.6884999999999994,1,1,1,1,1,95.8946898705935,92.25643313996729,103.17120333184593,1,0.9997297556667348,0.4459007988917302,0.5538289567750047
2019-03-07,sh.601860,11.3000,11.8,11.0,11.8,115373078,1334673160.0000,3,31.515045,1,9.972048,34.366340,4.020763,10.229337,7.881791,0,10.064000000000002,8.684,7.0329999999999995,1,1,1,1,1,96.2962962962963,93.59214636323071,101.70459616242749,1,1.2162363504135554,0.5999679091960952,0.6162684412174602
2019-03-08,sh.601860,10.6200,11.29,10.62,10.62,147473517,1600523044.0000,3,40.283527,1,-10.000000,30.929706,3.618687,9.206403,7.093612,0,10.47,9.148,7.316,1,1,1,1,1,91.9398907103825,94.71029229242409,86.39908754629934,-1,1.2778727269198846,0.7355488727408531,0.5423238541790315
2019-03-11,sh.601860,9.8000,10.3,9.56,9.84,134807485,1307817689.0000,3,36.823703,1,-7.344630,28.658032,3.352908,8.530227,6.572612,0,10.548000000000002,9.474,7.5489999999999995,-1,1,1,1,1,78.38525723873659,88.87381474847179,57.40814221926618,-1,1.2493784609129355,0.8383147903752696,0.4110636705376659
2019-03-12,sh.601860,9.9300,10.49,9.7,10.18,113780938,1151614815.0000,3,31.080140,1,3.455286,29.648249,3.468760,8.824970,6.799714,0,10.634000000000002,9.768,7.794499999999999,-1,1,1,1,1,64.60974703465494,78.311631661258,37.20597778144881,-1,1.2399384694725857,0.9186395261947328,0.3212989432778529
2019-03-13,sh.601860,10.1900,10.19,9.2,9.37,95669374,914370710.0000,3,26.132826,1,-7.956782,27.289204,3.192759,8.122787,6.258676,0,10.362000000000002,9.909000000000002,7.9925,-1,-1,1,1,1,52.00659101814998,65.00053176384718,26.0187095267556,-1,1.1537967272390066,0.9656709664035875,0.1881257608354191
2019-03-14,sh.601860,9.2800,9.69,8.81,9.22,87980952,818436886.0000,3,24.032675,1,-1.600850,26.852343,3.141647,7.992753,6.158484,0,9.846,9.955000000000002,8.1815,-1,-1,1,-1,1,40.341283140822306,52.31920706454241,16.385435293382102,-1,1.0611922656344763,0.9847752262497653,0.076417039384711
2019-03-15,sh.601860,9.3100,9.47,8.83,8.96,79078846,719931195.0000,3,21.600996,1,-2.819959,26.095119,3.053054,7.767361,5.984817,0,9.514000000000001,9.992,8.361,-1,-1,1,-1,1,22.455700814246196,38.26785832440616,-9.168614206073741,-1,0.9558048126322429,0.9789811435262609,-0.023176330894017938
2019-03-18,sh.601860,8.8900,9.68,8.63,9.47,108223823,998152596.0000,3,29.562171,1,5.691967,27.580444,3.226833,8.209476,6.325471,0,9.440000000000001,9.994000000000002,8.556999999999999,1,-1,1,-1,1,18.618440358013235,27.138474771027248,1.578371531985212,-1,0.9030276934694417,0.963790453514897,-0.06076276004545533
