date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2019-04-03,sh.601865,15.7000,16.45,15.4,15.63,55147420,877602440.0000,3,36.764947,1,-3.992632,74.827888,8.307816,9.947932,-72.413171,0,15.172,15.516000000000002,15.241499999999998,1,1,1,-1,-1,50.04316407197251,36.83975392592018,76.44998436407718,1,2.801010822903386,3.809290034305966,-1.0082792114025798
2019-04-04,sh.601865,16.0000,16.99,15.68,16.31,64707331,1048072782.0000,3,43.138221,1,4.350604,78.083356,8.669257,10.380727,-75.563584,0,15.575999999999999,15.470000000000002,15.510499999999999,1,1,1,1,1,65.2164688924305,51.93201047727867,91.78538572273415,1,2.6749563786597435,3.5824233031767214,-0.907466924516978
2019-04-08,sh.601865,16.3200,17.15,15.16,15.24,63356912,1022615937.0000,3,42.237941,1,-6.560390,72.960781,8.100519,9.699711,-70.606317,0,15.703999999999999,15.314000000000002,15.6715,-1,-1,-1,1,1,59.94507681069357,58.40156992503219,63.03209058201634,1,2.4603558154641867,3.3580098056342145,-0.8976539901700278
2019-04-09,sh.601865,14.6300,14.75,14.08,14.2,42032208,601265510.0000,3,28.021472,1,-6.824147,67.981830,7.547728,9.037788,-65.788038,0,15.532,15.222,15.720499999999998,-1,-1,-1,1,-1,48.41085271317832,57.85746613876746,29.51762586200006,-1,2.181220265205967,3.122651897548565,-0.941431632342598
2019-04-10,sh.601865,13.8100,14.38,13.81,14.04,23499961,331779756.0000,3,15.666641,1,-1.126760,67.215838,7.462683,8.935954,-65.046764,0,15.083999999999998,15.076999999999998,15.6955,-1,-1,-1,1,-1,26.203703703703724,44.85321107585853,-11.095311040605893,-1,1.9249035775084344,2.883102233540539,-0.9581986560321045
2019-04-11,sh.601865,14.1300,14.29,13.55,14.12,24765771,343868012.0000,3,16.510514,1,0.569800,67.598834,7.505206,8.986871,-65.417401,0,14.781999999999996,14.976999999999999,15.644499999999999,-1,-1,-1,-1,-1,15.833333333333336,30.14929658340513,-12.79859316681025,-1,1.7085312030729494,2.648188027447021,-0.9396568243740715
2019-04-12,sh.601865,14.1300,14.25,13.72,13.8,15051534,209820235.0000,3,10.034356,1,-2.266287,66.066849,7.335116,8.783203,-63.934854,0,14.279999999999996,14.928,15.5445,-1,-1,-1,-1,-1,12.129629629629642,18.055555555555568,0.2777777777777928,-1,1.4940111809018664,2.41735265813799,-0.9233414772361237
2019-04-15,sh.601865,13.9200,14.18,13.7,13.75,17428003,242405592.0000,3,11.618669,1,-0.362320,65.827477,7.308539,8.751379,-63.703206,0,13.981999999999994,14.843,15.363,-1,-1,-1,-1,-1,9.444444444444462,12.469135802469147,3.395061728395092,-1,1.3049255660282046,2.194867239716033,-0.8899416736878285
2019-04-16,sh.601865,13.4000,13.41,12.78,13.32,23625092,310521575.0000,3,15.750061,1,-3.127275,63.768872,7.079981,8.477700,-61.711033,0,13.805999999999994,14.669,15.1915,-1,-1,-1,-1,-1,8.285659801678145,9.953244625250749,4.95049015453294,-1,1.1076086248476624,1.977415516742359,-0.8698068918946966
2019-04-17,sh.601865,13.2000,13.52,13.1,13.27,16744198,222730853.0000,3,11.162799,1,-0.375370,63.529499,7.053405,8.445877,-61.479385,0,13.651999999999996,14.368,15.017499999999998,-1,-1,-1,-1,-1,9.708449868632973,9.146184704918527,10.832980196061865,1,0.9364046552635052,1.7692133444465883,-0.832808689183083
2019-04-18,sh.601865,13.2400,13.3,12.63,12.68,22640597,291867058.0000,3,15.093731,1,-4.446120,60.704902,6.739802,8.070363,-58.745938,0,13.363999999999995,14.073000000000002,14.7945,-1,-1,-1,-1,-1,8.225329580202947,8.739813083504687,7.196362573599469,-1,0.7445336858712039,1.5642774127315113,-0.8197437268603074
2019-04-19,sh.601865,12.6600,12.88,12.51,12.71,14736513,187728468.0000,3,9.824342,1,0.236591,60.848526,6.755748,8.089457,-58.884927,0,13.145999999999997,13.713000000000003,14.5915,-1,-1,-1,-1,-1,7.08252692138199,8.338768790072637,4.570043184000696,-1,0.5881158758245739,1.3690451053501238,-0.7809292295255499
2019-04-22,sh.601865,12.8000,13.98,12.72,13.98,42375921,575120926.0000,3,28.250614,1,9.992128,65.211212,6.778668,8.221500,-104.206901,0,13.191999999999998,13.587000000000003,14.4505,1,1,-1,-1,-1,29.54813059576208,14.951995699115672,58.7404003890549,1,0.5601746756361923,1.2072710194073375,-0.6470963437711452
2019-04-23,sh.601865,14.0100,14.83,13.65,14.1,55622125,792880259.0000,3,37.081417,1,0.858375,65.770965,6.836854,8.292070,-105.101380,0,13.347999999999999,13.577000000000004,14.3995,1,1,-1,-1,-1,52.024226618547154,29.551628045230405,96.96942376518066,1,0.5414723145126885,1.0741112784284077,-0.5326389639157192
2019-04-24,sh.601865,13.6600,13.87,12.83,13.24,30991168,413913420.0000,3,20.660779,1,-6.099295,61.759403,6.419854,7.786313,-98.690942,0,13.341999999999999,13.497000000000005,14.287,-1,-1,-1,-1,-1,59.53654188948311,47.03629970126411,84.5370262659211,1,0.4520448542078057,0.9496979935842873,-0.4976531393764816
2019-04-25,sh.601865,13.1000,14.56,13.09,14.56,23146227,331620625.0000,3,15.430818,1,9.969793,67.916685,7.059900,8.562592,-108.530220,0,13.717999999999998,13.541000000000006,14.259,1,1,1,1,-1,62.78735632183913,58.11604160995646,72.12998574560446,1,0.4821282416702726,0.8561840432014843,-0.37405580153121176
2019-04-26,sh.601865,15.5800,16.02,14.88,16.02,72802715,1142946102.0000,3,48.535143,1,10.027470,74.727012,7.767830,9.421203,-119.413058,0,14.379999999999999,13.763000000000005,14.345499999999998,1,1,1,1,1,73.27586206896557,65.19992009342927,89.42774602003814,1,0.6166707447628568,0.8082813835137588,-0.191610638750902
2019-04-29,sh.601865,16.1000,16.8,14.42,14.66,77177155,1196504374.0000,3,51.451437,1,-8.489392,68.383145,7.108388,8.621401,-109.275620,0,14.515999999999996,13.854000000000005,14.348499999999998,1,1,1,1,1,79.49287302735583,71.85203047272017,94.77455813662715,1,0.6065639224591806,0.7679378913028432,-0.16137396884366262
2019-04-30,sh.601865,13.6000,13.98,13.19,13.19,39181924,525442086.0000,3,26.121283,1,-10.027290,61.526172,6.395610,7.756908,-98.318242,0,14.333999999999998,13.841000000000005,14.254999999999999,-1,-1,-1,1,1,55.32245532245535,69.36373013959225,27.23990568818155,-1,0.47446810529864436,0.7092439341020034,-0.234775828803359
2019-05-06,sh.601865,11.8700,12.1,11.87,11.87,8005900,95051494.0000,3,5.337267,1,-10.007580,55.368891,5.755564,6.980629,-88.478963,0,14.059999999999997,13.701000000000004,14.034499999999998,-1,-1,-1,1,1,21.989121989122015,52.268150112977736,-38.56893425858942,-1,0.26026804222074773,0.6194487557257522,-0.35918071350500447
2019-05-07,sh.601865,10.8100,11.68,10.81,11.25,45978329,513569133.0000,3,30.652219,1,-5.223251,52.476834,5.454937,6.616014,-83.857484,0,13.397999999999996,13.558000000000003,13.815499999999997,-1,-1,-1,-1,-1,7.732130603583049,28.34790263838681,-33.49941346602447,-1,0.040022772946375795,0.5035635591698769,-0.46354078622350114
