date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2018-09-05,sh.601869,49.0600,50.7,48.4,49.23,12443625,619278887.0000,3,16.418447,1,0.305619,24.603602,6.221294,3.286591,-109.450049,0,50.16199999999999,50.592999999999996,49.72099999999999,-1,-1,-1,-1,1,28.660886319845805,39.17232498698209,7.6380089855732365,-1,-0.6894269542120313,-0.9301385934105973,0.24071163919856609
2018-09-06,sh.601869,48.5800,49.99,47.77,49.21,10227823,501619445.0000,3,13.494860,1,-0.040627,24.593607,6.218766,3.285256,-109.405584,0,49.471999999999994,50.57799999999999,49.86849999999999,-1,-1,-1,-1,-1,29.9614643545279,31.360341453559656,27.16371015646439,-1,-0.7066067279403541,-0.8854322203165487,0.1788254923761946
2018-09-07,sh.601869,49.0100,50.3,47.4,47.56,12183781,594457837.0000,3,16.075602,1,-3.352973,23.768989,6.010252,3.175102,-105.737240,0,48.80399999999999,50.468999999999994,49.89199999999998,-1,-1,-1,-1,-1,22.639691714836207,27.08734746306995,13.744380218368725,-1,-0.843638097921918,-0.8770733958376226,0.03343529791570454
2018-09-10,sh.601869,47.1100,47.55,44.79,44.91,10190802,468576112.0000,3,13.446013,1,-5.571912,22.444602,5.675367,2.998188,-99.845657,0,47.99799999999999,49.79899999999999,49.60049999999998,-1,-1,-1,-1,-1,12.824020552344251,21.8083922072361,-5.144722757439446,-1,-1.152780759896963,-0.9322148686494907,-0.2205658912474724
2018-09-11,sh.601869,45.1100,46.27,44.7,45.66,6649984,303111980.0000,3,8.774164,1,1.670007,22.819429,5.770146,3.048258,-101.513086,0,47.31399999999999,49.155999999999985,49.40849999999998,-1,-1,-1,-1,-1,6.180596094291492,13.881436120490632,-9.221083958106785,-1,-1.3220203866877043,-1.0101759722571333,-0.311844414430571
2018-09-12,sh.601869,45.8600,46.19,45.0,45.53,5996766,273740735.0000,3,7.912291,1,-0.284715,22.754459,5.753717,3.039579,-101.224065,0,46.574,48.36799999999998,49.22249999999998,-1,-1,-1,-1,-1,7.159561683651018,8.721392776762235,4.035899497428584,-1,-1.4499201468606486,-1.0981248071778364,-0.3517953396828122
2018-09-13,sh.601869,46.3600,47.19,45.72,46.79,9337586,434716039.0000,3,12.320258,1,2.767411,23.384167,5.912946,3.123697,-104.025346,0,46.08999999999999,47.78099999999999,49.04049999999998,1,-1,-1,-1,-1,18.326228350317674,10.555462042753375,33.867760965446266,1,-1.43309038463876,-1.1651179226700212,-0.2679724619687387
2018-09-14,sh.601869,46.7800,46.78,44.6,44.98,8004012,364790873.0000,3,10.560705,1,-3.868351,22.479586,5.684213,3.002861,-100.001284,0,45.57399999999999,47.18899999999999,48.90999999999998,-1,-1,-1,-1,-1,16.882379047354586,14.122723027107739,22.401691087848278,1,-1.5479606235288657,-1.24168646284179,-0.3062741606870756
2018-09-17,sh.601869,44.5000,44.5,43.58,43.9,4952951,218300597.0000,3,6.535054,1,-2.401063,21.939836,5.547731,2.930760,-97.600186,0,45.37199999999999,46.68499999999999,48.61899999999998,-1,-1,-1,-1,-1,15.185741184175482,16.798116193949227,11.960991164627991,-1,-1.7064719431888662,-1.3346435589112053,-0.37182838427766085
2018-09-18,sh.601869,43.5500,45.08,43.36,44.99,6048344,267543612.0000,3,7.980345,1,2.482916,22.484584,5.685476,3.003529,-100.023516,0,45.23799999999999,46.275999999999996,48.36149999999998,-1,-1,-1,-1,-1,11.403640639827136,14.490586957119048,5.229748005243312,-1,-1.7242631828861477,-1.412567483706194,-0.31169569917995377
