date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.601872,5.6800,5.77,5.65,5.76,16192167,92652312.0000,3,0.471608,1,1.766800,92.492543,2.095943,9.948119,-10.658021,0,5.661999999999999,5.633999999999999,5.662499999999999,1,1,1,1,-1,77.5974025974025,71.91151142764035,88.96918493692684,1,-0.07302673854490749,-0.10740411027403567,0.03437737172912818
2010-02-26,sh.601872,5.7400,5.77,5.7,5.74,10380539,59507630.0000,3,0.302340,1,-0.347200,92.171389,2.088665,9.913577,-10.621014,0,5.675999999999999,5.6549999999999985,5.655499999999998,1,1,1,1,1,89.17748917748925,78.67965367965364,110.17316017316048,1,-0.06169270217469425,-0.09826182865416738,0.036569126479473135
2010-03-01,sh.601872,5.7700,5.8,5.73,5.78,16362641,94534337.0000,3,0.476573,1,0.696900,92.813698,2.103220,9.982661,-10.695028,0,5.707999999999999,5.677999999999999,5.657499999999999,1,1,1,1,1,93.08755760368676,86.62081645952617,106.02103989200793,1,-0.04891882522168167,-0.08839322796767024,0.03947440274598857
2010-03-02,sh.601872,5.7800,5.83,5.72,5.75,10320315,59442507.0000,3,0.300586,1,-0.519000,92.331966,2.092304,9.930848,-10.639517,0,5.7379999999999995,5.689999999999999,5.6644999999999985,1,1,1,1,1,86.43489653926095,89.56664777347898,80.1713940708249,-1,-0.04074648487135324,-0.07886387934840684,0.038117394477053604
2010-03-03,sh.601872,5.7500,5.86,5.73,5.83,14640042,85204698.0000,3,0.426401,1,1.391300,93.616585,2.121414,10.069016,-10.787545,0,5.772,5.704999999999998,5.673999999999999,1,1,1,1,1,87.30362240798672,88.94202551697815,84.02681619000387,-1,-0.027497540324841196,-0.06859061154369371,0.041093071218852514
2010-03-04,sh.601872,5.8500,5.93,5.66,5.68,24532423,142773596.0000,3,0.714523,1,-2.572900,91.207925,2.066832,9.809951,-10.509993,0,5.756,5.708999999999998,5.672499999999999,-1,-1,1,1,1,70.51476610300132,81.41776168341632,48.708774942171345,-1,-0.02876976279894361,-0.06062644179474369,0.03185667899580008
2010-03-05,sh.601872,5.7200,5.84,5.65,5.77,15896850,91509653.0000,3,0.463006,1,1.584500,92.653121,2.099582,9.965390,-10.676524,0,5.762,5.7189999999999985,5.670999999999999,1,1,1,1,1,66.23669123669116,74.68502658255973,49.340020544954,-1,-0.022259170574391973,-0.05295298755067335,0.030693816976281374
2010-03-08,sh.601872,5.7800,5.85,5.73,5.77,11782616,68254290.0000,3,0.343177,1,0.000000,57.735274,2.099582,10.626863,-10.676524,0,5.76,5.733999999999999,5.678999999999999,1,1,1,1,1,54.90430622009561,63.88525451992936,36.94240962042812,-1,-0.016904613468838647,-0.04574331273430641,0.02883869926546776
2010-03-09,sh.601872,5.7600,5.77,5.68,5.73,9611575,54950031.0000,3,0.279944,1,-0.693200,57.335030,2.085026,10.553193,-10.602510,0,5.755999999999999,5.746999999999998,5.6865,-1,-1,1,1,1,50.0341763499658,57.05839126891752,35.98574651206235,-1,-0.015707685668546745,-0.03973618732115448,0.024028501652607732
2010-03-10,sh.601872,5.7100,5.76,5.6,5.63,10518317,59729381.0000,3,0.306353,1,-1.745200,56.334418,2.048638,10.369019,-10.417475,0,5.715999999999999,5.743999999999999,5.683999999999999,-1,-1,-1,-1,1,31.85235816814766,45.59694691273635,4.363180678970281,-1,-0.022568124734772432,-0.036302574803878065,0.013734450069105633
