date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-03-16,sh.601877,23.2300,23.55,22.91,23.19,2029265,47037401.0000,3,2.415792,1,-0.770200,59.995522,16.876809,5.246614,-84.456515,0,23.318,23.30100000000001,23.181499999999996,-1,-1,1,1,1,37.91705765822136,34.43853612761975,44.87410071942459,1,-0.2300184918986794,-0.3752070504980003,0.1451885585993209
2010-03-17,sh.601877,23.2500,23.88,23.12,23.67,2983958,70229130.0000,3,3.552331,1,2.069900,61.237344,17.226134,5.355212,-86.204645,0,23.46,23.271000000000008,23.2455,1,1,1,1,1,41.47985959058852,38.60332024235695,47.23293828705165,1,-0.1797912650094311,-0.3361238934002865,0.15633262839085538
2010-03-18,sh.601877,23.6800,24.03,23.57,23.71,3467851,82632681.0000,3,4.128394,1,0.169000,61.340829,17.255245,5.364261,-86.350323,0,23.556,23.35000000000001,23.319999999999997,1,1,1,1,1,54.59074600784496,44.66255441888495,74.447129185765,1,-0.13519966257473115,-0.2959390472351754,0.16073938466044424
2010-03-19,sh.601877,23.7700,23.83,23.45,23.65,2197758,51816653.0000,3,2.616379,1,-0.253100,61.185602,17.211579,5.350687,-86.131806,0,23.518,23.416000000000007,23.370999999999995,1,1,1,1,1,67.18346253229971,54.41802271024441,92.71434217641034,1,-0.10350880981165034,-0.25745299975047037,0.15394418993882003
2010-03-22,sh.601877,23.6800,23.95,23.55,23.76,2299996,54642088.0000,3,2.738090,1,0.465100,61.470186,17.291633,5.375574,-86.532419,0,23.596,23.464000000000006,23.417499999999997,1,1,1,1,1,69.50904392764856,63.76108415593109,81.0049634710835,1,-0.06872527776294746,-0.2197074553529658,0.15098217759001833
2010-03-23,sh.601877,23.7500,23.75,23.21,23.22,3151714,73622370.0000,3,3.752040,1,-2.272700,60.073136,16.898641,5.253402,-84.565774,0,23.602,23.460000000000008,23.448999999999995,-1,-1,-1,1,1,54.93670336351588,63.87640327448806,37.05730354157153,-1,-0.08376695176738025,-0.19251935463584868,0.10875240286846843
2010-03-24,sh.601877,23.2300,23.52,23.1,23.35,2597866,60545067.0000,3,3.092698,1,0.559900,60.409463,16.993251,5.282813,-85.039225,0,23.538,23.499000000000006,23.449499999999997,-1,-1,-1,1,1,45.55620697891561,56.6673180900267,23.33398475669344,-1,-0.08422675958546932,-0.1708608356257728,0.08663407604030349
2010-03-25,sh.601877,23.3700,23.37,23.1,23.23,2962394,68702016.0000,3,3.526660,1,-0.513900,60.099007,16.905919,5.255664,-84.602193,0,23.442,23.499000000000006,23.429499999999997,-1,-1,-1,-1,1,30.532212885154053,43.67504107586186,4.246556503738432,-1,-0.09319980833655706,-0.15532863016792967,0.06212882183137261
2010-03-26,sh.601877,23.2300,23.4,22.9,23.3,2607667,60490068.0000,3,3.104365,1,0.301300,60.280106,16.956862,5.271501,-84.857128,0,23.372,23.445000000000007,23.419,-1,-1,-1,-1,-1,33.64814952529692,36.578856463122214,27.78673564964633,-1,-0.09358382307502566,-0.14297966874934886,0.0493958456743232
2010-03-29,sh.601877,23.4900,24.32,23.49,23.98,7151442,171432310.0000,3,8.513621,1,2.918500,62.039354,17.451741,5.425348,-87.333646,0,23.416,23.506000000000007,23.443,1,1,1,-1,-1,46.67533222936445,36.951898213271825,66.12220026154971,1,-0.03857319276385596,-0.12209837355225028,0.08352518078839433
