date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2010-02-25,sh.601899,8.4700,8.61,8.43,8.6,66667478,568921020.0000,3,1.054037,1,1.176500,36.975260,7.058810,6.699569,-50.541106,0,8.542,8.452999999999994,8.482999999999997,1,1,1,1,1,68.4149988497815,67.19088748074257,70.86322158785933,1,-0.2745835662257079,-0.4002338330055153,0.1256502667798074
2010-02-26,sh.601899,8.5800,8.58,8.49,8.52,55892640,476410602.0000,3,0.883683,1,-0.930200,36.631304,6.993147,6.637248,-50.070956,0,8.526,8.475999999999996,8.466999999999997,-1,1,1,1,1,68.53524897003165,67.8109598399454,69.98382723020413,1,-0.2528545142984129,-0.3707579692640948,0.11790345496568194
2010-03-01,sh.601899,8.7000,8.84,8.66,8.74,111038106,969522900.0000,3,1.755552,1,2.582200,37.577182,7.173721,6.808632,-51.363868,0,8.559999999999999,8.520999999999994,8.458999999999998,1,1,1,1,1,72.8279513759416,69.92606639858492,78.63172133065493,1,-0.21539893783915431,-0.3396861629791067,0.12428722513995238
2010-03-02,sh.601899,8.7500,8.75,8.53,8.58,63611197,547035346.0000,3,1.005716,1,-1.830700,36.889271,7.042394,6.683989,-50.423568,0,8.588,8.540999999999993,8.457499999999998,-1,1,1,1,1,63.72212692967414,68.36177575854914,54.442829271924126,-1,-0.19636224474042763,-0.31102137933137086,0.11465913459094323
2010-03-03,sh.601899,8.6500,8.7,8.54,8.62,56147263,483162960.0000,3,0.887708,1,0.466200,37.061249,7.075226,6.715150,-50.658643,0,8.611999999999998,8.560999999999995,8.467499999999998,1,1,1,1,1,63.52201257861632,66.6906969614107,57.18464381302758,-1,-0.1760188271304255,-0.2840208688911818,0.10800204176075628
2010-03-04,sh.601899,8.6400,8.64,8.37,8.39,70972481,602062238.0000,3,1.122100,1,-2.668200,36.072375,6.886444,6.535975,-49.306963,0,8.569999999999999,8.555999999999994,8.468999999999998,-1,-1,-1,1,1,41.50943396226412,56.25119115685154,12.025919573089269,-1,-0.1764219178675397,-0.26250107868645334,0.08607916081891365
2010-03-05,sh.601899,8.3900,8.45,8.34,8.4,36586688,307163521.0000,3,0.578449,1,0.119200,36.115370,6.894652,6.543765,-49.365731,0,8.546,8.535999999999996,8.473999999999997,-1,-1,-1,1,1,30.188679245282987,45.07337526205449,0.4192872117399844,-1,-0.17392950271436725,-0.24478676349203612,0.07085726077766888
2010-03-08,sh.601899,8.4100,8.47,8.36,8.45,31513481,265147756.0000,3,0.498239,1,0.595200,36.330342,6.935691,6.582716,-49.659575,0,8.488,8.523999999999997,8.494499999999997,-1,-1,-1,-1,-1,19.49685534591191,30.398322851153022,-2.306079664570312,-1,-0.1660060492158486,-0.22903062063679863,0.06302457142095003
2010-03-09,sh.601899,8.3900,8.45,8.33,8.43,35083110,294321521.0000,3,0.554677,1,-0.236700,36.244353,6.919276,6.567136,-49.542037,0,8.458,8.522999999999996,8.490499999999997,-1,-1,-1,-1,-1,21.001356517449675,23.562297036214872,15.879475479919279,-1,-0.15950185004503403,-0.2151248665184457,0.05562301647341167
2010-03-10,sh.601899,8.4000,8.55,8.36,8.47,52917786,448523300.0000,3,0.836649,1,0.474500,36.416331,6.952107,6.598297,-49.777112,0,8.428,8.519999999999996,8.480999999999998,1,-1,-1,-1,-1,24.491305956344775,21.663172606568804,30.147572655896717,1,-0.1493973994121145,-0.20197937309717945,0.05258197368506495
2010-03-11,sh.601899,8.4200,8.43,8.35,8.39,34333831,287971298.0000,3,0.542830,1,-0.944500,36.072375,6.886444,6.535975,-49.306963,0,8.428,8.498999999999997,8.475999999999996,-1,-1,-1,-1,-1,19.607843137254974,21.70016853701649,15.42319233773194,-1,-0.14616003895142882,-0.19081550626802932,0.0446554673166005
2010-03-12,sh.601899,8.3800,8.42,8.31,8.33,31167327,260393199.0000,3,0.492767,1,-0.715100,35.814408,6.837196,6.489234,-48.954350,0,8.414,8.479999999999997,8.477999999999998,-1,-1,-1,-1,-1,14.587046939988179,19.562065344529323,4.637010130905892,-1,-0.14674432874489085,-0.1820012707634016,0.03525694201851076
2010-03-15,sh.601899,8.3000,8.31,8.02,8.14,55655484,453329282.0000,3,0.879933,1,-2.280900,34.997513,6.681246,6.341220,-47.837744,0,8.352,8.419999999999998,8.470499999999998,-1,-1,-1,-1,-1,11.31907308377904,15.171321053674077,3.614577143988967,-1,-0.16068650076261903,-0.17773831676324509,0.017051816000626052
