date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2011-11-02,sh.601908,29.9000,31.7,29.65,31.69,4190113,128232481.0000,3,8.729402,1,3.292000,24.425265,3.720077,6.881000,5.824430,0,30.76000000000001,30.19599999999999,31.386500000000005,1,1,1,1,-1,75.97921170966389,59.78603897776325,108.36555717346515,1,-1.8042965840947893,-2.3898552388216423,0.585558654726853
2011-11-03,sh.601908,31.8100,32.23,31.43,31.51,4659334,148353202.0000,3,9.706946,1,-0.568000,24.286529,3.698947,6.841916,5.791347,0,31.080000000000005,30.33299999999999,31.399500000000007,1,1,1,1,-1,84.5811700878398,72.76460122379542,108.21430781592855,1,-1.6294823660684514,-2.2377806642710043,0.6082982982025529
2011-11-04,sh.601908,31.5900,32.92,31.46,32.29,5928234,191573534.0000,3,12.350487,1,2.475400,24.887719,3.790511,7.011281,5.934706,0,31.410000000000007,30.656999999999993,31.4475,1,1,1,1,-1,89.80473950020827,83.45504043257063,102.50413763548357,1,-1.4117278378020224,-2.072570098977208,0.6608422611751856
2011-11-07,sh.601908,32.2900,32.29,32.29,32.29,0,0.0000,3,,0,0.000000,24.887719,3.790511,7.011281,5.934706,0,31.692000000000007,30.978999999999996,31.494,1,1,1,1,1,83.92133866012425,86.10241608272408,79.55918381492458,-1,-1.2250343716354202,-1.9030629535088504,0.6780285818734302
2011-11-08,sh.601908,31.8500,31.85,30.86,30.93,3862421,120875525.0000,3,8.046710,1,-4.211800,23.839490,3.630861,6.715978,5.684746,0,31.742000000000008,31.076999999999998,31.452499999999997,-1,-1,-1,1,1,68.88755676026317,80.87121164019855,44.92024700039238,-1,-1.1732940847910989,-1.7571091797653,0.5838150949742011
2011-11-09,sh.601908,30.7300,31.3,30.38,31.06,2242019,69113782.0000,3,4.670873,1,0.420300,23.939689,3.646122,6.744205,5.708639,0,31.616000000000007,31.188,31.33299999999999,-1,-1,-1,1,1,54.78842322305624,69.1991062144812,25.967057240206316,-1,-1.109015579886961,-1.6274904597896322,0.5184748799026713
2011-11-10,sh.601908,30.5900,30.76,29.8,29.82,4163572,126030918.0000,3,8.674108,1,-3.992300,22.983951,3.500559,6.474958,5.480735,0,31.27800000000001,31.178999999999995,31.14549999999999,-1,-1,-1,1,1,29.153924566768627,50.943301516696,-14.424829333086123,-1,-1.14493395262717,-1.5309791583571397,0.3860452057299697
2011-11-11,sh.601908,29.9100,30.1,29.5,29.7,1659280,49444412.0000,3,3.456833,1,-0.402400,22.891460,3.486472,6.448902,5.458680,0,30.76000000000001,31.084999999999997,30.943999999999996,-1,-1,-1,-1,-1,18.055332009943328,33.99922659992272,-13.83245717001546,-1,-1.1696000970518092,-1.4587033460960737,0.28910324904426443
2011-11-14,sh.601908,30.0000,31.25,30.0,31.19,3441065,105800256.0000,3,7.168885,1,5.016800,24.039887,3.661382,6.772433,5.732533,0,30.54000000000001,31.115999999999996,30.786999999999995,1,1,1,-1,-1,20.153978217715583,22.454411598142503,15.553111456861743,-1,-1.0567362489850538,-1.3783099266738696,0.32157367768881584
2011-11-15,sh.601908,30.9900,31.36,30.99,31.28,2449374,76334499.0000,3,5.102863,1,0.288600,24.109255,3.671948,6.791975,5.749074,0,30.610000000000007,31.176,30.71599999999999,1,1,1,-1,-1,35.76998050682264,24.65976357816051,57.99041436414691,1,-0.9490880916793607,-1.292465559674968,0.3433774679956072
