date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST,ma5,ma10,ma20,ma5_0_signal,ma10_0_signal,ma20_0_signal,ma5_ma10_signal,ma5_ma20_signal,k,d,j,kd_cross_signal,macd,macdsignal,macdhist
2020-01-13,sh.601916,4.6900,4.7,4.66,4.7,47124390,220648592.0000,3,2.279200,1,0.000000,7.766418,1.025384,2.181028,10.787548,0,4.709999999999998,4.744999999999999,4.7495,-1,-1,-1,-1,-1,15.495642701525261,14.353667392883212,17.779593318809358,1,0.019247039348458728,0.04249161483752603,-0.023244575489067304
2020-01-14,sh.601916,4.7100,4.72,4.68,4.7,50132867,235589840.0000,3,2.424700,1,0.000000,7.766418,1.025384,2.181028,10.787548,0,4.695999999999998,4.735999999999999,4.755000000000001,1,-1,-1,-1,-1,18.981481481481612,14.188453159041567,28.567538126361708,1,0.015281705733094064,0.03704963301663964,-0.021767927283545575
2020-01-15,sh.601916,4.6900,4.7,4.66,4.67,48182903,225128372.0000,3,2.330400,1,-0.638300,7.716845,1.018839,2.167106,10.718691,0,4.693999999999998,4.725,4.748,-1,-1,-1,-1,-1,17.037037037037038,17.17138707334797,16.768336964415177,-1,0.009607649986206113,0.03156123641055293,-0.02195358642434682
2020-01-16,sh.601916,4.6700,4.68,4.63,4.64,49832094,231555546.0000,3,2.410200,1,-0.642400,7.667272,1.012294,2.153185,10.649834,0,4.681999999999999,4.709,4.7435,-1,-1,-1,-1,-1,11.851851851851782,15.956790123456807,3.6419753086417295,-1,0.002659513432534233,0.02578089181494919,-0.02312137838241496
2020-01-17,sh.601916,4.6500,4.66,4.62,4.63,41167928,191116350.0000,3,1.991100,1,-0.215500,7.650748,1.010113,2.148544,10.626882,0,4.667999999999998,4.694,4.7385,-1,-1,-1,-1,-1,6.527777777777643,11.805555555555484,-4.0277777777780415,-1,-0.0036122119406556408,0.019902271063828227,-0.023514483004483867
2020-01-20,sh.601916,4.6300,4.66,4.62,4.66,42847785,199011859.0000,3,2.072400,1,0.647900,7.700321,1.016658,2.162466,10.695739,0,4.659999999999998,4.685,4.733,1,-1,-1,-1,-1,13.829365079365013,10.736331569664808,20.015432098765427,1,-0.006091629689558786,0.014703490913150824,-0.02079512060270961
2020-01-21,sh.601916,4.6500,4.65,4.61,4.61,47429215,219349295.0000,3,2.294000,1,-1.073000,7.617699,1.005749,2.139263,10.580978,0,4.641999999999999,4.669,4.7245,-1,-1,-1,-1,-1,11.607142857142845,10.654761904761829,13.511904761904876,1,-0.011953377160184964,0.009372117298483666,-0.02132549445866863
2020-01-22,sh.601916,4.6000,4.62,4.57,4.61,49783370,228650017.0000,3,2.407800,1,0.000000,7.617699,1.005749,2.139263,10.580978,0,4.629999999999998,4.662,4.715999999999999,-1,-1,-1,-1,-1,18.412698412698486,14.616402116402108,26.005291005291237,1,-0.01640969352993249,0.004215755132800434,-0.02062544866273292
2020-01-23,sh.601916,4.5900,4.61,4.53,4.56,81527704,371925117.0000,3,3.943200,1,-1.084600,7.535078,0.994841,2.116061,10.466216,0,4.613999999999998,4.648,4.7055,-1,-1,-1,-1,-1,14.152046783625673,14.723962684488995,13.00821498189903,-1,-0.023702708423269492,-0.001367937578413551,-0.02233477084485594
2020-02-03,sh.601916,4.1000,4.23,4.1,4.1,159277462,657673810.0000,3,7.703600,1,-10.087700,6.774960,0.894484,1.902599,9.410414,0,4.507999999999998,4.587999999999999,4.670999999999999,-1,-1,-1,-1,-1,14.152046783625673,15.572263993316604,11.311612364243814,-1,-0.06584164934057579,-0.014262679930846,-0.051578969409729794
